SubscriberID,FullName,PhoneNumber,Network,PlanType,RegistrationDate,DataBundle,DataUsed_MB,CallMinutesUsed,SMSCount,MonthlySpend,State,SIM_Status,NIN_Linked
SUB600457,segun balogun,+234725887449,mtn,Postpaid,07-Aug-2022,No active bundle,99999,-10,41,"₦12,873.14",Delta,Active ,N
SUB600341,Tobi Lawal,(526) 218-1599,AIRTEL,PAYG,12/16/2025,1GB,99999,1635,466,12528.49 naira,Lagos,Suspended,true
SUB600277,Blessing Adeyemi,68876767721,Airtel,POSTPAID,2022-12-18,1000MB,99999,-10,350,"N12,011",Rivers,active,yes
SUB600416,Funmilayo Mohammed,234-158-328-182,9mobile,Postpaid,2018-05-01,5 gb,99999,-10,204,"₦6,627.28",Akwa Ibom,Active ,yes
SUB600127,EMEKA EZE,80940244550,AIRTEL,PAYG,03 March 2024,1.5GB,3696.3,264,227,"2,753.48 ",Cross River,Suspended,No
SUB600033,KEMI NNAMDI,44935348740,glo,Pay As You Go,07/07/2022,1.5GB,-50,-10,226,"N4,946",Edo,active,No
SUB600411,Kemi Adekunle,0000000000,MTN,Prepaid,unknown date,5 gb,-50,1372,220,"₦24,350.51",Edo,active,Yes
SUB600342,Segun Yusuf,(062) 962-0153,AIRTEL,POSTPAID,2023/02/13,5GB,3128.7,2861,445,22122.62 naira,Edo,Active,false
SUB600068,ngozi balogun,234-367-837-770,9mobile,Prepaid,23 May 2018,500MB,99999,n/a,255,"₦22,881.79",Cross River,Suspended,false
SUB600432,tobi okafor,07594929955,AIRTEL,prepaid,2021/12/13,10GB,399.2,-,127,16107.59 naira,Imo,Active,yes
SUB600350,Emeka Olawale,98992172233,Airtel,PAYG,04/08/2018,No active bundle,2741.8,-10,33,"₦2,214.63",Edo,Inactive,N
SUB600366,Tunde Mohammed,08589944171,Glo,POSTPAID,01 June 2022,5GB,99999,593,383,"NGN 16,455",Akwa Ibom,BLACKLISTED,No
SUB600186,Obinna Olawale,15371473210,Airtel,prepaid,01/02/2020,10GB,99999,436,346,"₦12,570.29",Akwa Ibom,BLACKLISTED,Yes
SUB600400,Chinedu Okeke,234-130-554-885,Airtel,Postpaid,08/09/2019,2GB,-50,883,82,12789.69,Anambra,Suspended,0
SUB600153,Chinedu Okafor,+234862392407,MTN,Pay As You Go,2020/08/18,2GB,5373.1,-10,25,"₦4,780.19",Oyo State,active,false
SUB600208,Aliyu Eze,00672400499,AIRTEL,PAYG,2022-11-14,Unknown,6958.3,1338,344,10125.63 naira,Ogun,BLACKLISTED,TRUE
SUB600132,Ngozi Okeke,234-403-690-034,MTN,prepaid,2018/03/31,1000MB,5637.6,1321,374,19900.14,Rivers,BLACKLISTED,false
SUB600058,Funmilayo Balogun,65375564641,glo,PAYG,05 April 2025,5GB,99999,-10,335,"N10,103",Fct Abuja,Active ,no
SUB600067,musa okonkwo,0354 549 4808,Glo,POSTPAID,unknown date,No active bundle,-50,234,207,"N20,127",Lag,Active ,0
SUB600324,Fatima Okafor,24472099934,mtn,POSTPAID,00/00/0000,1GB,99999,-10,265,9356.06,Imo,Active ,N
SUB600467,Kemi Nnamdi,0769 735 7790,Glo,Prepaid,2021/04/06,10GB,-50,-10,293,13632.32,Abuja,BLACKLISTED,FALSE
SUB600075,Halima Ogundimu,0719 022 9413,mtn,POSTPAID,08/03/2023,No active bundle,unknown,-10,4,11057.73,Cross River,active,no
SUB600332,chioma eze,(705) 932-5250,9mobile,PAYG,07/17/2019,5GB,2707.1,-10,219,"₦6,491.47",Ogun,BLACKLISTED,N
SUB600405,Fatima Adeyemi,234-669-346-547,Glo,PAYG,04/24/2023,2GB,1691.9,-10,268,"₦22,380.30",Lagos State,Suspended,yes
SUB600367,Kunle Mohammed,05454443283,MTN,prepaid,08/10/2025,1GB,-50,-10,321,"₦6,502.52",Enugu,active,yes
SUB600106,Obinna Chukwu,08588424745,Glo,Prepaid,05/11/2023,1GB,-50,2773,379,"₦4,774.10",Anambra,active,0
SUB600057,Funmilayo Ajayi,234-990-162-720,AIRTEL,Prepaid,02/11/2020,1GB,3805.0,1799,469,"NGN 10,515",Ogun,Active,true
SUB600204,Kemi Nnamdi,+234733848421,mtn,Prepaid,12/01/2024,5 gb,325.2,2690,485,18855.26 naira,Abuja,BLACKLISTED,no
SUB600200,Musa Mohammed,08578652785,MTN,prepaid,2025/09/20,5 gb,2971.2,-10,403,9009.28,Lagos,Suspended,false
SUB600206,Fatima Bello,(712) 082-6773,MTN,Pay As You Go,2024-02-13,1GB,99999,1289,482,"N7,261",Anambra,BLACKLISTED,FALSE
SUB600026,Zainab Yusuf,(098) 050-0978,glo,Prepaid,22-Feb-2019,  ,99999,-10,491,22343.59 naira,Rivers State,BLACKLISTED,TRUE
SUB600375,Bisi Nwosu,234-743-292-712,glo,POSTPAID,2025-12-07,1000MB,-50,-10,44,"NGN 10,460",Abuja,Active,false
SUB600297,Aliyu Afolabi,36403761379,AIRTEL,Pay As You Go,03-Feb-2020,nil,99999,608,153,"NGN 13,316",Lagos,Active,TRUE
SUB600029,IBRAHIM ADEKUNLE,0543 534 6247,Glo,PAYG,14.01.2021,5 gb,99999,-10,91,"₦17,846.45",Lagos,BLACKLISTED,yes
SUB600312,   Ngozi Afolabi,0060 385 0506,mtn,Pay As You Go,06-Feb-2019,1.5GB,6627.5,-10,213,"₦4,036.48",Plateau,active,Y
SUB600272,bisi okafor,+234785969691,mtn,PAYG,2024/06/26,No active bundle,99999,439,194,13099.15 naira,Cross River,Suspended,No
SUB600373,   CHIOMA OKAFOR,234-684-602-235,Glo,prepaid,12.11.2022,10GB,7712.1,-10,400,4805.42,Oyo,active,No
SUB600018,Tobi Abubakar,(713) 315-0983,Glo,PAYG,2024/01/15,1.5GB,2913.8,-10,283,10800.94,Imo,Inactive,FALSE
SUB600036,Amaka Lawal,+234620450533,mtn,Pay As You Go,08/29/2022,2GB,7842.0,-10,259,562.85,Akwa Ibom,BLACKLISTED,FALSE
SUB600317,Kunle Suleiman,01277561853,Glo,POSTPAID,13/12/2018,5 gb,-50,469,146,"₦6,761.09",Oyo,Active ,Y
SUB600037,Obinna Mohammed,58692322602,Airtel,Pay As You Go,27.05.2025,NIL,-50,-10,405,24530.04 naira,Lag,Suspended,No
SUB600091,Sadiq Mohammed,(982) 146-5840,mtn,Postpaid,2021-05-16,10GB,6446.2,-10,370,"NGN 1,763",Ogun,BLACKLISTED,Yes
SUB600233,Amara Ajayi,(331) 739-3638,glo,POSTPAID,2019/04/14,n/a,99999,2605,338,"NGN 13,516",Ogun,active,N
SUB600247,Bola Suleiman,0614 293 9685,MTN,Prepaid,2022-05-12,1GB,-50,-10,445,"N4,149",Imo,Active,Yes
SUB600238,ALIYU CHUKWU,05228728080,AIRTEL,POSTPAID,19 September 2021,1GB,-50,2557,42,2383.13,Oyo State,Suspended,yes
SUB600154,Tunde Adeyemi,234-181-412-478,9mobile,Pay As You Go,2019/04/20,2GB,77.4,-10,233,"9,950.03 ",Cross River,active,true
SUB600196,Bola Afolabi,47055169409,AIRTEL,prepaid,2020/12/13,5 gb,99999,280,56,"NGN 15,634",Ogun,active,N
SUB600345,Yusuf Balogun,234-103-241-714,Airtel,Postpaid,2022/05/20,5 gb,5371.1,2600,157,"₦15,156.03",Enugu,Inactive,N
SUB600252,Adaeze Eze   ,(754) 121-2678,mtn,prepaid,2023/01/31,500MB,99999,932,211,"NGN 9,701",Delta,BLACKLISTED,0
SUB600299,Blessing Ajayi,+234710910430,Airtel,Postpaid,08 July 2025,1.5GB,-50,N/A,6,"N12,189",Akwa Ibom,Active ,false
SUB600408,Fatima Chukwu,07996846081,Glo,prepaid,unknown date,5 gb,1678.1,-10,180,13790.44 naira,Cross River,Suspended,No
SUB600259,Blessing Ajayi,02654793564,Airtel,POSTPAID,12-Apr-2021,5GB,99999,447,356,"NGN 4,187",Edo,Active,yes
SUB600328,Chinedu Ajayi,(078) 593-2133,Airtel,PAYG,2019-02-25,1000MB,99999,761,null,14820.80 naira,Edo,Suspended,yes
SUB600203,YUSUF ADEYEMI,(866) 524-0415,Glo,Prepaid,16 June 2019,NULL,-50,-10,31,18715.2,Cross River,Active ,Yes
SUB600338,AMAKA OGUNDIMU,(433) 154-1006,MTN,prepaid,07.02.2026,5GB,2725.3,-10,214,18939.34,Plateau,BLACKLISTED,yes
SUB600234,Tobi Olawale,04678544587,mtn,Pay As You Go,04/22/2020,Unknown,99999,-10,144,6263.41,Enugu,Active ,no
SUB600011,Obinna Mohammed,(287) 101-2269,MTN,PAYG,21/01/2026,No active bundle,1519.2,Unknown,41,"₦2,178.77",Akwa Ibom,Inactive,1
SUB600401,Funmilayo Yusuf,+234272614933,mtn,PAYG,22/06/2019,1GB,-50,2241,232,"₦23,384.37",Oyo,Suspended,No
SUB600048,Halima Yusuf,01769367632,MTN,prepaid,22/05/2025,5GB,3664.3,-10,305,"N11,616",Abuja,Active,true
SUB600265,Segun Okafor,0899 375 6798,glo,POSTPAID,01.05.2022,1000MB,-50,2405,155,?,Cross River,active,No
SUB600028,Emeka Afolabi,0939 909 1699,9mobile,Prepaid,12/17/2018,1000MB,3908.6,-10,271,"N24,917",Kaduna,Active ,0
SUB600246,Femi Olawale,+234489025039,Airtel,Pay As You Go,00/00/0000,10GB,-50,-10,453,"₦18,515.44",KANO,Inactive,0
SUB600101,Kunle Balogun,(482) 175-9464,Airtel,POSTPAID,2023-06-07,1GB,2889.0,-10,168,"11,050.10 ",Edo,BLACKLISTED,Y
SUB600372,kemi mohammed,234-170-999-173,AIRTEL,POSTPAID,01/10/2022,5 gb,-50,1103,288,"N20,602",Enugu,Inactive,no
SUB600325,   KEMI AFOLABI,76870146263,9mobile,Prepaid,07/12/2018,5GB,-50,--,nil,"NGN 15,844",Ibadan,Inactive,no
SUB600228,Funmilayo Ogundimu,234-870-568-566,MTN,Pay As You Go,2018/12/23,10GB,7113.5,-10,343,"NGN 4,158",Lagos,BLACKLISTED,TRUE
SUB600191,Yusuf Yusuf,0098 358 4168,MTN,POSTPAID,15-Jan-2024,5GB,99999,-10,292,"₦22,723.29",Kaduna,Inactive,no
SUB600335,Bola Mohammed,(539) 264-4220,MTN,POSTPAID,2024-03-05,1000MB,-50,-10,unknown,"N6,228",Kaduna,Active,yes
SUB600421,Bisi Olawale,234-128-801-336,mtn,Prepaid,,1GB,3950.5,-10,45,"NGN 22,606",Imo,BLACKLISTED,Yes
SUB600434,Halima Ogundimu,0775 478 1291,Glo,POSTPAID,22-Jul-2019,Unknown,nil,1724,314,"N19,772",Kaduna,Inactive,FALSE
SUB600255,Ifeoma Okafor   ,62244472126,glo,Prepaid,06/07/2024,2GB,NIL,1665,151,"₦24,974.32",Edo,Suspended,Y
SUB600365,Fatima Nwosu,0574 374 8969,AIRTEL,POSTPAID,14.01.2026,5GB,5603.3,-10,178,10081.05 naira,oyo,Active ,TRUE
SUB600441,tunde lawal,+234844989266,AIRTEL,POSTPAID,17-Jun-2025,null,-50,-10,310,"₦1,221.76",Abuja,active,Y
SUB600024,Chinedu Balogun,234-267-736-026,9mobile,prepaid,2025-06-08,500MB,5142.0,-10,Unknown,N/A,Cross River,Active ,Yes
SUB600030,Ngozi Lawal,0107 991 1838,Glo,Postpaid,2025-10-27,2 GB,820.7,2014,n/a,NULL,Abuja,active,FALSE
SUB600159,  Tobi Chukwu,(036) 971-1798,mtn,prepaid,14/01/2026,5GB,5727.3,-10,312,"3,458.27 ",Kano,Active ,no
SUB600292,Wale Afolabi,234-271-361-115,mtn,prepaid,01/16/2022,500MB,-50,n/a,27,"NGN 1,379",Plateau,active,1
SUB600023,Bisi Bello,(473) 178-1080,Airtel,POSTPAID,08-May-2021,-,-50,1656,470,"₦15,745.30",Enugu,BLACKLISTED,FALSE
SUB600302,Femi Yusuf,(914) 630-3161,AIRTEL,POSTPAID,14/03/2026,?,-50,-10,213,"N3,365",Edo,Suspended,0
SUB600397,Amaka Afolabi,(775) 170-1660,mtn,prepaid,12-Jun-2022,5GB,-50,1546,205,"₦5,863.21",Plateau,BLACKLISTED,FALSE
SUB600255,Ifeoma Okafor   ,62244472126,glo,Prepaid,06/07/2024,2GB,NIL,1665,151,"₦24,974.32",Edo,Suspended,Y
SUB600249,Amara Suleiman,234-965-047-735,MTN,Prepaid,03.09.2025,1000MB,1098.6,-10,N/A,"N19,881",Enugu,Inactive,Yes
SUB600145,Tunde Okafor,(255) 466-5905,AIRTEL,Pay As You Go,2024-07-22,2GB,99999,-10,133,"N23,829",Kano,Active,FALSE
SUB600220,ALIYU  YUSUF,00651801704,9mobile,POSTPAID,30 July 2018,1GB,-50,-10,?,  ,Anambra,Inactive,Yes
SUB600420,Amara Okafor,08588770435,9mobile,prepaid,26-Aug-2020,1GB,99999,-10,35,20831.33 naira,Oyo State,active,No
SUB600148,  obinna abubakar,0281 685 0542,mtn,POSTPAID,19.10.2018,5GB,99999,2584,null,5629.87,Ogun,Inactive,0
SUB600383,Kemi Ajayi   ,+234461849926,Glo,prepaid,2023-04-18,No active bundle,806.1,-10,196,"N3,106",Ogun,Active,Yes
SUB600451,Chioma Yusuf,(990) 881-1729,glo,Pay As You Go,16-Mar-2024,2 GB,99999,540,349,"NGN 2,596",Anambra,Suspended,no
SUB600258,Grace Lawal,75692459375,glo,Postpaid,2019-04-11,5 gb,99999,-10,248,20824.22 naira,Anambra,Active ,TRUE
SUB600201,Kemi Adeyemi,0549 733 4843,Airtel,Pay As You Go,2019-07-06,500MB,-50,n/a,230,"NGN 6,952",Lagos,BLACKLISTED,1
SUB600389,EMEKA AFOLABI,55794155216,Airtel,PAYG,2023-01-02,5GB,-50,N/A,218,Unknown,Rivers,Active,FALSE
SUB600174,Ngozi Ogundimu,+234473121727,glo,Pay As You Go,04/06/2021,5GB,4009.0,-10,20,"₦12,447.23",Kaduna,Inactive,Yes
SUB600115,Amara Lawal,0000000000,MTN,Prepaid,06/19/2019,2 GB,99999,1752,465,"₦16,424.93",Imo,Suspended,No
SUB600178,Amaka Okonkwo,0691 251 7785,Airtel,Prepaid,not set,5 gb,99999,2480,461,1456.4,Anambra,Active,No
SUB600069,  FATIMA AJAYI,43634957885,glo,prepaid,2023/01/02,2GB,-50,1228,474,"NGN 4,765",Kano,Inactive,N
SUB600038,Tunde Nnamdi,56342160733,Airtel,Prepaid,2022-12-09,500MB,7283.5,-10,439,"N23,876",Imo,active,TRUE
SUB600456,Femi Eze,48695946368,mtn,Pay As You Go,2022-09-09,10GB,99999,-10,393,"NGN 6,157",Abuja,active,false
SUB600394,Zainab Afolabi,(375) 628-9002,9mobile,Pay As You Go,05/26/2023,NIL,99999,2366,120,"5,480.35 ",Kaduna,BLACKLISTED,0
SUB600017,Sadiq Balogun,invalid,Airtel,Pay As You Go,2021-02-15,1GB,-50,-10,261,"₦22,537.87",Lagos,Active,TRUE
SUB600349,Chinedu  Ajayi,234-879-374-160,Airtel,Postpaid,2020/08/10,1GB,6071.5,-10,162,19132.10 naira,Enugu,Active ,yes
SUB600274,Yusuf Okafor,(341) 252-8669,AIRTEL,PAYG,02/14/2022,1000MB,-50,NULL,173,21178.72 naira,Kano,Active ,0
SUB600314,Kunle Okeke,38657191826,9mobile,Prepaid,2019-08-06,2GB,-50,-10,460,"9,743.99 ",Akwa Ibom,BLACKLISTED,Y
SUB600352,bisi mohammed,+234686854870,mtn,PAYG,11-Nov-2022,2 GB,-50,-10,69,Unknown,Plateau,Active ,no
SUB600133,Kunle Chukwu,24451076226,AIRTEL,prepaid,2024/11/18,1GB,99999,1603,162,"NGN 24,205",Ogun,Active,0
SUB600232,Blessing Bello,0013 983 7354,9mobile,Prepaid,23.12.2023,No active bundle,4724.3,-10,120,16905.33,Plateau,BLACKLISTED,0
SUB600221,NGOZI ADEYEMI,02265676618,9mobile,Postpaid,2020-01-28,No active bundle,5226.2,2344,383,"₦23,321.26",Ibadan,Active,1
SUB600044,kunle bello,234-482-366-299,MTN,PAYG,05/01/2019,No active bundle,99999,2498,325,"NGN 22,780",Enugu,Active,Y
SUB600082,Chinedu Suleiman,0877 190 6594,9mobile,PAYG,2019-07-18,500MB,nil,366,370,n/a,Imo,Active,1
SUB600458,Ifeoma Ogundimu,62137213865,9mobile,PAYG,07.01.2020,1GB,n/a,299,271,"NGN 22,654",Enugu,Active ,TRUE
SUB600410,Grace Ogundimu,+234380571983,Airtel,POSTPAID,13/02/2019,10GB,4026.9,-10,420,"NGN 19,724",Kaduna,Inactive,TRUE
SUB600236,Musa Afolabi,0048 996 4235,9mobile,prepaid,19-Oct-2025,unknown,-50,-10,279,"₦1,319.82",Delta,Active ,no
SUB600385,Blessing Eze,(835) 642-0873,glo,Prepaid,2022-02-08,5GB,7286.8,249,203,13545.51 naira,ABUJA,active,TRUE
SUB600453,Yusuf Adekunle,+234991624731,MTN,PAYG,not set,2 GB,NIL,933,132,894.90 ,Akwa Ibom,Suspended,TRUE
SUB600239,Chidi Eze,234-062-312-038,glo,Postpaid,2018/02/28,10GB,99999,-10,495,"₦23,381.58",Delta,active,1
SUB600368,Musa Okonkwo,96520744666,AIRTEL,Prepaid,18.09.2025,1000MB,-50,1504,42,?,Ogun,BLACKLISTED,0
SUB600427,Tunde Okonkwo,24508821009,Airtel,Postpaid,13/01/2018,5GB,99999,580,219,"NGN 4,849",Abuja,BLACKLISTED,no
SUB600016,Yusuf Olawale,+234171822782,Glo,Postpaid,12/04/2018,1000MB,-50,911,235,"20,603.14 ",Kano,active,no
SUB600164,  Adaeze Bello,0722 170 4303,glo,Postpaid,2025/06/14,500MB,99999,2471,493,n/a,Plateau,BLACKLISTED,No
SUB600279,grace yusuf   ,0978 819 1485,mtn,Pay As You Go,2020-08-19,1GB,99999,-10,165,"₦20,304.00",Edo,Inactive,no
SUB600199,Grace Adeyemi,26368970283,Glo,Postpaid,12/10/2019,10GB,99999,nil,141,"NGN 10,197",Lagos,Active ,0
SUB600398,Amaka Ogundimu,+234019948837,MTN,prepaid,11/13/2018,1.5GB,99999,null,83,"N2,100",Cross River,Suspended,N
SUB600298,Halima Afolabi,234-805-526-965,Glo,prepaid,17.03.2019,NIL,-50,735,23,"NGN 21,981",Ogun,Active ,0
SUB600022,blessing balogun   ,65133387262,Airtel,Prepaid,2021-01-29,5 gb,5708.4,-10,299,978.53,Delta,Active,no
SUB600034,SEGUN AFOLABI,(164) 005-2427,MTN,POSTPAID,2023-04-10,500MB,99999,2107,277,1828.00 naira,Ogun,active,true
SUB600230,Segun Yusuf,(866) 882-6343,MTN,POSTPAID,29/11/2024,null,2658.7,-10,485,"N21,597",Imo,Suspended,1
SUB600283,Fatima Okonkwo,0254 494 8126,glo,Prepaid,,500MB,2181.7,-10,453,23607.47,Rivers,BLACKLISTED,true
SUB600337,Bisi Yusuf,0251 355 2157,glo,Pay As You Go,04/02/2018,2 GB,-50,-10,370,12123.74 naira,Cross River,BLACKLISTED,0
SUB600396,  sadiq okonkwo,0386 631 7797,AIRTEL,Postpaid,2024/08/29,1.5GB,-50,1818,  ,1286.92,Anambra,Inactive,Yes
SUB600217,Halima Eze,(398) 225-8713,9mobile,PAYG,00/00/0000,5 gb,3612.9,-10,452,20776.71 naira,Enugu,Suspended,FALSE
SUB600010,Grace Suleiman,+234388496965,9mobile,POSTPAID,27.07.2018,1000MB,6688.2,-10,401,"N7,489",Plateau,BLACKLISTED,true
SUB600282,Fatima Chukwu,09233095849,AIRTEL,Postpaid,2023-11-10,1.5GB,3699.9,2462,58,1178.75,Ibadan,active,true
