EmployeeID,FullName,Department,JobTitle,Gender,DateOfBirth,HireDate,Email,PhoneNumber,MaritalStatus,EmploymentType,MonthlySalary,State,YearsOfExperience,Active
PTH-2253,BISI SULEIMAN,Sales Dept,Coordinator,m,1993/02/12,03 January 2022,bisi.suleiman@prodigytraininghub.com,+234610158199,single,FT,"NGN 587,616",Akwa Ibom,0,1
PTH-2027,NGOZI LAWAL,Sales,Supervisor,f,08/02/1983,16/03/2021,ngozi.lawal@yahoo.com,+234081219136,NULL,Part-Time,"N861,107",Enugu,2,1
PTH-2085,Ifeoma Lawal,Marketing,Coordinator,female,1981-09-25,17/06/2018,ifeoma.lawal@yahoo.com,05125674680,single,FT,"NGN 482,802",kano,2,true
PTH-2281,Fatima Chukwu,SALES,Director,Female,15-Sep-1984,07-Mar-2016,fatima.chukwu@prodigytraininghub.com,(517) 133-9596,Single ,FT,"658,426.04 ",Ogun,12,0
PTH-2337,Wale Chukwu,customer service,Director,M,2002-12-28,13 May 2021,wale.chukwu@gmail.com,25135521570,Widowed,Part-Time,-,Akwa Ibom,0,No
PTH-2075,Wale Balogun,Sales Dept,Specialist,Male,10/21/1982,08.08.2018,wale.balogun@prodigytraininghub.com,0000000000,SINGLE,Full time,"803,405.67 ",Lag,0,no
PTH-2195,Obinna Mohammed,i.t,Coordinator,female,26-Jul-1973,01/11/2019,obinna.mohammed@prodigytraininghub.com,,single,full time,850718.24,Kano,0,0
PTH-2292,Bola Mohammed,Sales Dept,Manager,male,20-May-1996,00/00/0000,bola.mohammed@yahoo.com,234-271-361-115,Single ,FT,"NGN 223,636",Edo,99,no
PTH-2263,Halima Lawal,IT,Officer,m,17/01/1978,07/05/2021,halima.lawal@gmail.com,05891135290,married,Full time,nil,Imo,3,1
PTH-2237,Obinna Adeyemi,Legal,Analyst,F,11/29/2000,19.10.2018,obinna.adeyemi@gmail.com,0693 785 4777,Married,FT,"₦205,793.50",Kaduna,99,true
PTH-2026,Chidi Suleiman,Finance,Executive,f,22 August 1978,02 February 2023,chidi.suleiman@yahoo.com,+234980500978,single,Contract,"NGN 433,414",Plateau,99,Yes
PTH-2162,Bisi Bello,human resources,Officer,F,27/12/2005,10 July 2025,bisi.bello@gmail.com,,Married,FT,"N619,978",Plateau,5,No
PTH-2196,Ifeoma Nwosu,Legal,Director,m,1984/07/29,18 September 2022,ifeoma.nwosu@yahoo.com,04705516940,Married,Full-Time,"1,050,787.89 ",Kano,8,Yes
PTH-2193,Aliyu Yusuf,Human Resources,Coordinator,F,13 October 1980,06.09.2019,aliyu.yusuf@prodigytraininghub.com,52398680002,Divorced,Contract,"N721,646",Ogun,1,TRUE
PTH-2304,Chioma Bello,Ops,Manager,M,11/20/2006,2018/02/28,chioma.bello@prodigytraininghub.com,(588) 425-2410,SINGLE,PT,"NGN 468,228",abuja,8,false
PTH-2056,Chioma Nnamdi,Legal,Executive,M,07/07/2004,06.03.2020,chioma.nnamdi@gmail.com,(706) 562-7298,Married,Contract,"NGN 395,584",Imo,99,1
PTH-2200,Tobi Okeke,marketing,--,M,1976-07-09,2015/05/31,tobi.okeke@yahoo.com,+234578652785,SINGLE,Contract Staff,null,Kaduna,5,No
PTH-2296,Aliyu Lawal,IT,Officer,Male,1992-10-29,23 February 2022,aliyu.lawal@yahoo.com,(899) 940-4389,Divorced,Full time,"N367,040",Oyo,99,true
PTH-2201,Obinna Mohammed,customer service,Manager,Female,1994/09/10,16.06.2024,obinna.mohammed@yahoo.com,234-497-334-843,single,Contract Staff,152716.97,Delta,99,0
PTH-2300,Grace Nwosu,Marketing,Executive,male,1996-11-23,2018/07/26,grace.nwosu@gmail.com,(684) 866-6188,SINGLE,Part-Time,561084.98,Cross River,0,1
PTH-2208,Amaka Abubakar,Legal,Specialist,f,14/12/1985,2021/11/29,null,06724004991,SINGLE,full time,"₦429,933.53",Imo,3,1
PTH-2175,Amara Afolabi,Legal,Supervisor,f,06.08.2003,2022-01-28,amara.afolabi@gmail.com,05518844225,Single,Contract,"NGN 792,153",Delta,unknown,0
PTH-2229,Ifeoma Afolabi,Finance,Intern,F,31/03/1996,13/04/2020,ifeoma.afolabi@gmail.com,0462 873 3427,Single ,Contract Staff,"NGN 622,537",Oyo,1,TRUE
PTH-2232,Grace Balogun,Legal,Specialist,F,31/05/1998,2022-11-23,grace.balogun@yahoo.com,01398373540,married,Part-Time,"NGN 81,527",Delta,-1,Y
PTH-2169,Ifeoma Okeke,Marketing,Specialist,F,02/24/1984,00/00/0000,ifeoma.okeke@gmail.com,invalid,Single ,Contract,631421.22 naira,Abuja,12,Yes
PTH-2006,Wale Okafor,Procurement,Analyst,male,12/05/2004,10/09/2025,wale.okafor@prodigytraininghub.com,(103) 413-1647,Divorced,PT,Unknown,Akwa Ibom,8,TRUE
PTH-2316,BLESSING YUSUF,i.t,Coordinator,F,04.07.1973,2020-09-09,blessing.yusuf@gmail.com,0557 431 3291,Single ,PT,"₦557,388.59",Enugu,8,yes
PTH-2134,Sadiq Yusuf,Finance,Intern,male,08/12/1985,29.06.2017,sadiq.yusuf@yahoo.com,08388516060,SINGLE,Part-Time,"330,127.28 ",Enugu,99,Yes
PTH-2131,Yusuf Ajayi,Sales Dept,Supervisor,male,2010/11/21,25-Apr-2020,yusuf.ajayi@gmail.com,+234438156149,SINGLE,FT,"N228,192",Lagos,5,FALSE
PTH-2120,Musa Nwosu,legal,Officer,female,N/A,06/05/2015,musa.nwosu@prodigytraininghub.com,01249985698,married,FT,"N142,908",Kaduna,3,Y
PTH-2205,Ifeoma Nwosu,Human Resources,Manager,Female,25/07/1988,17 January 2018,ifeoma.nwosu@prodigytraininghub.com,93308330165,single,Contract,177213.52,Abuja,99,Y
PTH-2297,Amaka Suleiman,human resources,Intern,F,08/25/1980,2015-08-23,amaka.suleiman@prodigytraininghub.com,0364 037 6137,married,Contract Staff,"N647,961",Enugu,5,0
PTH-2282,Yusuf Mohammed,Legal,Coordinator,Female,29-Aug-2013,2023/03/17,yusuf.mohammed@prodigytraininghub.com,09233095849,Single ,Contract Staff,"N546,953",Lagos,0,no
PTH-2081,aliyu suleiman,Operations,  ,m,18/03/2000,11/03/2020,aliyu.suleiman@prodigytraininghub.com,49947174648,Single,Full-Time,885385.25 naira,Kano,-1,yes
PTH-2287,Ifeoma Olawale   ,Customer Service,Executive,m,1984-05-10,09-Feb-2016,ifeoma.olawale@yahoo.com,0637 454 5892,Widowed,Full-Time,"NGN 239,556",Ogun,0,TRUE
PTH-2258,Amaka Eze,Marketing,Specialist,m,12.12.1988,2023-01-17,amaka.eze@gmail.com,75692459375,Divorced,Contract,"₦1,061,972.57",Kano,5,No
PTH-2324,Fatima Mohammed,Finance,unknown,Female,1987/04/07,27.03.2023,fatima.mohammed@gmail.com,02447209993,SINGLE,full time,"NGN 409,127",Rivers,0,false
PTH-2133,Amara Okeke,customer service,Executive,f,1987/06/02,2019-07-16,amara.okeke@prodigytraininghub.com,+234445107622,n/a,Full time,905139.95,Anambra,1,no
PTH-2095,Femi Nnamdi,Legal,Director,female,01.07.1991,2021/09/15,femi.nnamdi@prodigytraininghub.com,17187026217,married,Full-Time,"N732,113",Edo,8,no
PTH-2070,HALIMA ADEYEMI,i.t,Specialist,female,09 January 1997,2017-03-26,halima.adeyemi@yahoo.com,(685) 574-4431,SINGLE,Full time,650217.22 naira,Lagos,8,false
PTH-2111,Tunde Okeke,sales,Executive,Male,,15-Feb-2019,tunde.okeke@gmail.com,07586926179,Single ,full time,365730.01 naira,Plateau,5,No
PTH-2226,GRACE  AJAYI   ,sales,Supervisor,f,06/26/1974,2016-06-30,grace.ajayi@yahoo.com,+234284395995,Single,PT,"N965,979",Abuja,3,Yes
PTH-2305,   Femi Okafor,Customer Service,Intern,m,05.09.1989,08.05.2017,femi.okafor@yahoo.com,06481491778,Single,Contract,583968.57,Ogun,8,N
PTH-2210,Musa Nwosu,Legal,Director,F,28 June 1996,30-Jun-2019,musa.nwosu@yahoo.com,+234527420549,Divorced,Part-Time,543054.93,Plateau,12,FALSE
PTH-2335,chinedu ajayi,Human Resources,Analyst,female,05/04/2005,07/19/2018,--,+234392644220,Single ,Part-Time,"₦565,662.39",Plateau,3,0
PTH-2266,Tobi Lawal,HR,Manager,Male,24-Aug-1990,2015/11/29,tobi.lawal@yahoo.com,+234071461125,Widowed,Full time,"NGN 1,010,383",Lagos,99,1
PTH-2156,Musa Balogun,Legal,Officer,F,1974/11/19,09/03/2021,musa.balogun@prodigytraininghub.com,(361) 530-5152,Single ,full time,276862.58,Anambra,99,Y
PTH-2079,Ifeoma Nnamdi,Sales,Coordinator,m,28/02/1996,2023/01/15,ifeoma.nnamdi@gmail.com,07403447134,Widowed,Full-Time,627487.32 naira,Plateau,0,Yes
PTH-2165,Grace Lawal,Sales Dept,Specialist,Male,13 September 2004,08/09/2025,grace.lawal@yahoo.com,N/A,Single,Part-Time,998656.18,Kaduna,8,N
PTH-2243,Fatima Mohammed,human resources,Analyst,f,01/03/1980,19/09/2022,fatima.mohammed@yahoo.com,01567933410,null,Full-Time,424319.72,Cross River,0,N
PTH-2025,Fatima Balogun,Operations,Coordinator,Male,06/16/1970,03/26/2021,fatima.balogun@gmail.com,(647) 468-7234,married,Contract Staff,"NGN 658,623",Delta,3,N
PTH-2112,  Adaeze Okonkwo,Marketing,Supervisor,f,N/A,04.05.2016,adaeze.okonkwo@gmail.com,234-053-773-515,SINGLE,full time,834124.8,Anambra,2,1
PTH-2048,Segun Afolabi,Sales Dept,Director,Male,unknown date,01.06.2017,segun.afolabi@prodigytraininghub.com,01769367632,Single,FT,"₦653,827.86",Enugu,99,TRUE
PTH-2272,Amara  Nwosu   ,Legal,Director,f,18 November 1970,2020-04-15,amara.nwosu@prodigytraininghub.com,(478) 596-9691,SINGLE,Full-Time,1042972.02 naira,Enugu,5,yes
PTH-2048,Segun Afolabi,Sales Dept,Director,Male,unknown date,01.06.2017,segun.afolabi@prodigytraininghub.com,01769367632,Single,FT,"₦653,827.86",Enugu,99,TRUE
PTH-2119,Tobi Nwosu   ,Sales Dept,Director,M,28 February 1977,2025/12/03,tobi.nwosu@yahoo.com,76617711592,married,Contract,"N192,150",Kano,12,Y
PTH-2103,Emeka Bello,i.t,Supervisor,m,2001/11/29,22.08.2016,emeka.bello@prodigytraininghub.com,40640909743,married,PT,"NGN 440,748",Lagos,0,0
PTH-2238,ALIYU CHUKWU,Marketing,Executive,f,20-Aug-1976,2019-06-17,aliyu.chukwu@prodigytraininghub.com,0522 872 8080,Single ,Part-Time,"₦881,879.43",Oyo State,0,FALSE
PTH-2319,Tobi Okonkwo,i.t,Analyst,F,02/05/1981,2017-11-07,tobi.okonkwo@yahoo.com,21356804420,Single ,FT,754407.25,Imo,0,FALSE
PTH-2159,Yusuf Nwosu,Operations,Analyst,m,2009/07/26,2020/08/17,yusuf.nwosu@gmail.com,03697117980,,Contract,"N235,644",Rivers,1,yes
PTH-2062,Aliyu Okonkwo,Human Resources,-,m,01.01.1990,09/06/2018,aliyu.okonkwo@yahoo.com,96631931491,Divorced,Contract,"754,936.22 ",Edo,N/A,N
PTH-2060,Amaka Ogundimu,Procurement,Officer,Female,29-Jun-2006,N/A,amaka.ogundimu@prodigytraininghub.com,234-923-271-937,single,PT,"NGN 799,931",Cross River,2,Yes
PTH-2089,Ifeoma Nnamdi,marketing,Coordinator,Female,2008-06-26,06 May 2021,-,N/A,Divorced,FT,?,Kano,8,TRUE
PTH-2010,FATIMA YUSUF   ,PROCUREMENT,Coordinator,M,not set,06/04/2022,fatima.yusuf@prodigytraininghub.com,+234388496965,Single ,full time,"N625,072",Lagos,8,FALSE
PTH-2274,Sadiq Okonkwo,marketing,Analyst,M,03/10/1991,05/12/2023,sadiq.okonkwo@gmail.com,+234412528669,Widowed,Full-Time,"NGN 975,726",oyo,1,TRUE
PTH-2241,Segun Adeyemi,SALES,Analyst,M,26.10.1988,19.01.2019,segun.adeyemi@yahoo.com,00848408621,?,Contract Staff,"792,596.79 ",LAGOS,5,1
PTH-2105,Ifeoma Yusuf,customer service,Officer,male,20.11.2000,2017/04/08,ifeoma.yusuf@prodigytraininghub.com,0000000000,Married,full time,1098536.08 naira,Delta,-,No
PTH-2239,Wale Adekunle,Customer Service,Officer,m,19-Apr-1970,unknown date,wale.adekunle@yahoo.com,0006 231 2038,,Contract,"NGN 538,596",Edo,12,true
PTH-2051,Obinna Ogundimu,Finance,Coordinator,female,2012/09/02,26-Dec-2016,obinna.ogundimu@prodigytraininghub.com,234-277-434-873,Single,Part-Time,"NGN 945,590",Delta,-1,yes
PTH-2144,Tunde Adeyemi,IT,Officer,m,01 June 1993,21/02/2021,tunde.adeyemi@gmail.com,+234182037788,married,FT,"₦498,757.20",Edo,0,0
PTH-2318,Wale Eze,Finance,Intern,f,2009-09-12,2019/08/02,wale.eze@gmail.com,+234741124903,-,Full-Time,"N123,486",Edo,1,0
PTH-2315,  chidi olawale,Ops,Executive,m,01/24/1971,02/06/2023,chidi.olawale@prodigytraininghub.com,+234990623445,Single,Contract,n/a,Ogun,99,N
PTH-2345,Kemi Chukwu,Sales Dept,Intern,M,,2018-05-31,kemi.chukwu@prodigytraininghub.com,(310) 324-1714,Married,Full time,null,Abuja,99,Y
PTH-2164,Zainab Okonkwo,Finance,Manager,Male,22.04.1980,22 May 2023,null,07221704303,Single,FT,"N580,186",Anambra,3,FALSE
PTH-2166,Wale Balogun,Procurement,Specialist,female,21.01.2003,04 March 2015,wale.balogun@prodigytraininghub.com,00541566765,single,Part-Time,"N868,057",Anambra,3,No
PTH-2017,Fatima Nnamdi,Marketing,Officer,male,1989/10/26,19/03/2020,fatima.nnamdi@prodigytraininghub.com,+234963834657,NULL,PT,"N575,219",Cross River,0,true
PTH-2049,Bola Bello,PROCUREMENT,Manager,Female,20 December 1999,06-May-2024,bola.bello@yahoo.com,0163 287 0831,Single,Contract,"982,944.21 ",Ogun,12,no
PTH-2067,Ifeoma Suleiman,customer service,Analyst,M,31-Aug-1998,2021-12-06,ifeoma.suleiman@yahoo.com,234-545-494-808,married,Contract,113920.21,Anambra,99,N
PTH-2012,Tunde Eze,FINANCE,Supervisor,female,2009/05/23,12 July 2025,tunde.eze@gmail.com,06697848018,Married,Full time,"₦230,406.05",Kaduna,1,yes
PTH-2242,Fatima Mohammed,Marketing,Specialist,Female,09/11/2010,04/30/2025,fatima.mohammed@prodigytraininghub.com,234-823-398-454,Divorced,Contract Staff,"₦262,592.64",Oyo,2,false
PTH-2154,Chidi Chukwu   ,i.t,Supervisor,M,27 July 2003,10.05.2017,chidi.chukwu@yahoo.com,234-181-412-478,Married,full time,910402.14,Delta,5,true
PTH-2236,Tobi Olawale,SALES,Intern,M,26/03/1995,20-Apr-2017,tobi.olawale@gmail.com,234-489-964-235,NIL,Contract Staff,"N871,991",Oyo State,1,false
PTH-2030,Emeka Okeke,MARKETING,Supervisor,M,1981/03/26,2021-10-08,emeka.okeke@prodigytraininghub.com,0107 991 1838,Married,FT,"NGN 108,969",Edo,0,no
PTH-2093,Grace Lawal,MARKETING,Analyst,Male,2012-05-10,27-Oct-2017,grace.lawal@gmail.com,86753396360,Divorced,full time,356180.88 naira,Rivers,5,false
PTH-2203,Chidi Okeke,FINANCE,Officer,female,13-Dec-1984,10.09.2022,chidi.okeke@prodigytraininghub.com,86652404157,SINGLE,Contract Staff,462324.98 naira,Akwa Ibom,8,Yes
PTH-2065,  Kunle Suleiman,Marketing,Director,Female,1995-09-03,19-Mar-2021,kunle.suleiman@gmail.com,(877) 694-5314,Divorced,Contract,493180.51 naira,Imo,-1,TRUE
PTH-2211,Blessing Okonkwo,Legal,Intern,Male,25.11.1994,25 August 2018,blessing.okonkwo@yahoo.com,29668516122,Divorced,Full time,"NGN 189,372",Ogun,12,true
PTH-2034,Zainab Bello,CUSTOMER SERVICE,Specialist,female,10.04.1984,28/06/2015,zainab.bello@yahoo.com,N/A,Single ,Contract,"₦914,069.77",Cross River,3,false
PTH-2212,Tobi Yusuf,Marketing,Intern,Male,01 August 1995,05/12/2018,Unknown,07530463745,married,Full time,"969,668.26 ",KANO,8,false
PTH-2273,Musa Chukwu,Customer Service,Officer,F,27-Mar-1991,12/20/2024,musa.chukwu@yahoo.com,(579) 249-9125,SINGLE,Full time,210973.63,Enugu,8,true
PTH-2348,Bola Okonkwo,Legal,Specialist,m,11/19/1993,09/05/2022,bola.okonkwo@yahoo.com,(115) 869-3806,SINGLE,Full time,"NGN 1,054,686",kano,99,N
PTH-2247,Amara Okeke,Legal,Director,male,22-Apr-2004,2018-02-14,amara.okeke@gmail.com,+234142939685,,Part-Time,879113.06 naira,Lagos,8,no
PTH-2113,Amaka Okafor,Sales,Director,male,17 April 1994,12-Aug-2017,amaka.okafor@gmail.com,+234064317139,NULL,FT,467994.54,Kaduna,12,No
PTH-2188,Funmilayo Balogun,Operations,Manager,male,09 September 1987,2023/10/26,funmilayo.balogun@prodigytraininghub.com,+234877470168,SINGLE,full time,"N245,774",Plateau,99,No
PTH-2088,Halima Adekunle,procurement,Director,m,10/23/1980,09/01/2016,halima.adekunle@gmail.com,24771093248,--,FT,"N294,964",Lagos,1,1
PTH-2328,Chidi Nwosu,Sales,Officer,m,25.02.2002,14.04.2024,chidi.nwosu@prodigytraininghub.com,234-785-932-133,Single ,Contract Staff,315886.66,Enugu,0,yes
PTH-2224,Chidi Adeyemi,Sales Dept,Specialist,M,07/07/1972,21/10/2018,chidi.adeyemi@yahoo.com,0310 690 3311,Single,Contract,"₦458,244.84",Edo,-1,No
PTH-2102,Aliyu Okonkwo,Marketing,Executive,female,18 November 2001,2024-08-27,aliyu.okonkwo@yahoo.com,(436) 713-6959,Married,FT,763493.22,Akwa Ibom,1,Y
PTH-2003,Tobi Adekunle,Marketing,Analyst,M,08/10/1986,28-Oct-2016,tobi.adekunle@gmail.com,(637) 940-2654,Widowed,Full-Time,"NGN 477,903",Lagos,8,N
PTH-2042,Ngozi Okeke,Sales Dept,Intern,Male,04/17/2005,27 July 2015,ngozi.okeke@gmail.com,06934060883,nil,full time,"N453,530",Lagos,1,TRUE
PTH-2129,Sadiq Chukwu,Customer Service,Officer,m,25.09.1991,23 April 2023,sadiq.chukwu@prodigytraininghub.com,+234752545991,Single,PT,"₦930,632.49",Kaduna,2,0
PTH-2045,Kemi Chukwu,Finance,Coordinator,Female,22/02/1989,2018-07-04,kemi.chukwu@prodigytraininghub.com,(680) 443-6995,married,FT,"NGN 430,026",Edo,8,false
PTH-2009,Wale Balogun,Information Technology,Analyst,Male,02.10.1990,02/14/2018,wale.balogun@gmail.com,0413 953 7672,Single,Full-Time,nil,Cross River,12,false
PTH-2251,Kemi Okafor,Customer Service,Intern,m,02/02/1993,15/05/2021,kemi.okafor@yahoo.com,(426) 265-5110,married,Full time,"NGN 1,089,579",Enugu,2,No
PTH-2259,Bisi Mohammed,Ops,Director,female,01.03.1993,2017-10-19,bisi.mohammed@prodigytraininghub.com,234-654-793-564,-,Contract,"NGN 879,192",Enugu,,TRUE
PTH-2186,AMARA OKEKE   ,i.t,Executive,male,02-Nov-1994,04/22/2025,-,+234537147321,SINGLE,Part-Time,"N652,624",Ibadan,0,no
PTH-2333,Yusuf Afolabi,Procurement,Executive,male,23-Apr-1986,07-May-2018,yusuf.afolabi@yahoo.com,234-921-851-569,Widowed,Full-Time,"NGN 1,162,229",Kano,1,N
PTH-2151,Bisi Chukwu,Information Technology,Coordinator,male,11/18/2010,12/04/2015,bisi.chukwu@prodigytraininghub.com,(270) 653-7947,Single,full time,"N658,892",Cross River,2,1
PTH-2114,Chioma Balogun,FINANCE,Officer,male,28.12.1975,01.09.2020,chioma.balogun@yahoo.com,+234532931839,Married,Contract,793681.56,Ogun,0,Y
PTH-2286,Aliyu Okonkwo,Legal,Intern,Female,22/11/2011,2024-08-31,aliyu.okonkwo@prodigytraininghub.com,+234590175186,single,Contract,"₦106,054.84",Kaduna,,yes
PTH-2227,Halima Eze,Procurement,Specialist,f,1978/08/11,23/08/2017,halima.eze@prodigytraininghub.com,0428 364 4089,SINGLE,Full-Time,"₦211,608.76",Kaduna,3,yes
PTH-2150,Ifeoma Abubakar,procurement,Supervisor,f,15.02.1974,2019/07/11,ifeoma.abubakar@prodigytraininghub.com,+234059296222,Widowed,Contract Staff,"NGN 471,331",Cross River,0,TRUE
PTH-2257,Femi Nwosu,marketing,Director,male,08.06.2006,2025-02-16,femi.nwosu@prodigytraininghub.com,0371 240 6596,married,FT,847478.14,Oyo,12,1
PTH-2260,Fatima Adekunle,SALES,Manager,m,12/28/1973,2025-03-03,fatima.adekunle@prodigytraininghub.com,51939828073,Single ,PT,"1,171,022.88 ",Delta,0,N
PTH-2271,Amaka Okafor,Sales Dept,Manager,M,16-Aug-1970,07.07.2016,amaka.okafor@yahoo.com,0419 182 5537,Divorced,Full-Time,"₦293,698.33",Imo,1,0
PTH-2121,Grace Olawale,customer service,Officer,male,1998/09/04,not set,grace.olawale@gmail.com,(789) 611-8367,Single,Contract Staff,1155941.55,Kano,0,Y
PTH-2236,Tobi Olawale,SALES,Intern,M,26/03/1995,20-Apr-2017,tobi.olawale@gmail.com,234-489-964-235,NIL,Contract Staff,"N871,991",Oyo State,1,false
PTH-2039,Sadiq Olawale,Legal,Analyst,F,2006/03/06,06-Nov-2025,sadiq.olawale@yahoo.com,07543303654,single,PT,"NGN 410,558",Plateau,3,true
PTH-2107,Kunle Mohammed,customer service,Manager,male,17 March 2013,2018/12/10,kunle.mohammed@gmail.com,+234123685160,SINGLE,full time,560915.39 naira,Ogun,0,Yes
PTH-2146,Chidi Nnamdi,Ops,Executive,male,1997/01/10,2019/08/18,chidi.nnamdi@yahoo.com,(518) 644-9251,married,Contract Staff,"N864,016",Ogun,8,TRUE
PTH-2004,IFEOMA OGUNDIMU,Marketing,Director,M,27/05/1999,20.05.2017,ifeoma.ogundimu@prodigytraininghub.com,35116155940,Single ,FT,"NGN 639,139",Delta,99,TRUE
