StudentID,StudentName,Class,Gender,DateOfBirth,Subject,CA_Score,ExamScore,TotalScore,Grade,GuardianName,GuardianRelationship,GuardianPhone,State,TermSession,FeesPaid
STU3227,ADAEZE MOHAMMED,JSS1,M,2013/07/10,Computer Studies,32,88,88,Distinction,Bisi Okonkwo,Guardian,42836440892,Plateau,First Term 2025,No
STU3203,  ZAINAB NWOSU,Jss 1,F,10/11/2015,Chemistry,40,23,23,A,  Grace Adekunle,Guardian,(866) 524-0415,KANO,"2025/2026, Term 1",0
STU3208,Chidi Balogun,Jss 1,Male,2016-06-19,Biology,19,105,100,B,Segun Suleiman,Guardian,+234672400499,Anambra,2025/2026 First Term,1
STU3363,Ibrahim Ajayi,SS1,Female,21/02/2014,Agricultural Science,21,93,unknown,a,FUNMILAYO OKAFOR   ,MOTHER,invalid,Delta,2025/2026 First Term,0
STU3185,Funmilayo Ogundimu,SS1,F,2011-08-21,Mathematics,10,150,100,Pass,GRACE CHUKWU,Aunt,0592 555 6258,Anambra,"2025/2026, Term 1",Yes
STU3337,Chinedu Okeke,JSS3,M,2007/11/12,Physics,0,97,97,A,  Musa Okonkwo,Uncle,234-513-552-157,Imo,First Term 2025,false
STU3165,  kunle balogun,SS3,M,19/07/2009,Chemistry,31,105,--,E,Musa Nwosu,Uncle,+234486874034,Plateau,"2025/2026, Term 1",1
STU3001,TUNDE OKAFOR,JSS1,Male,03/04/2014,Further Mathematics,1,31,31,a,Emeka Ogundimu   ,father,234-043-321-819,Rivers State,2025/2026 First Term,No
STU3239,GRACE ADEYEMI,SS3,Male,24.02.2015,Biology,18,105,100,a,  EMEKA EZE,Uncle,0006 231 2038,Enugu,2025/2026 First Term,N
STU3202,Adaeze Ajayi,SS2,Male,17/11/2008,Further Mathematics,4,150,100,E,  KEMI ADEKUNLE,Mother,234-375-758-441,Cross River,2025-2026 1st Term,yes
STU3389,Kunle Yusuf,SS 1,Female,2009/12/02,Computer Studies,12,40,N/A,a,Kemi Suleiman   ,MOTHER,55794155216,Rivers,2025-2026 1st Term,TRUE
STU3023,Obinna Olawale,SS3,M,2007/04/28,Basic Science,NULL,-5,0,Pass,Femi Nwosu,Father,0473 178 1080,Plateau,2025-2026 1st Term,yes
STU3318,Ngozi Adekunle,JSS3,F,2013-08-23,Mathematics,40,65,65,Distinction,ALIYU OGUNDIMU,Guardian,(474) 112-4903,Plateau,2025-2026 1st Term,yes
STU3112,Zainab Okonkwo,JSS3,Male,27.10.2010,Computer Studies,4,2,2,B,funmilayo yusuf,father,40537735158,Kaduna,2025-2026 1st Term,false
STU3296,Kunle Okeke,JSS3,M,05.01.2013,Basic Science,20,150,,Distinction,Wale Okeke,father,+234999404389,Lagos,2025/2026 First Term,yes
STU3044,Yusuf Ajayi,jss1,F,29-Sep-2008,Mathematics,32,-5,0,Distinction,  Obinna Nnamdi,Father,+234482366299,Cross River,2025-2026 1st Term,yes
STU3047,Bisi Lawal,ss3,M,2017/09/01,Chemistry,28,150,100,E,   amara adeyemi,Guardian,01343320037,Edo,2025/2026 First Term,FALSE
STU3273,Blessing Ajayi,JSS1,F,,Computer Studies,26,88,88,a,Femi  Balogun   ,MOTHER,0579 249 9125,Edo,2025/2026 First Term,no
STU3156,Amaka Adekunle,ss3,Male,20-Oct-2017,Civic Education,35,105,100,Fail,Kemi Suleiman,Aunt,+234615305152,Cross River,First Term 2025,0
STU3210,Sadiq Suleiman,JSS1,Female,04/10/2016,Basic Science,NIL,74,  ,A,  Ifeoma Yusuf,Father,01527420549,ABUJA,2025-2026 1st Term,No
STU3167,Zainab Ogundimu,SS3,F,27/05/2008,Further Mathematics,nil,1,1,C,Fatima Adekunle   ,Mother,0775 841 6169,Kano,2025/2026 First Term,N
STU3321,Obinna Yusuf,JSS1,F,10.05.2010,Agricultural Science,unknown,150,100,A,  Segun Okonkwo,Aunt,+234323651994,Enugu,2025/2026 First Term,0
STU3213,Halima Eze,Jss 1,Female,04/26/2008,Economics,9,150,100,C,YUSUF ADEYEMI,Aunt,0990 453 0174,Lagos,2025-2026 1st Term,Y
STU3236,Segun  Chukwu,SS1,Female,2016-05-21,Further Mathematics,4,-5,0,Fail,Funmilayo Adeyemi,Guardian,0000000000,Ogun,2025/2026 First Term,no
STU3390,Halima Bello,SS1,M,20.09.2016,Physics,37,105,100,B,Chidi Chukwu,Uncle,0674 676 2120,Plateau,2025-2026 1st Term,false
STU3234,MUSA OLAWALE,SS1,M,17-Apr-2011,Basic Science,34,150,100,A,aliyu eze,Father,46785445877,Akwa Ibom,First Term 2025,false
STU3123,Chinedu Nwosu,jss1,M,12/25/2015,Agricultural Science,33,-5,0,Fail,Tobi Chukwu,Uncle,234-711-116-152,Edo,First Term 2025,yes
STU3063,  femi eze,ss3,F,10.10.2012,Computer Studies,20,30,30,C,Obinna  Nnamdi,Uncle,+234058651850,Kano,2025/2026 First Term,Yes
STU3346,Funmilayo Eze,Jss 1,Female,2016/09/10,Geography,NIL,150,100,Fail,Bisi Okonkwo,father,07741862565,Kaduna,First Term 2025,Yes
STU3077,Amara Okonkwo,SS3,F,2017-08-21,Geography,26,150,100,Pass,emeka nwosu,Aunt,0964 990 9133,Anambra,2025-2026 1st Term,1
STU3211,Fatima Afolabi   ,SS1,Male,2016-01-09,Computer Studies,17,105,100,Fail,yusuf ogundimu   ,father,+234966851612,Lagos,2025/2026 First Term,Yes
STU3088,Zainab Abubakar,jss1,F,2012-03-05,Chemistry,9,37,?,Pass,Amara Bello,Father,234-477-109-324,Plateau,2025/2026 First Term,No
STU3159,Aliyu Lawal,Jss 1,M,18/12/2015,Biology,24,-5,0,E,yusuf suleiman,Mother,+234369711798,Enugu,First Term 2025,no
STU3229,segun mohammed   ,JSS3,Female,10/01/2014,Chemistry,5,-5,0,A,  Bisi Lawal   ,Aunt,0462 873 3427,Abuja,2025/2026 First Term,No
STU3122,Emeka Chukwu,Jss 1,M,06.05.2007,Chemistry,5,57,57,Distinction,Bisi Abubakar,Uncle,65766156545,lagos,2025-2026 1st Term,FALSE
STU3341,Ngozi Olawale,ss3,Male,22 October 2015,Agricultural Science,31,nil,100,Fail,Sadiq Balogun,Father,234-262-181-599,Kaduna,2025/2026 First Term,No
STU3151,Bisi  Okonkwo,jss1,F,14/03/2016,Economics,32,-5,0,C,Obinna Ajayi,Father,+234706537947,Imo,2025/2026 First Term,true
STU3368,Tobi Bello,ss3,M,07-Feb-2016,Physics,20,-5,0,E,Ngozi Afolabi   ,father,+234652074466,Enugu,"2025/2026, Term 1",No
STU3261,Segun Afolabi,jss1,F,25.12.2009,Computer Studies,23,85,85,Fail,bola balogun,Uncle,74167243426,Imo,2025-2026 1st Term,FALSE
STU3120,Ifeoma Olawale,SS3,Male,10.06.2011,Further Mathematics,17,105,100,D,Ngozi Yusuf,Uncle,01249985698,kano,"2025/2026, Term 1",TRUE
STU3380,Bola Okeke,JSS1,Female,08/08/2009,Mathematics,28,-,100,D,Ibrahim  Mohammed   ,Guardian,+234033230982,Delta,First Term 2025,N
STU3279,Tunde Eze,SS1,Female,2009-02-27,Mathematics,30,76,76,A,adaeze mohammed,Guardian,(978) 819-1485,Cross River,2025-2026 1st Term,Y
STU3116,Zainab Suleiman,SS2,Female,04-Aug-2011,Further Mathematics,31,-5,0,E,  Amaka Ajayi,Father,01020539502,Oyo,"2025/2026, Term 1",0
STU3290,Zainab Lawal,SS 1,F,04/03/2016,Basic Science,28,-5,0,Fail,Funmilayo Okeke,Guardian,0520 643 6110,Kaduna,First Term 2025,1
STU3104,Wale Afolabi,SS3,M,03 January 2016,Civic Education,32,105,100,Fail,ADAEZE BELLO,Guardian,0953 394 2104,LAGOS,First Term 2025,false
STU3031,Chidi Yusuf,Jss 1,F,04 March 2010,Economics,24,105,100,D,amara bello   ,father,0251 354 2784,Enugu,2025-2026 1st Term,0
STU3171,   Tobi Lawal,JSS3,Female,11/16/2012,Biology,12,-5,0,Pass,Halima Ajayi,Father,N/A,Edo,"2025/2026, Term 1",No
STU3334,Wale Adekunle,JSS3,Female,20-Feb-2011,Further Mathematics,30,9,9,E,  ngozi balogun,Uncle,54522675289,Enugu,First Term 2025,Y
STU3346,Funmilayo Eze,Jss 1,Female,2016/09/10,Geography,NIL,150,100,Fail,Bisi Okonkwo,father,07741862565,Kaduna,First Term 2025,Yes
STU3351,Zainab Suleiman,JSS3,F,06.12.2013,English Language,15,73,73,D,Chidi Bello,father,,ABUJA,2025/2026 First Term,No
STU3117,Tobi Adekunle,Jss 1,M,2017-01-13,English Language,9,105,-,Fail,  aliyu okeke,Aunt,0026 811 7758,Ogun,2025-2026 1st Term,0
STU3359,Halima Nnamdi,SS3,F,2008-05-16,Civic Education,5,105,100,D,ZAINAB BALOGUN,Uncle,+234486289023,Delta,2025/2026 First Term,no
STU3312,Zainab Ajayi,JSS2,F,2010/05/24,Basic Science,40,105,100,B,Tunde Lawal,Aunt,06038505064,Plateau,2025/2026 First Term,FALSE
STU3058,Tobi Ogundimu,SS 1,M,2008/09/20,Computer Studies,n/a,47,47,Fail,Tunde Adekunle,father,0653 755 6464,Kano,"2025/2026, Term 1",Y
STU3209,Fatima Yusuf,Jss 1,Female,05/30/2014,?,15,-5,0,E,Obinna  Suleiman,Guardian,54788728743,lagos,"2025/2026, Term 1",true
STU3048,Halima Bello,ss3,Female,30-Aug-2013,Chemistry,3,74,74,B,HALIMA OKONKWO,Aunt,234-769-367-632,Imo,First Term 2025,1
STU3319,Sadiq Balogun,JSS2,Male,16/02/2014,Agricultural Science,3,-5,0,A,  Aliyu Nnamdi,father,21356804420,ABUJA,2025-2026 1st Term,false
STU3134,Chidi Okafor,JSS1,Male,30 July 2012,English Language,32,51,51,F,Segun Adeyemi,Aunt,83885160607,Kaduna,"2025/2026, Term 1",No
STU3127,Obinna Bello,JSS1,M,24 October 2011,Mathematics,0,68,68,F,IBRAHIM  MOHAMMED,Father,234-094-024-455,Delta,First Term 2025,1
STU3304,Kemi Okafor,SS2,F,2007-09-08,Geography,21,74,74,D,  segun bello,Father,0000000000,Plateau,2025-2026 1st Term,Yes
STU3131,Bisi Adeyemi,SS3,M,18-Jul-2016,Mathematics,29,84,84,a,GRACE OKONKWO   ,Mother,(643) 815-6149,Delta,"2025/2026, Term 1",Y
STU3238,Kemi Balogun,jss1,M,11-Oct-2010,Economics,32,105,100,A,Grace Nnamdi,father,234-228-728-080,Imo,"2025/2026, Term 1",FALSE
STU3384,bisi suleiman,ss3,Male,20 October 2009,Agricultural Science,16,105,,Pass,Adaeze  Chukwu,Father,(891) 411-7393,Anambra,First Term 2025,No
STU3037,Femi Eze,SS3,Male,19-Dec-2009,Unknown,20,-5,unknown,E,  GRACE AFOLABI   ,Father,(586) 923-2260,Rivers State,"2025/2026, Term 1",FALSE
STU3326,amara nnamdi   ,JSS2,Male,2015/09/25,Economics,12,-5,Unknown,Distinction,Funmilayo Yusuf,Father,0838 065 7875,Anambra,First Term 2025,TRUE
STU3118,Bola Bello,ss3,Female,09.05.2010,Further Mathematics,10,150,100,a,bola afolabi   ,Guardian,01783908470,Fct Abuja,First Term 2025,yes
STU3072,Segun Nwosu,SS2,Male,2014-05-01,Mathematics,14,105,100,Distinction,Segun Afolabi,MOTHER,+234134352408,Edo,2025/2026 First Term,TRUE
STU3258,Ibrahim Bello,JSS3,Female,2016/11/26,Physics,30,-5,0,B,Kunle Afolabi,Father,234-569-245-937,Kaduna,2025-2026 1st Term,Y
STU3231,Zainab Lawal,JSS2,Female,18-Jul-2016,Computer Studies,32,75,75,B,Blessing Eze,father,invalid,Delta,2025/2026 First Term,1
STU3191,Tobi Olawale,SS3,M,02/17/2015,Biology,1,2,2,C,amara ajayi,father,09835841687,Lagos,"2025/2026, Term 1",N
STU3271,Femi Mohammed,JSS3,Female,23-Jul-2015,Agricultural Science,35,unknown,100,Distinction,IBRAHIM OKONKWO,MOTHER,234-191-825-537,Akwa Ibom,2025-2026 1st Term,FALSE
STU3306,Ibrahim Ajayi,SS 1,Male,26.04.2011,Civic Education,35,150,100,B,obinna suleiman,Father,07925241913,LAGOS,"2025/2026, Term 1",yes
STU3049,BISI OLAWALE,ss3,Female,02 August 2011,Geography,22,-5,0,C,musa balogun,father,16328708317,Edo,2025/2026 First Term,true
STU3333,Tunde Nwosu,JSS2,M,25/11/2008,English Language,38,36,36,C,TOBI AFOLABI,Guardian,234-921-851-569,Imo,"2025/2026, Term 1",true
STU3275,Grace Bello,SS 1,Female,17 March 2016,English Language,38,150,100,B,Ngozi Adekunle,Guardian,96627828274,Lagos,First Term 2025,true
STU3244,Fatima Yusuf,ss3,F,2011-06-30,Computer Studies,8,73,73,E,Fatima Balogun,Aunt,06668700217,Imo,2025-2026 1st Term,No
STU3128,Tobi Mohammed   ,JSS3,Female,16 December 2016,Computer Studies,7,45,  ,E,Bisi Suleiman   ,MOTHER,,Enugu,"2025/2026, Term 1",1
STU3256,Blessing Okeke,jss1,Male,22/08/2016,Civic Education,27,150,100,Distinction,  Chidi Suleiman,father,46471543799,Imo,"2025/2026, Term 1",N
STU3026,Aliyu Ajayi,ss3,Male,2015/07/29,Economics,13,150,NULL,C,FEMI BALOGUN,Father,09805009788,Oyo,"2025/2026, Term 1",No
STU3284,Blessing Okonkwo,Jss 1,F,26-Oct-2012,Computer Studies,37,150,100,Pass,sadiq nwosu,MOTHER,(422) 325-3672,Abuja,First Term 2025,0
STU3036,Yusuf Abubakar,SS2,Female,29.08.2011,Basic Science,18,-5,0,B,Ngozi Nwosu,MOTHER,02620450533,Cross River,"2025/2026, Term 1",Yes
STU3314,MUSA OKONKWO,JSS1,Male,31 August 2016,Mathematics,34,-5,0,D,Ibrahim Adeyemi,Uncle,0386 571 9182,Plateau,First Term 2025,TRUE
STU3364,Emeka Lawal,SS2,Female,10/16/2016,English Language,6,150,100,Pass,Chidi Chukwu,Father,234-290-349-446,Plateau,First Term 2025,TRUE
STU3066,Ibrahim Lawal,ss3,M,2013/04/24,Mathematics,unknown,47,47,Distinction,Amara Nwosu,Aunt,0379 965 0752,Rivers,2025-2026 1st Term,Yes
STU3356,Bola Bello,JSS2,F,19-Apr-2013,Agricultural Science,20,unknown,100,E,ALIYU EZE,Aunt,,Edo,2025/2026 First Term,0
STU3220,SEGUN BALOGUN   ,JSS2,Female,18.12.2013,Civic Education,--,58,58,C,Obinna Chukwu   ,Father,+234651801704,Akwa Ibom,First Term 2025,1
STU3040,Obinna Ogundimu,SS1,Male,18.09.2007,Computer Studies,19,65,unknown,a,Aliyu  Eze   ,Aunt,+234586850142,Oyo,First Term 2025,1
STU3246,Sadiq Abubakar,jss1,Female,unknown date,Economics,28,36,36,Pass,Bola Okafor,Mother,14890250392,Enugu,First Term 2025,No
STU3285,Segun Nwosu,jss1,F,26-Oct-2012,Economics,31,150,100,D,  kemi balogun,father,234-667-116-845,Imo,2025-2026 1st Term,No
STU3317,Funmilayo Adekunle,JSS2,Female,2017-03-13,Basic Science,31,28,28,E,Femi Adekunle,Uncle,12775618537,Edo,"2025/2026, Term 1",0
STU3262,Grace Nnamdi,SS3,M,unknown date,Agricultural Science,39,150,100,D,Ifeoma Suleiman,MOTHER,0617 979 6886,Cross River,2025-2026 1st Term,yes
STU3076,Tobi Adeyemi,SS 1,Female,14.09.2013,Civic Education,32,105,100,Distinction,Funmilayo Okeke,Mother,(869) 993-8677,kano,2025/2026 First Term,TRUE
STU3343,Emeka Suleiman,JSS2,M,2015/11/13,Mathematics,29,-5,0,a,BISI AFOLABI,Uncle,68844431069,Delta,2025/2026 First Term,yes
STU3385,YUSUF ADEKUNLE,JSS1,Female,10.12.2011,Agricultural Science,NIL,63,63,E,Kemi Okafor,Aunt,08356420873,Abuja,2025/2026 First Term,TRUE
STU3272,Halima Yusuf,SS2,Male,05/06/2016,Mathematics,35,150,100,Fail,Kunle Olawale,father,+234785969691,Edo,First Term 2025,no
STU3137,Ngozi Mohammed,SS1,Female,2016/01/10,Physics,22,150,100,C,Halima Suleiman   ,Uncle,68164535218,Plateau,"2025/2026, Term 1",true
STU3132,Chioma Chukwu,Jss 1,Male,08-Nov-2013,null,  ,87,87,Distinction,Emeka Olawale,father,234-403-690-034,Edo,"2025/2026, Term 1",Y
STU3274,Amaka Bello,JSS1,Male,11/25/2017,Economics,14,49,49,F,Fatima Balogun,Uncle,03412528669,oyo,2025/2026 First Term,N
STU3224,Fatima Lawal,SS3,F,04.06.2011,Computer Studies,24,150,100,Pass,SADIQ SULEIMAN,MOTHER,+234106903311,Cross River,"2025/2026, Term 1",false
STU3278,  Ifeoma Balogun,SS2,F,07 July 2010,Basic Science,14,7,7,Pass,Chioma Ogundimu,father,0903 404 3842,Anambra,First Term 2025,FALSE
STU3003,Fatima Adekunle,JSS3,Female,26-Dec-2010,Further Mathematics,40,87,87,A,Emeka Adeyemi   ,Aunt,234-379-402-654,Kano,"2025/2026, Term 1",true
STU3383,Bisi Okafor,JSS1,Male,2009/06/05,Computer Studies,18,105,100,Distinction,Chidi Okeke,Mother,00461849926,Oyo,First Term 2025,No
STU3094,Blessing Okeke,JSS2,Male,03 October 2015,Further Mathematics,23,105,100,Pass,  Femi Abubakar,Guardian,05766270289,Delta,First Term 2025,no
STU3310,Chioma Yusuf,JSS2,M,02/27/2015,Geography,35,150,100,Distinction,Sadiq Adeyemi,Mother,0445 187 0534,Oyo,2025-2026 1st Term,N
STU3169,Ngozi Chukwu,JSS1,M,2013/09/08,English Language,6,105,100,F,  Kunle Ogundimu,Guardian,0275 705 9640,Plateau,"2025/2026, Term 1",TRUE
STU3192,Blessing Yusuf,JSS1,F,03/03/2011,Civic Education,30,38,38,C,Bisi Eze,father,0000000000,Plateau,2025/2026 First Term,Yes
STU3330,sadiq ajayi,Jss 1,Female,20-Nov-2009,Biology,30,56,56,C,Fatima  Okeke,Mother,0590 599 2937,Edo,2025-2026 1st Term,No
STU3268,Sadiq Okonkwo,JSS2,Male,29 December 2007,Further Mathematics,3,-5,0,Fail,IFEOMA  OKAFOR,MOTHER,14010512382,Akwa Ibom,"2025/2026, Term 1",No
STU3186,Yusuf Olawale,JSS3,Male,2015-08-13,Economics,28,19,19,D,  Chinedu Ajayi,MOTHER,0000000000,KANO,"2025/2026, Term 1",0
STU3140,Aliyu Adekunle,SS2,Male,2007/06/16,Biology,2,16,  ,Distinction,Amaka Yusuf,Guardian,+234955271774,Anambra,2025/2026 First Term,TRUE
STU3111,Amaka Okonkwo,SS3,Male,2017-06-27,Basic Science,36,-5,0,Pass,  FEMI YUSUF   ,Father,07586926179,Kaduna,2025-2026 1st Term,Y
STU3354,Chioma Abubakar,JSS2,M,09/30/2012,Agricultural Science,31,-5,0,E,Amaka Olawale,Guardian,01914856467,Delta,2025-2026 1st Term,Yes
STU3292,Bisi Eze,JSS3,M,10/11/2007,Biology,4,-5,0,F,Chidi Bello   ,Mother,62713611155,Delta,"2025/2026, Term 1",0
STU3095,Amaka Balogun,jss1,Female,01.09.2016,Chemistry,13,99,99,Distinction,femi okonkwo,MOTHER,17187026217,Akwa Ibom,2025/2026 First Term,Y
STU3188,Amara Chukwu,JSS2,M,28/05/2015,Mathematics,17,-5,0,D,MUSA ADEYEMI,Uncle,(787) 747-0168,Imo,First Term 2025,1
STU3177,Femi  Abubakar,jss1,M,23 May 2012,Chemistry,26,150,100,Distinction,Grace Okafor,MOTHER,+234829114678,Delta,2025/2026 First Term,N
STU3200,Wale Afolabi,Jss 1,F,10/11/2013,Economics,0,150,100,Fail,Kemi  Afolabi   ,Uncle,08578652785,Ogun,"2025/2026, Term 1",false
STU3097,Chinedu Balogun,SS 1,F,11-Jul-2013,Further Mathematics,31,-5,0,Distinction,Ngozi Okeke,Father,0091 343 1611,lagos,"2025/2026, Term 1",0
STU3032,Adaeze Mohammed,Jss 1,Male,26-Oct-2017,n/a,26,75,nil,E,Funmilayo Ajayi,MOTHER,234-084-124-118,Edo,"2025/2026, Term 1",TRUE
STU3070,Wale Balogun,JSS1,Female,31.08.2007,Geography,2,150,100,E,IFEOMA ADEYEMI   ,Guardian,68557444313,Anambra,"2025/2026, Term 1",Y
STU3009,Adaeze Okonkwo,Jss 1,M,2017/02/13,Physics,35,-5,0,D,   Adaeze Okeke,Uncle,(413) 953-7672,Rivers,2025-2026 1st Term,No
STU3149,Chioma Nwosu,Jss 1,Male,10/27/2009,Biology,14,-5,0,C,Yusuf Chukwu,Guardian,0573 322 1418,Edo,"2025/2026, Term 1",0
STU3308,wale abubakar,ss3,Female,22-Aug-2013,Further Mathematics,23,-5,0,Distinction,  AMARA NWOSU,MOTHER,+234863536541,Delta,"2025/2026, Term 1",Y
STU3007,  emeka balogun,JSS1,M,10/12/2009,Computer Studies,31,150,100,Distinction,amara  lawal,father,0255 341 9283,Enugu,"2025/2026, Term 1",false
STU3288,Tobi Bello,ss3,Male,10/10/2011,Further Mathematics,21,-5,0,Distinction,Sadiq Bello,Mother,234-500-170-127,Ogun,"2025/2026, Term 1",true
STU3352,Ibrahim Adekunle,SS1,F,03.08.2008,N/A,31,105,100,a,Ifeoma Olawale,Mother,16868548709,Ogun,2025/2026 First Term,No
STU3160,Chioma Adekunle,SS1,Male,31.07.2016,Chemistry,27,73,73,C,OBINNA OKAFOR,Aunt,234-932-460-953,Cross River,"2025/2026, Term 1",yes
STU3011,Segun Balogun,SS 1,M,19.06.2017,Civic Education,0,36,36,B,ifeoma mohammed,Guardian,28710122691,Kaduna,2025-2026 1st Term,true
STU3378,Aliyu Adekunle,JSS1,Female,16.10.2010,Civic Education,39,42,N/A,a,Musa Ajayi,father,,Delta,2025-2026 1st Term,true
STU3180,chioma okonkwo,JSS1,M,29.06.2012,Mathematics,35,-5,0,a,TOBI MOHAMMED,father,0225 358 4143,Kano,"2025/2026, Term 1",yes
STU3129,Femi Adekunle,JSS1,M,21/05/2008,Chemistry,17,19,19,B,  HALIMA AJAYI   ,Mother,(675) 254-5991,kano,First Term 2025,Y
STU3027,Emeka Adekunle,SS 1,Female,2014-09-16,Geography,nil,84,84,Distinction,Wale Yusuf,Guardian,0208 121 9136,Delta,2025/2026 First Term,FALSE
STU3270,Zainab Adeyemi,JSS1,Female,22 April 2007,Agricultural Science,31,-5,0,E,Adaeze Olawale,Mother,06093796603,Oyo,2025/2026 First Term,N
STU3206,Yusuf Adekunle,SS2,F,2014/10/20,Agricultural Science,20,59,59,A,  chioma bello,Uncle,+234120826773,Ogun,"2025/2026, Term 1",Y
STU3010,Bola Nwosu,JSS1,Male,03 September 2013,Physics,20,72,72,D,KEMI BELLO,Father,,Abuja,First Term 2025,Y
STU3340,Chioma Chukwu,JSS1,F,07.06.2015,Basic Science,18,89,  ,B,Zainab Nwosu,Mother,(327) 104-0541,Anambra,First Term 2025,0
STU3243,Ifeoma Afolabi,jss1,M,23.07.2010,Mathematics,10,105,100,Distinction,Chidi  Suleiman   ,father,0156 793 3410,Cross River,2025-2026 1st Term,Yes
STU3313,Chioma Lawal,JSS2,M,11.01.2009,Geography,11,-5,0,Fail,Kunle Nnamdi,MOTHER,+234383670241,Edo,2025/2026 First Term,Y
STU3214,Chinedu Lawal,ss3,M,2015/10/23,Biology,20,9,9,D,Chidi Afolabi,Uncle,0684 145 9332,Port Harcourt,2025-2026 1st Term,1
STU3204,ngozi  nnamdi,SS 1,M,11-Dec-2009,Physics,17,105,  ,Distinction,Chioma Ogundimu,Mother,47338484219,Plateau,2025-2026 1st Term,no
STU3369,Halima Ogundimu,jss1,F,21-Jul-2008,Further Mathematics,nil,-5,0,Distinction,Wale Yusuf,Aunt,00993538758,Cross River,"2025/2026, Term 1",Y
STU3298,Chioma Nnamdi   ,SS1,Female,14 October 2016,Computer Studies,13,23,23,E,yusuf abubakar,Uncle,+234805526965,Oyo,"2025/2026, Term 1",No
STU3042,Adaeze Okeke,jss1,Male,28 March 2013,Biology,6,71,71,D,sadiq eze   ,Mother,(693) 406-0883,Cross River,2025/2026 First Term,FALSE
STU3217,Kunle Eze,JSS1,F,01/30/2016,Chemistry,15,63,63,E,Yusuf Ogundimu   ,MOTHER,39822587139,Enugu,2025-2026 1st Term,no
STU3059,Zainab Ogundimu,SS 1,M,28.01.2017,English Language,40,-5,0,D,kunle mohammed,Uncle,(708) 053-1003,Rivers,2025/2026 First Term,No
STU3232,Blessing Ajayi,Jss 1,M,2010/03/07,Further Mathematics,6,105,100,B,Ngozi Bello   ,Mother,+234139837354,Kaduna,2025-2026 1st Term,FALSE
STU3305,Tunde Nnamdi,SS1,Male,01.10.2013,Agricultural Science,40,nil,96,Pass,Emeka Ajayi,Uncle,64814917785,Imo,2025/2026 First Term,false
STU3372,Tunde Afolabi,SS1,F,2013-12-02,Basic Science,37,2,2,B,  Blessing Afolabi,Uncle,invalid,Lagos,"2025/2026, Term 1",Yes
STU3333,Tunde Nwosu,JSS2,M,25/11/2008,English Language,38,36,36,C,TOBI AFOLABI,Guardian,234-921-851-569,Imo,"2025/2026, Term 1",true
STU3184,Blessing Ogundimu,JSS1,Female,23-Mar-2008,Mathematics,18,150,100,A,Zainab  Nnamdi,Aunt,(647) 102-7677,Imo,2025-2026 1st Term,1
STU3280,Ibrahim Ajayi,JSS3,Male,07.04.2012,Computer Studies,3,37,37,D,kunle balogun,Aunt,(078) 361-3407,Ogun,First Term 2025,FALSE
STU3054,CHINEDU NNAMDI,JSS2,M,04 January 2013,Economics,32,91,91,a,Segun Adekunle   ,father,(036) 690-9670,Plateau,First Term 2025,Y
STU3358,Bola Abubakar,JSS1,M,28/11/2008,Further Mathematics,19,47,47,a,Kemi Okonkwo   ,Mother,0137 367 8508,Edo,"2025/2026, Term 1",true
