ListingID,PropertyTitle,PropertyType,ListingType,Bedrooms,Bathrooms,SizeSqm,Price,PricePeriod,Area,State,AgentName,AgentPhone,ListedDate,Furnished,ServiceCharge
RE-4199,2-Bedroom Flat/Apartment in Maitama,duplex,For Sale,2,1,28.1,1832271.00 naira,per year,  Maitama,abuja,ngozi abubakar,234-636-897-028,18 October 2025,false,"₦449,389.00"
RE-4085,6-Bedroom BUNGALOW in Lekki,Detached House,Shortlet,6,3,414.3,"NGN 4,953,294",Per Annum,Lekki,Lagos,Chidi Okafor,05125674680,11 December 2025,N,"N1,084,385"
RE-4288,2-Bedroom Self-Contain in Victoria Island,duplex,For Sale,2,4,--,"NGN 12,693,222",,VICTORIA ISLAND,Lagos,Zainab Olawale   ,0750 017 0127,14/06/2025,Y,NIL
RE-4014,3-Bedroom Self-Contain in Ikoyi,Self-Contain,for sale,3,Unknown,-,"NGN 1,862,968",Per Annum,Ikoyi,Lagos,musa mohammed   ,234-489-325-288,12/12/2025,FALSE,"₦1,134,492.00"
RE-4274,4-Bedroom Self-Contain in Jabi,duplex,FOR RENT,4,1,1076.6,"NGN 2,666,139",Per Annum,jabi,Abuja,musa ajayi   ,03412528669,2025-11-27,no,"N851,697"
RE-4047,5-Bedroom Detached House in Ajah,Detached House,for sale,5,-1,80.8,"7,796,830.00 ",per year,ajah,LAGOS,chidi lawal,01343320037,21 November 2025,N,Unknown
RE-4074,  4-Bedroom Duplex in Ikeja GRA,Flat/Apartment,For Sale,4,4,108.2,"₦21,226,269.00",Per Annum,  Ikeja GRA   ,Lagos,Ngozi Abubakar,234-775-204-711,10/06/2026,Yes,"N336,738"
RE-4173,2-Bedroom Duplex in Asokoro,Land,Shortlet,2,-1,588.5,"5,807,800.00 ",One-off,  asokoro   ,Fct Abuja,kemi  okonkwo,0027 868 1447,2025-12-04,true,"₦998,393.00"
RE-4312,-1-Bedroom Flat/Apartment in Jabi,Self-Contain,FOR RENT,N/A,3,83.6,19444569.0,One-off,Jabi,Fct Abuja,Emeka Okeke,06038505064,05 September 2025,FALSE,?
RE-4170,0-Bedroom Flat/Apartment in Gwarinpa   ,Terrace,Lease,0,2,893.9,5000621.00 naira,Per Annum,Gwarinpa,Fct Abuja,Zainab  Afolabi   ,+234582029702,2026-02-23,FALSE,"N1,452,454"
RE-4269,2-Bedroom Land in Wuse 2   ,Detached House,Lease,2,4,725.1,"₦3,874,637.00",per annum,WUSE 2   ,Abuja,chioma afolabi,234-258-673-622,04 July 2025,No,115595.0
RE-4115,5-Bedroom BUNGALOW in Wuse 2,Duplex,For Rent,Unknown,1,18.9,"NGN 11,496,789",,   Wuse 2   ,Fct Abuja,Ibrahim Lawal,+234529042284,00/00/0000,No,--
RE-4174,5-Bedroom Self-Contain in Garki,Self-Contain,For Sale,5,3,825.4,5026352.00 naira,Per Annum,Garki,Abuja,Wale Lawal   ,0947 312 1727,05/17/2026,true,1270230.00 naira
RE-4124,1-Bedroom  Bungalow in Garki,Terrace,Lease,1,-1,NULL,unknown,per annum,  Garki,ABUJA,Kemi Adeyemi,invalid,2025-11-20,1,"NGN 177,303"
RE-4265,5-Bedroom Self-Contain in Ogudu,Terrace,For Rent,5,3,82.3,"₦7,534,821.00",per year,Ogudu,LAGOS,Tobi Adekunle,234-993-756-798,16.06.2025,Y,"₦75,037.00"
RE-4072,  1-Bedroom Terrace in Victoria Island,Detached House,Lease,1,-1,87.9,1016948.0,per year,Victoria Island,Lagos,Chinedu  Nwosu,41343524082,2025/12/02,false,
RE-4131,5-Bedroom Terrace in Lekki,Duplex,For Rent,5,3,647.5,1008770.00 naira,Per Annum,Lekki,Lagos,Funmilayo Ogundimu,64381561497,27 April 2025,TRUE,-
RE-4196,4-Bedroom Terrace in Ajah   ,Detached House,FOR RENT,4,2,422.7,"N12,397,842",per annum,Ajah,Lagos,yusuf  ogundimu,(470) 551-6940,19/01/2026,yes,"₦192,693.00"
RE-4231,0-Bedroom Terrace in Asokoro,Terrace,Shortlet,0,,92.9,4228267.00 naira,per year,  Asokoro,Abuja,  amaka mohammed,+234751830469,03/27/2025,Yes,"N219,992"
RE-4051,   -1-Bedroom Duplex in Jabi,Duplex,For Sale,-1,--,523.5,"₦17,473,657.00",,Jabi,Fct Abuja,Chioma Balogun,+234277434873,16-Mar-2025,TRUE,
RE-4303,1-Bedroom Self-Contain in Ikorodu,Bungalow,Lease,1,-1,unknown,"N7,048,107",per year,Ikorodu,lagos,GRACE OLAWALE,0990 421 0202,10-Mar-2025,FALSE,--
RE-4146,   3-Bedroom Land in Asokoro,Flat/Apartment,For Sale,3,-1,89.7,"12,089,208.00 ",per annum,Asokoro,abuja,Musa  Adeyemi,234-186-449-251,11/06/2025,TRUE,Unknown
RE-4015,  1-Bedroom Bungalow in Ikeja GRA,Bungalow,Lease,1,3,524.3,"₦4,818,475.00",,ikeja gra,Lagos,Grace Ogundimu,(957) 015-4303,06-Sep-2025,1,"NGN 909,088"
RE-4281,6-Bedroom Self-Contain in Ogudu,Terrace,FOR RENT,6,1,43.4,"₦6,996,038.00",N/A,  ogudu,Lagos,MUSA  ADEKUNLE,234-171-339-596,07/08/2025,FALSE,1301619.0
RE-4310,4-Bedroom Land in Ogudu,Self-Contain,For Rent,4,4,499.4,17954979.0,per annum,ogudu,Lagos,tobi  yusuf,+234451870534,20.08.2025,Y,nil
RE-4068,-1-Bedroom Flat/Apartment in Lugbe,Flat/Apartment,For Sale,-1,1,45.7,"NGN 3,629,051",per year,Lugbe,Abuja,  BOLA EZE,+234367837770,2025/05/21,No,NIL
RE-4156,5-Bedroom Bungalow in Lekki,Duplex,for sale,5,1,66.3,"N7,779,690",One-off,LEKKI,LAGOS,  Ibrahim Nnamdi,(361) 530-5152,03 May 2026,no,"N1,248,892"
RE-4215,5-Bedroom duplex in Surulere,duplex,for sale,N/A,1,949.0,?,N/A,Surulere,Lagos,Chioma Lawal,27956878339,20.04.2026,TRUE,
RE-4095,5-Bedroom BUNGALOW in Lugbe,Flat/Apartment,for sale,5,2,665.5,"NGN 22,181,976",N/A,LUGBE   ,Abuja,Sadiq Nwosu,234-718-702-621,24/02/2025,1,Unknown
RE-4202,0-Bedroom Bungalow in Ikeja GRA   ,Terrace,FOR RENT,0,-1,23.4,null,per annum,  IKEJA GRA,Lagos,   SEGUN NWOSU   ,43757584419,07/02/2025,No,"₦1,254,153.00"
RE-4186,3-Bedroom Land in Maitama,BUNGALOW,Lease,3,1,1134.6,"N2,931,633",Per Annum,Maitama,ABUJA,tobi eze,01537147321,27 July 2025,N,256432.00 naira
RE-4315,4-Bedroom Bungalow in Surulere   ,Detached House,Lease,4,1,22.6,"5,837,492.00 ",per year,Surulere,Lagos,Emeka Nwosu,01990623445,30-Jun-2026,0,"N849,278"
RE-4291,  5-Bedroom Detached House in Asokoro,Terrace,For Sale,5,-1,36.0,"N2,053,523",One-off,Asokoro,Fct Abuja,Ngozi Ogundimu,0712 938 7005,not set,No,"NGN 863,922"
RE-4216,-1-Bedroom  BUNGALOW in Jabi,duplex,for sale,-1,2,923.9,"₦3,470,428.00",One-off,  Jabi,ABUJA,Yusuf  Afolabi,234-878-519-108,05-Jul-2025,Y,1057897.00 naira
RE-4087,3-Bedroom Land in Asokoro,Flat/Apartment,FOR RENT,3,1,13.5,19915647.00 naira,per annum,Asokoro   ,Abuja,Ifeoma  Olawale   ,+234385977034,2025-10-08,yes,?
RE-4232,  0-Bedroom Duplex in Surulere   ,Duplex,Lease,0,4,614.0,10548737.0,,Surulere,Lagos,IBRAHIM EZE   ,00139837354,31-Jan-2025,true,708730.0
RE-4142,0-Bedroom Flat/Apartment in Ikoyi,Detached House,FOR RENT,0,3,79.8,"NGN 17,097,076",Per Annum,ikoyi   ,Lagos State,Bola Lawal,(411) 998-6798,10/29/2025,FALSE,1373283.0
RE-4010,0-Bedroom  BUNGALOW in Wuse 2,Self-Contain,for sale,0,3,19.4,"₦6,827,459.00",N/A,  WUSE 2,Abuja,  tobi abubakar,02388496965,2025-07-02,TRUE,642170.00 naira
RE-4300,4-Bedroom Detached House in Maitama,duplex,Shortlet,4,4,294.9,null,One-off,MAITAMA,Fct Abuja,   Amara Bello,68486661889,11-Jun-2025,yes,NULL
RE-4132,5-Bedroom Flat/Apartment in Maitama,Land,Shortlet,--,1,95.1,3043643.00 naira,One-off,maitama   ,Abuja,  Wale Balogun,0840 369 0034,11 July 2025,yes,"257,778.00 "
RE-4133,-1-Bedroom Duplex in Ajah   ,Detached House,For Sale,-1,3,84.6,"NGN 10,914,529",One-off,ajah,LAGOS,Tunde Okafor   ,234-445-107-622,2025/12/08,yes,"NGN 298,349"
RE-4022,0-Bedroom BUNGALOW in Jabi,duplex,Shortlet,0,4,32.3,"12,472,926.00 ",per year,  Jabi,Abuja,SADIQ OGUNDIMU   ,+234513338726,28.08.2025,yes,"N1,054,422"
RE-4156,5-Bedroom Bungalow in Lekki,Duplex,for sale,5,1,66.3,"N7,779,690",One-off,LEKKI,LAGOS,  Ibrahim Nnamdi,(361) 530-5152,03 May 2026,no,"N1,248,892"
RE-4339,  0-Bedroom Self-Contain in Wuse 2,duplex,For Sale,0,1,81.8,NULL,per year,Wuse 2,Abuja,HALIMA BELLO,234-267-658-617,2025/03/11,yes,696038.0
RE-4245,6-Bedroom BUNGALOW in Jabi,Land,For Sale,NIL,1,560.9,"N1,359,875",One-off,Jabi,Abuja,tunde suleiman,59180339740,16.03.2025,1,"₦514,176.00"
RE-4220,  1-Bedroom duplex in Jabi,Duplex,Shortlet,1,-1,617.2,24129826.0,N/A,  Jabi,Abuja,Bisi Nnamdi,00651801704,20-Feb-2026,Y,Unknown
RE-4238,6-Bedroom Self-Contain in Ikoyi,Self-Contain,For Sale,6,-1,51.0,"N24,157,413",per year,ikoyi,Lagos,FUNMILAYO OKAFOR   ,52287280801,14 June 2025,false,n/a
RE-4106,0-Bedroom Detached House in Jabi,Self-Contain,Shortlet,0,1,65.6,"N3,599,211",per year,JABI,Abuja,TOBI  ADEYEMI   ,(858) 842-4745,17/09/2025,yes,
RE-4319,6-Bedroom Duplex in Ogudu,duplex,For Rent,6,3,85.2,"₦4,196,277.00",One-off,Ogudu,lagos,  AMAKA OGUNDIMU,234-135-680-442,19/01/2026,no,"₦905,654.00"
RE-4152,5-Bedroom Duplex in Lugbe,duplex,Lease,5,-1,61.5,"NGN 6,348,395",per year,Lugbe,FCT,BISI ADEYEMI,(834) 735-9774,02/26/2026,false,"₦1,016,216.00"
RE-4067,1-Bedroom duplex in Ikoyi,Detached House,For Rent,1,3,110.6,"₦6,932,387.00",,Ikoyi,Lagos,Emeka Afolabi   ,+234545494808,27-Jul-2025,Yes,N/A
RE-4311,4-Bedroom Self-Contain in Surulere,Terrace,FOR RENT,4,3,N/A,7717186.00 naira,N/A,SURULERE,Lagos,  Femi Ajayi,234-937-597-383,07/05/2025,1,"N420,406"
RE-4112,6-Bedroom Land in Ikeja GRA   ,Land,FOR RENT,6,-1,47.1,"₦4,156,203.00",One-off,ikeja gra,Lagos,Kemi Ogundimu,+234053773515,20/04/2026,Y,1009933.0
RE-4279,3-Bedroom Self-Contain in Yaba   ,Flat/Apartment,For Sale,3,-1,429.3,"₦5,458,029.00",per year,yaba,Lag,Bisi Bello,09788191485,2026-04-15,Y,nil
RE-4069,5-Bedroom Duplex in Garki   ,Bungalow,Lease,5,1,917.6,"₦6,725,252.00",N/A,Garki,Abuja,  Bola Okafor,0436 349 5788,2025/09/03,false,652376.0
RE-4050,5-Bedroom Bungalow in Lugbe,Terrace,For Rent,5,-1,unknown,10453510.00 naira,One-off,LUGBE   ,Abuja,AMARA SULEIMAN,(278) 895-7986,02 March 2026,0,707477.00 naira
RE-4338,3-Bedroom Duplex in Ogudu,Self-Contain,for sale,3,4,--,"N13,423,562",per annum,Ogudu   ,LAGOS,EMEKA NWOSU   ,0433 154 1006,N/A,N,"₦1,433,910.00"
RE-4227,3-Bedroom Detached House in Ogudu,Duplex,Lease,3,-1,1183.5,"NGN 5,086,115",,ogudu,LAGOS,Kemi Abubakar,42836440892,12/31/2025,0,n/a
RE-4060,4-Bedroom Land in Ikeja GRA,Land,For Sale,4,2,37.8,"N1,832,280",N/A,IKEJA GRA,Lagos,Amaka Balogun,+234923271937,09/06/2025,false,596637.00 naira
RE-4024,3-Bedroom BUNGALOW in Wuse 2,duplex,For Sale,3,-1,51.6,"N7,589,267",Per Annum,Wuse 2,Abuja,Chidi Adeyemi,+234267736026,2026-04-13,N,"N950,292"
RE-4250,2-Bedroom Terrace in Ikoyi,Self-Contain,For Sale,2,3,62.8,"NGN 767,660",,ikoyi,Lagos,Zainab Ajayi,06629619431,2025-08-20,0,unknown
RE-4136,6-Bedroom  duplex in Maitama,Terrace,For Rent,6,1,425.0,14767017.00 naira,One-off,maitama,ABUJA,Kunle Yusuf,(529) 751-6136,not set,1,"₦1,286,133.00"
RE-4229,  -1-Bedroom duplex in Victoria Island   ,Bungalow,Lease,-1,4,13.2,"₦2,805,387.00",per annum,victoria island,Lagos,Tobi Eze,04628733427,07/05/2025,no,1383817.0
RE-4318,  2-Bedroom Bungalow in Jabi,Land,For Sale,2,4,900.5,"NGN 16,118,561",per annum,jabi,abuja,Zainab Afolabi,47411249035,2025-07-05,0,"₦809,608.00"
RE-4285,6-Bedroom Land in Jabi,Bungalow,For Rent,6,3,18.3,14966697.0,per annum,Jabi,abuja,Kemi  Chukwu,+234667116845,09 January 2025,No,
RE-4125,3-Bedroom Terrace in Surulere,BUNGALOW,For Rent,3,2,583.1,"₦2,842,871.00",Per Annum,Surulere   ,Lagos,Chidi Okafor,94519832731,2025-07-27,Y,"₦204,819.00"
RE-4017,5-Bedroom duplex in Lugbe,BUNGALOW,Lease,5,1,433.4,"NGN 9,052,329",One-off,LUGBE,Abuja,Zainab  Mohammed   ,0896 383 4657,07/16/2025,Yes,N/A
RE-4210,2-Bedroom Land in Yaba,Terrace,for sale,2,4,892.2,"₦7,029,061.00",,Yaba   ,LAGOS,tobi ogundimu,0152 742 0549,27.01.2025,false,"NGN 1,114,703"
RE-4280,-1-Bedroom Detached House in Wuse 2,Duplex,For Rent,-1,4,1187.8,"NGN 6,814,054",Per Annum,wuse 2,ABUJA,FUNMILAYO NNAMDI,234-783-613-407,27.05.2025,1,760636.0
RE-4224,0-Bedroom Land in Ajah,Flat/Apartment,For Sale,  ,3,35.4,n/a,One-off,Ajah,Lag,bisi mohammed,234-106-903-311,2025-12-26,N,"₦176,485.00"
RE-4207,2-Bedroom Duplex in Surulere,Duplex,Shortlet,2,4,107.0,"₦10,850,998.00",One-off,Surulere,Lagos State,tobi mohammed,,06-Jun-2026,1,"₦1,462,511.00"
RE-4247,  1-Bedroom Terrace in Lekki,BUNGALOW,For Sale,1,1,1044.8,"₦1,540,508.00",One-off,LEKKI,lagos,  Wale Mohammed,0614 293 9685,2025/06/24,No,398759.00 naira
RE-4184,-1-Bedroom Self-Contain in Wuse 2   ,Bungalow,Lease,-1,4,60.0,"NGN 21,192,580",Per Annum,Wuse 2,Abuja,Zainab Okafor,(647) 102-7677,06 April 2026,TRUE,"N126,668"
RE-4091,  6-Bedroom Self-Contain in Asokoro,BUNGALOW,Shortlet,6,-1,58.2,"16,061,244.00 ",N/A,Asokoro   ,FCT,TOBI BELLO,N/A,28-Mar-2026,0,158555.00 naira
RE-4257,5-Bedroom duplex in Magodo,Detached House,FOR RENT,5,null,  ,1250148.0,Per Annum,Magodo   ,Lagos,Yusuf Chukwu,(371) 240-6596,2025/04/20,Y,"NGN 1,092,853"
RE-4180,3-Bedroom Terrace in Garki,BUNGALOW,For Sale,3,3,106.5,3600571.00 naira,per annum,Garki,ABUJA,Ibrahim Afolabi,234-253-584-143,unknown date,TRUE,262950.00 naira
RE-4042,1-Bedroom Self-Contain in Victoria Island,Bungalow,for sale,1,-1,264.4,"N4,385,766",Per Annum,Victoria Island,Lagos,chidi ajayi   ,69340608835,2025-12-21,true,?
RE-4181,6-Bedroom duplex in Ogudu,Flat/Apartment,Lease,6,3,948.4,"NGN 6,361,723",One-off,Ogudu   ,Lagos,Emeka  Yusuf   ,42498182992,07/02/2025,Yes,1414947.00 naira
RE-4253,6-Bedroom duplex in Garki,Detached House,FOR RENT,6,,1118.5,"7,771,024.00 ",Per Annum,GARKI,FCT,Ngozi Chukwu,08610158199,06/20/2026,false,N/A
RE-4195,0-Bedroom BUNGALOW in Ajah,Terrace,For Sale,0,3,1174.2,2884637.0,per year,Ajah,Lagos State,bisi nnamdi,0269 495 8887,13-Jul-2025,0,nil
RE-4151,5-Bedroom Land in Yaba   ,BUNGALOW,for sale,5,3,43.4,"13,582,017.00 ",Per Annum,YABA   ,Lagos,tunde okonkwo,27065379473,00/00/0000,true,"NGN 241,440"
RE-4044,-1-Bedroom  duplex in Victoria Island,duplex,Lease,-1,4,N/A,13471473.00 naira,One-off,Victoria Island,Lagos,  Fatima Chukwu,(648) 236-6299,04/09/2025,Y,621160.0
RE-4143,2-Bedroom Bungalow in Lekki,Self-Contain,Lease,NIL,4,101.0,2379473.0,Per Annum,  Lekki,Lag,femi chukwu   ,234-935-978-207,2025-02-08,No,"NGN 1,152,657"
RE-4118,0-Bedroom BUNGALOW in Maitama,Flat/Apartment,Lease,0,4,949.1,7121993.00 naira,Per Annum,MAITAMA,abuja,Tunde Adeyemi,234-783-908-470,N/A,FALSE,68975.0
RE-4313,2-Bedroom Bungalow in Ikorodu   ,duplex,FOR RENT,2,--,81.2,"N6,230,230",per annum,   Ikorodu,Lagos,Tunde Yusuf,13836702410,02/08/2026,yes,119309.00 naira
RE-4295,1-Bedroom BUNGALOW in Ikorodu,duplex,FOR RENT,1,1,408.1,"12,085,986.00 ",Per Annum,Ikorodu,Lagos State,FATIMA ADEKUNLE   ,+234965652341,2026-01-08,yes,529459.00 naira
RE-4081,1-Bedroom Terrace in Garki   ,Duplex,Lease,1,-1,78.9,"N6,638,039",Per Annum,Garki,abuja,Ngozi Adeyemi,(499) 471-7464,2025/08/30,No,Unknown
RE-4149,0-Bedroom Duplex in Wuse 2   ,BUNGALOW,For Sale,0,4,566.4,"2,349,906.00 ",per annum,  Wuse 2,abuja,ngozi chukwu   ,57332214188,06 January 2025,false,1465810.00 naira
RE-4093,2-Bedroom duplex in Lugbe   ,duplex,For Rent,2,4,93.8,"₦4,241,052.00",per annum,lugbe,Abuja,ADAEZE OKEKE,0867 533 9636,,TRUE,1266283.00 naira
RE-4032,6-Bedroom duplex in Asokoro,Flat/Apartment,For Sale,6,1,568.0,4026987.0,One-off,Asokoro,abuja,YUSUF AJAYI   ,0808 412 4118,10.02.2026,FALSE,"N1,390,024"
RE-4138,0-Bedroom duplex in Jabi,Duplex,For Sale,0,3,727.3,"N10,172,066",per year,Jabi,ABUJA,  Bola Nnamdi,01883552312,29 May 2026,FALSE,"NGN 126,523"
RE-4114,5-Bedroom  BUNGALOW in Jabi,Flat/Apartment,for sale,5,unknown,53.4,22905232.00 naira,Per Annum,Jabi,Abuja,Fatima Afolabi,0053 293 1839,27/02/2026,1,799085.0
RE-4070,3-Bedroom BUNGALOW in Ogudu,Bungalow,for sale,3,N/A,23.6,"₦8,381,758.00",N/A,Ogudu,lagos,ZAINAB OKAFOR,+234855744431,2026/02/05,yes,--
RE-4301,1-Bedroom  Land in Wuse 2,Flat/Apartment,for sale,1,-1,705.0,"₦6,431,900.00",,wuse 2,Abuja,  AMARA BELLO,234-414-183-285,05/31/2026,false,NIL
RE-4061,0-Bedroom Self-Contain in Jabi,Duplex,Lease,0,4,865.8,6430407.0,Per Annum,JABI,Abuja,Amara Nwosu,234-299-124-190,22-Apr-2025,No,N/A
RE-4320,3-Bedroom  Terrace in Magodo,Terrace,for sale,3,4,64.4,"NGN 7,399,994",per annum,Magodo,Lag,Bola Olawale,67883171210,2026-04-04,Y,--
RE-4291,  5-Bedroom Detached House in Asokoro,Terrace,For Sale,5,-1,36.0,"N2,053,523",One-off,Asokoro,Fct Abuja,Ngozi Ogundimu,0712 938 7005,not set,No,"NGN 863,922"
RE-4252,1-Bedroom Detached House in Maitama,Land,For Rent,1,2,22.2,"₦5,401,709.00",One-off,Maitama,Abuja,halima okonkwo,234-541-212-678,01/02/2025,FALSE,"N547,748"
RE-4307,0-Bedroom Duplex in Surulere   ,duplex,FOR RENT,0,-1,257.2,"19,537,553.00 ",Per Annum,surulere,Lagos,  Segun Ajayi,+234000307562,04/05/2025,Y,N/A
RE-4163,5-Bedroom Terrace in Ajah   ,Self-Contain,Lease,5,4,1053.2,"N15,628,228",One-off,ajah,lagos,Funmilayo Lawal,0319 520 5852,2025/01/21,No,"NGN 826,959"
RE-4004,5-Bedroom Bungalow in Ogudu   ,Detached House,For Rent,?,1,251.2,"₦21,358,395.00",N/A,  Ogudu,Lag,Aliyu Abubakar,35116155940,28-Nov-2025,TRUE,"₦409,463.00"
RE-4063,6-Bedroom Flat/Apartment in Ogudu,duplex,Lease,6,3,58.4,"N3,931,628",One-off,OGUDU,Lagos,ALIYU AJAYI,90586518506,02/02/2026,TRUE,n/a
RE-4299,-1-Bedroom Detached House in Jabi,BUNGALOW,Lease,-1,4,106.4,"₦2,964,795.00",Per Annum,jabi,Fct Abuja,TOBI YUSUF,+234710910430,28.09.2025,N,-
RE-4259,6-Bedroom duplex in Ikoyi,Detached House,FOR RENT,6,3,80.1,15950266.00 naira,N/A,Ikoyi,Lagos,Fatima Adeyemi,02654793564,2025/05/17,false,1106011.00 naira
RE-4113,0-Bedroom Flat/Apartment in Ajah   ,Flat/Apartment,For Sale,0,4,10.2,"NGN 978,443",,AJAH,LAGOS,Sadiq Lawal,50643171390,21 June 2026,FALSE,"1,135,922.00 "
RE-4080,5-Bedroom Detached House in Lugbe,Terrace,For Sale,n/a,3,45.0,"₦872,266.00",per annum,Lugbe,FCT,ifeoma bello,234-618-324-210,03/31/2025,false,"NGN 174,276"
RE-4159,4-Bedroom Duplex in Ikoyi,Flat/Apartment,FOR RENT,4,1,1089.9,"NGN 18,463,668",per year,Ikoyi,Lag,Ngozi  Lawal,00369711798,08-Aug-2025,FALSE,"1,046,218.00 "
RE-4089,  2-Bedroom Self-Contain in Ikeja GRA   ,Terrace,for sale,2,2,549.1,"₦17,237,108.00",N/A,Ikeja Gra,Lagos,Wale  Eze   ,08613171274,2025-10-17,true,null
RE-4055,5-Bedroom Duplex in Victoria Island,Land,for sale,5,4,410.6,4880239.00 naira,per year,Victoria Island   ,Lag,Grace Adeyemi   ,,24.01.2026,true,
RE-4026,6-Bedroom Self-Contain in Jabi,Detached House,Shortlet,6,,105.6,4491960.00 naira,Per Annum,jabi,Abuja,Zainab Suleiman,0098 050 0978,2025-08-15,Yes,365041.00 naira
RE-4099,2-Bedroom BUNGALOW in Yaba   ,Terrace,For Rent,2,-1,103.9,"NGN 8,666,242",,Yaba   ,Lagos,Chinedu Okeke,38692221969,09-Feb-2026,true,"₦256,560.00"
RE-4122,3-Bedroom Self-Contain in Wuse 2,duplex,Lease,3,4,34.8,"N5,040,348",,Wuse 2,Abuja,AMARA BALOGUN,65766156545,unknown date,Y,n/a
RE-4226,2-Bedroom BUNGALOW in Lugbe,Duplex,Lease,2,-1,48.0,"NGN 6,130,458",One-off,Lugbe   ,abuja,Ifeoma Adekunle,+234284395995,31/07/2025,true,"NGN 927,481"
RE-4160,  5-Bedroom Self-Contain in Ogudu,Self-Contain,FOR RENT,5,1,90.9,"N24,654,134",Per Annum,Ogudu,lagos,MUSA BELLO,(893) 246-0953,03.07.2025,true,"N566,341"
RE-4197,6-Bedroom Terrace in Ogudu,BUNGALOW,for sale,null,3,87.4,2969310.00 naira,per annum,Ogudu   ,Lagos,ngozi bello,(749) 930-9728,2025/07/15,0,"174,520.00 "
RE-4082,-1-Bedroom Detached House in Garki   ,BUNGALOW,for sale,-1,3,206.0,"N592,728",Per Annum,GARKI,Fct Abuja,  Ifeoma Olawale,234-771-906-594,2025-04-19,yes,NIL
