TransactionRef,AccountNumber,CustomerName,BankBranch,TransactionType,Channel,Amount,Date,Time,Status,BeneficiaryAccount,PhoneNumber,State,Currency
REF200220,0055176955,Kemi Olawale,GTBank Victoria Island,Transfer,ussd,240059.51 naira,02/14/2025,01:50,SUCCESSFUL,NIL,234-651-801-704,Kano,ngn
REF200223,0035808537,Bola Suleiman,fidelity bank Port Harcourt Main,  ,Branch,"₦796,917.03",06 May 2026,23:46,Successful,n/a,0786 863 3752,Rivers,ngn
REF200316,0066306997,GRACE OLAWALE   ,Fidelity Bank Victoria Island,Salary Credit,USSD,"NGN 988,485",02-May-2026,17:34,failed,--,+234574313291,Plateau,Naira
REF200183,0057683626,Tobi Afolabi,GTBank Victoria Island,Bill Payment,ussd,"N107,930",17.03.2026,11:02 AM,Reversed,0063843426,03969078447,Abuja,Naira
REF200485,0066722344,Kemi Afolabi,first bank Port Harcourt Main,Airtime Purchase,Mobile App,1256762.07 naira,2025-02-15,05:19,Failed,?,0000000000,Lagos,NGN 
REF200469,0013999315,Chidi Ajayi,Wema Bank Wuse 2,Loan Repayment,USSD,"1,314,425.36 ",2026/05/14,09:56,Pending,  ,234-434-165-182,Fct Abuja,Naira
REF200397,0058537831,TOBI YUSUF,Fidelity Bank Apapa,POS Payment,POS,67101.12,30.07.2025,12:56,Reversed,,(775) 170-1660,Enugu,ngn
REF200067,0070291817,Bisi  Ajayi,Access Bank Garki,Bill Payment,ussd,661837.33 naira,03/05/2026,05:10,SUCCESSFUL,0015831819,35454948083,Edo,ngn
REF200438,0045833156,  Chioma Lawal,WEMA BANK Port Harcourt Main,Salary Credit,Internet Banking,"N917,274",17/04/2026,20:04,SUCCESSFUL,,234-039-282-722,ABUJA,ngn
REF200174,0020576383,Chinedu Adeyemi,Wema Bank Victoria Island,Bill Payment,ATM,"₦487,107.97",21 June 2025,09:25,failed,  ,(947) 312-1727,Cross River,NGN
REF200509,0085329037,Emeka Balogun,Fidelity Bank Apapa,Withdrawal,USSD,1390459.63 naira,24 May 2025,05:10,failed,0013561597,01827448570,Akwa Ibom,Naira
REF200379,0015831819,Emeka Okeke,UBA Wuse 2,Withdrawal,Agent Banking,Unknown,2025/08/14,22:30,Pending,0094374605,234-985-625-753,Oyo State,USD
REF200454,0057683626,Tobi Adekunle,Zenith Bank Port Harcourt Main,Bill Payment,POS,NULL,01-Apr-2025,02:57 PM,Pending,0060929647,234-864-300-981,Oyo,NGN
REF200427,0047295260,Kemi Balogun,wema bank Apapa,Bill Payment,Agent Banking,282773.81 naira,24.07.2025,06:02 AM,failed,?,24508821009,Enugu,ngn
REF200181,0088320463,Segun Afolabi,Sterling Bank Ikeja,POS Payment,Mobile App,"N56,539",26/01/2026,02:40,Successful,0059684848,(424) 981-8299,Plateau,Naira
REF200365,N/A,  WALE AJAYI,Zenith Bank Apapa,POS Payment,ussd,412809.75,28-May-2025,21:24,Successful,0094374605,234-743-748-969,Edo,NGN 
REF200443,0047295260,Femi Eze,Gtbank Port Harcourt Main,Deposit,mobile app,"1,493,304.06 ",30/01/2026,02:24,Reversed,,07908272318,FCT,USD
REF200486,0085329037,Obinna Balogun,Access Bank Victoria Island,Airtime Purchase,mobile app,"NGN 1,034,404",14.03.2025,21:45,Successful,NULL,(762) 202-3413,Akwa Ibom,NGN 
REF200233,0047295260,Obinna Eze,Fidelity Bank Garki,Deposit,Internet Banking,"N542,958",08-May-2026,19:18,Failed,0028728463,0331 739 3638,Edo,ngn
REF200252,0083140807,Kunle Mohammed,Gtbank Port Harcourt Main,Airtime Purchase,USSD,"₦680,166.00",2025/01/29,01:46,failed,?,234-541-212-678,Delta,NGN 
REF200352,0059684848,AMARA  LAWAL,Fidelity Bank Wuse 2,POS Payment,mobile app,302988.02,2025/02/03,08:12,Pending,0014308421,(168) 685-4870,Cross River,Naira
REF200351,0023756669,  Yusuf Suleiman,Sterling Bank Victoria Island,Deposit,mobile app,"₦782,490.82",09/05/2025,07:13,failed,null,02061632945,Abuja,ngn
REF200498,0081971316,Amara  Nwosu   ,Fidelity Bank Garki,Withdrawal,ussd,"N193,224",2025/04/20,08:17 AM,Successful,0077827638,44270312073,Imo,NGN
REF200017,0091756179,Wale Bello   ,WEMA BANK Apapa,Loan Repayment,ussd,"NGN 1,197,314",19-Jun-2025,03:57 PM,failed,0096282117,08963834657,Plateau,USD
REF200140,0091030736,Blessing Mohammed,Access Bank Port Harcourt Main,Airtime Purchase,Agent Banking,"913,686.04 ",12 September 2025,09:20,Failed,0053524491,234-955-271-774,Imo,Naira
REF200169,0013561597,wale bello,Access Bank Victoria Island,-,POS,"595,820.27 ",27.03.2025,03:32,Pending,NIL,(275) 705-9640,Ogun,NGN 
REF200207,0014308421,Tobi Balogun,First Bank Apapa,Deposit,Agent Banking,117812.79,2025-04-01,08:22,failed,0036687537,invalid,Plateau,USD
REF200059,0021668732,Ifeoma Ogundimu,Fidelity Bank Garki,Airtime Purchase,Internet Banking,1497943.95,2025/07/24,04:11 AM,Pending,NULL,+234080531003,Cross River,NGN 
REF200413,0085329037,Chioma Nwosu,First Bank Apapa,Bill Payment,Agent Banking,74298.21,04/08/2025,12:21,failed,--,03472122816,Rivers,Naira
REF200381,0018883684,BOLA ADEKUNLE,first bank Wuse 2,Bill Payment,mobile app,207009.32 naira,18/10/2025,17:08,Pending,--,234-064-890-901,Cross River,USD
REF200276,0017507864,Ngozi Mohammed,Wema Bank Port Harcourt Main,Salary Credit,POS,"₦848,863.08",12 December 2025,12:52,Failed,,0225 790 5072,Plateau,ngn
REF200277,0018883684,Femi Eze,ZENITH BANK Garki,Deposit,Agent Banking,"₦1,298,997.38",26/01/2025,07:31 PM,SUCCESSFUL,0013356886,+234887676772,Kano,USD
REF200080,0017507864,Amaka Olawale,UBA Ikeja,Airtime Purchase,mobile app,"NGN 539,787",05/25/2026,15:54,failed,0058966946,36183242102,Kaduna,ngn
REF200240,0084093639,Amaka Afolabi,First Bank Port Harcourt Main,Loan Repayment,mobile app,1462823.64,13-Dec-2025,06:50 AM,Pending,0010872248,+234099770088,Lagos,NGN
REF200145,0058181396,kunle eze,Fidelity Bank Garki,Salary Credit,Branch,Unknown,07/09/2025,01:21 AM,failed,N/A,25546659051,Cross River,Naira
REF200103,0024942603,Adaeze Adeyemi,Sterling Bank Wuse 2,Withdrawal,Agent Banking,"N1,431,702",2025-03-16,12:34 AM,Failed,-,40640909743,Cross River,NGN
REF200107,0081971316,Amara Yusuf,UBA Garki,POS Payment,mobile app,"₦466,391.31",2025/03/30,18:52,Successful,  ,71236851604,Plateau,ngn
REF200402,0017507864,Bisi Balogun,Sterling Bank Ikeja,Deposit,Agent Banking,1409939.78 naira,01/23/2026,19:53,Pending,nil,234-373-516-091,KANO,NGN
REF200009,NIL,Femi Adeyemi,Fidelity Bank Victoria Island,Loan Repayment,Branch,"NGN 663,032",14.03.2026,07:08 PM,Pending,0066722344,234-139-537-672,Cross River,USD
REF200516,0066629388,Blessing Lawal,access bank Port Harcourt Main,Bill Payment,mobile app,"NGN 1,054,569",26.08.2025,01:36 AM,failed,,0811 386 3383,Kaduna,NGN 
REF200182,0057683626,emeka  afolabi   ,GTBank Apapa,Withdrawal,mobile app,1010616.05,02/07/2026,15:12,Failed,0042857966,(299) 590-0109,Ogun,USD
REF200004,0017507864,Amara Okeke,wema bank Wuse 2,Loan Repayment,USSD,"N357,388",13-May-2026,07:18,Reversed,0042857966,03511615594,LAGOS,NGN
REF200171,0058537831,Yusuf Bello   ,first bank Port Harcourt Main,Airtime Purchase,USSD,"₦822,544.19",2025/07/13,14:03,successful,0091756179,234-556-909-275,Lag,NGN
REF200232,0026753883,Obinna Adeyemi,wema bank Ikeja,Transfer,ussd,"₦693,448.89",2025-05-21,06:48,successful,,invalid,Delta,NGN
REF200092,0081691040,Kunle Okonkwo,Fidelity Bank Wuse 2,POS Payment,Internet Banking,"₦450,745.99",28-Apr-2025,12:46 AM,SUCCESSFUL,--,49972787558,KANO,NGN
REF200030,0060806024,BISI AFOLABI,Sterling Bank Port Harcourt Main,Transfer,Mobile App,"₦1,399,311.96",2025-07-13,23:48,failed,unknown,N/A,Enugu,Naira
REF200511,0048840994,Zainab Balogun,UBA Ikeja,Airtime Purchase,POS,60674.97 naira,02/06/2025,07:07,Pending,0058181396,0387 829 4565,Abuja,NGN 
REF200451,0058181396,Bisi Bello,Wema Bank Wuse 2,Airtime Purchase,Branch,1391363.47 naira,2025-08-04,19:29,Pending,0015831819,234-908-811-729,Delta,ngn
REF200210,0022448136,bisi suleiman,STERLING BANK Wuse 2,Loan Repayment,Agent Banking,"N174,434",not set,15:50,failed,0088320463,234-527-420-549,Kaduna,ngn
REF200442,0043101783,obinna abubakar,Wema Bank Port Harcourt Main,Salary Credit,Internet Banking,289950.85,15 June 2025,15:37,failed,unknown,09184638655,Lagos,NGN 
REF200046,0022575562,fatima chukwu,ZENITH BANK Victoria Island,Transfer,USSD,"₦332,747.30",22-Jun-2025,02:36,SUCCESSFUL,?,(773) 872-1489,Kaduna,ngn
REF200481,0058966946,Kunle Ogundimu,Zenith Bank Ikeja,Bill Payment,Internet Banking,"NGN 905,453",12/12/2025,15:31,Successful,0088320463,0717 545 5884,Cross River,USD
REF200345,0088320463,Chioma Eze,WEMA BANK Ikeja,POS Payment,Branch,"NGN 578,382",28/12/2025,22:22,Successful,,(310) 324-1714,Kaduna,USD
REF200213,0048840994,Fatima Ajayi,STERLING BANK Wuse 2,Withdrawal,mobile app,"-NGN 90,558",29-Sep-2025,06:04,Successful,0021668732,234-904-530-174,Cross River,NGN 
REF200481,0058966946,Kunle Ogundimu,Zenith Bank Ikeja,Bill Payment,Internet Banking,"NGN 905,453",12/12/2025,15:31,Successful,0088320463,0717 545 5884,Cross River,USD
REF200354,0019583482,Ngozi Okeke,WEMA BANK Ikeja,Transfer,Branch,646636.72 naira,01.02.2026,08:09,successful,0022981052,234-914-856-467,Rivers State,ngn
REF200487,0022575562,AMAKA BELLO,Fidelity Bank Victoria Island,Salary Credit,Mobile App,"N777,579",02/06/2025,16:00,Reversed,0059684848,N/A,Kaduna,ngn
REF200248,0023756669,Bola Olawale,First Bank Wuse 2,Bill Payment,USSD,"NGN 264,390",13.02.2025,04:35 PM,Successful,N/A,(218) 501-6315,Cross River,USD
REF200090,0042868828,Segun Suleiman,ZENITH BANK Victoria Island,Bill Payment,Mobile App,"N601,507",2026/06/03,23:36,failed,0052235350,08467737826,ABUJA,USD
REF200077,0060929647,Emeka Yusuf,Access Bank Garki,POS Payment,Branch,"₦1,374,637.35",2025/11/23,19:42,Reversed,,96499091334,Edo,NGN 
REF200010,0038538251,Ifeoma Afolabi,GTBANK Apapa,Loan Repayment,ATM,"NGN 609,863",08/06/2025,08:04,Successful,unknown,+234388496965,Kano,NGN 
REF200429,0095320121,Chinedu Ogundimu,Sterling Bank Victoria Island,Airtime Purchase,POS,150761.43 naira,02/01/2026,10:27,Failed,,0222 394 3129,Enugu,ngn
REF200387,0041244663,  ifeoma nnamdi,Fidelity Bank Victoria Island,Airtime Purchase,Branch,  ,02-Jan-2026,17:05,Failed,,(114) 374-4701,Oyo State,USD
REF200048,0047308985,yusuf chukwu,GTBank Port Harcourt Main,Bill Payment,USSD,"N259,252",2025-09-11,14:56,Reversed,,01769367632,Ogun,Naira
REF200349,0023756669,Tunde Mohammed,Sterling Bank Port Harcourt Main,Loan Repayment,USSD,"N1,369,474",06.09.2025,07:11,Failed,0071662963,+234879374160,Fct Abuja,Naira
REF200078,0026753883,femi lawal,Wema Bank Garki,Loan Repayment,Agent Banking,478442.32 naira,2026-03-03,01:56 PM,Reversed,0035808537,01232812067,Anambra,Naira
REF200317,0052235350,Amaka Suleiman,Wema Bank Victoria Island,POS Payment,USSD,"₦1,314,412.89",01/06/2026,01:05 AM,Pending,,234-277-561-853,Edo,NGN 
REF200412,0028728463,chidi nwosu,Access Bank Port Harcourt Main,Withdrawal,POS,"₦1,213,641.30",2026/03/12,01:36 PM,successful,0039476249,234-439-735-989,Cross River,USD
REF200285,0042857966,Funmilayo Afolabi   ,wema bank Ikeja,--,Agent Banking,3431.47 naira,N/A,21:52,SUCCESSFUL,,46671168457,Enugu,NGN
REF200457,0018883684,IBRAHIM  OKONKWO,Access Bank Ikeja,Bill Payment,ATM,"N861,870",12/30/2025,19:41,Pending,0088320463,234-725-887-449,Lagos State,NGN
REF200151,0077827638,Fatima Adekunle,Zenith Bank Ikeja,Deposit,mobile app,163694.54,25/03/2025,09:34,SUCCESSFUL,  ,234-706-537-947,Enugu,Naira
REF200120,0060806024,Aliyu Suleiman,Wema Bank Victoria Island,Salary Credit,mobile app,1134807.1,21 August 2025,18:53,Reversed,nil,+234249985698,Kano,Naira
REF200254,0081971316,AMARA EZE,WEMA BANK Port Harcourt Main,POS Payment,Branch,"NGN 927,197",09/24/2025,05:05,Failed,,60466183982,kano,Naira
REF200393,nil,Fatima Suleiman,Sterling Bank Port Harcourt Main,Deposit,Mobile App,"NGN 647,558",11/07/2025,07:46,successful,N/A,234-899-358-891,Kaduna,Naira
REF200478,0047308985,yusuf abubakar,ACCESS BANK Wuse 2,Withdrawal,USSD,537845.1,03-May-2025,02:25,successful,-,234-931-438-663,Kaduna,Naira
REF200102,0070291817,Halima Abubakar   ,Uba Ikeja,POS Payment,USSD,427738.75 naira,2025-01-28,22:28,Failed,0071586053,234-367-136-959,Anambra,Naira
REF200056,0039345092,Aliyu Bello,Wema Bank Wuse 2,Bill Payment,ussd,"N1,293,277",18.02.2025,22:22,failed,0093016315,(706) 562-7298,Akwa Ibom,Naira
REF200063,0023556182,Funmilayo  Nwosu,First Bank Garki,Loan Repayment,Internet Banking,"1,291,235.66 ",2026/02/13,04:27,failed,0023556182,234-058-651-850,Delta,NGN
REF200185,  ,  Chioma Nnamdi,ZENITH BANK Garki,Salary Credit,Mobile App,"₦407,329.91",2026-01-04,03:40,successful,  ,59255562588,Oyo State,NGN
REF200389,0096977837,Chinedu Okonkwo,FIDELITY BANK Wuse 2,Loan Repayment,Agent Banking,"₦1,270,279.38",16-Mar-2025,15:04,Failed,0085329037,(557) 941-5521,Cross River,Naira
REF200027,0013999315,Funmilayo Afolabi,wema bank Wuse 2,Deposit,POS,"NGN 705,281",23.02.2026,11:22,SUCCESSFUL,Unknown,02081219136,Kano,USD
REF200370,0038898923,TUNDE OGUNDIMU,FIRST BANK Garki,Deposit,Branch,"₦74,964.78",21/05/2026,17:01,SUCCESSFUL,0081691040,0000000000,Abuja,NGN 
REF200271,0024942603,Ifeoma Nnamdi,Access Bank Wuse 2,POS Payment,ussd,"N1,051,335",08.11.2025,10:42,failed,0022448136,(419) 182-5537,Kaduna,NGN 
REF200194,0042868828,ibrahim olawale   ,zenith bank Victoria Island,Withdrawal,Branch,"NGN 843,485",04/12/2026,19:45,SUCCESSFUL,0057683626,57872982595,Anambra,NGN
REF200187,0088320463,Bola Suleiman,Access Bank Apapa,Loan Repayment,Branch,645381.42 naira,2025/05/29,22:23,Pending,0066306997,+234696325953,Lagos,USD
REF200235,0084752529,Tunde Afolabi,Wema Bank Ikeja,Transfer,ussd,"NGN 1,192,763",06/23/2026,18:09,SUCCESSFUL,,234-753-556-093,Lagos,NGN
REF200390,0077827638,Segun Afolabi,zenith bank Port Harcourt Main,Salary Credit,ATM,"N36,852",2025-04-09,06:56,SUCCESSFUL,,67467621202,Enugu,NGN
REF200219,0020709497,Bola Yusuf,Fidelity Bank Garki,POS Payment,Agent Banking,916001.71,08 February 2025,20:21,successful,,+234874064039,Abuja,NGN 
REF200499,0046231783,adaeze balogun,Wema Bank Victoria Island,Salary Credit,Mobile App,1077522.48 naira,04/04/2025,12:07 AM,Failed,0085345555,+234647570512,Plateau,NGN
REF200095,0046913810,Emeka Yusuf,gtbank Garki,Airtime Purchase,ussd,"N1,259,918",16-May-2026,05:42,Successful,Unknown,234-718-702-621,Anambra,NGN
REF200435,0094374605,Funmilayo  Yusuf,sterling bank Ikeja,Withdrawal,Internet Banking,"N35,784",2025-10-01,06:06,successful,NIL,(283) 411-0809,Delta,NGN
REF200222,0088461803,FEMI NWOSU,Wema Bank Apapa,Deposit,ATM,"NGN 443,095",06/10/2025,21:46,SUCCESSFUL,,0512 868 2300,Lagos State,USD
REF200320,0039476249,Grace Abubakar,FIDELITY BANK Port Harcourt Main,POS Payment,ATM,463682.69,N/A,09:20,Reversed,0077005685,+234788317121,Lagos,ngn
REF200130,0032969840,  aliyu lawal,GTBank Garki,,ATM,"NGN 1,145,472",2025-04-01,04:25 AM,successful,N/A,234-290-147-679,Oyo State,NGN 
REF200114,?,Amara Abubakar,Access Bank Ikeja,Deposit,ATM,"₦888,983.00",2026-01-03,20:11,Failed,n/a,234-532-931-839,Lag,Naira
REF200520,0099949389,Grace Ajayi,GTBank Ikeja,Salary Credit,Mobile App,"NGN 581,927",02.08.2025,10:22,SUCCESSFUL,?,234-845-776-004,Edo,NGN 
REF200361,0097226012,Yusuf Suleiman,First Bank Ikeja,Withdrawal,USSD,"₦504,072.01",00/00/0000,03:39 PM,Reversed,,0610 357 9727,Anambra,USD
REF200026,0058537831,Musa Adekunle,GTBANK Port Harcourt Main,Deposit,Branch,"N740,946",03/24/2025,20:24,Reversed,0038898923,(098) 050-0978,Enugu,NGN 
REF200283,0018883684,Chinedu Eze,wema bank Victoria Island,NIL,Mobile App,1219265.48,2026/01/02,13:12,Successful,,+234544948126,Kano,ngn
REF200459,0058537831,Grace Yusuf,UBA Ikeja,Loan Repayment,Mobile App,  ,05/01/2026,10:34 AM,Failed,0024942603,+234902601279,Rivers,NGN
REF200495,0091756179,CHIOMA MOHAMMED,fidelity bank Ikeja,Bill Payment,ussd,"₦1,481,729.04",14-Jan-2026,02:21,Pending,null,03416389448,Delta,ngn
REF200163,0045264581,Yusuf Abubakar,uba Victoria Island,Bill Payment,USSD,"₦1,397,128.66",2026/05/03,10:42,Successful,,234-195-205-852,Ogun,ngn
REF200422,0096282117,Ngozi Afolabi,Sterling Bank Victoria Island,Deposit,ussd,908268.8,08-Aug-2025,05:40 AM,SUCCESSFUL,,234-861-207-501,Rivers,NGN
REF200513,0020576383,Yusuf Lawal,Wema Bank Apapa,POS Payment,USSD,1420219.21,02.02.2026,11:10 AM,Pending,--,+234096789940,abuja,Naira
REF200487,0022575562,AMAKA BELLO,Fidelity Bank Victoria Island,Salary Credit,Mobile App,"N777,579",02/06/2025,16:00,Reversed,0059684848,N/A,Kaduna,ngn
REF200333,0055667651,chioma chukwu,Zenith Bank Port Harcourt Main,Salary Credit,POS,1369707.11,N/A,05:18 AM,Pending,0020576383,234-921-851-569,Imo,NGN
REF200256,0026753883,CHIOMA CHUKWU   ,Access Bank Apapa,Salary Credit,POS,1214874.5,2025-01-06,08:39 AM,Successful,null,0464 715 4379,Oyo,ngn
REF200318,0048840994,Zainab Olawale,fidelity bank Port Harcourt Main,Loan Repayment,Agent Banking,NULL,20/05/2025,06:14 PM,Successful,0014308421,+234741124903,Plateau,NGN
REF200149,0072043515,Sadiq Adeyemi,Wema Bank Ikeja,Airtime Purchase,Branch,"₦276,397.09",16-Sep-2025,06:37,Pending,0042857966,234-733-221-418,Ogun,NGN
REF200436,0032969840,Tunde Bello,zenith bank Port Harcourt Main,Airtime Purchase,Mobile App,"₦559,506.60",2025/05/31,20:47,Successful,N/A,(693) 084-8872,Oyo,USD
REF200043,0084093639,CHIDI OKAFOR,access bank Port Harcourt Main,Bill Payment,USSD,nil,2025/07/05,04:53 AM,successful,unknown,+234159514846,Cross River,USD
REF200334,0039345092,Femi Lawal,Sterling Bank Port Harcourt Main,Loan Repayment,USSD,298888.39,2026-05-06,22:42,failed,-,(545) 226-7528,Plateau,NGN
REF200180,0057683626,Ngozi Eze,Gtbank Victoria Island,Transfer,ATM,"NGN 33,041",10/10/2025,18:53,SUCCESSFUL,,0225 358 4143,Rivers,USD
REF200401,0081691040,IBRAHIM MOHAMMED,Fidelity Bank Apapa,Deposit,Mobile App,"NGN 489,021",16 January 2026,11:14 PM,SUCCESSFUL,0022981052,02726149331,Anambra,USD
REF200268,0071586053,Tunde Ajayi,Zenith Bank Ikeja,Withdrawal,USSD,"156,660.96 ",02/21/2025,14:56,Reversed,0041244663,01401051238,Rivers,ngn
REF200064,0015831819,Ibrahim Lawal,GTBank Wuse 2,Transfer,POS,590166.66,14-Apr-2026,08:13 AM,SUCCESSFUL,0058966946,0716 572 6284,Anambra,NGN 
REF200196,0052235350,Ibrahim Nnamdi   ,Sterling Bank Garki,Deposit,ATM,"NGN 318,901",2025/07/26,23:33,successful,,47055169409,Delta,USD
REF200234,0095225343,Tunde Ajayi,first bank Port Harcourt Main,Bill Payment,POS,"437,850.31 ",not set,05:32 PM,failed,0091030736,+234678544587,ABUJA,Naira
REF200392,null,IFEOMA ADEYEMI,gtbank Ikeja,Deposit,USSD,1405421.87,27/09/2025,22:17,successful,,0027 716 7014,Anambra,Naira
REF200489,0046231783,Chioma Okafor,UBA Ikeja,unknown,mobile app,"NGN 482,824",09-Feb-2025,04:53,Failed,,22820055778,Delta,NGN 
REF200400,0010872248,Adaeze  Okonkwo,UBA Port Harcourt Main,Airtime Purchase,Mobile App,"N945,692",2025-05-31,21:05,Successful,N/A,01130554885,Anambra,NGN
REF200024,0067503414,Sadiq Okeke,Zenith Bank Victoria Island,POS Payment,USSD,"₦624,552.95",20/08/2025,05:50 PM,successful,0045833156,03267736026,kano,NGN 
