TransactionID,Date,Store,ProductName,Category,Quantity,UnitPrice,TotalAmount,PaymentMethod,CustomerName,CustomerPhone,State,CashierID,DiscountApplied
TXN1152,not set,PRODIGY MART SURULERE,dettol soap,personal care,1,482.2933872074928,482.29 naira,Mobile Money,Ngozi Yusuf,08347359774,Abuja,EMP106,1
TXN1101,17-Jun-2026,Prodigy Mart Ikeja,Dettol Soap,personal care,5,479.44 naira,"N2,397",ATM Card,Chinedu Okafor,04821759464,Oyo,EMP116,true
TXN1471,11/01/2026,Prodigy Mart Ikeja,Indomie  Noodles Carton   ,Groceries,0,4267.86 naira,"NGN 4,268",pos,Bisi Mohammed   ,04333395211,Abuja,EMP103,1
TXN1011,04/17/2026,PRODIGY MART LEKKI,Maggi Cubes Pack,groceries,2,332.4626226272533,₦664.93,cash,  Kemi Adeyemi,(287) 101-2269,Lag,EMP112,yes
TXN1303,22.05.2026,Prodigy Mart Abuja Wuse,Always Sanitary Pad,Personal Care,2,NGN 917,1833.2818813085653,Cash,Unknown,(990) 421-0202,LAGOS,EMP136,no
TXN1077,2025/01/09,Prodigy Mart Lekki,Kings Vegetable Oil 5L,COOKING OIL,1,"N8,777",n/a,Card,Bola Nwosu,96499091334,rivers,EMP125,yes
TXN1091,2025-09-29,prodigy mart yaba,  dettol soap,PERSONAL CARE,5,457.98125095682883,"2,289.91 ",Mobile Money,Femi Lawal,09821465840,Oyo,EMP133,FALSE
TXN1467,02/06/2025,Prodigy Mart Lekki,Pampers Pack (Medium),BABY CARE,-1,"N6,245",6244.919194000483,Mobile Money,Sadiq Okeke,76973577907,oyo,EMP140,TRUE
TXN1394,not set,prodigy mart surulere,Always Sanitary Pad,Personal Care,10,-,,ATM Card,Chioma Suleiman,37562890028,Kano,EMP124,Yes
TXN1413,09-Mar-2025,Prodigy  Mart Yaba,Omo Detergent 1kg,HOUSEHOLD,1,1583.65 naira,"N1,584",Bank Transfer,Emeka Yusuf,03472122816,Lagos,EMP109,TRUE
TXN1190,2025-04-03,Prodigy Mart Surulere,Hollandia Yoghurt,dairy,-1,NGN 867,866.66 ,Cash,Segun Eze,+234016245650,Rivers State,EMP119,Yes
TXN1463,2025/05/13,Prodigy  Mart Lekki,Milo 900g,BEVERAGES,1,"N4,564","N4,564",cash,Adaeze Bello,+234214656693,Oyo,EMP134,Y
TXN1177,11 March 2026,PRODIGY MART ABUJA WUSE,Dettol Soap,PERSONAL CARE,1,₦495.64,Unknown,ATM Card,Bisi Mohammed,234-829-114-678,Ibadan,EMP114,Yes
TXN1345,2026/04/25,prodigy mart surulere   ,power oil 1l   ,Cooking Oil,--,1986.6735152055714,"NGN 3,973",Mobile Money,Amara Olawale,(310) 324-1714,Abuja,EMP105,FALSE
TXN1439,2025/05/18,PRODIGY MART SURULERE   ,Coca-Cola Crate,Beverages,2,3145.240983518926,"NGN 6,290",Transfer,Bola Eze,09275037314,Oyo,EMP115,FALSE
TXN1272,30.04.2026,prodigy  mart yaba   ,peak milk tin,Dairy,3,"₦1,316.87","NGN 3,951",cash,Segun Afolabi,47859696915,Oyo,EMP135,FALSE
TXN1473,2025/11/12,prodigy mart surulere,BEANS BAG 1 PAINT,GROCERIES,5,3931.4122163763986,"₦19,657.06",Cash,Chidi Afolabi   ,+234728463920,Kano,EMP134,Yes
TXN1469,2025/04/28,PRODIGY MART LEKKI,Bournvita 500g,Beverages,0,"₦2,869.91","N2,870",POS,  Chioma Eze,04341651827,Rivers,EMP133,0
TXN1251,29-Dec-2025,Prodigy Mart Abuja Wuse,Power Oil 1L,Cooking Oil,1,"₦2,120.45",2120.4540043158777,POS,Adaeze Balogun,0426 265 5110,Oyo,EMP108,0
TXN1434,29/03/2026,Prodigy Mart Surulere,   OMO DETERGENT 1KG,-,1,1544.2331497030953,"₦1,544.23",Card,  ,(775) 478-1291,Lagos,EMP122,no
TXN1061,N/A,Prodigy Mart Ikeja,Pampers Pack (Medium),baby care,2,"NGN 6,629","N13,258",cash,Halima Lawal,+234299124190,Rivers,EMP136,N
TXN1074,2025/10/15,prodigy mart surulere,Peak Milk Tin,DAIRY,0,1185.2446436858493,"₦1,185.24",Transfer,Zainab Olawale,234-775-204-711,Kano,EMP140,No
TXN1215,01-Apr-2026,prodigy mart abuja wuse,Golden Penny Spaghetti,GROCERIES,-1,NGN 862,N862,cash,Emeka  Nwosu,(279) 568-7833,Fct Abuja,EMP107,yes
TXN1221,2025-09-02,prodigy mart yaba,  OMO DETERGENT 1KG,Household,10,"₦1,583.97","₦15,839.70",cash,Funmilayo Suleiman,22656766182,Abuja,EMP121,N
TXN1419,not set,Prodigy Mart Lekki,Pampers Pack (Medium),baby care,5,"N5,877",,Bank Transfer,Grace Nwosu   ,93056164840,Rivers,EMP126,Y
TXN1158,23.03.2025,   Prodigy Mart Surulere,Beans Bag 1 Paint   ,Groceries,1,"NGN 3,658",3657.74 naira,Mobile Money,Amara Olawale,invalid,Ibadan,EMP137,Y
TXN1261,21-Mar-2026,Prodigy Mart Lekki,Close-Up Toothpaste,PERSONAL CARE,1,657.4840846855567,₦657.48,Transfer,Emeka Ogundimu,07416724342,Ibadan,EMP101,No
TXN1447,01-May-2025,PRODIGY MART SURULERE,Beans Bag 1 Paint,Groceries,5,"₦3,926.37","N19,632",pos,  Bola Abubakar,+234869904137,Abuja,EMP120,FALSE
TXN1346,15.07.2025,Prodigy Mart Surulere,POWER OIL 1L,Cooking Oil,0,2231.34 naira,"N2,231",NULL,Funmilayo Afolabi,77418625652,Abuja,EMP136,no
TXN1010,12.11.2025,Prodigy Mart Ikeja,Kings Vegetable Oil 5L,Cooking Oil,5,"₦7,920.82","39,604.11 ",Transfer,Chinedu Okonkwo,+234388496965,Rivers,EMP124,Yes
TXN1281,2026-03-08,PRODIGY MART LEKKI,GOLDEN PENNY SPAGHETTI,Groceries,0,"1,067.01 ",--,Cash,nil,234-171-339-596,Rivers State,EMP125,No
TXN1019,2025-12-19,prodigy mart yaba   ,Hollandia Yoghurt,Dairy,3,916.48 naira,"₦2,749.45",Card,,30103105183,Abuja,EMP131,No
TXN1188,2026/06/13,prodigy mart yaba,Pampers Pack (Medium),Baby Care,1,"NGN 7,281","NGN 7,281",cash,Aliyu Olawale,234-877-470-168,ABUJA,EMP115,1
TXN1172,2025-03-10,Prodigy Mart Lekki,Beans Bag 1 Paint,Groceries,3,"NGN 3,303",9910.08 naira,Bank Transfer,Bola Chukwu,71928565431,Oyo,EMP128,FALSE
TXN1292,11 May 2026,Prodigy Mart Surulere,Peak Milk Tin,DAIRY,1,1169.98 naira,"N1,170",ATM Card,Kemi Bello,234-271-361-115,kano,EMP100,FALSE
TXN1287,14 January 2025,Prodigy Mart Abuja Wuse,Maggi Cubes Pack,GROCERIES,2,346.88 naira,₦693.75,Bank Transfer,Kemi Suleiman,63745458929,Rivers,EMP125,FALSE
TXN1402,16/04/2026,PRODIGY MART SURULERE,Close-Up Toothpaste,Personal Care,10,701.52 naira,7015.192355885754,ATM Card,Obinna Afolabi   ,06373516091,Lagos,EMP117,No
TXN1385,27 November 2025,prodigy mart yaba,Dettol Soap,Personal Care,1,470.98 ,,cash,  Bisi Okeke,08356420873,ABUJA,EMP110,false
TXN1055,2025-04-26,PRODIGY MART LEKKI,Power Oil 1L,cooking oil,2,NULL,,Bank Transfer,  ,+234668893734,Lagos,EMP129,yes
TXN1005,05/09/2025,Prodigy Mart Surulere,Maggi Cubes Pack,Groceries,1,N401,NULL,Card,Chinedu  Okeke,07816184959,Lagos,EMP104,TRUE
TXN1299,2025/07/04,  Prodigy Mart Lekki,Golden Penny Spaghetti,GROCERIES,1,885.0950249035435,885.0950249035435,ATM Card,Segun Suleiman,(271) 091-0430,Lagos State,EMP139,0
TXN1275,13/04/2025,Prodigy Mart Surulere,Dangote Sugar 1kg,Groceries,10,1196.2345117831592,11962.345117831592,Mobile Money,Ifeoma Adekunle,0000000000,lagos,EMP123,TRUE
TXN1179,20.03.2025,Prodigy Mart Ikeja,Peak Milk Tin,Dairy,2,"NGN 1,167","NGN 2,335",Unknown,Ibrahim Chukwu,(892) 268-0182,Abuja,EMP135,FALSE
TXN1404,unknown date,Prodigy Mart Yaba,OMO DETERGENT 1KG,household,10,1578.60 naira,nil,Mobile Money,Chinedu Lawal,07829221699,Oyo,EMP124,Y
TXN1330,04/03/2026,PRODIGY MART ABUJA WUSE,  Always Sanitary Pad   ,Personal Care,1,N925,924.6444253233096,Mobile Money,Adaeze Balogun   ,05905992937,Kano,EMP105,no
TXN1430,03/28/2026,PRODIGY MART SURULERE,Golden Penny Spaghetti,Groceries,1,"₦1,016.73","N1,017",POS,NIL,+234781414139,Lagos,EMP131,N
TXN1113,02/08/2026,prodigy mart surulere,Peak Milk Tin   ,nil,1,Unknown,"N1,252",cash,Chidi Okeke,(506) 431-7139,Lagos,EMP120,0
TXN1192,07/12/2025,Prodigy Mart Lekki,Maggi Cubes Pack,Groceries,,N379,3794.82 naira,NULL,Grace Yusuf   ,84991216558,Abuja,EMP126,no
TXN1296,22-May-2025,  Prodigy Mart Ikeja,KNORR SEASONING   ,groceries,3,NGN 376,"₦1,127.60",cash,Amara Nwosu,89994043898,Lagos,EMP116,true
TXN1271,18.04.2025,prodigy mart ikeja,Omo Detergent 1kg   ,HOUSEHOLD,-1,1352.98 naira,"₦1,352.98",pos,n/a,+234191825537,Abuja,EMP138,1
TXN1286,03/13/2025,Prodigy Mart Ikeja   ,Dettol Soap,PERSONAL CARE,-,424.1511645760399,NGN 848,,Amara Yusuf,234-590-175-186,Rivers State,EMP134,yes
TXN1416,06/11/2025,PRODIGY  MART SURULERE   ,Dangote Sugar 1kg,groceries,-1,"N1,191",1190.579625268351,pos,Amaka Olawale,51583281826,abuja,EMP116,1
TXN1040,05.04.2026,Prodigy Mart Yaba,La Casera Drink,BEVERAGES,2,380.83 ,761.67 naira,pos,Tunde Nnamdi,+234586850142,Kano,EMP128,no
TXN1429,10.11.2025,Prodigy Mart Surulere,Bournvita 500g,beverages,1,-,2595.9263650539015,Mobile Money,Emeka  Afolabi   ,0222 394 3129,Lagos State,EMP134,false
txn1066,2025-04-20,  PRODIGY MART SURULERE,Kings Vegetable Oil 5L,Unknown,5,"N8,323","NGN 41,615",cash,Bisi Balogun,37996507527,kano,EMP119,yes
TXN1375,2025/07/06,prodigy mart abuja wuse   ,Hollandia Yoghurt,Dairy,3,"N1,019",3058.385972213985,POS,  Kunle Lawal,+234743292712,Oyo,EMP131,no
txn1414,06/05/2025,Prodigy Mart Surulere,  Milo 900g,BEVERAGES,10,"N4,721","₦47,214.10",Transfer,  Amaka Lawal,234-484-229-405,ABUJA,EMP116,Y
TXN1182,05 January 2025,prodigy mart yaba,bournvita 500g,BEVERAGES,2,"₦2,640.24",5280.482847856912,cash,Adaeze Balogun   ,0299 590 0109,Abuja,EMP118,1
TXN1225,21.12.2025,  Prodigy Mart Abuja Wuse,Indomie Noodles Carton,Groceries,2,"NGN 4,367","N8,734",Mobile Money,Chidi Ogundimu   ,0079 030 6738,ABUJA,EMP101,no
TXN1255,14.02.2026,PRODIGY MART YABA,KINGS VEGETABLE OIL 5L   ,Cooking Oil,unknown,"NGN 9,246",27738.198153473462,Card,Chidi Nnamdi,62244472126,KANO,EMP106,false
TXN1438,02/04/2026,Prodigy Mart Surulere,Golden Penny Spaghetti,GROCERIES,10,1062.442995698638,10624.43 naira,cash,Kemi Yusuf,N/A,Lag,EMP132,TRUE
TXN1060,21.01.2026,prodigy mart lekki,Milo 900g,Beverages,5,"NGN 3,937","N19,683",ATM Card,Bola Suleiman,00923271937,Abuja,EMP137,false
TXN1176,19.07.2025,  PRODIGY MART SURULERE,Golden Penny Spaghetti,Groceries,3,N868,"₦2,604.21",pos,Zainab Afolabi,(313) 237-0589,Lagos State,EMP126,0
TXN1069,2026/01/04,PRODIGY MART IKEJA,Milo 900g,Beverages,-1,nil,"₦3,818.60",cash,Chidi Nnamdi,43634957885,Oyo,EMP109,no
TXN1097,not set,prodigy mart lekki,Maggi Cubes Pack,Groceries,2,337.70 naira,675.399597724598,Mobile Money,Yusuf Olawale,234-913-431-611,Rivers State,EMP129,No
TXN1256,2025-06-02,Prodigy  Mart Lekki,Knorr Seasoning,groceries,0,N359,NGN 359,cash,  ,+234647154379,Rivers,EMP127,Y
TXN1144,unknown date,prodigy mart yaba,Kings Vegetable Oil 5L,Cooking Oil,1,8060.677137641835,"8,060.68 ",pos,Chidi Okeke,0518 203 7788,Kano,EMP102,N
TXN1208,07/17/2025,  Prodigy Mart Yaba   ,Omo Detergent 1Kg,Household,1,1472.94 naira,1472.94 naira,ATM Card,  Aliyu Okonkwo   ,(067) 240-0499,Lagos,EMP129,0
TXN1090,18/06/2025,prodigy mart surulere,Indomie Noodles Carton,groceries,5,"₦5,110.25","25,551.24 ",,Aliyu Balogun,N/A,Rivers,EMP130,No
TXN1342,07/07/2025,Prodigy Mart Surulere,Power Oil 1L,Cooking Oil,3,"N2,225",6674.665686241986,Bank Transfer,Kemi Nwosu,234-629-620-153,Rivers,EMP120,0
TXN1451,2025-11-22,PRODIGY MART YABA   ,  milo 900g,beverages,2,4646.43 naira,"₦9,292.85",cash,Adaeze Nwosu,+234908811729,Kano,EMP131,true
TXN1119,01 May 2025,Prodigy Mart Abuja Wuse,Peak Milk Tin,Unknown,-1,nil,"N1,231",POS,Kemi  Lawal,234-661-771-159,Abuja,EMP136,TRUE
TXN1044,2026/01/12,PRODIGY MART YABA,COCA-COLA CRATE,Beverages,10,"₦3,433.65","NGN 34,337",Bank Transfer,  Kunle Adeyemi,06482366299,Abuja,EMP128,Yes
TXN1062,04-Mar-2026,Prodigy Mart Abuja Wuse,Kings Vegetable Oil 5L,COOKING OIL,1,8204.14498355826,8204.14498355826,Cash,Amaka Balogun,+234663193149,Lagos,EMP100,N
TXN1441,2025/01/14,prodigy mart yaba,Kings Vegetable Oil 5L,?,0,"NGN 8,763","NGN 8,763",Cash,Musa Balogun,234-844-989-266,ABUJA,EMP130,no
TXN1400,2025-12-16,Prodigy Mart Yaba,Always Sanitary Pad,Personal Care,5,N922,"₦4,608.49",ATM Card,Femi Nnamdi   ,(113) 055-4885,Oyo State,EMP115,FALSE
TXN1213,02/21/2026,prodigy mart lekki,Pampers Pack (Medium)   ,Baby Care,1,"₦6,345.00",6345.00 naira,cash,Chioma Chukwu,(990) 453-0174,Oyo,EMP125,false
TXN1300,2025/05/21,prodigy mart abuja wuse,Always Sanitary Pad,Personal Care,1,₦903.34,₦903.34,cash,--,06848666188,abuja,EMP127,TRUE
TXN1383,11/17/2025,prodigy mart abuja wuse,Hollandia Yoghurt,--,10,1010.3753364411323,"₦10,103.75",Cash,Emeka Okafor,234-461-849-926,Kano,EMP138,TRUE
TXN1132,08/05/2026,Prodigy  Mart Lekki,Pampers Pack (Medium),Baby Care,-1,6048.4799572202055,"N6,048",Transfer,Bola Nwosu   ,84036900343,lagos,EMP134,No
TXN1393,18.01.2026,prodigy mart yaba,Dangote Sugar 1kg,nil,3,1191.2600420417555,3573.780126125266,cash,Chioma  Yusuf,,rivers,EMP104,No
TXN1007,05/08/2026,PRODIGY MART YABA,Omo Detergent 1kg,Household,1,"₦1,502.41","₦1,502.41",?,Obinna  Nnamdi,02553419283,oyo,EMP125,No
TXN1351,2025/04/18,prodigy mart surulere,Close-Up Toothpaste,Personal Care,2,729.12 naira,"N1,458",Cash,  ,N/A,Abuja,EMP136,0
TXN1118,10-Aug-2025,prodigy mart lekki   ,Indomie Noodles Carton,Groceries,2,"N5,116","N10,231",POS,  Chioma Mohammed,+234783908470,Ibadan,EMP139,FALSE
TXN1367,2025/04/12,PRODIGY MART SURULERE,Beans Bag 1 Paint,GROCERIES,1,"3,946.83 ",3946.8293386525024,pos,Chioma Adeyemi,54544432830,Oyo,EMP140,yes
TXN1238,22-Jul-2025,Prodigy Mart Abuja Wuse   ,Beans Bag 1 Paint,groceries,1,"N3,766","3,766.04 ",Transfer,   Bola Bello   ,05228728080,Lagos,EMP137,Yes
TXN1421,30 March 2025,PRODIGY MART ABUJA WUSE,indomie noodles carton   ,Groceries,0,"N4,955",4954.922252264618,POS,Chidi Nwosu,234-128-801-336,Rivers,EMP102,0
TXN1020,2026-05-06,  PRODIGY MART YABA,Indomie Noodles Carton,GROCERIES,0,"₦4,369.88","N4,370",Bank Transfer,Kunle Ajayi,0473 829 9737,Rivers,EMP103,FALSE
TXN1186,02/26/2026,Prodigy Mart Surulere   ,MILO 900G,Beverages,3,"N4,822",--,pos,  Kunle Lawal,234-537-147-321,Abuja,EMP123,1
TXN1043,2025/06/29,Prodigy Mart Yaba   ,   peak milk tin,Dairy,3,1243.80 naira,3731.412370686922,Card,Sadiq Adeyemi,61595148465,Kano,EMP124,no
TXN1361,04.06.2026,prodigy mart abuja wuse,Kings Vegetable Oil 5L,cooking oil,1,9734.65 naira,"N9,735",POS,Yusuf  Okafor,+234103579727,Lagos,EMP104,false
TXN1408,2026/05/17,Prodigy Mart Yaba,Dettol Soap,Personal Care,10,NGN 465,"₦4,645.00",ATM Card,--,234-996-846-081,Port Harcourt,EMP112,Yes
TXN1417,09 December 2025,Prodigy Mart Abuja Wuse,GOLDEN PENNY SPAGHETTI,groceries,10,n/a,"N10,629",Mobile Money,Chioma Nnamdi,08861533555,Kano,EMP137,TRUE
TXN1115,19 February 2026,Prodigy Mart Surulere,knorr seasoning,Groceries,1,419.20 naira,419.20 ,Transfer,Ngozi Ogundimu,35290422842,Kano,EMP102,N
TXN1337,12/14/2025,PRODIGY MART SURULERE   ,coca-cola crate,Beverages,3,"N3,210","₦9,630.94",-,Amara Chukwu,25135521570,Kano,EMP109,false
TXN1338,N/A,prodigy mart abuja wuse,Kings Vegetable Oil 5L,Cooking Oil,1,"₦8,940.83","₦8,940.83",Mobile Money,Segun Bello,0433 154 1006,Lagos,EMP104,no
TXN1235,09/05/2026,Prodigy Mart Surulere,Milo  900G,BEVERAGES,1,"₦4,640.58",,Mobile Money,Segun Lawal,234-753-556-093,Oyo,EMP107,1
TXN1391,03/22/2026,  prodigy mart ikeja,Peak Milk Tin,dairy,0,1330.62 naira,"N1,331",Bank Transfer,Chioma Chukwu,0169 797 2965,Ibadan,EMP105,FALSE
TXN1182,05 January 2025,prodigy mart yaba,bournvita 500g,BEVERAGES,2,"₦2,640.24",5280.482847856912,cash,Adaeze Balogun   ,0299 590 0109,Abuja,EMP118,1
TXN1164,2026/01/03,prodigy mart ikeja,Maggi Cubes Pack,groceries,1,364.6338399822943,NGN 365,POS,  Segun Lawal,72217043030,Ibadan,EMP104,TRUE
TXN1051,03 November 2025,Prodigy Mart Yaba,Rice Bag 50kg (Mama Gold),Groceries,1,61890.79611193049,"₦61,890.80",ATM Card,Grace Okeke,(727) 743-4873,KANO,EMP115,Yes
TXN1363,2025/12/06,Prodigy Mart Yaba,indomie noodles carton,GROCERIES,10,"NGN 4,870","₦48,697.51",ATM Card,-,09333346800,Oyo State,EMP124,yes
TXN1464,2025-03-31,Prodigy Mart Yaba,MAGGI  CUBES PACK,nil,5,360.3846137917756,"N1,802",Card,Chioma Adeyemi,00118489554,Kano,EMP112,0
TXN1124,10/03/2025,Prodigy Mart Yaba,Beans Bag 1 Paint,  ,2,"₦3,932.53",7865.053442522861,pos,Obinna Okeke,+234988516560,Ibadan,EMP130,TRUE
TXN1373,01/25/2025,Prodigy Mart Surulere,Milo 900g,Beverages,1,"NGN 4,770",4770.359244235823,ATM Card,N/A,01684602235,Lagos,EMP120,no
TXN1236,2026-03-23,Prodigy  Mart Abuja Wuse,Hollandia Yoghurt,dairy,  ,N854,853.70 naira,Transfer,Musa  Okeke,0048 996 4235,Kano,EMP105,TRUE
TXN1470,08-Aug-2025,  prodigy mart surulere,Omo Detergent 1kg,household,2,1697.0561195806804,"₦3,394.11",Cash,  ,+234539423733,Abuja,EMP124,Y
