ShipmentID,DriverName,VehicleType,VehiclePlateNumber,OriginCity,DestinationCity,DispatchDate,DeliveryDate,Distance_km,PackageWeight_kg,DeliveryStatus,DeliveryFee,CustomerPhone,FuelCost,OnTimeDelivery
SHP700221,Grace Nwosu,VAN,ABJ-188BX,Lagos,Ibadan,15-Jul-2025,,105.2,429.58,delivered,38680.00 naira,0000000000,"N9,651",1
SHP700055,Halima Ogundimu,Truck,LND-231AA,Lagos,Lagos (Intra-city),2025-02-16,02/21/2025,363.5,144656.5,Delivered,"₦5,283.00",0466 889 3734,?,no
SHP700212,segun  okonkwo,Bike,ABJ-191BX,Lagos,Benin,09/24/2025,,332.7,99732.5,In Transit,"NGN 8,937",07530463745,nil,0
SHP700320,Chioma Okafor,Truck (Big),null,Lagos,Lagos (Intra-city),2025/05/11,,503.3,27.24,Returned to Sender,"NGN 41,703",67883171210,21411.0,false
SHP700334,Adaeze Adekunle,Bike,NULL,Lagos,Abuja,09/02/2025,02/10/2025,284.7,290.16,DELAYED,70195.00 naira,234-452-267-528,nil,no
SHP700229,Obinna Ogundimu   ,Tricycle (Keke),LND-864AA,Kano,Kaduna,27/03/2026,2026-04-02,529.9,n/a,Delivered,unknown,N/A,,yes
SHP700385,Chidi Okonkwo   ,Tricycle (Keke),KJA-961BX,Port Harcourt,Aba,,N/A,460.7,--,DELAYED,51475.00 naira,08356420873,10463.00 naira,No
SHP700323,SEGUN NNAMDI,Truck,PHC-832AA,Lagos,Benin,2026-04-25,2026/04/26,794.8,490.89,Returned to Sender,"N56,524",29667066253,"NGN 6,918",FALSE
SHP700044,Ifeoma Abubakar,Tricycle (Keke),PHC-265AA,Abuja,Kaduna,2026-03-31,,421.3,119964.7,Delivered,60902.00 naira,06482366299,--,No
SHP700251,Blessing Bello,Van,LND-502KL,Lagos,Lagos (Intra-city),01.11.2025,05/11/2025,355.0,90199.3,In Transit,77379.00 naira,04262655110,"₦4,908.00",no
SHP700363,Bisi Okafor,Van,-,Lagos,Abuja,17/05/2026,22 May 2026,30.9,169062.1,Delivered,"₦46,171.00",0933 334 6800,12438.0,N
SHP700253,Zainab Adeyemi,bike,  ,Kano,Kaduna,2025/06/22,2025-06-23,427.5,77.17,Delivered,65996.0,234-610-158-199,"₦9,599.00",Yes
SHP700151,Amara Suleiman,Tricycle (Keke),null,Lagos,Lagos (Intra-city),29 November 2025,N/A,232.3,413.16,DELAYED,"N70,132",(270) 653-7947,"N23,685",No
SHP700076,Blessing Chukwu,Bike,PHC-207BX,Lagos,Lagos (Intra-city),17/03/2026,2026-03-19,99.8,255.58,Cancelled,"₦30,583.00",0869 993 8677,"13,410.00 ",No
SHP700347,Amara Nwosu,Truck (Big),ABJ-160BX,Lagos,Abuja,2025-11-15,15 November 2025,302.5,85043.2,Delayed,59148.0,(704) 774-3490,"NGN 38,460",0
SHP700286,Segun Mohammed,Bike,PHC-285BX,Abuja,Kaduna,03/29/2026,31/03/2026,152.5,116245.7,DELAYED,"N34,415",07590175186,"N19,291",1
SHP700227,HALIMA SULEIMAN,Van,LND-128KL,Lagos,Lagos (Intra-city),19.02.2026,25/02/2026,699.0,18.97,Delayed,"NGN 53,854",,"₦23,753.00",no
SHP700213,Aliyu Abubakar,Truck (Big),KJA-844KL,Enugu,Onitsha,02.05.2025,05/06/2025,116.0,144.34,Delayed,"N50,172",0990 453 0174,NIL,1
SHP700079,Ngozi Abubakar,bike,PHC-518KL,Port Harcourt,Aba,24-May-2025,25.05.2025,172.5,475945.1,Delayed,"NGN 20,274",(740) 344-7134,31105.00 naira,No
SHP700369,Blessing Chukwu,Van,ABJ-583KL,Enugu,Onitsha,2025-04-04,,?,276.25,In Transit,58587.00 naira,+234993538758,"₦21,008.00",FALSE
SHP700026,Obinna Yusuf,Truck,PHC-954BX,Lagos,Abuja,19 August 2025,22 August 2025,510.5,473.56,Delivered,24567.0,(098) 050-0978,2097.0,FALSE
SHP700201,Emeka Suleiman,Truck (Big),PHC-293AA,Lagos,Ibadan,2025/03/26,26-Mar-2025,67.4,368219.1,Returned to Sender,"₦56,489.00",0549 733 4843,39148.0,Y
SHP700035,OBINNA OGUNDIMU   ,VAN,KJA-490KL,Port Harcourt,Aba,15 April 2026,2026/04/16,20.4,423.73,DELAYED,19454.00 naira,234-801-128-059,17152.0,no
SHP700305,Aliyu Balogun,VAN,LND-315KL,Lagos,Abuja,2025/03/21,23/03/2025,447.3,195.7,delivered,"₦52,156.00",234-481-491-778,25332.00 naira,Y
SHP700341,Blessing Nnamdi,Bike,KJA-139BX,Lagos,Lagos (Intra-city),22 March 2025,2025/03/22,n/a,253776.6,DELAYED,"N80,254",+234262181599,9110.00 naira,Y
SHP700159,Ngozi Nnamdi,Tricycle (Keke),KJA-288BX,Port Harcourt,Aba,08/25/2025,31/08/2025,538.7,344226.6,In Transit,63488.0,0036 971 1798,"NGN 20,618",0
SHP700371,Ngozi Nwosu,Van,KJA-199BX,Lagos,Abuja,2025/04/17,2025-04-20,135.7,183549.0,DELAYED,"NGN 39,106",01353465549,"NGN 7,625",N
SHP700118,Musa Nnamdi,VAN,ABJ-305AA,Kano,Kaduna,2025-09-12,2025/09/14,538.7,67119.2,Returned to Sender,"NGN 59,475",234-783-908-470,24147.0,true
SHP700171,Tunde Okeke,Truck,LND-941BX,Kano,Kaduna,22/03/2026,2026/03/28,512.7,n/a,Returned to Sender,"N76,922",N/A,"NGN 19,213",FALSE
SHP700209,fatima mohammed,Bike,PHC-646BX,Lagos,Abuja,17 November 2025,20.11.2025,327.9,372107.5,delivered,"NGN 32,206",(547) 887-2874,nil,Yes
SHP700002,Tobi Nwosu,Bike,ABJ-987AA,Lagos,Abuja,23.01.2026,2026/01/28,166.1,288.89,delivered,"N7,462",+234013389083,  ,false
SHP700166,Funmilayo Bello,Truck (Big),ABJ-684KL,Lagos,Lagos (Intra-city),20.01.2025,2025-01-24,384.1,33.57,Delivered,"NGN 43,004",234-541-566-765,"₦13,488.00",Yes
SHP700342,Zainab Okonkwo,Truck,PHC-643KL,Abuja,Kaduna,01.04.2025,05-Apr-2025,856.0,2.1,Delayed,"NGN 46,875",234-629-620-153,"NGN 18,993",1
SHP700015,Amaka Suleiman,Van,PHC-560BX,Abuja,Kaduna,2025-05-05,2025-05-12,448.5,445767.2,In Transit,"NGN 24,188",+234570154303,n/a,false
SHP700398,Chidi Chukwu,VAN,ABJ-576BX,Lagos,Benin,not set,04/15/2025,unknown,267.91,Delivered,76303.00 naira,08019948837,4486.0,FALSE
SHP700345,Adaeze Adekunle,Truck (Big),PHC-771BX,Lagos,Abuja,2026-05-29,2026/05/30,361.2,141.9,Delivered,"2,731.00 ",+234103241714,--,N
SHP700380,Tunde Afolabi,Truck (Big),PHC-917AA,Lagos,Lagos (Intra-city),23 July 2025,29 July 2025,394.4,302.01,Returned to Sender,"N42,583",60332309821,Unknown,No
SHP700144,Aliyu Abubakar,Van,ABJ-396AA,Abuja,Kaduna,2026-06-14,21/06/2026,508.9,371592.0,Delivered,"₦17,026.00",51820377889,"₦2,312.00",Yes
SHP700031,FUNMILAYO AFOLABI,Truck,ABJ-363BX,Lagos,Abuja,10.02.2025,11/02/2025,248.1,45521.6,DELAYED,"N57,973",(251) 354-2784,"₦32,046.00",TRUE
SHP700137,obinna abubakar,Truck (Big),KJA-259AA,Enugu,Onitsha,2025/11/18,18 November 2025,500.2,91.8,Delayed,53326.00 naira,(681) 645-3521,20651.0,yes
SHP700085,Femi Ajayi,bike,  ,Kano,Kaduna,12/26/2025,2025-12-29,867.1,124.27,DELAYED,81215.00 naira,0512 567 4680,-,no
SHP700155,Fatima Suleiman,Truck,PHC-737KL,Lagos,Ibadan,2025/12/18,,65.0,235.86,Delivered,"₦22,831.00",61375060685,"N4,017",Yes
SHP700199,Kunle Eze,Van,ABJ-289KL,Lagos,Ibadan,26.04.2026,2026-04-30,111.4,151.17,DELAYED,"NGN 62,334",02636897028,31003.00 naira,false
SHP700335,Ibrahim Mohammed,Bike,LND-723AA,Lagos,Lagos (Intra-city),22.02.2026,27-Feb-2026,211.4,NIL,In Transit,N/A,+234392644220,"N39,917",false
SHP700390,Ifeoma Lawal,Van,KJA-100AA,Port Harcourt,Aba,2025-02-20,00/00/0000,530.5,261113.4,In Transit,"65,344.00 ",+234746762120,8059.00 naira,FALSE
SHP700162,IBRAHIM OKONKWO,Tricycle (Keke),PHC-975BX,Lagos,Lagos (Intra-city),00/00/0000,10-Jun-2025,?,Unknown,Delayed,"N53,250",00670654051,-,Yes
SHP700315,  Ifeoma Balogun,Bike,PHC-994AA,Lagos,Lagos (Intra-city),,16 April 2026,10.2,10903.0,DELAYED,"NGN 9,341",0199 062 3445,15330.00 naira,true
SHP700259,chidi chukwu   ,Bike,PHC-679AA,Lagos,Ibadan,2025-01-14,19-Jan-2025,409.0,462882.7,Delivered,55851.0,02654793564,15734.0,Yes
SHP700193,Ibrahim Okafor,Truck (Big),,Lagos,Benin,03/29/2026,01.04.2026,65.5,Unknown,DELAYED,"N38,696",(523) 986-8000,"N20,638",TRUE
SHP700063,Blessing Mohammed,Tricycle (Keke),LND-672BX,Enugu,Onitsha,30/04/2025,30 April 2025,--,45.93,Delivered,"₦46,687.00",0905 865 1850,nil,Y
SHP700244,Wale Adeyemi,bike,ABJ-974KL,Lagos,Benin,07/14/2025,,213.3,159.32,DELAYED,"N43,941",66687002176,  ,FALSE
SHP700132,Aliyu Mohammed   ,bike,NIL,Kano,Kaduna,23 August 2025,08/23/2025,271.1,175.58,Delayed,10400.00 naira,234-403-690-034,"NGN 18,095",yes
SHP700394,Chinedu Olawale,Truck,KJA-938KL,Lagos,Ibadan,02/13/2026,2026/02/13,352.2,334.7,DELAYED,"N14,909",37562890028,"NGN 17,250",Y
SHP700141,Musa Bello,Tricycle (Keke),PHC-271AA,Kano,Kaduna,03/15/2025,16-Mar-2025,194.1,unknown,Returned to Sender,5994.0,09058147700,N/A,true
SHP700300,Kemi Nnamdi,Tricycle (Keke),ABJ-749BX,Lagos,Lagos (Intra-city),15/01/2025,18 January 2025,139.7,158545.7,In Transit,30565.0,06848666188,"NGN 15,824",yes
SHP700187,Amaka Ogundimu,bike,ABJ-705AA,Lagos,Benin,24-Aug-2025,2025/08/24,479.4,Unknown,Cancelled,41519.0,0469 632 5953,5157.0,false
SHP700061,Emeka Ogundimu,Truck,KJA-696KL,Kano,Kaduna,2025-04-08,08-Apr-2025,81.3,3911.6,Returned to Sender,78579.0,52991241904,"N13,211",N
SHP700393,Musa Nnamdi,VAN,PHC-143KL,Port Harcourt,Aba,2025/04/17,18.04.2025,462.3,418787.3,delivered,76966.00 naira,08993588916,unknown,0
SHP700167,Wale Lawal,bike,KJA-894BX,Abuja,Kaduna,05.04.2025,07/04/2025,17.0,77461.8,Returned to Sender,"NGN 11,172",,"₦35,789.00",true
SHP700279,Yusuf Abubakar,VAN,KJA-221BX,Abuja,Kaduna,2025/04/24,29.04.2025,25.5,210.82,delivered,"NGN 71,896",09788191485,"NGN 6,793",Yes
SHP700349,Halima Ajayi,Truck (Big),ABJ-268KL,Lagos,Lagos (Intra-city),2025-06-19,21/06/2025,131.7,476021.7,delivered,9336.00 naira,(687) 937-4160,"NGN 7,945",TRUE
SHP700376,Funmilayo Suleiman,Van,LND-881AA,Enugu,Onitsha,2026-05-23,2026-05-30,39.5,47736.7,delivered,"₦14,409.00",+234666760083,"₦25,185.00",TRUE
SHP700081,funmilayo yusuf,Bike,ABJ-868BX,Lagos,Benin,31.07.2025,2025/08/02,450.8,266.37,DELAYED,57966.00 naira,234-994-717-464,"₦16,257.00",No
SHP700169,Zainab Ajayi,VAN,PHC-731BX,Lagos,Ibadan,2026/04/28,29.04.2026,31.1,27.37,Delivered,unknown,27570596401,"NGN 19,685",N
SHP700392,Emeka Lawal,Tricycle (Keke),PHC-158KL,Lagos,Benin,14.05.2026,2026/05/18,683.8,366013.8,DELAYED,"NGN 22,479",0000000000,"N20,809",true
SHP700262,Obinna Lawal,Bike,LND-162BX,Lagos,Benin,not set,23 March 2025,213.0,32.6,Returned to Sender,83906.0,0617 979 6886,"NGN 24,966",true
SHP700134,Wale Bello,bike,nil,Enugu,Onitsha,2026/03/22,2026/03/22,149.3,19358.8,In Transit,"N4,306",+234388516060,"NGN 27,613",true
SHP700208,Chidi Lawal,Bike,LND-421KL,Abuja,Kaduna,13-Jun-2025,14.06.2025,19.3,329.51,Delivered,49176.00 naira,06724004991,N/A,N
SHP700186,  Chioma Nwosu,bike,PHC-282BX,Lagos,Lagos (Intra-city),08/24/2025,08/28/2025,?,n/a,Delivered,72613.00 naira,234-537-147-321,"₦13,216.00",true
SHP700168,Femi Olawale,VAN,LND-379AA,Port Harcourt,Aba,24 January 2025,2025-01-25,521.9,96676.5,delivered,"N68,634",234-451-154-479,14872.00 naira,Y
SHP700152,kunle yusuf,Truck (Big),PHC-277BX,Lagos,Ibadan,17 April 2026,2026-04-18,nil,125303.5,Delivered,--,08347359774,"N10,615",FALSE
SHP700001,AMARA AFOLABI,VAN,PHC-325BX,Lagos,Abuja,26/01/2025,2025-01-28,668.7,368.37,DELAYED,"₦29,606.00",234-043-321-819,32671.0,TRUE
SHP700203,Kunle Ogundimu,Truck (Big),LND-882AA,Kano,Kaduna,01/12/2025,06-Dec-2025,141.7,Unknown,delivered,"NGN 73,340",0866 524 0415,"NGN 13,873",No
SHP700111,Amaka Eze,bike,LND-389AA,Port Harcourt,Aba,07 March 2026,03/11/2026,371.3,350512.8,In Transit,4790.00 naira,0758 692 6179,"N2,104",No
SHP700014,  TOBI YUSUF,Truck (Big),LND-566BX,Lagos,Benin,2025/03/28,04/04/2025,372.1,nil,DELAYED,"₦65,799.00",+234489325288,28445.00 naira,TRUE
SHP700116,Zainab Chukwu,Bike,LND-877KL,Lagos,Lagos (Intra-city),25.02.2025,2025-03-01,472.4,n/a,Cancelled,13228.0,01020539502,"₦9,445.00",1
SHP700005,  Emeka Adeyemi,Truck (Big),ABJ-231KL,Lagos,Ibadan,2025-11-28,04 December 2025,65.3,415916.9,delivered,27528.0,(781) 618-4959,"₦11,420.00",Yes
SHP700131,Amaka Mohammed,Van,nil,Lagos,Abuja,24.08.2025,,343.5,429866.1,Returned to Sender,"₦46,530.00",64381561497,"NGN 21,838",Yes
SHP700042,Funmilayo Eze,Tricycle (Keke),KJA-358KL,Lagos,Lagos (Intra-city),17 October 2025,2025/10/22,351.7,394.72,delivered,"NGN 59,823",06934060883,16314.0,Y
SHP700104,Segun Okonkwo,Truck,LND-391AA,Lagos,Ibadan,05 September 2025,2025/09/08,338.4,237553.9,delivered,"₦35,694.00",95339421047,  ,Y
SHP700205,Kemi Okafor,bike,LND-424BX,Lagos,Lagos (Intra-city),23/06/2025,06/24/2025,184.4,211525.3,DELAYED,"₦57,227.00",0933 083 3016,Unknown,N
SHP700382,Ifeoma  Okeke,bike,LND-898AA,Port Harcourt,Aba,2025-08-17,08/20/2025,429.8,100565.6,Delayed,20954.0,0000000000,,0
SHP700240,Blessing Bello,Tricycle (Keke),LND-447KL,Port Harcourt,Aba,26-Jan-2026,29/01/2026,346.2,nil,DELAYED,"N17,667",234-099-770-088,"N20,293",Y
SHP700218,Kemi Okeke,Bike,PHC-930BX,Lagos,Benin,03-Jan-2026,,600.6,442763.8,delivered,"N20,223",0718 707 2867,"₦26,595.00",0
SHP700069,Tobi Lawal   ,bike,KJA-117KL,Lagos,Benin,25.08.2025,27/08/2025,65.8,186913.7,Returned to Sender,"45,459.00 ",0436 349 5788,unknown,FALSE
SHP700350,Amara Yusuf,Van,LND-706AA,Abuja,Kaduna,12/20/2025,21 December 2025,518.8,455799.6,Delayed,"49,567.00 ",98992172233,27403.00 naira,Y
SHP700239,Bola Ajayi,Truck (Big),LND-740BX,Abuja,Kaduna,21/04/2025,27.04.2025,428.9,410.91,Delivered,78246.00 naira,00623120387,"₦5,869.00",Yes
SHP700264,Emeka Ajayi,VAN,LND-456BX,Lagos,Ibadan,26-Nov-2025,2025-11-27,19.9,368038.6,DELAYED,"N44,925",(965) 610-1438,N/A,yes
SHP700333,Blessing Okafor,Truck,PHC-753KL,Lagos,Ibadan,,13-May-2025,370.4,423.87,Delayed,23172.00 naira,+234921851569,,N
SHP700139,Amaka Eze,Truck (Big),ABJ-668BX,Lagos,Lagos (Intra-city),09.01.2026,11/01/2026,769.6,285.92,DELAYED,54159.00 naira,0329 212 7799,"N23,361",1
SHP700192,Tobi Olawale,Van,KJA-559KL,Lagos,Abuja,12/02/2025,18.02.2025,322.4,130.57,Delayed,14530.0,84991216558,"NGN 20,009",FALSE
SHP700337,Bola Afolabi,Van,PHC-747AA,Abuja,Kaduna,22/02/2026,28 February 2026,373.2,398.03,Delivered,"₦12,054.00",25135521570,Unknown,TRUE
SHP700071,Chioma Mohammed,VAN,LND-612KL,Lagos,Benin,00/00/0000,13.02.2026,836.3,424796.5,DELAYED,"N28,752",0518 233 7498,  ,FALSE
SHP700258,Bisi Mohammed,Truck (Big),PHC-120BX,Lagos,Abuja,2026-01-04,01/06/2026,96.3,304892.4,Cancelled,"N25,149",234-569-245-937,n/a,N
SHP700021,Fatima Abubakar,Truck,KJA-202AA,Enugu,Onitsha,2025-10-05,,279.4,158.12,Delivered,"N47,705",0311 656 6701,null,0
SHP700249,Bola Suleiman,Truck,LND-275AA,Lagos,Benin,07.06.2025,N/A,--,102500.2,In Transit,25807.00 naira,234-965-047-735,"8,529.00 ",1
SHP700312,Tunde Olawale,Truck,PHC-771AA,Lagos,Abuja,05/22/2026,27-May-2026,58.9,192837.6,DELAYED,"₦34,917.00",06038505064,"N35,054",Y
SHP700068,Chioma Okeke,Tricycle (Keke),KJA-363BX,Lagos,Benin,17-Jan-2025,2025/01/22,522.6,147.95,Returned to Sender,84192.0,01367837770,27392.0,1
SHP700078,Segun Ogundimu,Truck (Big),n/a,Port Harcourt,Aba,05/17/2026,05/19/2026,358.3,293708.9,In Transit,49496.00 naira,(123) 281-2067,26520.0,0
SHP700032,Tunde Nwosu,bike,KJA-724AA,Lagos,Abuja,11-Apr-2026,15/04/2026,419.4,411297.4,Delayed,"₦84,660.00",(808) 412-4118,  ,false
SHP700108,Ngozi Olawale,Van,LND-599BX,Kano,Kaduna,2025/02/25,,784.4,493602.2,DELAYED,15579.0,08175496513,--,1
SHP700009,Segun Yusuf,VAN,LND-783KL,Lagos,Abuja,03/17/2025,03/18/2025,486.2,466.66,delivered,"N30,131",(413) 953-7672,"36,403.00 ",No
SHP700057,Sadiq Adeyemi,bike,ABJ-674BX,Lagos,Ibadan,28-Mar-2026,30 March 2026,285.8,387598.7,DELAYED,"N73,949",234-990-162-720,"NGN 9,306",TRUE
SHP700217,Funmilayo Okeke,VAN,LND-660KL,Enugu,Onitsha,04/10/2026,16.04.2026,567.4,22401.6,Cancelled,25292.0,03982258713,32442.0,yes
SHP700245,Zainab Chukwu,Tricycle (Keke),PHC-585BX,Lagos,Abuja,21.06.2025,06/21/2025,420.7,232401.5,In Transit,27051.0,234-918-033-974,5221.0,yes
SHP700391,fatima ogundimu,bike,LND-890KL,Abuja,Kaduna,12-Sep-2025,13 September 2025,42.3,nil,delivered,"NGN 30,005",0169 797 2965,"N11,707",1
SHP700379,Emeka Olawale,Truck (Big),KJA-670KL,Lagos,Lagos (Intra-city),02/28/2026,2026/03/01,488.8,281137.3,DELAYED,31663.0,+234985625753,unknown,no
SHP700001,AMARA AFOLABI,VAN,PHC-325BX,Lagos,Abuja,26/01/2025,2025-01-28,668.7,368.37,DELAYED,"₦29,606.00",234-043-321-819,32671.0,TRUE
SHP700317,Kemi Yusuf,Truck (Big),PHC-680BX,Enugu,Onitsha,24-Jun-2026,06/26/2026,509.1,195817.6,Returned to Sender,"NGN 56,971",234-277-561-853,null,FALSE
SHP700325,Amaka Nnamdi,Van,LND-696AA,Lagos,Benin,07/24/2025,,276.1,nil,Cancelled,"48,953.00 ",76870146263,"N36,618",0
SHP700017,  Grace Afolabi,Truck,KJA-879BX,Enugu,Onitsha,11-May-2025,2025/05/12,300.0,296.15,Delayed,"₦20,223.00",08963834657,"₦38,085.00",Yes
SHP700130,Halima Bello,bike,LND-999KL,Lagos,Benin,18/05/2025,05/25/2025,568.4,28.43,In Transit,"67,850.00 ",22901476797,"N8,373",0
SHP700075,Bola Ogundimu,Tricycle (Keke),PHC-647KL,Kano,Kaduna,27-May-2026,01.06.2026,171.4,357760.6,Delivered,"NGN 10,632",+234190229413,3683.0,1
SHP700310,Amaka Chukwu,Bike,LND-329AA,Lagos,Ibadan,2026-02-07,13/02/2026,550.0,424.41,Delayed,69648.00 naira,,"₦31,828.00",yes
SHP700098,bola olawale,Bike,KJA-708KL,Abuja,Kaduna,16-Jun-2025,18-Jun-2025,408.9,147.81,In Transit,82862.00 naira,24005045562,"NGN 27,103",No
SHP700101,Amaka Mohammed,Truck,Unknown,Lagos,Benin,2025-08-05,12/08/2025,73.2,39.65,Returned to Sender,"₦66,771.00",(482) 175-9464,30818.0,FALSE
SHP700296,Obinna Eze,Van,KJA-265AA,Lagos,Benin,25/05/2026,,11.4,273.79,Cancelled,83203.0,+234999404389,38924.00 naira,no
SHP700176,Wale Okeke,VAN,PHC-478AA,Port Harcourt,Aba,16-May-2025,16/05/2025,156.1,7.59,DELAYED,14372.00 naira,0313 237 0589,"N18,727",N
SHP700119,Fatima Adekunle,Van,KJA-799BX,Port Harcourt,Aba,09.03.2026,09-Mar-2026,728.4,190.74,delivered,"NGN 48,417",0766 177 1159,31804.0,yes
SHP700090,Sadiq  Yusuf,Van,KJA-195AA,Lagos,Ibadan,27 August 2025,2025/09/01,N/A,1230.3,delivered,"₦69,967.00",0846 773 7826,"NGN 6,967",no
SHP700045,CHIOMA BALOGUN,Truck (Big),ABJ-240AA,Abuja,Kaduna,2026/04/07,14/04/2026,520.3,NULL,DELAYED,13985.0,234-804-436-995,"NGN 6,630",true
SHP700220,FUNMILAYO OKONKWO,Tricycle (Keke),LND-105BX,Lagos,Abuja,03-Mar-2026,2026/03/09,168.5,225249.0,Returned to Sender,"N69,397",06518017046,"₦32,576.00",Y
SHP700088,OBINNA OKEKE,Bike,,Lagos,Abuja,27-Sep-2025,29.09.2025,nil,248.33,delivered,"NGN 56,251",24771093248,"N33,388",No
SHP700040,EMEKA EZE,Van,PHC-575KL,Lagos,Abuja,28 June 2026,2026/07/03,506.6,175.87,Cancelled,"NGN 38,424",04586850142,4819.00 naira,Yes
SHP700004,Tobi Eze,bike,KJA-887KL,Lagos,Abuja,01/30/2026,03.02.2026,556.7,485.55,DELAYED,"53,713.00 ",+234511615594,Unknown,TRUE
SHP700185,Tobi Lawal,Van,LND-155KL,Lagos,Lagos (Intra-city),2026-06-04,,201.3,138.58,DELAYED,3927.00 naira,+234925556258,"NGN 24,523",N
SHP700012,Yusuf Okeke,Truck,LND-211KL,Lagos,Abuja,2025-10-13,14 October 2025,286.2,--,Delivered,"44,913.00 ",66978480184,9487.00 naira,true
SHP700082,Sadiq Balogun,Tricycle (Keke),KJA-970AA,Kano,Kaduna,12-Jun-2026,19.06.2026,389.2,227.62,In Transit,48773.00 naira,87719065940,"N3,746",0
SHP700157,Ngozi Olawale,VAN,ABJ-189KL,Port Harcourt,Aba,05 March 2025,08 March 2025,565.1,472.1,Returned to Sender,28995.00 naira,+234472779010,"NGN 27,994",Y
SHP700224,KUNLE BALOGUN,Truck,KJA-887AA,Lagos,Ibadan,01/19/2025,20-Jan-2025,326.1,87.77,DELAYED,"₦10,763.00",03106903311,"₦3,595.00",true
