PlotID,OwnerName,OwnerPhone,LandUseCategory,TenureType,PlotSizeField,LandValueNGN,ZoningStatus,ApplicationDate,ApprovalDate,LGA,State,SurveyNumber,DisputeFlagged,GroundRentPaid
LND800297,Amaka Suleiman,234-377-460-406,Industrial ,CofO,10641.6,"₦503,329,487.03",Under Review,2018/02/02,06/27/2018,IMO LGA,Ogun,SRV/96020/2013,1,FALSE
LND800112,BLESSING ADEKUNLE   ,0280 123 4289,Industrial ,Certificate of Occupancy,21009.9,"₦1,529,379,220.12",Revoked,22 March 2015,11/04/2015,Abuja LGA,Abuja,SRV/46002/2020,0,FALSE
LND800433,Blessing Balogun,+234727367746,Mixed use,Right of Occupancy,43554.01,"N3,432,215,143",Under Review,2021-03-27,unknown date,delta lga,Lagos,SRV/82712/2010,TRUE,Y
LND800189,Adaeze Bello   ,0605 603 5679,Industrial,CofO,37595.1,"₦1,316,591,675.38",Approved,14-Nov-2017,14/07/2018,DELTA LGA,Plateau,SRV/14173/2019,false,false
LND800406,zainab mohammed,(386) 767-3820,Agricultural,Leasehold,441116.36,"N4,450,828,747",approved,06/09/2015,02/12/2016,EDO LGA,Plateau,SRV/26726/2013,no,N
LND800121,Amaka Okafor,(724) 530-7624,residential,Leasehold ,N/A,"N2,946,311,293",Revoked,21.12.2020,2021-01-29,Lagos LGA,Imo,SRV/26099/2020,no,TRUE
LND800020,Aliyu  Adeyemi,34064686775,Agric,c of o,125387.47,"NGN 29,576,160",Revoked,21 June 2023,17-Feb-2025,Imo LGA,Lagos,unknown,Yes,Y
LND800305,Amaka Nnamdi,(732) 146-4493,Mixed Use,Leasehold ,29536.04,"NGN 413,556,945",Under Review,2018/08/29,00/00/0000,Oyo LGA,Oyo,SRV/98983/2013,no,1
LND800013,Ibrahim Mohammed,09673794871,COMMERCIAL,Deed,43900.53,"₦2,221,503,639.90",Approved,not set,,oyo lga,Kaduna,SRV/85599/2025,N,FALSE
LND800034,Ibrahim Okafor,234-555-347-057,Govt Reserve,Deed,23931.88,"₦160,614,418.01",Pending,13-Apr-2022,02/03/2024,Abuja LGA,Plateau,SRV/73672/2020,no,true
LND800391,Segun Yusuf,234-029-502-648,Agricultural,Deed,45543.9,--,PENDING,2019-08-27,N/A,oyo lga,Cross River,SRV/27403/2017,TRUE,No
LND800183,Halima Okafor,234-378-584-712,Residential,CofO,33019.71,"NGN 4,481,780,450",Approved,08-Aug-2016,2017-11-13,Akwa Ibom LGA,Cross River,-,yes,false
LND800083,Chinedu Ajayi,09069130981,Industrial ,Leasehold,27422.61,-,Approved,23/09/2021,2023/04/10,Rivers LGA,Imo,SRV/77528/2019,false,FALSE
LND800425,AMAKA BALOGUN   ,+234523888562,Mixed use,CofO,14351.6,"2,413,451,546.59 ",Pending,08/13/2015,26/04/2016,DELTA LGA,Kano,SRV/41787/2021,Y,N
LND800134,BOLA  NNAMDI,0615 727 6829,Mixed Use,Deed of Assignment,7219.09,"NGN 3,682,684,633",Rejected ,2023-07-18,00/00/0000,Lagos LGA,Rivers,unknown,Y,N
LND800115,Ibrahim Abubakar,+234210175096,residential,Leasehold ,35272.67,"N1,389,512,856",Pending,30-Oct-2016,03 June 2018,Anambra Lga,Anambra,SRV/89211/2022,Yes,TRUE
LND800355,Halima Suleiman,234-368-750-926,Residential,CofO,nil,"₦4,527,528,462.33",Pending,25.12.2016,12 May 2017,Plateau LGA,Kaduna,SRV/64804/2023,N,TRUE
LND800119,Chioma Nwosu,0722 660 2562,Agricultural,COO,36767.58,"₦2,056,105,744.70",Revoked,23.07.2019,14.11.2020,Ogun LGA,Oyo State,SRV/62743/2022,yes,FALSE
LND800368,Adaeze Afolabi,0489 971 8428,Government Reserve,Leasehold ,30361.07,"N3,185,815,668",Rejected ,2015/02/13,2015/10/25,Anambra Lga,Oyo,NIL,FALSE,Y
LND800009,Funmilayo Ajayi,23116491334,residential,Certificate of Occupancy,46143.93,"₦2,861,086,879.64",Rejected ,05/16/2023,2024-02-18,Cross River LGA,Cross River,SRV/74801/2025,1,Yes
LND800076,KEMI OKONKWO   ,0280 771 1306,Mixed Use,c of o,47931.85,"₦3,579,992,278.39",Revoked,06/22/2020,2021/06/24,delta lga,lagos,SRV/99920/2016,No,0
LND800057,Amaka Okeke,0640 995 1239,Industrial ,Deed,32554.0,"₦2,300,875,737.82",approved,20/09/2018,2020/06/01,Lagos LGA,Oyo,SRV/19073/2014,TRUE,N
LND800329,Emeka Eze,234-844-421-829,Mixed use,c of o,21004.62,"₦1,874,307,970.86",Revoked,08/10/2023,,Abuja LGA,Ogun,N/A,TRUE,1
LND800054,bola  olawale   ,0145 264 7124,Agric,CofO,36437.08,"NGN 3,981,105,438",approved,30-Jul-2019,14.10.2020,imo lga,Plateau,SRV/70028/2016,FALSE,true
LND800375,Kemi Adeyemi,234-269-582-641,Industrial,Deed,10938.69,3460907130.32,Revoked,17 May 2021,04-Feb-2022,KADUNA LGA,Anambra,SRV/45880/2013,1,1
LND800222,Kunle Nwosu,0248 088 0622,Agric,C of O,43752.06,"NGN 2,578,328,809",approved,23 October 2023,00/00/0000,Imo LGA,Cross River,SRV/27339/2023,N,FALSE
LND800365,Ifeoma Adekunle,35910157090,Government Reserve,Deed of Assignment,19909.52,679361886.54,Approved,28-Dec-2016,07/05/2017,KANO LGA,Edo,SRV/17912/2018,No,FALSE
LND800073,Adaeze Nwosu,09060723111,Government Reserve,Deed,35084.82,"N529,497,428",Rejected ,2020-09-07,24-Oct-2021,ogun lga,rivers,SRV/81711/2010,TRUE,TRUE
LND800256,ifeoma ajayi   ,0221 455 9376,residential,Deed of Assignment,157470.43,"NGN 729,595,369",Under Review,2019/07/19,2021-04-20,Akwa Ibom LGA,Akwa Ibom,SRV/78217/2017,Yes,0
LND800214,Sadiq Ajayi,+234695560767,Mixed use,c of o,-,3862677029.32,Revoked,2015/10/06,06/02/2017,Akwa Ibom LGA,Plateau,SRV/96802/2024,N,TRUE
LND800080,Adaeze Chukwu,234-357-071-398,Commercial,Right of Occupancy,13678.08,"₦2,427,005,088.54",Rejected ,03/07/2018,14.03.2020,Imo LGA,Rivers,NULL,no,FALSE
LND800280,Bisi Adekunle,(885) 190-5348,Residential,Right of Occupancy,5963.71,2028235298.76,Revoked,2017-05-03,14-Jul-2017,Edo Lga,Imo,SRV/91953/2016,false,true
LND800379,Sadiq Lawal,(730) 086-9661,COMMERCIAL,Deed,6876.98,"NGN 3,710,882,658",Approved,27/07/2020,06 September 2020,Enugu LGA,Edo,SRV/11280/2013,TRUE,No
LND800078,  Wale Adeyemi,08335090254,Agricultural,Deed,5235.83,"₦1,126,620,943.08",Revoked,16/03/2021,,Edo Lga,Lag,SRV/95547/2012,yes,Yes
LND800114,Obinna Ajayi,234-843-645-380,Industrial ,Deed,20006.89,4771995301.78 naira,Rejected ,2016-02-10,07/11/2016,CROSS RIVER LGA,Akwa Ibom,SRV/89271/2019,true,Yes
LND800403,Ifeoma Ajayi,+234205093869,Mixed use,Right of Occupancy,25794.18,2565681632.62 naira,PENDING,23/02/2016,06/09/2016,RIVERS LGA,ABUJA,SRV/74620/2021,true,true
LND800153,Bola Adeyemi,0210 533 6514,Industrial ,Leasehold,45426.69,"NGN 50,899,570",Under Review,2016/09/25,2016-12-16,abuja lga,Plateau,SRV/18881/2011,true,Y
LND800323,Musa Lawal,0230 898 1388,Government Reserve,COO,40369.21,"NGN 4,825,702,385",Revoked,2018/03/27,11 March 2019,OYO LGA,abuja,SRV/14438/2017,0,Yes
LND800437,Kemi Okeke,07238750827,COMMERCIAL,Leasehold,41028.06,"₦3,305,256,765.90",Approved,15/04/2015,31.12.2016,Anambra LGA,Kano,SRV/27586/2013,no,TRUE
LND800179,Sadiq Adeyemi,234-973-711-222,Mixed Use,Deed of Assignment,43103.69,"NGN 4,933,905,239",Rejected,08/26/2023,11-May-2025,EDO LGA,Edo,SRV/94544/2017,N,false
LND800234,Tobi Afolabi,0507 659 7595,residential,Leasehold ,37497.9,"₦678,054,754.63",Approved,,,kano lga,Plateau,SRV/13005/2013,FALSE,1
LND800416,MUSA LAWAL,58951381865,Agricultural,CofO,44197.72,"₦2,684,715,975.22",PENDING,18/05/2016,03/09/2017,Abuja Lga,Rivers,SRV/55912/2016,FALSE,0
LND800169,amaka yusuf   ,11471656094,residential,Right of Occupancy,39080.65,"NGN 1,939,656,813",approved,07-Apr-2019,09 May 2019,Edo LGA,Lagos,NIL,false,No
LND800032,Amara Lawal,66057798066,Residential,COO,2900.01,"N3,029,399,708",Revoked,08/27/2019,2020-07-26,Plateau LGA,Kano,N/A,no,no
LND800428,Kemi Nwosu,05965594282,Mixed Use,Deed of Assignment,34889.03,24035055.48 naira,Pending,2020/10/06,01/25/2021,Lagos LGA,Lagos,null,yes,N
LND800441,Femi Okeke,,Mixed Use,Certificate of Occupancy,unknown,4505170882.22,PENDING,26.09.2022,29 October 2022,Edo LGA,Abuja,SRV/15554/2020,false,Yes
LND800204,  Fatima Adekunle,(900) 159-4463,Government Reserve,Leasehold,19678.04,"NGN 2,643,372,766",Pending,07.06.2018,03/10/2019,Cross River LGA,Delta,SRV/62853/2010,FALSE,1
LND800113,Chioma Bello,(113) 253-2694,COMMERCIAL,Leasehold,17488.16,"₦928,101,422.46",Revoked,2021-11-06,08/08/2023,Delta LGA,Edo,SRV/99261/2021,Yes,yes
LND800374,Bola Adeyemi,40561299650,COMMERCIAL,COO,20475.45,925906894.31,Revoked,26-Jan-2023,,Abuja LGA,Lag,SRV/67389/2018,TRUE,FALSE
LND800426,Zainab Eze,(586) 605-9867,Industrial ,c of o,27093.05,338561285.71 naira,Revoked,2017/07/07,19 March 2019,delta lga,Delta,SRV/79920/2015,Yes,true
LND800337,Funmilayo Bello,16481880442,residential,Right of Occupancy,11341.83,"3,386,835,869.87 ",Rejected,02/25/2020,07.08.2021,Delta Lga,Kano,SRV/23167/2012,No,false
LND800253,Ibrahim Mohammed,17934065277,Industrial ,Leasehold ,19861.23,"₦1,624,749,634.63",approved,09/09/2019,2020/01/24,CROSS RIVER LGA,Delta,n/a,FALSE,1
LND800193,HALIMA BALOGUN   ,+234769899927,Agric,CofO,25881.07,"N2,277,856,111",Revoked,31.07.2020,,Kaduna Lga,rivers,SRV/98058/2017,1,No
LND800372,Aliyu Suleiman,0617 607 2348,Mixed use,Leasehold ,106186.97,"₦2,230,815,665.24",Pending,10/03/2017,03 April 2019,Abuja LGA,Enugu,SRV/55690/2015,N,no
LND800381,Fatima Ajayi,234-680-941-491,Agric,Deed of Assignment,49281.86,3834062449.14 naira,Revoked,28/05/2018,27-Dec-2019,ogun lga,Imo,NIL,true,true
LND800084,Grace Suleiman,+234796496737,Residential,Leasehold,17354.26,"NGN 3,717,490,395",Under Review,23/07/2022,2023/11/06,kaduna lga,Delta,null,Y,false
LND800295,Ifeoma Adekunle,10615372215,Mixed Use,CofO,342209.52,"NGN 3,272,211,846",Pending,unknown date,,Edo LGA,Oyo,SRV/77328/2015,1,no
LND800173,  Grace Bello,07481131765,COMMERCIAL,CofO,--,"N629,305,060",Rejected ,2015-01-14,2016/05/29,PLATEAU LGA,Enugu,SRV/52346/2022,0,false
LND800242,AMARA LAWAL,06745847609,Commercial,Deed of Assignment,15439.38,4388307838.74 naira,Under Review,14 June 2022,,Kano Lga,Kaduna,SRV/94827/2021,TRUE,1
LND800089,Amara Mohammed,03339395786,Industrial,COO,39735.29,"NGN 2,868,176,018",Pending,06 June 2018,2019/03/16,KADUNA LGA,KANO,SRV/80976/2023,FALSE,No
LND800302,Adaeze Eze,+234584148460,Agric,Deed of Assignment,8286.72,487937468.50 naira,approved,24/09/2020,21/08/2021,akwa ibom lga,Edo,SRV/71996/2015,true,No
LND800096,Amara Okonkwo,52441822261,Govt Reserve,Certificate of Occupancy,  ,2669192987.12 naira,approved,09/21/2015,,Oyo LGA,Kaduna,SRV/72117/2013,1,Yes
LND800235,Emeka Okonkwo,234-089-177-680,Agricultural,C of O,31319.71,Unknown,Approved,2018-10-13,2019-11-24,Kano LGA,Akwa Ibom,SRV/84894/2010,FALSE,no
LND800258,Yusuf Mohammed,(510) 046-2776,Agricultural,Deed,20912.28,"₦126,708,373.44",Under Review,08 August 2021,,lagos lga,Kano,SRV/44716/2014,N,0
LND800125,Amaka Suleiman,19284552597,Agric,Certificate of Occupancy,31516.55,nil,Revoked,07 January 2017,23.01.2018,Kaduna LGA,Kano,SRV/43726/2011,yes,FALSE
LND800060,Grace Nwosu,234-529-821-739,Residential,Leasehold ,41509.85,"N4,065,583,075",Revoked,2021-10-30,09/17/2023,Delta LGA,Abuja,SRV/25487/2012,TRUE,false
LND800260,Halima Balogun,234-752-023-897,Industrial ,COO,1585.98,N/A,Approved,01 August 2016,not set,Anambra LGA,oyo,SRV/40293/2022,0,Y
LND800367,Grace Ajayi,49269996996,Govt Reserve,c of o,nil,4271422052.8,Approved,2015/09/27,07.06.2017,Rivers LGA,Ibadan,SRV/76292/2019,Yes,false
LND800105,Segun Afolabi,(660) 465-5866,Mixed Use,CofO,33805.26,4171592026.80 naira,Under Review,11 December 2022,16 September 2023,Oyo LGA,Anambra,  ,TRUE,false
LND800004,Bola Okonkwo,0465 495 0050,Industrial,COO,26372.31,"NGN 4,303,142,555",Rejected ,20/09/2020,,Lagos Lga,Plateau,SRV/31678/2022,1,no
LND800251,Femi Ogundimu,0903 267 1494,COMMERCIAL,C of O,46595.34,830264103.13,Approved,19.11.2015,2016/02/03,Delta LGA,Anambra,SRV/69010/2016,TRUE,Yes
LND800369,Chinedu Abubakar,96932591408,COMMERCIAL,COO,27690.11,"2,506,284,980.31 ",PENDING,2016/11/14,01/05/2018,Lagos LGA,Oyo,SRV/64860/2019,TRUE,No
LND800182,Chioma Okeke,N/A,Government Reserve,Leasehold,468072.65,"NGN 3,190,306,169",approved,01/04/2022,25/05/2023,Imo LGA,Kaduna,SRV/56541/2023,yes,No
LND800023,Chinedu Chukwu,09335134261,Industrial,Certificate of Occupancy,43874.31,null,Approved,2022/10/03,05-Mar-2023,Ogun LGA,Akwa Ibom,SRV/37897/2016,Y,0
LND800127,emeka okafor,234-859-532-593,Mixed Use,Leasehold,22771.23,"N778,094,290",approved,29/11/2018,2020/08/26,cross river lga,Ogun,SRV/56520/2011,TRUE,0
LND800006,BOLA BALOGUN,00531611776,Agricultural,c of o,,1045526831.31,Pending,2018/07/25,23/09/2018,Imo LGA,Kaduna,SRV/64375/2010,N,Yes
LND800097,Kemi Balogun,89628874312,Industrial,C of O,48402.13,3961119687.04 naira,Rejected,27.10.2020,,Abuja Lga,Oyo,SRV/14454/2024,1,N
LND800007,Blessing Abubakar,(729) 047-7425,COMMERCIAL,Certificate of Occupancy,35311.6,  ,approved,27-Jan-2017,,Akwa Ibom LGA,Anambra,SRV/90816/2015,Y,false
LND800265,Aliyu Abubakar,07993593744,Industrial,C of O,160472.08,"N2,090,747,148",Under Review,28 October 2017,,Plateau LGA,Edo,SRV/85541/2010,yes,0
LND800290,GRACE OKAFOR,N/A,residential,C of O,465315.34,"N1,870,593,833",PENDING,not set,,cross river lga,Enugu,SRV/63376/2010,true,1
LND800363,Grace Okeke,234-440-134-808,Agricultural,Deed of Assignment,34229.38,Unknown,PENDING,11/01/2022,24/08/2022,AKWA IBOM LGA,Abuja,SRV/69134/2011,false,yes
LND800061,Kemi Ogundimu,95786718153,Mixed Use,C of O,19122.24,"₦117,653,991.46",PENDING,02 November 2015,,Abuja LGA,Kano,SRV/30409/2025,No,false
LND800364,Fatima Yusuf,03543788260,Mixed Use,c of o,39931.15,1089036931.81 naira,Under Review,20-Jan-2017,,Abuja LGA,Cross River,SRV/71479/2019,true,FALSE
LND800058,Zainab Lawal,(283) 512-9592,Mixed use,Leasehold,33509.62,"NGN 2,585,622,631",PENDING,17 March 2015,22-Sep-2016,Rivers Lga,Oyo,nil,Yes,FALSE
LND800308,Sadiq Ogundimu,invalid,Commercial,Leasehold ,9383.29,"NGN 902,548,073",Under Review,,06/10/2018,Ogun LGA,Ogun,SRV/83013/2025,N,N
LND800382,Aliyu Abubakar,00762839762,Industrial,COO,29927.09,"NGN 65,588,388",Pending,26.07.2023,,Lagos LGA,Ogun,SRV/88791/2017,Y,No
LND800001,Sadiq Yusuf,+234023290282,Commercial,Deed of Assignment,5979.37,"N873,134,272",Pending,2021-11-06,25/08/2023,EDO LGA,Cross River,SRV/34715/2017,false,Yes
LND800002,grace okeke,70093459626,COMMERCIAL,CofO,47607.32,"N3,400,040,743",approved,14 February 2019,22-Nov-2020,Plateau Lga,Oyo,NULL,Yes,false
LND800159,NGOZI ABUBAKAR,0687 304 5195,Agric,Certificate of Occupancy,-,"₦2,810,848,659.18",Approved,2015/02/24,2015/03/27,Oyo LGA,Lagos,SRV/57125/2025,Y,yes
LND800030,   Femi Adekunle,+234178996986,Industrial,C of O,15647.74,"N1,847,742,006",Under Review,05-Aug-2021,,ABUJA LGA,Lagos,SRV/44655/2010,no,false
LND800223,Kemi Mohammed,+234223959473,Industrial ,Leasehold ,1453.32,3921645916.89,Pending,07/25/2016,06/03/2018,Edo LGA,Edo,SRV/54721/2011,true,0
LND800266,Amara Chukwu,234-946-408-303,Residential,COO,244770.13,"NGN 3,308,346,779",Under Review,2017-04-15,2017-08-29,Abuja LGA,Kaduna,SRV/95221/2023,true,false
LND800404,Fatima Olawale,84249598811,Agric,Right of Occupancy,9009.87,3685598268.53,Rejected,2023-10-22,15 August 2024,AKWA IBOM LGA,Kaduna,SRV/42623/2020,No,no
LND800126,Ifeoma Suleiman,234-075-633-535,Residential,CofO,43485.22,"NGN 1,871,832,745",approved,2015-12-28,,Lagos Lga,Lagos,SRV/94499/2023,FALSE,false
LND800314,sadiq  mohammed,00190432230,Agricultural,Deed,23391.85,586112971.91,PENDING,2023-06-05,29-Nov-2023,edo lga,Oyo,SRV/69117/2012,TRUE,yes
LND800354,sadiq abubakar,0000000000,Mixed Use,Leasehold ,34692.14,"N2,675,254,463",Under Review,2017-10-28,2019/05/28,kaduna lga,Oyo,SRV/25060/2025,TRUE,true
LND800346,Tobi Okafor,0433 335 3849,Agricultural,Leasehold,54458.09,"NGN 3,582,992,249",Pending,04.05.2019,,Ogun LGA,Enugu,NIL,Yes,0
LND800411,Wale  Suleiman,09001248255,Residential,Deed,48143.37,"4,046,531,602.40 ",Pending,04 July 2019,24.09.2020,Ogun LGA,Plateau,SRV/57665/2019,No,Yes
LND800271,Tunde Bello,63251448811,COMMERCIAL,CofO,92228.0,null,Under Review,21/03/2021,04 July 2022,AKWA IBOM LGA,Kaduna,SRV/55156/2017,0,no
LND800360,Chinedu Suleiman,56691062715,Govt Reserve,Right of Occupancy,31966.99,1772075774.38,Rejected ,25.12.2016,11 September 2017,Ogun LGA,rivers,SRV/34547/2022,no,Yes
LND800315,  Adaeze Okonkwo,0333 247 0739,Industrial,CofO,25195.7,"₦1,134,744,383.96",Approved,12/29/2023,05/02/2025,rivers lga,kano,SRV/14857/2022,true,yes
LND800426,Zainab Eze,(586) 605-9867,Industrial ,c of o,27093.05,338561285.71 naira,Revoked,2017/07/07,19 March 2019,delta lga,Delta,SRV/79920/2015,Yes,true
LND800050,Kunle Adeyemi,(484) 539-8628,Agric,c of o,,"NGN 4,008,955,047",Rejected,01/26/2022,17.04.2022,Edo LGA,KANO,SRV/10366/2020,0,1
LND800264,Bisi Okeke,87045069176,Industrial,Leasehold,43712.96,"NGN 3,093,503,086",approved,19 September 2019,13/08/2021,akwa ibom lga,Delta,SRV/97376/2010,N,true
LND800138,Kemi Ogundimu,0599 080 2711,Agricultural,COO,19693.2,"₦1,747,894,697.42",Under Review,04/07/2015,11/10/2015,Kano LGA,Kaduna,nil,Y,1
LND800091,Funmilayo Okafor,(033) 582-6862,COMMERCIAL,Certificate of Occupancy,29125.61,nil,approved,2016/08/05,09 November 2016,Abuja LGA,Kano,SRV/66883/2025,true,yes
LND800231,FEMI  ADEYEMI,(450) 576-6194,Mixed use,Deed,277115.95,"N3,575,414,840",PENDING,21/08/2018,28 January 2020,Abuja LGA,Oyo,SRV/87663/2021,No,yes
LND800327,Chioma Adekunle,(000) 152-9113,Government Reserve,COO,81547.96,"₦560,812,619.03",Under Review,05/01/2017,30.08.2018,CROSS RIVER LGA,Kaduna,SRV/43185/2019,FALSE,1
LND800088,Segun Afolabi,07767555628,residential,C of O,8265.36,3258792018.44,Under Review,14-Jul-2023,02/19/2025,Kaduna LGA,Anambra,  ,No,true
LND800303,Emeka Afolabi,09134438998,Commercial,CofO,11225.93,"N2,603,018,772",Under Review,01 August 2020,04/16/2021,ABUJA LGA,Delta,SRV/11139/2011,Yes,TRUE
LND800324,Amara Adeyemi,58814458220,Agricultural,c of o,5156.94,"N4,167,601,918",Rejected ,10.12.2021,,Kaduna LGA,Delta,SRV/50570/2023,No,Yes
LND800383,Halima Okeke,(534) 407-7794,residential,Leasehold,6703.55,nil,Rejected,02/02/2018,2019-01-19,lagos lga,Akwa Ibom,SRV/16840/2016,FALSE,No
LND800175,  Aliyu Eze,234-290-871-827,Govt Reserve,Leasehold ,72823.41,"NGN 788,997,058",Approved,2019/06/18,,PLATEAU LGA,lagos,SRV/68666/2015,true,Y
LND800150,Tunde Mohammed,0403 253 7657,COMMERCIAL,Deed of Assignment,28046.67,"NGN 41,466,894",PENDING,22.10.2017,05/09/2018,Edo Lga,Oyo State,SRV/11836/2010,Yes,TRUE
LND800021,   Aliyu Adekunle,02401484399,Commercial,Leasehold ,285627.15,4243887079.27,PENDING,06/24/2020,25/05/2022,anambra lga,Delta,SRV/50298/2010,TRUE,Y
LND800024,ifeoma  okeke,23724501848,Government Reserve,Leasehold,7355.42,"N2,808,996,126",Rejected ,2019-07-26,25/05/2021,DELTA LGA,Oyo,SRV/26134/2016,FALSE,yes
LND800259,Amara Okonkwo,72565920246,Govt Reserve,COO,41218.49,"2,843,916,844.51 ",PENDING,28-Mar-2018,07/31/2019,ogun lga,Plateau,SRV/42315/2022,TRUE,N
LND800012,Kemi Mohammed,+234326509775,Govt Reserve,Deed,395390.57,"N1,495,343,282",Approved,11.12.2017,,Kaduna LGA,KANO,SRV/96235/2023,Y,1
LND800246,Chidi Adeyemi,00551437769,Mixed Use,CofO,40377.1,"NGN 3,005,839,637",Approved,02/14/2020,,imo lga,Rivers State,SRV/87037/2015,Y,FALSE
LND800289,Amaka Okonkwo,0107 322 8360,residential,Deed,37788.81,unknown,Under Review,2019-10-18,,Enugu LGA,Akwa Ibom,SRV/16849/2022,false,FALSE
LND800118,IFEOMA LAWAL,92056775677,Industrial,CofO,18666.71,2295525204.23,Under Review,2022-04-25,17.03.2024,KANO LGA,Delta,SRV/73227/2012,Y,1
LND800409,Musa Ajayi,(893) 708-5806,Industrial ,Deed of Assignment,1192.87,"NGN 1,163,999,521",Under Review,26-Oct-2019,11-Sep-2020,Ogun LGA,Ogun,SRV/38485/2013,true,No
LND800011,Ibrahim Suleiman,0652 906 0320,Residential,CofO,24982.28,"₦3,966,775,571.33",Pending,2020/10/23,04-May-2021,Lagos LGA,Enugu,SRV/74474/2022,no,Yes
