CaseID,CaseNumber,ClientName,ClientPhone,CaseType,CourtName,AssignedLawyer,DateFiled,NextHearingDate,ClosingDate,CaseStatus,Outcome,LegalFeeNGN,AmountPaidNGN,State,ProBonoCase
CASE200030,suit/FHC/7605/2024,Kemi Ogundimu,(487) 282-9979,Civil Litigation,Federal High Court Lagos,Aliyu Olawale,2024-06-28,19.06.2025,11-Aug-2025,CLOSED,-,16252657.65,"N13,497,237",Delta,yes
CASE200084,SUIT/FHC/1719/2021,Wale Mohammed,0262 925 1881,Civil Litigation,Lagos State High Court,Tunde Adekunle,2024-06-13,08/10/2025,,Pending Hearing,pending,"N23,715,458",15622034.68,Edo,0
CASE200417,SUIT/FHC/6245/2021,Zainab Balogun,01183727422,civil litigation,Customary Court Enugu,Wale Okonkwo,11/08/2022,05/09/2024,2024-11-03,settled out of court,NIL,20230705.5,13559893.87,Kano,No
CASE200187,SUIT/fhc/108/2025,Blessing Suleiman   ,02929831687,Commercial Dispute,Lagos State High Court,obinna chukwu,10-Jan-2020,2021/09/21,20/05/2023,Adjourned ,pending,"₦24,619,909.86",18017863.21 naira,Imo,0
CASE200277,SUIT/fhc/342/2022,Amaka Adeyemi,(942) 152-9108,Property law ,Lagos State High Court,Bisi Balogun,07/03/2023,01 July 2025,2025/07/31,active,Withdrawn,"NGN 10,208,017","₦3,933,551.97",Plateau,Yes
CASE200077,suit/FHC/6693/2020,Sadiq Bello,(070) 164-5104,Criminal Defence,Court of Appeal Abuja,Kunle Afolabi,06 March 2021,08-Aug-2022,2024-09-21,Adjourned,NULL,"₦15,807,677.98","NGN 3,585,343",Edo,no
CASE200376,SUIT/fhc/7686/2019,Yusuf Nnamdi,(284) 567-9723,Property Law,Federal High Court Lagos,Blessing Suleiman,2019/01/18,not set,,CLOSED,Won,"₦6,780,754.27",5652473.41,Lag,no
CASE200056,SUIT/FHC/9409/2022,Grace Lawal,08113863383,Criminal Defence,Court of Appeal Abuja,Segun Nwosu,08-Oct-2021,05/06/2022,2024/03/14,Settled,--,"NGN 20,768,212","₦7,575,621.78",Rivers,Yes
CASE200047,SUIT/FHC/4273/2023,tunde nnamdi,234-524-077-848,Commercial dispute,Kano State High Court,Femi Adeyemi,2020-07-25,2021/03/22,01/05/2022,Adjourned,Settled ,"N2,089,498",1205804.13,Plateau,Yes
CASE200231,suit/fhc/3605/2020,  Amaka Yusuf,24955289389,civil litigation,,kunle mohammed,25/07/2023,unknown date,,Adjourned,LOST,9361197.98 naira,"₦10,228,702.10",Ogun,no
CASE200172,suit/fhc/4667/2024,Ngozi Mohammed   ,234-993-136-565,Property law ,Court of Appeal Abuja,Adaeze Adekunle,2022/04/21,,,Pending Hearing,Withdrawn,"NGN 23,169,200",25056194.69,rivers,Y
CASE200016,SUIT/fhc/1642/2022,Yusuf Okonkwo,0428 434 7955,civil litigation,Customary Court Enugu,Chinedu Lawal,2020-10-22,08-Jun-2021,,Struck Out,null,15058060.45 naira,"NGN 13,295,347",Edo,true
CASE200189,n/a,Ibrahim Okeke,0392 906 0078,Family Law,Supreme Court Nigeria,Grace Ogundimu,2022-12-12,04 February 2023,2024-06-15,Closed,LOST,"NGN 20,198,478","NGN 8,989,508",Plateau,Yes
CASE200246,SUIT/FHC/4642/2023,Halima Nnamdi,0467 197 8897,Family Law,Federal High Court Lagos,  KUNLE OKONKWO   ,10/24/2023,2024-07-19,2025/06/29,Settled Out of Court,Withdrawn,"₦16,945,347.02",15421274.34 naira,Oyo,TRUE
CASE200018,suit/FHC/5627/2022,Tunde Lawal,0293 143 8663,Criminal Defence,Lagos State High Court,Fatima Ajayi,08.04.2022,26.08.2022,2023-02-26,Active,Settled ,14773152.86,"5,180,158.46 ",Abuja,No
CASE200145,suit/FHC/4328/2025,MUSA OKAFOR,05807787956,civil litigation,Federal High Court Abuja,Aliyu Mohammed,20/01/2024,2024/12/30,13.08.2025,Settled Out of Court,Lost,"NGN 4,847,574",3178940.23,Enugu,0
CASE200121,SUIT/fhc/3441/2024,Ifeoma Balogun,+234142241098,Commercial Dispute,Federal High Court Abuja,Halima Nwosu,2019-01-30,2020-12-01,05-Mar-2021,Settled Out of Court,,"NGN 1,521,663","N1,315,427",Anambra,true
CASE200308,SUIT/FHC/3258/2024,Tobi Ogundimu,0122 777 0793,Commercial Dispute,Court of Appeal Abuja,  Musa Adekunle,01/15/2022,00/00/0000,,active,won,17002231.22,"N11,285,784",Enugu,yes
CASE200214,SUIT/fhc/419/2024,Aliyu Ogundimu,42662991234,Civil Litigation,Federal High Court Lagos,Amara Adeyemi,2021/02/23,06/16/2022,2024-04-26,Struck Out,?,null,"N23,056,895",Enugu,TRUE
CASE200082,SUIT/fhc/7424/2020,Fatima Eze,234-936-392-649,Employment Law,Kano State High Court,Amaka Okafor,2020/06/28,2021/03/08,,Settled Out of Court,Withdrawn,"₦2,859,708.21","N579,194",Edo,N
CASE200068,SUIT/fhc/6750/2025,Obinna Balogun,234-646-225-179,Employment Law,Lagos State High Court,Bisi Olawale,26-Jun-2023,27-Sep-2024,07/30/2025,Struck Out,Withdrawn,"₦2,074,173.60","₦718,080.82",Kaduna,FALSE
CASE200307,SUIT/FHC/2209/2020,Halima Lawal,03683147276,Employment Law,Supreme Court Nigeria,Bola Nnamdi,08/12/2020,10/21/2022,,Struck Out,,9972407.23 naira,6132887.21 naira,Ogun,FALSE
CASE200213,SUIT/fhc/1836/2023,Femi Suleiman,+234554781376,CRIMINAL,Federal High Court Abuja,emeka ajayi,17 February 2021,29.01.2023,2024/01/01,Adjourned,Won,N/A,"N9,671,039",Cross River,FALSE
CASE200346,SUIT/FHC/8254/2023,Femi Ajayi,+234690705626,CRIMINAL,Lagos State High Court,Emeka Okafor,06/11/2020,25-Jan-2022,,Adjourned ,-,"N2,170,811",1430446.11,Cross River,no
CASE200066,SUIT/fhc/1185/2020,  Aliyu Suleiman,0906 048 0589,Criminal Defence,Lagos State High Court,Amara Adekunle,2023/09/10,14.05.2025,,Settled,Pending,19996818.11 naira,19893833.25,Edo,true
CASE200182,SUIT/fhc/674/2020,fatima bello,01137995635,Property law ,Magistrate Court Ikeja,Halima Balogun,05/18/2022,2023/02/04,12 January 2025,active,Withdrawn,"₦19,804,427.76","₦17,671,796.72",Plateau,0
CASE200004,suit/fhc/9473/2022,Ngozi Adeyemi,(011) 848-9554,Family Law,Customary Court Enugu,Amaka Nwosu,27.04.2023,04.03.2025,,settled out of court,Settled ,"N4,987,509","NGN 1,815,230",Anambra,yes
CASE200204,SUIT/FHC/8878/2022,ZAINAB CHUKWU   ,05472928422,civil litigation,Supreme Court Nigeria,Femi Mohammed,2019/11/09,00/00/0000,31 May 2022,Settled,Settled ,16585519.68 naira,"16,504,121.29 ",Anambra,no
CASE200412,SUIT/FHC/3507/2019,BOLA OLAWALE,0000000000,Employment Law,Kano State High Court,Bisi Lawal,2022-12-23,2023-04-14,12.07.2024,active,LOST,"NGN 8,800,770","₦4,120,897.43",Kano,Y
CASE200254,SUIT/fhc/6025/2022,Chinedu Ogundimu,18344049639,Property Law,Customary Court Enugu,FATIMA ADEYEMI,28-Sep-2023,12/02/2025,21 March 2025,active,Settled ,"NGN 8,984,671","₦5,367,340.48",Port Harcourt,true
CASE200162,SUIT/FHC/3688/2024,Aliyu Adeyemi,(101) 194-7072,Property Law,Supreme Court Nigeria,Chidi Afolabi,20.09.2023,14.04.2025,,Struck Out,LOST,21558002.85 naira,"NGN 23,306,621",Lagos State,yes
CASE200291,SUIT/FHC/868/2024,Tobi Chukwu,03715041659,Property law ,Court of Appeal Abuja,Emeka Ajayi,2022-08-07,12/12/2023,,settled out of court,Pending,nil,13609036.78,Rivers,true
CASE200352,suit/fhc/7779/2022,Kunle Abubakar,234-048-913-824,civil litigation,Supreme Court Nigeria,  ngozi nwosu,2020-08-07,26 April 2021,,Closed,Lost,--,10122115.24,Kaduna,Yes
CASE200205,SUIT/fhc/3053/2019,Chidi Eze,+234310592745,Commercial Dispute,Lagos State High Court,  Musa Afolabi,08/05/2023,21-Mar-2025,29 August 2027,Closed,Lost,"N10,012,430","₦4,803,092.73",Cross River,1
CASE200148,suit/FHC/2625/2024,Sadiq Abubakar,14429444019,Criminal Defence,Customary Court Enugu,Sadiq Balogun,06/05/2022,2024/05/03,2026/03/01,Settled Out of Court,Settled ,"₦11,707,240.21","10,136,020.44 ",Anambra,1
CASE200403,SUIT/fhc/1171/2024,Emeka Suleiman,59090225999,Civil Litigation,Court of Appeal Abuja,Chioma Balogun,2023/10/01,2025-07-06,,Active,LOST,"₦4,238,629.87",2171351.3,oyo,yes
CASE200218,suit/FHC/9456/2022,Chidi Yusuf,+234471462730,Property Law,Lagos State High Court,Tunde Ogundimu,29/05/2021,06/28/2022,28 April 2023,Adjourned ,Settled,"₦10,987,092.15",7427625.40 naira,Anambra,Y
CASE200230,SUIT/FHC/4558/2019,chinedu adeyemi,0011 939 3250,Property law ,Supreme Court Nigeria,Zainab Lawal,19.01.2024,04-Jun-2025,,Active,,"N6,749,847","₦3,047,884.21",Enugu,yes
CASE200184,SUIT/FHC/8851/2025,Sadiq Lawal,0970 623 9726,Family Law,Magistrate Court Ikeja,Tobi Afolabi,2021/06/29,02/20/2023,2024/11/28,settled out of court,Won,24049622.24,"NGN 20,092,937",rivers,false
CASE200072,SUIT/FHC/7466/2020,Obinna Ogundimu,55904259792,Employment Law,nil,  tobi bello,N/A,20 September 2019,2021-12-20,Adjourned,Settled,6341939.84,"N2,333,239",Plateau,no
CASE200116,suit/FHC/7984/2023,Tunde Nnamdi,invalid,Property Law,Kano State High Court,Amaka Okeke,2022-03-22,01/13/2023,,Closed,Withdrawn,"NGN 4,894,281",3745666.18,Delta,false
CASE200203,SUIT/FHC/3047/2019,Grace Afolabi   ,+234242437540,Property Law,Lagos State High Court,Yusuf Ajayi,06/07/2023,30 March 2024,07/17/2025,Settled Out of Court,Lost,"₦16,725,957.88","15,574,001.33 ",Abuja,Y
CASE200093,SUIT/fhc/902/2021,Kunle  Adekunle,0644 726 4908,Property Law,Court of Appeal Abuja,Halima Nwosu,11 December 2024,12/06/2025,09.01.2027,Pending Hearing,pending,"₦3,117,411.14","NGN 1,782,147",Lagos,1
CASE200128,SUIT/fhc/4797/2022,Sadiq Okafor,57724599281,Employment Law,Federal High Court Abuja,Amara Olawale,2019/04/04,25/11/2020,08/27/2022,Pending Hearing,,"₦13,144,168.68","N13,535,025",Delta,Yes
CASE200216,SUIT/fhc/1440/2020,Sadiq Nwosu,+234879232648,Property law ,NULL,Femi Nwosu,06/03/2023,06/12/2024,,Settled,Withdrawn,"N10,954,981","N3,874,231",Delta,0
CASE200419,SUIT/FHC/1735/2019,Ibrahim Okafor,(275) 230-8370,Commercial dispute,Supreme Court Nigeria,Blessing Ogundimu,2019/09/15,07-Sep-2020,,Adjourned,Pending,Unknown,4439353.16,Rivers,No
CASE200287,suit/FHC/7089/2022,Yusuf Nwosu,234-703-203-207,Commercial dispute,Kano State High Court,Funmilayo Nwosu,16.02.2019,18.02.2020,unknown date,CLOSED,,"₦16,241,664.72","N4,061,230",Kano,Yes
CASE200074,SUIT/FHC/9781/2020,  Aliyu Ogundimu,234-405-147-705,Civil Litigation,unknown,  WALE AJAYI   ,27 July 2023,20/04/2025,2027/07/09,Pending Hearing,Pending,"N1,616,822",1530479.40 naira,Ogun,N
CASE200236,SUIT/FHC/8768/2025,Aliyu Yusuf,(647) 947-3864,Labour Law,Magistrate Court Ikeja,Adaeze Adeyemi,2019-05-14,27 October 2020,,CLOSED,Pending,21166950.86,"₦6,721,915.47",Ogun,TRUE
CASE200384,-,Musa Olawale,(395) 003-3423,Commercial Dispute,Magistrate Court Ikeja,Bola Afolabi,11/03/2023,05/08/2024,,Settled Out of Court,Withdrawn,"NGN 21,109,855",21756923.42,Imo,TRUE
CASE200334,SUIT/FHC/4136/2024,Tobi Yusuf,73715869886,Commercial dispute,Magistrate Court Ikeja,Aliyu Suleiman,15 March 2021,14.01.2023,2023/08/31,Closed,NULL,"N8,133,340",3182187.55 naira,ABUJA,true
CASE200002,SUIT/fhc/1740/2019,  Adaeze Suleiman,(309) 883-9205,CRIMINAL,Magistrate Court Ikeja,Chioma Ajayi,00/00/0000,2020-09-19,,Settled Out of Court,won,"NGN 21,807,103","N22,291,641",Plateau,No
CASE200297,SUIT/FHC/4323/2025,Ngozi Ogundimu,07499616592,Employment Law,Supreme Court Nigeria,Segun Lawal,2023-05-27,08/07/2023,,settled out of court,,"N17,929,365","₦10,530,717.64",Anambra,FALSE
CASE200071,SUIT/fhc/1303/2021,Amara Eze,46591166553,CRIMINAL,Kano State High Court,Ngozi Eze,2021/05/12,12 February 2022,2024/02/02,Adjourned,Settled ,"NGN 3,922,716","NGN 1,065,048",Kaduna,No
CASE200335,suit/FHC/166/2019,Fatima Lawal,(497) 677-6228,Civil Litigation,Magistrate Court Ikeja,  ngozi bello   ,16 March 2021,31.07.2022,,Settled,LOST,"N6,158,836","3,987,184.28 ",Plateau,FALSE
CASE200165,SUIT/FHC/5897/2024,Blessing Abubakar,+234546015851,Labour Law,--,Sadiq Mohammed,30 November 2023,2024-10-14,,active,Settled,"20,877,100.62 ",6052349.87 naira,Anambra,FALSE
CASE200048,null,BISI BELLO   ,0392 855 7498,Employment Law,?,Ibrahim Abubakar,08/28/2024,15 January 2025,29-Mar-2025,Pending Hearing,,"N17,388,688",-,Lagos State,1
CASE200088,suit/fhc/3445/2021,Tobi Ogundimu,52677223306,civil litigation,Magistrate Court Ikeja,Emeka Ajayi,04-Jan-2021,unknown date,N/A,Pending Hearing,nil,"₦3,359,072.78","₦2,065,055.85",Enugu,No
CASE200193,suit/fhc/7191/2025,Ngozi Adeyemi,(016) 580-4649,Property Law,Federal High Court Lagos,Emeka Okafor   ,18-Aug-2023,30-Sep-2024,28 December 2026,Adjourned ,LOST,"N14,660,848","N14,268,364",Akwa Ibom,0
CASE200427,SUIT/fhc/2663/2022,Tobi Balogun,57150997683,Criminal Defence,Customary Court Enugu,Zainab Yusuf,24-Jun-2024,2025-05-01,2026-08-12,Pending Hearing,LOST,"₦24,135,930.79",6716716.63 naira,Anambra,FALSE
CASE200221,suit/FHC/7600/2023,Chidi Nnamdi,(725) 204-5650,Employment Law,Magistrate Court Ikeja,Bisi Nnamdi,08/11/2024,01/10/2025,24 March 2026,Settled,pending,16281249.89,"8,968,953.04 ",Akwa Ibom,Y
CASE200041,SUIT/fhc/220/2024,Segun Nnamdi,234-673-037-183,Property Law,Federal High Court Abuja,Ifeoma Okonkwo,29-Jul-2021,not set,2024/04/07,settled out of court,LOST,"₦17,560,514.07","NGN 12,703,713",Abuja,N
CASE200416,SUIT/FHC/8241/2022,Bola Suleiman   ,invalid,Commercial dispute,Federal High Court Abuja,Wale Afolabi,12.11.2020,31.07.2021,12/05/2022,Adjourned ,pending,"NGN 16,146,236","₦15,411,136.79",ABUJA,no
CASE200268,SUIT/FHC/3191/2023,Grace Bello,05409003486,Commercial Dispute,Magistrate Court Ikeja,yusuf yusuf,2020/03/11,10/08/2021,,Settled,--,"₦18,246,935.79",14548636.1,Akwa Ibom,Yes
CASE200276,SUIT/fhc/9894/2025,Halima Afolabi,(931) 734-2069,Property law ,Customary Court Enugu,Funmilayo Abubakar,2022/02/25,06/18/2022,15/08/2024,Settled,Won,"12,821,923.49 ",8427551.86 naira,Plateau,No
CASE200360,suit/FHC/6169/2022,Ibrahim Afolabi,+234156956201,Commercial Dispute,Supreme Court Nigeria,Ifeoma Ajayi,11 April 2023,2023-05-19,,Closed,Lost,"NGN 16,945,601","₦12,640,243.05",Kaduna,TRUE
CASE200368,SUIT/fhc/1675/2019,Obinna Okeke,0519 036 1332,Civil Litigation,Federal High Court Lagos,tunde balogun,2022-03-11,12.08.2023,16.10.2024,Adjourned,Withdrawn,1299217.71 naira,393163.93,Kaduna,0
CASE200160,SUIT/fhc/8027/2021,Bola Afolabi,(504) 427-1739,Property law ,Supreme Court Nigeria,Amara Olawale,10.12.2023,03.03.2024,20-Jul-2024,CLOSED,,"NGN 5,030,259","1,154,671.96 ",Kaduna,Y
CASE200083,SUIT/FHC/3439/2022,blessing okonkwo,07823298324,Property law ,Customary Court Enugu,Adaeze Adeyemi,2024/06/29,11.12.2025,03-Mar-2027,Struck Out,Settled,1270888.98 naira,"₦257,674.84",Cross River,N
CASE200063,SUIT/fhc/4989/2019,Kunle Adeyemi,234-459-334-419,Civil Litigation,Federal High Court Abuja,Fatima Balogun,26.10.2021,05/15/2023,01 November 2023,Settled Out of Court,Pending,"₦12,603,656.08",8189276.32,Ibadan,false
CASE200413,suit/fhc/9449/2024,bisi okafor,01603248413,Criminal Defence,Kano State High Court,Sadiq Adeyemi,13/08/2023,2024-11-25,2026/09/02,Settled,Pending,"₦17,104,280.64",17513168.28,Delta,0
CASE200361,SUIT/fhc/1106/2021,amara adeyemi   ,(537) 030-4531,Labour Law,Lagos State High Court,Ibrahim Adekunle,03-Sep-2019,08 April 2021,,Adjourned ,--,23793882.70 naira,"NGN 20,471,627",Ibadan,0
CASE200348,suit/FHC/6617/2021,Obinna Bello,+234412462095,Employment Law,Federal High Court Lagos,Musa Ajayi,08/28/2019,02/17/2020,28 November 2021,Active,Won,561367.38 naira,"₦253,916.34",Abuja,no
CASE200316,suit/FHC/6155/2023,Bola Olawale,+234800545228,civil litigation,Court of Appeal Abuja,Obinna Ajayi,06/12/2019,17.10.2020,02/02/2022,Pending Hearing,Settled ,"₦12,878,998.95","N6,664,471",Edo,No
CASE200021,suit/fhc/4133/2023,Chioma Nwosu,(717) 545-5884,Labour Law,Supreme Court Nigeria,Segun Bello,2019-01-20,23/10/2019,20-Feb-2022,CLOSED,Pending,"₦8,302,229.87",2983422.7,Oyo,true
CASE200042,SUIT/fhc/3865/2023,Ifeoma Okeke,06452088147,Family Law,Federal High Court Lagos,amaka yusuf,30-Mar-2021,12/03/2022,04-Oct-2023,settled out of court,,20831595.97,"NGN 16,806,634",Ogun,No
CASE200255,SUIT/fhc/7396/2024,Ibrahim Adeyemi,01919541987,Property Law,Federal High Court Abuja,Blessing Afolabi,03-Dec-2024,02/18/2026,05/25/2027,Adjourned,pending,4689115.48 naira,3116268.80 naira,Lagos,yes
CASE200423,SUIT/fhc/8534/2023,Ifeoma Bello,39386613315,civil litigation,Federal High Court Abuja,Funmilayo Chukwu,30 August 2024,02/09/2025,2027/08/07,Active,LOST,?,"₦1,512,548.17",Abuja,false
CASE200225,SUIT/FHC/7148/2019,Adaeze Okafor,+234389888167,Criminal Defence,Federal High Court Abuja,Grace Olawale,01-Jul-2023,2025-03-03,,active,null,"NGN 8,863,085",8141906.57,Edo,Y
CASE200144,SUIT/FHC/4588/2025,Adaeze Yusuf,0891 371 8949,CRIMINAL,nil,Wale Bello,18.05.2022,2022-11-03,,active,LOST,24283305.08 naira,10325163.62 naira,Anambra,Yes
CASE200270,suit/fhc/4546/2022,Chinedu Okafor,+234432756041,Labour Law,Lagos State High Court,Amara Olawale,21-May-2023,2024/04/03,,Adjourned ,Pending,"₦13,166,753.36",13765230.42 naira,Rivers,false
CASE200235,SUIT/FHC/4282/2022,Zainab Yusuf,(827) 548-0157,Labour Law,Kano State High Court,Chidi Ajayi,08/01/2020,2020-07-30,2022-02-03,Active,pending,22027013.37 naira,"N24,098,234",Abuja,No
CASE200209,SUIT/fhc/7384/2022,Amaka Adekunle,234-028-140-693,Property law ,Kano State High Court,Emeka Balogun,2020/11/15,2020/12/21,2022/06/25,Pending Hearing,Won,"13,090,034.51 ","₦12,706,110.83",Enugu,1
CASE200133,SUIT/fhc/5188/2021,  CHINEDU ADEYEMI,234-196-570-132,Civil Litigation,Federal High Court Lagos,adaeze adekunle,2019/09/20,2021/04/09,,Struck Out,NULL,"N3,498,639",3387993.78,Kaduna,Y
CASE200087,SUIT/fhc/6847/2021,Zainab Okafor,(933) 051-7289,Family Law,Federal High Court Lagos,Wale Lawal,14-Sep-2021,11/28/2021,,Pending Hearing,null,"₦13,549,824.78","10,725,598.47 ",Kano,false
CASE200143,SUIT/FHC/3820/2025,Tunde Balogun,0519 712 8478,Property Law,Kano State High Court,Obinna Balogun,01/19/2023,28 October 2023,2024-11-21,Adjourned ,Won,"₦22,234,387.83","₦5,337,133.32",Edo,true
CASE200262,suit/fhc/2848/2020,Yusuf Chukwu,02420448207,Property law ,Court of Appeal Abuja,Fatima Nwosu   ,27.11.2021,05 July 2023,09.08.2023,Adjourned,,14640300.45,"₦5,212,202.47",rivers,1
CASE200354,suit/fhc/1461/2021,Ibrahim Nnamdi,06870079420,Civil Litigation,Court of Appeal Abuja,Segun Afolabi,28 September 2020,09 January 2021,01/31/2022,Adjourned,Lost,"NGN 20,477,449","NGN 13,620,270",Edo,true
CASE200305,suit/fhc/5261/2023,Kunle Adekunle,+234697499564,Property law ,Customary Court Enugu,Aliyu Balogun,01.01.2023,10.11.2024,17 February 2027,settled out of court,NIL,"N23,598,727","NGN 23,474,464",Kaduna,Yes
CASE200168,SUIT/FHC/9482/2024,kemi  okonkwo   ,(618) 478-7005,Civil Litigation,Kano State High Court,amara adeyemi,2021-11-10,04/22/2022,27/10/2022,Closed,LOST,"NGN 7,182,433","₦4,405,996.49",Imo,Yes
CASE200261,NIL,Segun Okafor,0303 477 8660,Civil Litigation,,Blessing Okafor,28 December 2022,25.08.2023,22/05/2024,Settled Out of Court,Settled,15604545.71,11920962.1,Kano,yes
CASE200067,SUIT/fhc/464/2022,Halima Adekunle,234-832-067-998,Family Law,Lagos State High Court,Kunle Ajayi,08/30/2022,03/21/2024,,Settled,Settled,"N17,064,834",14418209.78 naira,Enugu,false
CASE200098,SUIT/FHC/8248/2021,Halima Okafor,20644742123,civil litigation,Federal High Court Lagos,Emeka Bello,13 March 2020,03/20/2021,12/07/2021,Struck Out,N/A,"13,766,023.84 ","N13,130,544",Ogun,yes
CASE200065,SUIT/FHC/9078/2024,Tunde Ogundimu,+234961055661,civil litigation,Federal High Court Abuja,Bisi Lawal,2022-11-22,18.09.2024,29/09/2025,Adjourned ,LOST,"NGN 1,320,363","₦878,434.51",Lagos,N
CASE200393,SUIT/fhc/457/2020,Femi Okeke,09254812147,Civil Litigation,Supreme Court Nigeria,Chioma Okeke,2021/12/08,2023/05/12,,Adjourned,Lost,"N6,293,786","₦3,032,813.89",Rivers,false
CASE200418,suit/FHC/6161/2023,Amaka Okonkwo,09124186210,Property law ,Lagos State High Court,Ibrahim Okonkwo,11/23/2021,21/01/2023,,Struck Out,NULL,"₦3,222,025.10",NULL,Akwa Ibom,Yes
CASE200194,SUIT/fhc/5461/2022,fatima balogun,+234319508501,Property Law,Kano State High Court,Kemi Chukwu,10.01.2019,2020-08-30,12/03/2022,Struck Out,LOST,"₦2,018,088.45","NGN 1,445,552",Edo,0
CASE200342,suit/FHC/5682/2022,Emeka Adeyemi,+234996636580,Employment Law,Federal High Court Abuja,CHINEDU CHUKWU,11-Oct-2023,13.12.2024,15-May-2026,active,Won,"14,276,816.51 ",15057391.93 naira,Edo,Yes
CASE200302,suit/FHC/102/2019,Tobi Okonkwo,0017 226 0164,Labour Law,Lagos State High Court,Chinedu Okeke,05/07/2021,02-Feb-2023,2024-11-30,Closed,won,"N3,560,249","₦1,149,941.35",Enugu,Yes
CASE200427,SUIT/fhc/2663/2022,Tobi Balogun,57150997683,Criminal Defence,Customary Court Enugu,Zainab Yusuf,24-Jun-2024,2025-05-01,2026-08-12,Pending Hearing,LOST,"₦24,135,930.79",6716716.63 naira,Anambra,FALSE
CASE200076,SUIT/FHC/8858/2022,Yusuf Eze,06980420439,Employment Law,Lagos State High Court,Bisi Ogundimu,2021-09-08,14 December 2021,06.03.2024,Closed,Lost,"NGN 18,973,275",8406033.48 naira,Plateau,TRUE
CASE200364,SUIT/fhc/3416/2019,Aliyu Suleiman,0992 192 1249,Commercial Dispute,Customary Court Enugu,Obinna Ajayi,2019/06/27,2019-10-03,2021-04-07,Active,Settled,"20,368,879.14 ","NGN 21,104,756",oyo,Yes
CASE200201,suit/fhc/403/2021,Amaka Abubakar,(567) 043-1038,Employment Law,Federal High Court Lagos,FATIMA YUSUF,2023-04-16,28.11.2023,12/24/2025,Pending Hearing,Settled ,"N18,411,717",  ,Edo,N
