PlayerID,PlayerName,Nationality,DateOfBirth,Position,PreferredFoot,Academy,JoinDate,ContractEndDate,MonthlySalaryNGN,GoalsScored,Assists,AppearancesTotal,PlayerStatus,FIFARegistered,ContactPhone
PLY300057,Grace Suleiman,Ghanaian,00/00/0000,Striker ,right,Enyimba FC Academy,12-May-2018,2022-03-17,5960144.13,73,-1,94,Active,No,05542340163
PLY300267,Yusuf Adeyemi,Nigerian ,2006/06/15,Striker ,both,Kano Pillars Academy,11/01/2020,07/01/2021,"NGN 6,723,562",-3,60,-1,Loaned Out,false,0580 935 1187
PLY300016,Sadiq Ogundimu,NIGERIAN,08/13/2015,Goalkeeper,right,Lobi Stars Academy,07/10/2018,2020-01-28,"NGN 7,388,350",-3,26,-,Active ,0,+234027011686
PLY300313,Yusuf Chukwu,Ghanaian,01/23/2014,Forward,Right,Enyimba FC Academy,2018-07-28,10.01.2021,"₦6,037,850.95",999,56,999,Active ,1,79312697893
PLY300424,Ngozi Nwosu,Nigerian,2007-02-10,Midfielder,Left,Lobi Stars Academy,09 April 2021,not set,"3,394,135.23 ",55,17,999,Loaned Out,N,35984884021
PLY300213,Amaka Okonkwo,Nigerian,2002-09-18,Goalkeeper,Both,Enyimba FC Academy,11 March 2021,18-Feb-2023,"N3,532,989",19,57,-1,Transferred,TRUE,(449) 429-6592
PLY300171,Tunde Okafor,Cameroonian,,DEFENDER,right,Lobi Stars Academy,2024/06/28,2025-11-10,6459279.69 naira,-3,null,-1,INJURED,no,94591966395
PLY300199,Aliyu Mohammed,Ivorian,06 December 2012,Striker ,Both,Sunshine Stars Academy,N/A,2024/02/14,"NGN 1,570,380",-3,-1,999,Active,false,(122) 572-0765
PLY300101,Tunde Balogun,Ivorian,21.06.2014,Striker,Right ,Rivers United Academy,2023-08-13,13/07/2025,6597415.21,-3,-1,999,Loaned out,N,N/A
PLY300179,Amara Afolabi,Cameroonian,23.05.2006,Defender,right foot,Sunshine Stars Academy,2021/09/17,2024/10/01,"5,118,693.77 ",999,-1,300,Active,Y,0907 426 0880
PLY300274,Zainab Afolabi,Ivorian,22/09/2004,Centre Back,LEFT,Sunshine Stars Academy,08.08.2019,2022/06/08,"NGN 3,834,974",-3,-1,N/A,Transferred,FALSE,0353 537 5137
PLY300119,Tobi Lawal,nigerian,11/03/2010,Goalkeeper,Both,Sunshine Stars Academy,24-Nov-2019,2024/09/04,4569695.23 naira,999,-1,286,Injured,TRUE,0728 476 5704
PLY300348,Musa Suleiman,Senegalese,29.08.2015,Goalkeeper,Left,Enyimba FC Academy,15.06.2022,2023-09-08,4460212.42 naira,-3,12,999,Loaned out,0,
PLY300246,Amaka Olawale,nigerian,2007-04-02,Defender,Right ,Rivers United Academy,24 May 2024,,"₦6,576,997.45",Unknown,13,-1,Transferred,No,04300038960
PLY300240,Ngozi Nwosu,NIGERIAN,2011-05-28,Forward ,right foot,Heartland FC Academy,16.12.2023,2026-05-28,8058363.38,-3,-1,259,Retired,false,98503446512
PLY300025,Ibrahim Nwosu,Nigerian ,2009-09-16,Striker,right,Heartland FC Academy,20 December 2022,2026/01/02,"NGN 6,906,539",999,14,-1,Retired,TRUE,+234505057397
PLY300325,Emeka Bello,Senegalese,2008/10/20,Goalkeeper,LEFT,Enyimba FC Academy,12 December 2022,03-Dec-2027,2008646.93 naira,999,-1,102,Loaned Out,true,234-134-249-128
PLY300319,Amara Balogun,Malian,05/11/2007,Midfielder,right foot,Enyimba FC Academy,2019/05/10,26 November 2021,"N5,011,006",n/a,-1,-1,Transferred,N,48595922483
PLY300133,Musa Balogun,Nigerian ,,Forward ,Left,Enyimba FC Academy,2020-04-17,2022/11/21,unknown,-3,36,-1,Loaned out,TRUE,52421495511
PLY300323,fatima ajayi   ,Malian,17-Mar-2013,Mid fielder,Right ,Heartland FC Academy,2022/07/30,26 April 2026,N/A,n/a,-1,48,Loaned Out,1,0215 835 0344
PLY300039,zainab mohammed   ,Ghanaian,09/25/2006,Striker ,right foot,Enyimba FC Academy,12/02/2022,08.05.2023,"₦1,962,773.80",9,58,63,Loaned Out,false,0612 590 4729
PLY300265,Femi Eze,Malian,10/24/2009,Forward ,right,Lobi Stars Academy,2019/06/06,11/30/2022,3066378.31 naira,n/a,-1,177,Injured,N,+234232290310
PLY300194,Amara Nwosu,Senegalese,unknown date,Winger,LEFT,Heartland FC Academy,2024-09-18,06-Nov-2026,"NGN 6,896,130",-3,51,-1,Injured,false,06634362948
PLY300252,Amara Suleiman,Nigerian,2003-03-08,DEFENDER,right,Sunshine Stars Academy,03/06/2021,06/09/2023,NULL,-3,1,96,active,1,(537) 458-4384
PLY300196,Blessing Adeyemi   ,Cameroonian,21-Jul-2004,Goalkeeper,Both,Enyimba FC Academy,02/09/2020,15-Sep-2021,"₦2,717,742.80",999,19,999,Retired,N,94318143966
PLY300090,FUNMILAYO AJAYI,Ivorian,19-Jan-2003,Striker ,LEFT,Shooting Stars Academy,06/26/2019,05/31/2024,"7,837,484.75 ",-3,-1,251,Loaned Out,yes,234-029-424-090
PLY300074,Chioma Okeke   ,Nigerian,2005/11/23,Midfielder,Both,Enyimba FC Academy,2022-08-11,22-Oct-2023,"₦297,008.38",999,  ,236,Injured,no,+234531340266
PLY300110,Ifeoma Okeke,Nigerian,2006-02-25,Mid fielder,Both,Lobi Stars Academy,29-Dec-2021,10/06/2024,8491010.56 naira,14,39,999,Retired,TRUE,invalid
PLY300002,ifeoma okonkwo,NIGERIAN,21 September 2006,Forward ,Left,Sunshine Stars Academy,N/A,unknown date,3344916.94,73,2,null,Loaned Out,no,09685270171
PLY300177,Chidi Okafor,Ivorian,2000-05-02,goalkeeper,LEFT,Enyimba FC Academy,2021-04-19,,-,999,-1,-1,Active ,TRUE,05330770461
PLY300038,Funmilayo Mohammed,Malian,24.11.2010,Winger,LEFT,Rivers United Academy,11/20/2024,2026/01/27,"N4,982,292",48,26,201,Retired,0,06756618443
PLY300028,Ifeoma Okafor,Ghanaian,18.10.2000,DEFENDER,Left,Rivers United Academy,15.06.2023,08/05/2027,nil,11,-1,-1,Active,1,0717 833 3211
PLY300352,Fatima Eze,Malian,01-Feb-2005,Goalkeeper,Right ,Lobi Stars Academy,10.09.2018,26 August 2023,6766067.37,-3,-1,NIL,Transferred,Yes,234-969-028-249
PLY300378,Tobi Lawal,Senegalese,2005/09/28,Midfielder,right foot,Lobi Stars Academy,2020-04-22,16/08/2022,"NGN 2,817,769",null,-1,999,Active,0,07277382646
PLY300013,Funmilayo Okafor,Nigerian ,2000/02/22,DEFENDER,right foot,Enyimba FC Academy,20/08/2021,01/09/2024,"₦8,283,904.21",-3,-1,246,Injured,FALSE,234-399-201-166
PLY300050,Kunle Adekunle,nigerian,27/08/2001,Forward,Right,Enyimba FC Academy,28 August 2022,01/19/2024,7199443.38 naira,58,-1,  ,Active ,1,+234034084872
PLY300386,Obinna Okonkwo,Cameroonian,30-Apr-2002,Winger,right foot,Rivers United Academy,2022-03-15,,"N3,013,836",999,-1,5,active,false,(966) 630-9329
PLY300419,Ngozi Okonkwo,nigerian,01-Aug-2010,DEFENDER,Left,Enyimba FC Academy,2022-11-06,unknown date,"N3,104,769",33,15,-1,Injured,true,04505665883
PLY300089,Musa Afolabi   ,Senegalese,03/11/2016,Mid fielder,Right,Enyimba FC Academy,2024-07-08,25.05.2029,"NGN 8,362,443",53,-1,-1,Injured,no,0485 571 6176
PLY300147,Tobi Bello,Malian,10/02/2011,Midfielder,right foot,Shooting Stars Academy,24-Jul-2019,02.07.2023,"NGN 8,334,465",51,-1,NULL,Transferred,FALSE,234-727-910-336
PLY300307,  Halima Ajayi,Cameroonian,20.09.2010,Mid fielder,Left,Kano Pillars Academy,23.11.2019,2022-10-29,"1,467,308.25 ",4,-1,999,Transferred,no,0118 600 8921
PLY300335,Funmilayo Suleiman,Senegalese,01.02.2008,Goalkeeper,Right,Shooting Stars Academy,01/29/2021,,n/a,999,39,unknown,Active ,1,09772781050
PLY300036,Kemi Afolabi,Ivorian,27-Mar-2006,Centre Back,right,Rivers United Academy,12 March 2019,2022-08-24,"₦8,428,933.02",999,-1,28,Retired,Yes,234-973-746-052
PLY300018,Zainab Mohammed,NIGERIAN,13.01.2001,Winger,right,Lobi Stars Academy,2019-05-04,28/06/2023,"NGN 1,357,531",45,15,-1,Injured,1,(793) 230-2346
PLY300263,Ngozi  Olawale   ,NIGERIAN,30.11.2007,Forward ,LEFT,Enyimba FC Academy,05/30/2018,,1365317.48,999,-1,-1,Active,false,70705783609
PLY300068,Chidi Afolabi,NIGERIAN,30 May 2014,Defender,right foot,Enyimba FC Academy,2020/10/31,2023/07/27,?,-3,25,nil,INJURED,no,234-381-447-443
PLY300236,Amara Nwosu,nigerian,N/A,Striker ,both,Heartland FC Academy,09 May 2018,,"₦6,802,160.59",17,-1,999,Injured,FALSE,83190130205
PLY300377,Kemi Okonkwo,NIGERIAN,2015/12/30,Winger,right foot,Sunshine Stars Academy,2020/12/22,06 July 2025,"₦7,993,599.73",-,30,999,active,No,+234586780555
PLY300221,obinna mohammed,NIGERIAN,30/07/2013,Centre Back,right,Lobi Stars Academy,02/10/2018,12/27/2020,6252086.05 naira,32,31,999,Retired,no,234-244-079-311
PLY300187,Emeka Ogundimu,Ghanaian,18-Feb-2014,DEFENDER,LEFT,Heartland FC Academy,13 July 2019,01/08/2022,"₦3,292,338.24",62,11,-1,active,true,58331170303
PLY300315,Ibrahim Nnamdi,Malian,2000/10/16,Forward,both,Lobi Stars Academy,08/06/2020,04/30/2022,"₦4,011,137.72",2,48,999,active,TRUE,0604 387 8753
PLY300354,Kunle Afolabi,Malian,07-May-2003,Centre Back,both,Kano Pillars Academy,16-Mar-2022,2023/11/06,  ,-3,,165,Loaned Out,no,(627) 023-2441
PLY300014,Femi Lawal,NIGERIAN,25 July 2012,DEFENDER,right,Lobi Stars Academy,02/07/2022,2025-10-28,"N7,845,156",999,42,-1,INJURED,yes,0183 626 4488
PLY300051,Tobi Ogundimu,Senegalese,11-Feb-2015,Striker,both,Heartland FC Academy,12 June 2020,09.11.2021,568503.11,999,NULL,999,INJURED,yes,0758 598 8310
PLY300192,Blessing Nwosu,Ivorian,N/A,Defender,Both,Sunshine Stars Academy,23.03.2021,,6840219.59 naira,-3,-1,22,INJURED,No,234-754-181-563
PLY300146,  Obinna Adekunle   ,Nigerian,2013-04-29,DEFENDER,Right ,Sunshine Stars Academy,02.04.2024,27 June 2026,"NGN 5,831,972",-3,36,999,Retired,Yes,234-027-275-164
PLY300130,Kunle Chukwu,Nigerian,13/09/2003,goalkeeper,right foot,Sunshine Stars Academy,2019/01/23,2023/05/23,4357887.86,999,-1,-1,Injured,yes,(228) 898-5725
PLY300006,Chioma Adekunle,Senegalese,2012/11/08,Mid fielder,both,Shooting Stars Academy,27-May-2021,24 October 2022,1144862.04 naira,48,21,null,Retired,yes,27768962706
PLY300047,Tobi Nwosu,Ivorian,2003/06/01,goalkeeper,Right ,Heartland FC Academy,2020/03/14,,?,-3,-1,999,Active,1,invalid
PLY300041,Chinedu Okeke,Nigerian,03-Mar-2013,DEFENDER,Left,Rivers United Academy,10 January 2018,05/10/2020,"₦2,684,871.67",999,-1,-1,Loaned Out,Y,26620157201
PLY300276,Sadiq Eze,nigerian,00/00/0000,Forward ,right,Rivers United Academy,12 May 2021,,"₦447,572.30",999,14,-1,Retired,true,(639) 283-6929
PLY300077,Kemi Afolabi,Malian,2000-07-30,Midfielder,LEFT,Sunshine Stars Academy,21.11.2018,28.10.2020,"₦3,610,732.38",999,-1,-1,Transferred,no,0803 056 9067
PLY300216,Ibrahim Adeyemi,NIGERIAN,10/26/2014,Defender,Right,Sunshine Stars Academy,08/13/2024,13/08/2028,"₦4,220,018.33",999,-1,  ,Loaned out,Y,0756 766 7080
PLY300023,Musa Afolabi,NIGERIAN,02.09.2003,Defender,both,Shooting Stars Academy,09/10/2019,30.12.2023,4602048.78,999,-1,NIL,Retired,Y,09055107620
PLY300102,Yusuf Balogun,Cameroonian,2006-09-25,Goalkeeper,Both,Kano Pillars Academy,21.08.2018,10.09.2020,7000414.82,null,54,999,active,false,+234166010023
PLY300364,Grace Okonkwo,Senegalese,18/12/2004,goalkeeper,right foot,Kano Pillars Academy,29/10/2021,03/06/2026,"₦4,428,901.69",999,37,-1,Transferred,Y,+234785758512
PLY300040,Ibrahim Balogun,Senegalese,2014-10-02,Defender,right,Lobi Stars Academy,20/09/2024,09.07.2026,"N7,556,903",-3,-,999,Loaned Out,no,0774 233 3059
PLY300139,Funmilayo Okafor,Nigerian,2012-03-12,DEFENDER,right,Lobi Stars Academy,31/08/2022,16/05/2027,"₦3,439,233.26",12,-1,238,Injured,no,0663 651 5597
PLY300166,Funmilayo Okafor,NIGERIAN,2011-10-04,Forward,right,Shooting Stars Academy,2024-11-08,02/01/2028,2710233.83,999,-1,-1,Active ,Yes,234-980-284-139
PLY300060,Zainab Bello,nigerian,2012/11/08,Winger,Right,Shooting Stars Academy,03/08/2019,2023-09-23,"₦304,648.09",N/A,-1,999,Active,true,234-896-792-408
PLY300429,Yusuf Lawal,Nigerian,16 February 2002,Centre Back,Right,Sunshine Stars Academy,01/06/2019,,"₦2,976,482.84",34,-1,999,Loaned Out,TRUE,+234281979316
PLY300211,  obinna olawale,Ghanaian,2001-11-30,Winger,Left,Shooting Stars Academy,12/28/2019,27.12.2020,"₦7,761,727.16",-3,40,-1,active,TRUE,54882142369
PLY300409,Obinna Chukwu,NIGERIAN,24.11.2012,Centre Back,right foot,Sunshine Stars Academy,2021/03/31,01/10/2023,--,24,-1,256,Active,N,07490961739
PLY300144,Amara Bello,Nigerian,2015-09-22,Goalkeeper,both,Shooting Stars Academy,10/15/2024,18.05.2026,7197165.99 naira,999,24,140,Active ,Yes,42356778265
PLY300079,Sadiq Lawal,Nigerian ,13/11/2015,Forward,Left,Heartland FC Academy,2022/03/27,03-Sep-2024,1059997.74,3,unknown,999,Injured,Y,234-436-371-892
PLY300104,Zainab Okonkwo,Nigerian ,24/03/2008,Midfielder,Right ,Shooting Stars Academy,04/22/2023,08/09/2024,1757986.78,999,-1,999,Retired,Yes,(797) 245-7230
PLY300219,Chinedu Suleiman,Cameroonian,2001/04/12,Forward ,right foot,Shooting Stars Academy,18-Nov-2021,02-Dec-2022,"₦6,937,559.39",-3,-1,-1,active,No,234-041-591-497
PLY300053,Blessing Okeke,Ivorian,07 May 2003,goalkeeper,LEFT,Rivers United Academy,06 July 2022,21.01.2026,7752253.76,-3,56,999,Injured,No,+234296184462
PLY300343,Halima Yusuf,Senegalese,28-Nov-2010,Striker,LEFT,Shooting Stars Academy,23 October 2020,05 March 2025,3408310.65,19,NULL,999,Transferred,No,0429 563 3432
PLY300301,fatima ajayi,Nigerian,06.12.2013,Forward,both,Rivers United Academy,,,"NGN 5,843,764",-3,56,42,INJURED,FALSE,0504 763 9283
PLY300264,CHINEDU  MOHAMMED,Nigerian,14/07/2005,Striker ,Both,Shooting Stars Academy,2020/01/25,12/15/2023,507212.6,999,-1,-1,active,yes,01498517244
PLY300210,Wale Ajayi,Cameroonian,22/12/2009,Centre Back,Right,Sunshine Stars Academy,N/A,30/06/2025,"₦2,543,627.40",-3,24,-1,Loaned Out,No,10740650042
PLY300201,Chinedu Lawal,Malian,2002-05-11,goalkeeper,Left,Kano Pillars Academy,04/25/2024,,"3,656,480.73 ",-3,-1,-1,Loaned out,yes,37100943882
PLY300163,Tunde Chukwu,NIGERIAN,,Striker ,both,Rivers United Academy,06/05/2024,21-Oct-2027,"NGN 8,338,738",-3,-1,211,INJURED,TRUE,(442) 117-5361
PLY300331,Aliyu Yusuf,NIGERIAN,2010/09/07,Striker,Right,Heartland FC Academy,19.10.2020,06 February 2023,4642119.61 naira,44,-1,999,INJURED,no,+234652057563
PLY300365,Adaeze Ogundimu,Cameroonian,29.10.2015,Mid fielder,LEFT,Kano Pillars Academy,2021/11/21,01/23/2026,"NGN 4,475,142",-3,49,125,Transferred,false,0861 205 9438
PLY300250,Ifeoma Eze,Cameroonian,2010/03/12,Forward ,Both,Rivers United Academy,21-Apr-2023,05/08/2024,"NGN 662,450",-3,36,-1,Active ,0,(027) 240-5593
PLY300374,Sadiq Afolabi,NIGERIAN,2014-05-01,goalkeeper,Right ,Heartland FC Academy,2018/08/12,14.06.2020,"N8,422,094",-3,26,999,Retired,FALSE,24809624406
PLY300214,Blessing Olawale,Ghanaian,2003-04-18,Winger,Left,Rivers United Academy,03/13/2023,29/03/2025,,76,-1,111,Active ,Y,+234268344149
PLY300179,Amara Afolabi,Cameroonian,23.05.2006,Defender,right foot,Sunshine Stars Academy,2021/09/17,2024/10/01,"5,118,693.77 ",999,-1,300,Active,Y,0907 426 0880
PLY300075,Blessing Afolabi,Ivorian,12-Nov-2000,Midfielder,Left,Kano Pillars Academy,2018/08/17,10/14/2020,"N4,984,957",-3,19,999,Loaned Out,No,invalid
PLY300200,  Amaka Suleiman,Nigerian ,09 December 2004,Goalkeeper,both,Lobi Stars Academy,2022/11/21,27.11.2023,5015516.01 naira,999,null,237,Active ,Y,02412095790
PLY300153,ADAEZE LAWAL,nigerian,02/13/2012,Defender,both,Lobi Stars Academy,02/15/2024,2027/11/25,"₦2,578,477.23",-3,5,-1,Transferred,N,
PLY300008,Adaeze Ogundimu,Malian,2012/02/22,Winger,Right ,Sunshine Stars Academy,15/01/2019,20 December 2021,3320291.23 naira,-3,-1,999,INJURED,no,(474) 689-7152
PLY300064,Chidi Chukwu,NIGERIAN,10-Jul-2015,Forward ,Left,Enyimba FC Academy,23.04.2021,05 January 2026,"NGN 6,225,576",76,-1,-1,Loaned out,yes,01487068277
PLY300382,KUNLE ADEYEMI,Nigerian,18.11.2004,Mid fielder,Left,Enyimba FC Academy,2018/03/09,13.07.2019,"₦5,558,940.52",-3,9,999,Loaned Out,0,+234116331942
PLY300113,Wale Nwosu,Ghanaian,08.12.2003,Goalkeeper,right,Rivers United Academy,2022/06/20,2026-04-10,8244612.67,999,-1,,Injured,No,0687 887 8836
PLY300234,CHINEDU BELLO,Nigerian,10/13/2005,Midfielder,Left,Heartland FC Academy,03/24/2019,18-Oct-2023,"N611,599",75,40,187,Loaned Out,no,07590251762
PLY300328,Ifeoma Okafor,Malian,15 January 2010,Defender,both,Enyimba FC Academy,04.02.2018,08-Feb-2020,3301801.38 naira,unknown,32,-1,Loaned Out,false,02876754813
PLY300341,Obinna Balogun,Ivorian,31.08.2005,Mid fielder,Both,Rivers United Academy,25 January 2024,N/A,2027172.99 naira,999,12,999,Active ,FALSE,12125902035
PLY300256,Tunde Ogundimu,Nigerian ,2005-10-19,Striker,right foot,Kano Pillars Academy,12/09/2021,16-Apr-2025,"N3,881,055",61,-1,-1,Loaned out,1,0104 967 0667
PLY300333,Tunde Nnamdi,Nigerian ,2003/09/23,Centre Back,right foot,Kano Pillars Academy,2021/01/08,25.10.2025,"₦6,294,428.42",-3,-1,240,Active ,no,234-945-154-809
PLY300363,Funmilayo Nnamdi,Nigerian,2002/06/19,Mid fielder,Right,Kano Pillars Academy,20/06/2023,02.11.2027,"₦2,160,294.98",999,54,999,Active,no,67076604641
PLY300407,Tunde Chukwu,Malian,05.06.2004,DEFENDER,both,Enyimba FC Academy,11 August 2019,2023-01-08,"N6,132,922",11,-1,-1,Injured,Y,+234997718051
PLY300134,Bola Lawal,Nigerian,30 June 2015,Striker ,Right,Kano Pillars Academy,20/03/2020,09.12.2024,4013291.45,999,-1,-,Loaned out,N,0274 747 2197
PLY300288,Segun Nnamdi,NIGERIAN,10 March 2013,Forward ,right,Shooting Stars Academy,2020-01-18,2024/01/11,"₦2,312,681.97",999,30,999,INJURED,N,(209) 088-3070
PLY300431,  chidi mohammed,Cameroonian,2010/12/28,Mid fielder,Right ,Enyimba FC Academy,07 November 2020,10.11.2022,"N7,724,306",999,-1,168,Active,FALSE,06940960035
PLY300183,   bola eze,Senegalese,2015/03/27,Forward,right,Kano Pillars Academy,11-Apr-2018,08/10/2019,"N332,331",999,12,999,Injured,TRUE,+234135800401
PLY300414,Funmilayo Bello,Cameroonian,22 December 2012,Striker,Right ,Kano Pillars Academy,15 March 2018,17/04/2020,"NGN 5,281,572",77,1,169,Retired,Y,0348 458 7149
PLY300205,Blessing Nwosu,Ivorian,01/16/2009,Forward ,right,Enyimba FC Academy,17-Aug-2024,08/05/2029,5029025.31,999,23,-1,Active,no,0965 313 6148
PLY300273,halima mohammed,nigerian,2011/03/10,Goalkeeper,LEFT,Shooting Stars Academy,09 July 2022,2026-01-31,-,3,-1,218,Loaned Out,1,+234978875439
PLY300289,Emeka Okeke,Malian,30-Nov-2006,Striker ,both,Shooting Stars Academy,23 April 2022,,4559895.69,34,-1,85,active,N,234-496-782-741
PLY300086,Amaka Okeke,nigerian,20/04/2016,Striker ,Right ,Heartland FC Academy,2021/08/09,12 December 2025,"₦1,929,047.63",21,-1,999,Transferred,Y,0895 343 9611
PLY300001,Adaeze Okeke,Senegalese,21-May-2004,Midfielder,both,Enyimba FC Academy,2018/01/07,2021/11/12,4120224.06 naira,-3,-1,-1,Active ,1,40355338033
PLY300302,Chioma Nwosu,Ivorian,,Mid fielder,both,Shooting Stars Academy,N/A,17/05/2025,"₦4,641,373.22",999,-1,-1,Loaned Out,true,234-952-980-061
PLY300340,Bisi Nnamdi,Malian,2007-10-31,Goalkeeper,Right ,Enyimba FC Academy,2018/08/18,15.08.2020,"₦7,749,430.54",35,NULL,-1,Active,1,08515791971
PLY300243,Amaka Ogundimu,Nigerian ,04 February 2004,Midfielder,Left,Lobi Stars Academy,24/04/2020,,"₦1,826,154.17",unknown,58,-1,Transferred,false,(350) 238-5037
PLY300062,Blessing Ogundimu,Senegalese,2015-08-29,Centre Back,Right,Heartland FC Academy,2020-09-28,2025-08-24,1424347.59,70,20,23,active,Y,234-757-844-683
PLY300257,Femi Chukwu,Nigerian ,2016-02-20,Midfielder,Left,Sunshine Stars Academy,2022-11-09,05-Jan-2026,3437357.50 naira,-3,25,-1,Transferred,Y,0336 268 0408
PLY300105,Amara Bello,Cameroonian,11/06/2006,Forward,Left,Lobi Stars Academy,2024/04/14,23 June 2025,"₦1,425,331.77",999,3,999,Retired,No,+234810018418
PLY300430,Segun Okafor,Senegalese,2004-09-13,goalkeeper,Left,Sunshine Stars Academy,15-Sep-2020,2022-02-28,"₦1,616,435.43",-3,31,253,active,true,77251295786
