TaxpayerID,CompanyName,TaxType,Sector,RegistrationDate,AssessmentYear,TurnoverNGN,TaxLiabilityNGN,TaxPaidNGN,OutstandingNGN,ComplianceStatus,PenaltyNGN,ContactPhone,State,AuditFlag
TIN41702479,Halima Chukwu Enterprises,Education Tax ,Banking,08 August 2017,2024,"₦38,871,877,566.94","N6,229,100,541","2,468,924,927.41 ","NGN 3,760,175,613",Exempted,,(166) 732-9045,Akwa Ibom,N
TIN29448888,Kunle Eze Enterprises,vat,Oil & Gas,2022-08-01,2022,"29,285,409,443.06 ",606861293.01,"N127,637,357","NGN 479,223,936",Exempted ,,234-661-549-808,Imo,N
TIN86043888,Femi Suleiman Enterprises,cit,Manufacturing,08.01.2011,2025,25642452290.8,6996795886.97,2562002203.84,"₦4,434,793,683.13",Compliant,,20441007941,Oyo,Y
TIN93937754,Fatima Ajayi Enterprises,Withholding Tax (WHT),FMCG,03/07/2017,2025,"NGN 15,649,383,102","₦3,312,914,633.66",3617191728.28,N0,compliant,"170,568,708.48 ",(720) 388-6217,Abuja,TRUE
TIN64760147,Aliyu Eze Enterprises,Value Added Tax (VAT),N/A,08/29/2017,2023,44308961777.12,2925543073.68,null,"N2,272,448,849",NON-COMPLIANT,9383579.48,234-282-763-643,Lagos State,0
TIN75863181,femi eze enterprises,CIT,Banking,29 June 2020,2023,"NGN 32,092,029,136","N754,603,989",-,"NGN 355,201,780",Under Audit,,0698 416 6123,Imo,1
TIN34505080,Musa Balogun Enterprises,Withholding Tax (WHT),Oil & Gas,2010/05/24,2024,"NGN 18,601,825,508",null,Unknown,"N1,433,047,478",NON-COMPLIANT,unknown,(436) 728-6811,Akwa Ibom,1
TIN38395332,Bisi Mohammed Enterprises,Education Tax (EDT),FMCG,2019/11/20,2023,39288426869.03,8080655188.94,"1,024,541,340.74 ","7,056,113,848.20 ",Compliant,641581724.49 naira,+234096617718,Lagos,true
TIN53641084,Chinedu Nnamdi Enterprises,PIT,Banking,10.04.2022,2025,780346626.44,"88,454,495.06 ",83260977.77,"₦5,193,517.29",Compliant,"N5,444,996",0172 224 0507,Kaduna,false
TIN10978095,Halima Abubakar Enterprises,VAT,Professional Services,02/10/2013,2020,"NGN 15,208,628,922","₦2,361,517,386.90","103,445,249.73 ","N2,258,072,137",Under Audit,93199175.82,234-558-517-774,lagos,yes
TIN99988399,musa nnamdi enterprises,PIT,Oil & Gas,08/07/2019,2023,"N21,931,808,368","N2,793,103,829","N1,227,063,528",1566040301.04 naira,Compliant,,07184523542,Imo,TRUE
TIN51419865,Ibrahim Eze Enterprises,cit,?,26/05/2012,2020,7427615167.04 naira,1990659321.79,"N540,518,301","N1,450,141,021",Partially Compliant,,234-546-772-051,Akwa Ibom,No
TIN58764129,Ibrahim Eze Enterprises,Company Income Tax,Banking,not set,2020,  ,"N3,267,563,757","232,326,431.99 ","NGN 3,035,237,325",Exempted,"₦213,998,532.58",234-317-197-860,Edo,N
TIN88055564,Halima Chukwu Enterprises,VAT,Oil & Gas,2019-10-02,2025,"NGN 33,209,918,474","NGN 5,155,369,468",2060972873.43,3094396594.3999996,Under Audit,,54824218385,Ogun,yes
TIN74534089,Bisi Olawale Enterprises,VAT,Banking,03.09.2016,2021,"₦705,780,167.96","₦180,748,056.52","NGN 20,635,288",,Exempted ,"NGN 4,225,603",0000000000,Plateau,TRUE
TIN21257550,Amaka Okeke Enterprises,Withholding Tax (WHT),Retail,03/19/2018,2024,"NGN 12,509,576,760",1243068520.85 naira,"₦870,110,955.18",372957565.66999996,compliant,90590020.26 naira,234-756-999-449,Fct Abuja,false
TIN53241940,Fatima Nnamdi Enterprises,Capital Gains Tax (CGT),Banking,19 January 2011,2024,"N8,619,880,814","N2,329,094,524","N52,165,393",2276929131.0,compliant,,234-160-112-411,Cross River,0
TIN75282203,Ibrahim Okeke Enterprises,CIT,Telecoms,2011-07-02,2020,21112058991.14,1560727328.51,"N75,920,306","₦1,484,807,022.06",Compliant,,(274) 812-4211,Akwa Ibom,1
TIN69494529,EMEKA MOHAMMED ENTERPRISES,vat,Professional Services,08/28/2014,2024,43018572255.29,4712806418.19,4227776930.76,"485,029,487.43 ",Exempted,,76878494771,Enugu,FALSE
TIN31615562,Chioma Suleiman Enterprises,Value Added Tax (VAT),Professional Services,27-Jan-2022,Unknown,3876463200.08 naira,"N783,617,522","N250,168,187",533449335.69000006,Exempted ,11089031.86,+234183270004,Port Harcourt,N
TIN67246852,Ifeoma Abubakar Enterprises,Company Income Tax (CIT),Manufacturing,22/03/2015,2022,24027858951.3,"NGN 3,060,986,409","N1,316,830,764",,compliant,176917103.36 naira,234-758-333-647,Plateau,false
TIN95059591,Obinna Afolabi Enterprises,vat,Telecoms,2019/09/09,2025,"NGN 46,050,308,110",8799055739.05,846030803.13 naira,7953024935.92 naira,Non-Compliant,,234-762-550-325,Abuja,TRUE
TIN55643005,Ibrahim Mohammed Enterprises,PIT,  ,04 January 2010,2023,"₦19,653,191,470.30","₦5,650,106,386.33",3676901797.78 naira,"₦1,973,204,588.55",Under Audit,,invalid,Enugu,true
TIN59278976,Halima Okafor Enterprises,Value Added Tax (VAT),Professional Services,00/00/0000,2025,"9,854,155,536.55 ","N2,269,422,001","NGN 1,952,732,613",316689387.9399998,compliant,,+234513587271,Kaduna,TRUE
TIN71498342,Ifeoma Yusuf Enterprises,CIT,?,23.11.2015,2023,37024095836.32,"₦2,046,911,561.81",1533426802.05,"NGN 513,484,760",Exempted,,09739889413,Oyo State,FALSE
TIN14359240,Aliyu Olawale Enterprises,Withholding Tax (WHT),Manufacturing,05/16/2021,2022,46547096181.3,"N11,655,138,665","₦12,027,522,237.03",NGN 0,NON-COMPLIANT,,+234220334742,Oyo State,0
TIN14727755,OBINNA ADEKUNLE ENTERPRISES,Capital Gains Tax (CGT),Telecoms,14 November 2014,2021,"N4,732,526,158",1281052069.42 naira,"₦1,404,290,345.69",NGN 0,compliant,,02276433872,Oyo,TRUE
TIN29090992,Musa Eze Enterprises,VAT,Retail,N/A,2023,25737609568.69 naira,4398481420.27 naira,"₦124,254,717.40","N4,274,226,703",NON-COMPLIANT,,+234341996433,Akwa Ibom,FALSE
TIN66563174,  Musa Ogundimu Enterprises,cit,Banking,04/06/2010,2021,42097974283.12 naira,"₦8,850,592,781.94",7251977897.56 naira,"₦1,598,614,884.38",NON-COMPLIANT,,+234477183753,Anambra,false
TIN83862879,Halima Ajayi Enterprises,Company Income Tax (CIT),Telecoms,24 July 2013,2025,"NGN 44,521,905,518","NGN 6,828,382,501","₦589,705,722.10","₦6,238,676,779.31",Non-Compliant,NIL,02680808157,Oyo State,no
TIN98034953,Blessing Eze Enterprises,Education Tax (EDT),Banking,13/07/2010,2022,"₦22,936,016,150.85",-,1063359073.20 naira,3949400490.87,Exempted ,"NGN 310,363,598",85386310505,Enugu,true
TIN39260538,Aliyu Eze Enterprises,Value Added Tax (VAT),Banking,27 October 2021,unknown,"49,184,997,605.24 ","₦12,202,951,392.53",,"NGN 5,185,510,258",NON-COMPLIANT,708213801.99 naira,(481) 105-0147,Imo,1
TIN58830554,Grace Okafor Enterprises,VAT,Manufacturing,2019-09-13,2023,23150357647.02 naira,"NGN 6,751,696,942",6539857075.89,211839866.23999977,Partially Compliant,,(878) 035-8690,Akwa Ibom,Y
TIN40944451,Emeka Lawal Enterprises,Education Tax ,Manufacturing,15-May-2013,2022,"₦890,453,448.66","NGN 124,877,472","₦26,142,232.85",,Compliant,"NGN 4,104,000",N/A,Cross River,TRUE
TIN24575279,Aliyu Olawale Enterprises,Company Income Tax (CIT),Real Estate,not set,2024,10808696324.04 naira,1130091283.34,"NGN 746,602,420","₦383,488,863.33",compliant,"NGN 61,949,145",234-067-398-344,Ibadan,0
TIN39754241,Fatima Nnamdi Enterprises,Capital Gains Tax (CGT),Telecoms,01/03/2017,2024,"₦6,594,155,730.42",1226768468.65 naira,667455819.55 naira,"N559,312,649",Under Audit,,29563427775,Delta,No
TIN75513373,Grace Afolabi Enterprises,Capital Gains Tax (CGT),Oil & Gas,not set,2020,"N20,390,216,683","₦2,701,980,052.53",63954493.69 naira,2638025558.84 naira,Compliant,,(551) 327-6179,Akwa Ibom,true
TIN19946193,CHINEDU OGUNDIMU ENTERPRISES   ,Value Added Tax (VAT),FMCG,14.07.2014,2020,"NGN 43,794,120,207","NGN 8,853,013,492","N5,843,721,412","N3,009,292,080",Compliant,,47841715949,Kaduna,TRUE
TIN52403334,Amara Okonkwo Enterprises,VAT,Telecoms,2011/04/30,2025,"₦11,164,130,990.82","₦1,360,570,199.04","NGN 1,147,063,323","N213,506,876",Partially Compliant,"₦110,078,228.55",07609873126,Plateau,0
TIN65241287,Tunde Bello Enterprises,vat,Banking,04/02/2015,2025,19934072293.28 naira,nil,5553304551.88,"395,841,833.22 ",Exempted,"229,448,676.36 ",+234029831043,Enugu,Yes
TIN41647107,ADAEZE CHUKWU ENTERPRISES,CIT,Banking,2010-12-28,2020,"₦2,004,904,638.60",529624460.98 naira,"104,155,671.67 ",,Non-Compliant,,+234102929501,Oyo,no
TIN91930381,  BLESSING MOHAMMED ENTERPRISES   ,WHT,Banking,16 November 2010,2020,37257635851.03 naira,"₦7,515,502,860.98",7708463867.28,0,Under Audit,,57800244323,Kano,false
TIN93239970,NGOZI NWOSU ENTERPRISES,cit,Retail,17.10.2018,2025,7248865990.22,1002062820.24,"₦598,301,887.12","₦403,760,933.12",Partially Compliant,"NGN 89,850,477",0294 831 4789,Ogun,FALSE
TIN90220652,Chinedu Afolabi Enterprises,vat,Oil & Gas,03.07.2016,2023,"₦1,955,072,696.81","NGN 399,821,143","N357,693,951","N42,127,192",Exempted,10151677.55 naira,0188 087 9919,Plateau,TRUE
TIN50126369,bola afolabi enterprises,Withholding Tax (WHT),Professional Services,17/02/2018,unknown,"NGN 42,925,567,625","₦4,733,126,720.13","5,138,860,307.58 ",N0,Under Audit,325306140.04,02523941209,Kaduna,0
TIN11490904,fatima nwosu enterprises   ,PIT,Telecoms,2020-06-08,2020,"NGN 39,514,324,712",9784283147.10 naira,null,"₦448,011,955.28",Compliant,,,Cross River,true
TIN37729321,Zainab Abubakar Enterprises,vat,Oil & Gas,03/28/2020,2020,16023968675.82 naira,"NGN 1,833,573,329",59947841.25,,Partially Compliant,,08558522942,Cross River,Y
TIN35488807,Aliyu Okeke Enterprises,Value Added Tax (VAT),Banking,09/18/2013,2021,"8,938,011,440.43 ",1101507246.71,"N1,141,503,231",0,Exempted,"NGN 51,949,328",+234941799670,Akwa Ibom,no
TIN74177056,Femi Balogun Enterprises,VAT,Oil & Gas,06.01.2019,2020,"NGN 13,027,451,393","₦3,615,525,554.87",--,"2,923,297,913.36 ",compliant,"NGN 326,483,567",02620858174,Kaduna,no
TIN98823684,Ngozi Mohammed Enterprises,Withholding Tax (WHT),Professional Services,2012/06/26,2024,"₦2,826,360,638.28","NGN 412,722,394","N114,277,375","298,445,018.96 ",Under Audit,"NGN 18,481,498",234-220-414-474,Enugu,no
TIN48313444,Emeka Adekunle Enterprises,cit,Telecoms,16 February 2013,2024,"35,455,428,042.38 ","3,657,099,245.52 ","N1,559,464,798","₦2,097,634,447.98",NON-COMPLIANT,,234-362-192-158,Plateau,true
TIN84715248,Chinedu Abubakar Enterprises,Education Tax ,FMCG,07-Apr-2022,2024,"16,493,236,112.44 ","₦3,707,886,968.60","2,244,966,041.72 ","NGN 1,462,920,927",Non-Compliant,"NGN 348,605,223",(924) 065-8387,Kaduna,No
TIN11174271,Sadiq Lawal Enterprises,Company Income Tax (CIT),n/a,2013/11/16,2022,16106003391.67 naira,3449432882.14,584763162.54 naira,"NGN 2,864,669,720",Under Audit,"₦234,197,305.25",(995) 300-6221,Imo,No
TIN96476287,Bisi Olawale Enterprises,PIT,Professional Services,2021-05-11,2025,"N5,912,068,871","NGN 315,571,457",81999027.58 naira,233572429.40 naira,Under audit,"N14,430,375",+234222190533,Oyo State,yes
TIN71827047,Ifeoma Balogun Enterprises,CIT,Manufacturing,2019-03-23,2021,41537936252.33,"N8,010,365,790","₦3,836,859,942.87","N4,173,505,847",Exempted,,0772 702 8966,Rivers,N
TIN73344698,bisi  ogundimu enterprises,cit,Banking,2013/09/19,2024,"N42,693,805,832",1552404091.19,98212810.74 naira,"NGN 1,454,191,280",NON-COMPLIANT,134355014.65 naira,+234000886346,Akwa Ibom,no
TIN82496689,Ibrahim Ajayi Enterprises,cit,Banking,09 August 2019,2025,"NGN 36,978,855,485","N7,606,631,579","3,033,511,938.24 ",4573119640.570001,NON-COMPLIANT,"NGN 685,873,829",09103829742,Kano,N
TIN31488992,Chidi Nnamdi Enterprises,Personal Income Tax (PIT),Oil & Gas,05 October 2016,2024,"₦12,762,169,923.41","₦353,452,387.90","N199,116,777","₦154,335,611.12",Under Audit,"NGN 2,803,487",0622 169 0696,Akwa Ibom,FALSE
TIN74339677,ADAEZE YUSUF ENTERPRISES,VAT,FMCG,08/24/2020,2025,45825074644.87,"12,648,775,239.99 ","NGN 1,749,823,198","N10,898,952,042",NON-COMPLIANT,"₦68,933,098.54",07842902923,kano,Yes
TIN25754259,Grace Afolabi Enterprises,CIT,NULL,12/31/2011,2021,18475824878.55,"N3,563,729,979",3778514645.30 naira,,Partially Compliant,215839525.45 naira,12372055033,Akwa Ibom,FALSE
TIN54166657,Yusuf Nnamdi Enterprises,Education Tax ,Manufacturing,,NULL,"NGN 14,832,335,484","N636,688,444","NGN 117,536,834",,Non-Compliant,,(090) 855-1074,Imo,Y
TIN76405189,Bola Okafor Enterprises,Withholding Tax (WHT),Banking,2011-08-23,2020,33934901259.76,"N1,349,030,060",1234589676.84,,Exempted,"NGN 23,194,884",+234079637310,Edo,yes
TIN90424729,Tobi Suleiman Enterprises,Education Tax ,Banking,23 August 2021,2024,"NGN 2,077,327,349",N/A,"287,102,193.87 ",248946847.2,Under audit,15034845.36 naira,(389) 260-8788,Kaduna,true
TIN79067288,Ifeoma Adekunle Enterprises,Capital Gains Tax (CGT),Manufacturing,,2020,29078551856.28 naira,2806331107.37 naira,952761170.97,"NGN 1,853,569,936",Compliant,"₦56,154,909.38",41119738818,Kaduna,0
TIN15465383,Ngozi Nwosu Enterprises,Education Tax (EDT),Banking,2018/09/12,2021,"N6,219,330,550","NGN 1,788,548,104","951,064,298.13 ","NGN 837,483,806",Under audit,29884909.69,06260846397,Anambra,1
TIN83255838,Chinedu Nnamdi Enterprises,Education Tax (EDT),Banking,2020/11/23,2024,34145361798.9,"NGN 1,647,704,345",1733357030.26 naira,NIL,Partially Compliant,"NGN 100,222,376",(213) 756-5896,Kano,Yes
TIN77949774,Chidi Nwosu Enterprises,vat,Professional Services,2018/03/30,2024,7098292925.04 naira,"N2,047,207,624",nil,1459656852.85,Compliant,"NGN 26,062,441",(644) 200-6298,Kaduna,1
TIN69848398,TOBI NWOSU ENTERPRISES,cit,Manufacturing,22-May-2020,2023,"N36,373,107,996",5561359835.92 naira,"1,766,807,690.83 ",3794552145.09,NON-COMPLIANT,90682454.48 naira,234-203-004-496,Kaduna,true
TIN87686636,Amaka Olawale Enterprises,Company Income Tax (CIT),Oil & Gas,2016/11/24,2024,"NGN 48,215,744,790","N1,529,393,544",1091257948.56,"₦438,135,595.00",NON-COMPLIANT,26330391.37,(619) 951-7152,Delta,Yes
TIN13203191,Chidi Suleiman Enterprises,vat,Oil & Gas,15 September 2012,2020,25386645948.78 naira,4092939791.68 naira,2916125522.36,"N1,176,814,269",compliant,"₦203,563,598.54",72845401822,Cross River,No
TIN20230008,Zainab Balogun Enterprises,vat,Real Estate,2016/08/17,2022,"N34,186,766,939","₦3,164,583,250.69","NGN 910,765,044","N2,253,818,207",compliant,,58816502544,Cross River,yes
TIN38273632,  Chidi Ogundimu Enterprises,Education Tax ,Professional Services,18-Jan-2019,2024,"NGN 14,286,085,794","₦652,788,622.59","NGN 669,033,032",0,NON-COMPLIANT,"NGN 25,673,170",234-217-790-552,lagos,1
TIN47641534,Tobi Yusuf Enterprises,Company Income Tax,Manufacturing,05/17/2022,2025,"13,775,133,131.29 ",3468022713.31 naira,"NGN 2,843,290,968","₦624,731,745.11",compliant,"NGN 27,830,832",234-319-279-761,Imo,TRUE
TIN45387579,Kemi  Adekunle Enterprises,Education Tax (EDT),Telecoms,10 March 2014,2021,"NGN 9,065,762,943","N1,667,111,070","1,266,396,222.49 ","N400,714,847",Partially Compliant,,234-620-197-121,Plateau,FALSE
TIN46759198,tunde  ogundimu enterprises,Education Tax (EDT),Professional Services,14.06.2013,2022,49060370660.18 naira,"NGN 12,112,295,745","NGN 9,330,157,694",2782138051.24 naira,NON-COMPLIANT,,+234054576947,Enugu,N
TIN15428056,Ngozi Balogun Enterprises,PIT,Real Estate,10/05/2010,2022,20362751974.95,3173295481.24,"1,645,925,839.54 ","N1,527,369,642",NON-COMPLIANT,"₦89,871,395.60",234-201-265-789,Akwa Ibom,1
TIN75530169,Bola Abubakar Enterprises,Company Income Tax,Professional Services,2022/09/01,2023,"1,458,153,402.67 ","NGN 354,814,869","₦187,435,221.26",,NON-COMPLIANT,2125816.86 naira,,Abuja,Y
TIN40535390,Blessing Olawale Enterprises,CIT,Professional Services,2021-04-19,2023,"NGN 19,432,009,938","N2,933,004,943","₦1,093,808,013.10","₦1,839,196,929.92",Exempted,"NGN 59,476,747",0932 453 8109,Edo,yes
TIN78026559,Yusuf Okonkwo Enterprises,VAT,Professional Services,01-Jul-2011,2024,31340454312.06 naira,"₦4,194,507,151.07","2,520,120,729.81 ",,NON-COMPLIANT,"N395,249,339",0713 684 1013,Lagos,no
TIN71878496,chioma adekunle enterprises,Company Income Tax,Retail,12.01.2010,2020,"NGN 49,130,881,167","NGN 2,188,136,653","NGN 880,684,535","1,307,452,118.25 ",Partially Compliant,"N60,109,439",234-713-073-510,Kano,FALSE
TIN84878450,Kemi Ajayi Enterprises,Company Income Tax (CIT),Banking,07/13/2012,2025,"₦6,556,464,433.50","NGN 761,197,055",--,NGN 0,Exempted ,,40191854880,LAGOS,1
TIN76040204,Chinedu Ajayi Enterprises,PIT,NIL,06/05/2015,-,21046556288.53,"₦2,962,955,285.35",2490290442.88 naira,,Exempted ,89623867.06 naira,N/A,Plateau,Yes
TIN90316812,Kunle Afolabi Enterprises,Company Income Tax (CIT),Banking,24-Nov-2019,2023,26163326881.71,"₦1,475,482,377.09",1057213654.85 naira,"N418,268,722",Compliant,40571210.03 naira,+234772648839,Kano,FALSE
TIN95740466,Grace Okeke Enterprises,Company Income Tax,FMCG,2017-12-29,2021,"NGN 13,310,727,819","2,431,403,866.65 ","288,093,265.17 ",,Compliant,,,Imo,1
TIN37734093,Obinna Mohammed Enterprises,Education Tax ,Professional Services,05/02/2015,2020,3895550125.51,"₦809,918,387.34","NGN 623,223,900",186694487.51,Under Audit,"12,297,399.66 ",(745) 686-5240,Ogun,Yes
TIN33882178,Fatima Lawal Enterprises,vat,Banking,02.07.2015,2024,43785132509.7,"N3,917,840,138","₦1,364,251,277.01",,Exempted,,+234310437968,Lag,Y
TIN71498342,Ifeoma Yusuf Enterprises,CIT,?,23.11.2015,2023,37024095836.32,"₦2,046,911,561.81",1533426802.05,"NGN 513,484,760",Exempted,,09739889413,Oyo State,FALSE
TIN80353238,Bisi Ogundimu Enterprises,Education Tax ,Retail,,2023,null,"NGN 2,101,883,429","₦1,909,749,353.07","₦192,134,075.54",Exempted ,140671471.63 naira,80550774065,Lagos,no
TIN85629018,Emeka Chukwu Enterprises,Company Income Tax (CIT),Professional Services,18-Dec-2021,2023,4190121564.43,546994943.28,117123984.25 naira,,Compliant,,07344930537,Cross River,true
TIN21476992,Bola Ogundimu Enterprises,Education Tax ,FMCG,11.08.2019,2025,10775747550.52 naira,"₦837,362,494.51",3248095.56,"834,114,398.95 ",Under Audit,,0763 328 3896,Edo,0
TIN39364657,CHIOMA OGUNDIMU ENTERPRISES,VAT,FMCG,2011-05-19,2020,10426610608.34 naira,"₦399,205,313.01",40510235.98,358695077.03,Exempted ,15461633.28,06506463005,Plateau,1
TIN58764129,Ibrahim Eze Enterprises,Company Income Tax,Banking,not set,2020,  ,"N3,267,563,757","232,326,431.99 ","NGN 3,035,237,325",Exempted,"₦213,998,532.58",234-317-197-860,Edo,N
TIN17419864,Femi Adekunle Enterprises,cit,-,12/20/2019,?,"₦8,374,525,543.58","NGN 659,174,933","228,478,030.56 ","430,696,902.01 ",Under audit,"NGN 39,160,052",(504) 944-4076,Ogun,No
TIN55590812,Yusuf Mohammed Enterprises,vat,n/a,04/23/2022,2023,"35,391,775,501.67 ","N10,365,917,298",unknown,"NGN 3,328,338,871",compliant,"NGN 590,960,637",06293288098,Kano,0
TIN94833534,amara nwosu enterprises,vat,FMCG,2018-09-03,2025,"₦16,087,312,820.69","N3,725,582,358","N888,997,561","NGN 2,836,584,797",compliant,267123806.96,97714004938,Delta,Yes
TIN70725838,funmilayo ajayi enterprises,Company Income Tax (CIT),Manufacturing,2021-01-16,2022,"₦38,613,697,851.46","₦2,559,469,016.84",492995552.33,,Compliant,"NGN 200,106,469",0365 968 0785,Delta,N
TIN88894659,Bisi Bello Enterprises,VAT,Oil & Gas,2016/06/10,2021,"34,318,218,880.81 ",6069214170.69 naira,"₦4,092,683,529.14",  ,Under Audit,,56684482373,Lag,0
TIN46981505,Yusuf Bello Enterprises,Withholding Tax (WHT),FMCG,06.01.2012,2020,794027513.73 naira,"NGN 24,833,631",17255589.45 naira,"₦7,578,041.38",NON-COMPLIANT,224063.36 naira,02177417430,lagos,0
TIN50373159,Halima Lawal Enterprises,Personal Income Tax (PIT),FMCG,2018/05/02,2021,"₦15,535,911,999.06","₦4,249,924,674.72","₦550,093,229.04",,Under Audit,"N341,640,208",05338906235,Cross River,yes
TIN27471391,Grace Balogun Enterprises,Education Tax ,FMCG,04 February 2011,2023,"₦23,181,989,961.20","N5,915,785,999","NGN 4,700,154,209",n/a,Exempted ,,0003 203 1978,KANO,no
TIN80655899,Zainab Afolabi Enterprises,Withholding Tax (WHT),Oil & Gas,07/23/2011,2020,"NGN 11,528,275,373","N586,204,309","521,192,702.99 ","N65,011,606",compliant,"NGN 30,970,419",07888975358,Cross River,Yes
TIN19391830,Ifeoma Lawal Enterprises,Company Income Tax,  ,19-Dec-2013,2020,"478,930,505.83 ","₦16,129,903.97","₦330,277.67",15799626.3,Under audit,NULL,06307028672,Rivers,0
TIN65285931,Aliyu Ajayi Enterprises,Education Tax ,Professional Services,26-Jun-2014,2025,"N48,018,137,652","₦1,319,140,284.05","N1,023,060,361",296079922.6099999,Under audit,,66405110212,Enugu,true
TIN24033449,Adaeze Okeke Enterprises,CIT,FMCG,2016-03-28,2020,"25,794,858,065.87 ","₦950,574,649.84","NGN 467,832,531",482742118.41 naira,compliant,,(883) 978-5708,Kano,No
TIN56983195,Aliyu Adekunle Enterprises,Capital Gains Tax (CGT),Real Estate,19.04.2017,2021,"N14,982,838,911",3199040697.87,"N2,741,061,554","₦457,979,144.34",Exempted,,28605210262,Plateau,1
TIN68367809,Tunde Ogundimu Enterprises,Education Tax (EDT),Manufacturing,07/03/2021,2022,11809378164.98,"₦1,927,274,179.40",2093695197.78,₦0.00,Partially Compliant,"NGN 152,211,754",0000 268 7644,Ogun,N
TIN40556192,Ifeoma Balogun Enterprises,Education Tax ,Banking,,2020,899031329.78,33630478.48,"N27,806,765","N5,823,713",Partially Compliant,"N2,958,958",0642 304 1202,rivers,true
TIN97063402,Sadiq Nwosu Enterprises,Company Income Tax,Retail,12.08.2011,2023,"NGN 19,237,920,547","₦3,059,301,898.24","N2,282,986,517","₦776,315,380.83",Non-Compliant,?,07586463395,Rivers,FALSE
TIN81476708,SEGUN SULEIMAN ENTERPRISES,CIT,Banking,08/30/2011,2025,"NGN 26,557,201,291","NGN 3,142,069,571","₦2,611,385,281.12","NGN 530,684,290",Under Audit,,(771) 167-5076,Edo,yes
TIN90209259,  wale afolabi enterprises,Withholding Tax (WHT),FMCG,07-Feb-2018,2020,11786396425.08,"N982,984,986",976724757.67 naira,6260228.59 naira,Under Audit,30277756.08,(553) 730-9649,Anambra,TRUE
TIN21136446,Ngozi Adeyemi Enterprises,Company Income Tax (CIT),Manufacturing,23/09/2020,2025,22589362826.88,4510567045.19 naira,unknown,,Under audit,"N448,502,486",,Cross River,0
TIN53238340,Aliyu Yusuf Enterprises,Capital Gains Tax (CGT),Telecoms,2016/12/19,2024,"N5,698,519,215",NIL,"N747,497,845",373649354.70000005,Under audit,,0179 726 9999,Rivers,No
TIN69713554,ZAINAB OKEKE ENTERPRISES   ,CIT,Real Estate,28/12/2011,2023,"N4,321,152,264","N798,172,238","₦589,592,808.75","NGN 208,579,430",compliant,"NGN 8,490,727",82339218835,Kaduna,Y
