LoanID,BorrowerName,BorrowerPhone,Gender,LoanPurpose,PrincipalAmount,InterestRate_pct,DisbursementDate,MaturityDate,AmountRepaid,LoanStatus,CollateralType,LoanOfficer,State,NPL_Flag
MFL900399,Chioma Bello,06690782633,female,SCHOOL FEES,"2,125,787.51 ",6.45,30-Jul-2022,11/20/2022,"₦1,624,637.54",Fully Repaid,Land title,GRACE BELLO,Cross River,1
MFL900205,Fatima Chukwu,234-310-592-745,Female,School Fees,"NGN 409,863",18.85,10/25/2022,unknown date,4348.98,Fully Repaid,Guarantor,EMEKA ADEYEMI,Kaduna,No
MFL900120,Adaeze Chukwu,234-943-533-448,Female,Business  Expansion,"4,871,836.16 ",9.16,31-Jul-2023,unknown date,"NGN 1,959,436",Overdue,NONE,Amara Adekunle,Cross River,0
MFL900048,Tobi Nwosu,0392 855 7498,F,Medical  ,"N3,423,736",3.02,12/25/2024,2026-02-13,"2,423,677.46 ",DEFAULTED,None,Halima Bello,Enugu,N
MFL900152,amaka okafor,(747) 836-6742,F,Agricultural Input,1581054.24,13.08,2022/04/30,2023/08/31,"₦232,291.24",Written Off,Vehicle,TOBI OKONKWO,Rivers,1
MFL900041,   Yusuf Abubakar,N/A,female,  School Fees,"NGN 4,773,257",13.37,2022/07/02,12-Feb-2023,3753740.54 naira,Fully repaid,NONE,FATIMA OGUNDIMU,Edo,TRUE
MFL900208,  Bola Ogundimu,234-547-492-975,female,business,"N3,877,162",N/A,2023-07-28,31 December 2024,"₦156,429.20",Defaulted,Land title,Bola Yusuf,Kaduna,false
MFL900047,CHIOMA  OGUNDIMU,234-524-077-848,F,School Fees   ,Unknown,8.91,22.06.2024,22-Dec-2024,1789073.22 naira,Defaulted,Vehicle,Amara Abubakar,Plateau,Yes
MFL900418,Yusuf Nnamdi,(912) 418-6210,Female,SCHOOL FEES,215545.65 naira,20.92,07.07.2023,05/15/2025,"NGN 166,143",Fully repaid,,BLESSING MOHAMMED,Anambra,N
MFL900139,Amara Afolabi,02422010276,Female,Medical     ,234597.16,3.34,09/28/2022,04-May-2023,"NGN 77,874",Written Off,guarantor,MUSA BELLO,Ogun,no
MFL900416,Bisi Adekunle,+234600412577,F,Medical Bills,,28.98,2024-04-17,01 September 2025,NIL,Fully Repaid,None,Obinna Okeke,Cross River,false
MFL900222,Tunde Yusuf,+234818321928,M,business   ,"NGN 3,612,987",7.61,09 July 2023,2024/05/08,"2,312,583.93 ",Fully repaid,Land Title,chidi okafor,Anambra,0
MFL900195,Wale Okonkwo,05790552818,Female,Business Expansion,"NGN 478,996",5.96,21.10.2022,02.05.2024,463130.31,DEFAULTED,None,Adaeze Yusuf,Imo,Y
MFL900333,Sadiq Adeyemi,234-712-661-106,male,Agricultural Input,"₦3,336,778.16",8.27,2024/12/03,2025-09-25,"NGN 241,049",active,Shop Stock,AMARA NNAMDI,rivers,No
MFL900020,Bola Okeke,04489061203,male,business,"1,512,894.38 ",n/a,02/06/2023,06/25/2024,773626.45,Fully Repaid,Shop Stock,Bola Olawale,FCT,TRUE
MFL900046,Adaeze Ajayi,(812) 735-8573,F,Medical ,"N4,466,274",4.25,21.11.2022,28 June 2023,"N1,625,589",Fully Repaid,Land Title,Blessing Suleiman,Cross River,Yes
MFL900378,Musa Balogun,234-274-954-508,M,Medical  Bills,"N1,579,200",n/a,07/08/2023,18.02.2024,1078746.64,Active,Shop Stock,funmilayo ajayi,Plateau,FALSE
MFL900161,Halima Eze,N/A,female,Business Expansion,"N936,750",20.64,2022-02-07,2023/11/16,260350.04,Written Off,unknown,Kunle Chukwu,Lagos,true
MFL900038,Amara Yusuf,04427031207,Male,Medical  Bills,"3,897,232.13 ",16.16,31-May-2023,12/03/2024,"₦638,550.74",Written Off,  ,fatima ajayi,Akwa Ibom,Yes
MFL900184,yusuf okonkwo,09706239726,female,Equipment  Purchase,"988,057.47 ",28.7,03.08.2024,31-Jan-2025,711187.31,Overdue,Land Title,Femi Balogun,LAGOS,N
MFL900415,blessing nnamdi,234-380-701-765,Male,Equipment Purchase,"NGN 2,444,595",8.71,22.06.2023,2025-03-22,,Fully repaid,Land title,ibrahim lawal,Anambra,No
MFL900230,CHIDI ADEKUNLE,01193932501,M,business,3456661.33,8.71,26 March 2022,,"N1,960,928",active,Land title,KEMI AFOLABI,Delta,true
MFL900156,BISI EZE,06181753443,male,  Medical Bills,n/a,11.18,29.12.2022,09-May-2024,"NGN 1,397,933",Active,NONE,obinna lawal,Edo,Yes
MFL900090,  Tobi Olawale,(573) 660-9656,female,Equipment Purchase,"N3,537,655",21.23,22.03.2023,23/09/2024,"NGN 60,588",Fully repaid,Land title,NGOZI LAWAL,Akwa Ibom,0
MFL900190,Bisi Mohammed,0686 717 7318,Female,business,4776977.62,31.06,17 February 2022,,2020333.86 naira,Fully repaid,None,Amaka Balogun,Akwa Ibom,TRUE
MFL900138,Halima Okeke,+234832723865,Female,School Fees,3361588.90 naira,n/a,24-Mar-2023,31-Jan-2025,"NGN 2,849,252",Fully repaid,Shop Stock,zainab afolabi,Delta,FALSE
MFL900188,Chidi Nnamdi,+234774063356,F,Medical ,1538838.9,4.66,2022-06-25,2023-12-14,967019.70 naira,Active,?,halima afolabi,Enugu,Y
MFL900186,  grace chukwu,234-217-762-534,female,  SCHOOL FEES,161889.53,25.26,09/02/2024,01/30/2026,"₦74,911.61",Fully Repaid,guarantor,Femi Okeke,Fct Abuja,TRUE
MFL900055,Fatima Afolabi,06509480141,M,Home Renovation,"NGN 77,570",14.22,05/22/2022,21.03.2023,"N2,883",active,NONE,Grace Ogundimu,Oyo,Y
MFL900108,Adaeze Nwosu,72934301071,female,Medical Bills,"N2,756,340",26.67,2022-05-01,13/10/2022,"₦1,447,769.46",Overdue,Land title,sadiq okonkwo,LAGOS,Yes
MFL900217,Yusuf Okonkwo,234-494-787-300,Female,  Medical ,"₦4,801,161.12",30.87,2022-07-31,05/29/2024,"NGN 3,142,475",Active,Vehicle,BOLA ADEYEMI,Kaduna,true
MFL900236,Tobi Nwosu,+234479473864,M,Home Renovation,"₦3,603,918.33",22.51,03-Mar-2022,29-Dec-2022,"N2,723,335",Fully Repaid,guarantor,BLESSING ABUBAKAR,Oyo,TRUE
MFL900012,Fatima Adekunle,79080759579,Female,School Fees   ,"NGN 3,669,700",25.57,27.05.2023,2023-10-11,"NGN 536,724",Written Off,NONE,Tobi Adekunle,Kano,Y
MFL900342,Bola Suleiman,01996636580,M,SCHOOL FEES,null,Unknown,19 March 2022,10 February 2024,"N200,375",active,Guarantor,Zainab Nwosu,Enugu,1
MFL900385,Sadiq Mohammed,0258 323 0241,F,Medical Bills,--,7.1,2022/12/10,02/12/2024,4238026.05,Written Off,Guarantor,Fatima Olawale,Kano,Yes
MFL900207,Wale Eze,+234106727520,male,Petty  Trading,"NGN 1,271,570",14.12,2023/10/18,not set,1041296.65 naira,active,null,Kunle Yusuf,Plateau,no
MFL900235,Chinedu Lawal,82754801571,male,SCHOOL FEES,2910508.15 naira,34.75,04/03/2024,12/15/2024,2869600.65 naira,Overdue,Guarantor,Amaka Yusuf,Rivers State,Y
MFL900364,Aliyu Okafor   ,+234921921249,female,Equipment Purchase,651714.5,28.73,03/03/2024,,"NGN 294,694",Fully Repaid,None,Tunde Adeyemi,Imo,Yes
MFL900358,Wale Suleiman,invalid,Male,Home Renovation   ,"1,437,965.24 ",10.56,21.12.2022,27 October 2023,"₦1,226,496.73",active,Land Title,ngozi lawal,Kaduna,0
MFL900143,emeka okafor   ,0519 712 8478,F,Petty Trading   ,"₦4,957,957.23",10.11,01.04.2024,02/07/2026,null,Fully repaid,n/a,Wale Nwosu,Anambra,yes
MFL900070,Femi Okafor,0376 938 9833,M,Equipment Purchase,"NGN 3,000,993",NULL,2024/05/22,02/11/2025,"₦675,277.80",DEFAULTED,NONE,Tunde Yusuf,Edo,FALSE
MFL900286,  grace okeke,(449) 485-6257,Male,   Equipment Purchase   ,"₦1,974,442.22",27.0,22/08/2024,07 August 2025,"₦750,119.44",DEFAULTED,Land Title,Bisi Yusuf,Edo,0
MFL900226,Amara Nwosu,01207545279,Male,Medical ,3091890.00 naira,Unknown,08-Feb-2022,2023-01-01,"NGN 2,585,698",Written Off,Land Title,Chidi Afolabi,Lagos State,Y
MFL900121,Chidi Olawale,+234142241098,F,Petty Trading,"NGN 3,574,926",26.78,02-Apr-2024,21/02/2026,3894527.82 naira,DEFAULTED,-,IBRAHIM CHUKWU,Plateau,Yes
MFL900229,Femi Nwosu,234-089-071-401,Male,business,"NGN 3,501,799",4.36,20 December 2022,20 January 2024,649829.25,Active,Vehicle,ibrahim suleiman,Kano,1
MFL900133,Ngozi Ogundimu,09196570132,F,Petty Trading,445519.47 naira,22.86,17.09.2024,08/09/2025,377595.73,DEFAULTED,N/A,grace bello,KANO,true
MFL900238,Wale Mohammed,01126691215,M,Business  Expansion,3269932.36 naira,11.34,30-Jul-2022,20/11/2023,2778261.00 naira,Active,  ,Femi Adeyemi,Imo,No
MFL900321,aliyu afolabi,05213760375,male,Medical Bills,3366896.05 naira,  ,2022/08/02,01/21/2023,"₦1,584,794.66",Fully Repaid,Land Title,Grace Suleiman,Delta,Yes
MFL900148,Chinedu Yusuf,(144) 294-4401,male,Medical    ,"1,507,416.83 ",-,19-Feb-2023,2024/03/11,"NGN 1,500,374",Fully repaid,Shop Stock,blessing lawal,Plateau,Y
MFL900054,Tunde Balogun,234-910-371-705,Male,Medical  Bills   ,"₦2,535,054.26",13.05,13 August 2023,05/11/2024,"₦1,713,242.35",active,Vehicle,Amaka Eze,Akwa Ibom,no
MFL900075,Obinna Olawale,+234338848792,Female,Equipment Purchase,4068757.91,11.56,20 December 2022,2023/05/22,"209,559.59 ",DEFAULTED,Vehicle,Aliyu Suleiman,Port Harcourt,FALSE
MFL900320,musa mohammed,+234352478712,Male,Equipment Purchase,1580066.55 naira,-,26-Dec-2023,29.11.2025,"NGN 1,006,982",Active,Land Title,BISI CHUKWU,Ogun,false
MFL900165,Chinedu  Nwosu,0554 601 5851,Female,Medical Bills,3522508.08,31.44,07/28/2022,14 April 2023,"NGN 2,309,093",Fully repaid,guarantor,AMARA YUSUF,Akwa Ibom,no
MFL900410,Funmilayo Adekunle,0000000000,F,Home Renovation,4934484.55,19.04,unknown date,09-Aug-2025,5040073.99,DEFAULTED,NIL,Ngozi Nnamdi,Kaduna,1
MFL900213,  FEMI NWOSU,+234554781376,Female,Business Expansion,1480303.08,null,01-Feb-2024,25.08.2024,"₦658,088.19",Written Off,Guarantor,Blessing Ogundimu,Cross River,Yes
MFL900326,Ngozi Ogundimu,+234048926738,male,Agricultural Input,"N4,101,196",4.79,2022-08-13,06/04/2023,"₦1,902,428.20",Fully Repaid,None,Kunle Chukwu,rivers,yes
MFL900126,Amara Eze,0717 477 3329,male,School  Fees,"₦2,155,841.99",22.94,2023/02/04,04.09.2023,"NGN 537,624",Active,Vehicle,Grace Lawal,Kaduna,Y
MFL900061,FATIMA OKONKWO,0082 404 3350,male,SCHOOL FEES,"NGN 3,659,555",26.96,2024-01-17,2025-05-27,"₦218,547.47",Written Off,Guarantor,wale adeyemi,Oyo,N
MFL900096,  Ifeoma Bello,234-111-751-868,F,SCHOOL FEES,"₦1,846,955.67",30.85,28/05/2024,26 February 2025,"NGN 1,156,720",Defaulted,Land Title,Segun Olawale,Fct Abuja,yes
MFL900274,kemi eze   ,N/A,M,Equipment Purchase,-,14.11,09/24/2024,2025/05/10,"₦708,124.80",Fully repaid,Guarantor,ALIYU OKAFOR,Ogun,yes
MFL900380,Kemi Afolabi,+234537795995,F,  Petty Trading,2151967.29 naira,8.86,05 January 2022,27.04.2023,"NGN 1,762,779",DEFAULTED,Vehicle,CHIDI SULEIMAN,Ogun,Y
MFL900112,Halima Okeke,02727857608,M,  Medical    ,1795229.63 naira,33.04,17 December 2022,25 May 2023,1551516.4,Overdue,Land title,zainab eze,Anambra,Yes
MFL900082,Grace Mohammed,,male,Medical    ,"N2,135,182",11.2,19-Mar-2024,2025/01/15,"2,292,012.18 ",Written Off,NONE,Adaeze Olawale,Oyo State,no
MFL900319,Adaeze Eze,+234119918081,M,Medical  ,"₦798,557.60",,16 January 2022,22-Oct-2022,"₦589,788.19",Defaulted,Vehicle,Chioma Adekunle,Abuja,no
MFL900292,Ngozi Okafor,(520) 177-7490,Female,Business Expansion,"₦2,359,455.75",30.19,12/13/2024,08/24/2026,"N554,524",Fully repaid,Land Title,Kemi Nwosu,Anambra,1
MFL900215,Chidi Ajayi,07851961064,female,Medical ,1337542.32,8.16,25 March 2024,05/21/2025,--,active,guarantor,Ibrahim Okeke,Lagos State,false
MFL900305,Fatima Adekunle,234-697-499-564,M,SCHOOL  FEES,"NGN 1,495,291",,23 March 2022,28/02/2023,1390913.11 naira,Fully Repaid,Shop Stock,CHIOMA ADEYEMI,Cross River,0
MFL900092,adaeze eze   ,0886 086 8034,F,  School Fees   ,"N2,807,377",10.0,2022/04/12,22-Feb-2024,"₦449,955.84",Fully Repaid,None,chioma balogun,Imo,false
MFL900234,Kunle Olawale,66383615171,M,  Medical ,"₦4,937,686.53",3.79,28.10.2024,03/06/2026,4583249.91 naira,Written Off,--,Fatima Okonkwo,Cross River,No
MFL900382,Halima Abubakar,0379 337 5636,Female,Home Renovation,271767.78 naira,18.11,09-Apr-2024,09 June 2025,"N239,923",DEFAULTED,NIL,Tunde Ogundimu,Akwa Ibom,true
MFL900401,Tobi Nnamdi,06637780529,female,Medical Bills,"972,018.31 ",Unknown,N/A,02-Nov-2024,47789.77,DEFAULTED,Land title,Kunle Bello,Ogun,no
MFL900101,Tunde Afolabi,(384) 983-0220,female,SCHOOL FEES,"NGN 2,996,131",12.21,07.12.2023,18/07/2024,"₦1,556,307.58",Fully repaid,Guarantor,Bisi Suleiman,Enugu,N
MFL900225,kunle okonkwo,(338) 988-8167,female,Equipment Purchase,"₦3,248,289.45",5.99,31.05.2023,29.02.2024,"3,379,326.74 ",Fully repaid,NONE,Bola Lawal,Edo,Yes
MFL900159,Aliyu Afolabi,07465421406,F,Medical ,"N1,377,180",18.68,2022/02/16,15 August 2023,"NGN 1,158,642",DEFAULTED,NONE,Halima Abubakar,Cross River,TRUE
MFL900373,Musa Okeke,+234466196399,F,Home Renovation,"₦4,523,836.57",30.07,2023-12-01,05.05.2025,"NGN 1,166,526",Defaulted,guarantor,Ifeoma Balogun,Akwa Ibom,yes
MFL900301,Amaka Lawal,06617945491,male,Medical Bills,"₦4,717,775.01",12.04,07.12.2022,11.03.2023,"NGN 3,184,022",Overdue,NONE,Grace Adekunle,Plateau,FALSE
MFL900179,Emeka Olawale,+234837340312,F,School  Fees,3784274.06,14.57,07.07.2023,27-Aug-2024,"3,561,934.66 ",DEFAULTED,Guarantor,Fatima Okeke,Anambra,No
MFL900243,Chioma Ogundimu,(187) 734-7784,F,Home Renovation   ,"N4,805,615",10.62,2022/11/08,08/27/2023,203202.57,DEFAULTED,Vehicle,CHIOMA OKONKWO,Enugu,FALSE
MFL900371,Amaka Eze,0717 911 0065,Male,Equipment Purchase,4314774.28,6.13,10/04/2023,2025/02/21,1936160.43,Active,NONE,YUSUF ADEYEMI,Kano,Yes
MFL900142,adaeze yusuf,03846895009,Female,Medical Bills,"NGN 4,451,879",5.13,2024/09/24,16.03.2026,"₦1,290,357.47",active,Vehicle,Ngozi Ajayi,lagos,no
MFL900383,Blessing Balogun,0050 150 8124,Male,Petty Trading,2941998.2,-,2022/02/15,02/08/2023,"N844,202",Written Off,Land title,Kemi Okeke,Edo,Y
MFL900258,Blessing Chukwu,234-374-896-908,female,Petty Trading,null,17.2,2022-04-12,2024-04-09,"NGN 526,461",Fully Repaid,Land Title,GRACE SULEIMAN,Anambra,FALSE
MFL900397,Ibrahim Balogun,0111 508 3535,Male,Agricultural Input,"NGN 2,599,302",8.11,2022-12-22,05/25/2023,"₦2,586,468.76",DEFAULTED,unknown,Femi Balogun,Abuja,FALSE
MFL900135,Adaeze Adekunle,0000000000,Female,Petty Trading,"N1,959,002",14.47,09-May-2024,01-Mar-2025,1488231.77 naira,Fully Repaid,guarantor,zainab bello,kano,FALSE
MFL900264,Kemi Yusuf   ,(319) 818-9847,Male,business,"985,049.41 ",28.12,16-May-2024,00/00/0000,"NGN 189,825",Fully Repaid,Shop Stock,EMEKA EZE,Plateau,1
MFL900185,Ibrahim Yusuf,+234735435209,Female,   Petty Trading,"NGN 4,917,089",7.78,13.04.2024,2024/09/05,1220132.35,Active,None,Amaka Ogundimu,Delta,Y
MFL900181,  Blessing Mohammed   ,97010822078,M,School Fees,3075504.86,26.9,22/04/2023,2023/10/16,"N1,204,704",Fully Repaid,Vehicle,Kemi Suleiman,Lagos,false
MFL900168,Bola Chukwu,0618 478 7005,Female,Business Expansion,"N2,697,992",8.78,2024/08/29,2026-04-29,"2,711,399.90 ",active,guarantor,OBINNA NNAMDI,Anambra,FALSE
MFL900347,Wale Yusuf,+234564111824,male,School Fees   ,"1,619,584.50 ",33.5,25/12/2024,19-Apr-2025,"₦1,636,268.84",Fully Repaid,None,Adaeze Adeyemi,Kaduna,Yes
MFL900072,Amara Ogundimu,0559 042 5979,male,SCHOOL FEES   ,unknown,24.38,00/00/0000,08/05/2026,"NGN 702,020",Defaulted,guarantor,Fatima Nnamdi,Ogun,yes
MFL900146,Halima Ogundimu,invalid,female,SCHOOL FEES,"N693,454",5.84,17-Jan-2023,28.07.2023,"35,963.16 ",DEFAULTED,Guarantor,Wale Nwosu,Kaduna,No
MFL900058,Fatima Abubakar,+234868528975,male,Medical ,"NGN 3,244,830",8.79,19 June 2024,01/18/2025,1631771.42,Defaulted,Land Title,Kunle Olawale,Ogun,No
MFL900244,Wale Okeke,234-880-061-675,F,Medical ,"N1,949,967",16.14,21 September 2022,2022/12/31,2073103.61 naira,active,guarantor,Chidi Lawal,Enugu,TRUE
MFL900027,Sadiq Yusuf,(611) 178-0068,male,Business Expansion,"N2,375,669",13.16,2022-02-17,08/12/2022,2069927.57 naira,Active,  ,Grace Adeyemi,oyo,N
MFL900289,Musa Balogun,N/A,Female,Agricultural Input,"3,714,828.50 ",6.09,2024-01-04,26.12.2025,"NGN 3,531,571",Active,Land Title,Emeka Lawal,Enugu,N
MFL900201,Ibrahim Lawal,56704310385,F,School Fees,4047559.26 naira,4.07,2022/06/14,12/12/2022,58798.76,Fully repaid,Guarantor,Kemi Eze,Oyo,true
MFL900065,Amaka Okeke,09610556613,female,Business Expansion,"N793,134",12.46,31-Oct-2023,14.06.2024,"₦112,377.69",Overdue,Land Title,Fatima Afolabi,Anambra,no
MFL900136,Yusuf Ogundimu,234-624-058-008,Female,School Fees,"N937,269",14.54,2024-08-12,2024-11-18,--,active,None,Bisi Adekunle,Imo,yes
MFL900328,BISI OGUNDIMU,(288) 431-8848,F,  Agricultural Input   ,366954.87,33.44,07.07.2023,not set,"NGN 197,077",DEFAULTED,Vehicle,kemi suleiman,Cross River,N
MFL900404,Ibrahim Balogun,234-663-618-637,F,Medical ,2822591.47 naira,34.37,23/10/2023,28-Sep-2024,1768329.83 naira,Active,guarantor,Ngozi Bello,Cross River,TRUE
MFL900259,Amaka Yusuf,0572 324 6651,Female,Medical Bills,3164789.90 naira,20.47,08-Mar-2024,05/28/2025,nil,Written Off,Vehicle,Aliyu Okafor,oyo,1
MFL900098,  Bisi Nnamdi,20644742123,male,Business Expansion   ,"NGN 2,456,228",30.56,2023-08-25,08-Dec-2024,"₦861,783.36",Defaulted,None,Obinna Okonkwo,Imo,TRUE
MFL900312,Zainab Chukwu,07179576024,male,business   ,"₦3,968,151.05",null,2022-09-26,2023/01/01,N/A,Fully repaid,Vehicle,Halima Eze,Ibadan,0
MFL900316,   ngozi adekunle   ,234-800-545-228,Male,Petty Trading,"₦2,680,943.62",25.29,2023-10-24,31 January 2024,unknown,Written Off,Guarantor,Yusuf Chukwu,Kano,N
MFL900375,Adaeze Okeke,234-931-109-193,male,SCHOOL FEES,"₦3,324,313.76",14.14,30.03.2024,13/12/2025,3502917.43 naira,active,guarantor,Bisi Balogun,Anambra,No
MFL900172,Tunde Adekunle,0799 313 6565,Female,SCHOOL FEES,"₦4,583,725.21",11.67,not set,19.01.2026,1657496.19 naira,Fully Repaid,Land Title,Musa Lawal,FCT,FALSE
MFL900356,ifeoma yusuf,0000000000,Female,business,"₦1,199,144.04",6.09,15.06.2022,03/05/2024,"N628,711",Overdue,guarantor,Chidi Okonkwo,Oyo,Y
MFL900290,Grace Bello,234-993-908-926,male,Medical Bills,"2,943,554.77 ",27.76,17 May 2022,N/A,2380071.59,Fully repaid,Guarantor,chidi olawale,Plateau,false
MFL900395,Funmilayo Ajayi,(665) 754-6027,male,Home Renovation,3484143.98,19.14,2024-01-17,04.10.2024,2308416.67,Written Off,Land title,musa okonkwo,Kano,No
MFL900379,Zainab Bello,0203 880 6533,male,Medical Bills,3189157.93 naira,8.76,26.12.2022,01.05.2023,1684874.85 naira,active,Guarantor,Kunle Nwosu,oyo,yes
MFL900178,Grace Adekunle,(560) 833-1819,male,Agricultural Input,"N4,671,453",19.8,00/00/0000,2024/12/27,526442.19,Active,Vehicle,Femi Adekunle,Anambra,0
