SaleID,StationName,AttendantName,FuelType,LitersDispensed,PricePerLiter,TotalSaleAmount,Date,PumpNumber,PumpStatus,PaymentMethod,CustomerVehicle,State,ManagerApproved
FUL650396,Conoil Aba Road,Bisi Mohammed,Petrol,--,965.99 naira,Unknown,2025/01/03,2,functional,Transfer,TRUCK,Ibadan,No
FUL650239,Mobil Filling Station Ikeja,kunle  ajayi,LPG,40771.91,"1,011.98 ","41,260,357.48 ",00/00/0000,2,FAULTY,Coupon,Truck,Imo,no
FUL650346,Oando PLC Yaba,Chidi Eze,Kerosene,40994.45,NGN 709,"29,055,636.33 ",28-Oct-2024,0,Faulty,CASH,TRUCK,Kaduna,yes
FUL650001,Total Energies Surulere,TUNDE SULEIMAN   ,Diesel,28774.57,N601,17279417.0307,19-Oct-2024,5,functional ,Cash,Bus,Plateau,1
FUL650337,MRS Oil Apapa,Wale Lawal,AGO,23728.01,"₦1,110.72","26,355,175.27 ",2024-07-13,N/A,Functional,Fleet Card,Truck,Anambra,1
FUL650091,Ardova Petroleum Wuse,Femi Adekunle,AGO,34703.07,"N1,158",40186849.1214,20.05.2025,2,Under Maintenance,Coupon,Truck,Kaduna,0
FUL650039,NNPC Mega Station Lugbe,  Femi Okafor,Petrol,21812.55,N604,NIL,19.04.2025,4,Faulty,cash,Bus,Enugu,N
FUL650288,Ardova Petroleum Wuse,aliyu nwosu,Kerosene,38799.1,,,29.01.2025,Unknown,functional,cash,Truck,Delta,0
FUL650338,Ardova Petroleum Wuse,BOLA NNAMDI,ago,--,961.02 ,"N17,861,960",2025/03/19,4,Under Maintenance,Transfer,Bus,KANO,FALSE
FUL650256,MRS Oil Apapa,ifeoma nwosu,Kerosene,31737.27,837.89,,17 June 2024,2,functional,Coupon,Keke,Cross River,no
FUL650414,Ardova Petroleum Wuse,Tunde Okeke,Kerosene,1037.18,1049.85,"₦1,088,883.42",2025/03/21,0,Faulty,cash,Car,Enugu,TRUE
FUL650030,Total Energies Surulere,Segun Adekunle,pms,30068.81,N856,"N25,734,391",02/09/2025,1,functional,cash,Motorcycle,Plateau,0
FUL650261,MRS Oil Apapa,Ibrahim Chukwu,Premium,1362.86,969.77 naira,1321660.7422,27 November 2024,-1,Under Maintenance,Fleet Card,TRUCK,Enugu,FALSE
FUL650080,MRS Oil Apapa,Chidi Lawal,Diesel,5840.58,1305.08 naira,"₦7,622,424.15",04/07/2024,4,FAULTY,Transfer,Bus,Imo,TRUE
FUL650037,Conoil Aba Road,Wale Adekunle,Kerosene,36964.13,1052.52 naira,--,2024/08/29,1,Under Maintenance,cash,TRUCK,Oyo,1
FUL650329,Mobil Filling Station Ikeja,Sadiq Olawale,ago,16634.33,1141.1,18981433.963,21/01/2025,-,Faulty,cash,Generator,Ogun,true
FUL650430,MRS Oil Apapa,Zainab Nwosu,PMS,27741.41,654.57 naira,"N18,158,695",2024-06-27,3,Under Maintenance,Coupon,car,Kano,Y
FUL650076,NNPC Mega Station Lugbe,Blessing Adeyemi,pms,13793.01,1074.15 naira,14815761.6915,00/00/0000,3,Out of Stock,Coupon,Bus,Lag,true
FUL650118,NNPC Mega Station Lugbe,Chioma Balogun,Petrol,6263.92,828.32 naira,5188530.21 naira,2024/10/08,4,functional ,Transfer,Truck,Abuja,true
FUL650174,MRS Oil Apapa,Blessing Adekunle,ago,4183.72,1248.27 naira,n/a,02/09/2024,0,functional,Fleet Card,TRUCK,Cross River,FALSE
FUL650438,MRS Oil Apapa,WALE BELLO,Premium,30931.82,NGN 734,"₦22,705,193.15",13/08/2024,2,Functional,Transfer,Bus,Edo,FALSE
FUL650026,Oando PLC Yaba,Aliyu Adekunle,Automotive Gas Oil (AGO),20462.01,856.75,,12/12/2024,-1,Out of Stock,Cash,Car,Kano,FALSE
FUL650394,Oando PLC Yaba,sadiq olawale   ,PMS,23439.76,"N1,382","32,384,606.81 ",04/28/2025,4,Functional,CASH,TRUCK,Abuja,Yes
FUL650132,Mobil Filling Station Ikeja,Chinedu Ajayi,LPG,17223.06,"NGN 1,247",21476466.897600003,08 August 2024,-1,Faulty,Cash,Truck,Rivers,FALSE
FUL650109,Oando PLC Yaba,Aliyu Okonkwo,Automotive Gas Oil (AGO),12364.06,1381.53 naira,"N17,081,320",2024-06-09,3,Functional,Transfer,car,Delta,FALSE
FUL650309,Mobil Filling Station Ikeja,tunde bello,Petrol,34302.55,1157.88 naira,39718236.59 naira,13.03.2025,0,Out of Stock,Transfer,Bus,Lagos,0
FUL650344,Total Energies Surulere,adaeze okafor,Diesel,N/A,"NGN 1,353","NGN 48,322,175",08-Feb-2025,3,functional ,Transfer,Car,Cross River,TRUE
FUL650183,Conoil Aba Road,  CHIOMA MOHAMMED,AGO,40224.08,"₦1,017.80",,01/03/2025,0,Under Maintenance,CASH,TRUCK,Abuja,true
FUL650024,NNPC Mega Station Lugbe,aliyu afolabi   ,ago,3626.91,N704,"2,552,184.03 ",14-Dec-2024,-,Under Maintenance,CASH,car,Akwa Ibom,1
FUL650415,Mobil Filling Station Ikeja,Amara Suleiman,LPG,36786.01,1222.45,?,27/02/2025,5,Under Maintenance,Cash,Car,Rivers,true
FUL650009,Total Energies Surulere,Chidi Okeke,Premium,3189.51,775.16,"₦2,472,380.57",09-May-2025,3,functional,CASH,Car,Edo,true
FUL650007,Mobil Filling Station Ikeja,Ifeoma Yusuf,PMS,?,unknown,44272255.787700005,2025/02/06,4,Faulty,Transfer,car,Kano,false
FUL650273,Oando PLC Yaba,Ibrahim Ogundimu,ago,31752.65,969.16,,2024/08/14,3,functional,Fleet Card,Keke,Kaduna,yes
FUL650228,Conoil Aba Road,Bisi Suleiman,Kerosene,2851.32,"NGN 1,373","₦3,915,061.95",16/12/2024,1,Faulty,POS,Car,Kano,No
FUL650162,Conoil Aba Road,  Bisi Okafor,PMS,29132.45,"1,135.71 ",33086014.7895,16-Oct-2024,0,Under Maintenance,POS,TRUCK,Oyo,FALSE
FUL650139,Ardova Petroleum Wuse,Obinna Abubakar,Diesel,35303.04,"NGN 1,186",,10/03/2024,5,functional ,Coupon,Car,Kaduna,Yes
FUL650198,Oando PLC Yaba,Amara Suleiman,Premium,4646.02,"N1,374","N6,384,189",21 April 2025,3,Faulty,Fleet Card,car,Kaduna,no
FUL650356,NNPC Mega Station Lugbe,Blessing Ogundimu,Kerosene,37515.92,NGN 689,"N25,844,717",08/10/2024,4,Functional,Coupon,TRUCK,Plateau,yes
FUL650350,Conoil Aba Road,Bola Nnamdi,Premium Motor Spirit (PMS),32629.72,1186.84 naira,"38,726,256.88 ",04-Aug-2024,5,Functional,CASH,Generator,Oyo,no
FUL650453,NNPC Mega Station Lugbe,Blessing Adekunle,LPG,  ,"₦1,360.68","N51,730,006",12/09/2024,0,functional,POS,car,Akwa Ibom,No
FUL650125,Mobil Filling Station Ikeja,Kemi Suleiman,pms,25454.71,1213.49,30889036.04 naira,09-Feb-2025,1,Out of Stock,CASH,Motorcycle,Oyo,Yes
FUL650195,Conoil Aba Road,GRACE AJAYI,PMS,20828.71,N/A,"18,207,833.42 ",04.11.2024,5,functional ,Fleet Card,Motorcycle,Imo,Yes
FUL650142,Ardova Petroleum Wuse,Femi Chukwu,PMS,4904.67,666.64 naira,"₦3,269,649.21",2025-01-17,0,FAULTY,Cash,Motorcycle,Akwa Ibom,no
FUL650336,Ardova Petroleum Wuse,Aliyu Balogun,ago,23069.88,N981,22642856.52 naira,unknown date,4,Out of Stock,Coupon,Bus,Imo,0
FUL650110,NNPC Mega Station Lugbe,Grace Adeyemi,Automotive Gas Oil (AGO),10945.11,"NGN 1,152","N12,605,812",01/11/2024,4,Out of Stock,CASH,Generator,Ogun,No
FUL650171,MRS Oil Apapa,Tunde Nnamdi,Premium,23414.4,"₦1,090.69","₦25,537,851.94",2025-05-25,0,Faulty,Transfer,car,Ibadan,N
FUL650050,Ardova Petroleum Wuse,Segun  Abubakar,LPG,29471.83,1263.63,,12/04/2025,0,Functional,Coupon,Motorcycle,Edo,true
FUL650234,Conoil Aba Road,Adaeze Okeke,ago,35680.9,₦721.78,"NGN 25,753,760",20-May-2025,0,functional ,POS,Car,Edo,true
FUL650328,NNPC Mega Station Lugbe,Ngozi Afolabi,PMS,8575.3,  ,"₦11,034,610.29",15/10/2024,3,Faulty,Fleet Card,TRUCK,Imo,N
FUL650303,Mobil Filling Station Ikeja,Halima  Balogun,Kerosene,7349.74,803.59 ,"N5,906,178",2025/01/01,-1,Functional,Fleet Card,Generator,Akwa Ibom,Y
FUL650028,Mobil Filling Station Ikeja,Ibrahim Ajayi,Automotive Gas Oil (AGO),8925.64,"N1,066",,2025/04/18,3,Out of Stock,Transfer,Car,Akwa Ibom,1
FUL650357,Conoil Aba Road,Bisi Yusuf,Diesel,29066.6,"N1,290",37498239.327999994,29 May 2025,5,functional,Fleet Card,Car,Abuja,TRUE
FUL650064,Total Energies Surulere,Blessing Eze,pms,29333.03,₦843.65,"₦24,746,810.76",30-Jan-2025,5,Faulty,Transfer,Generator,Imo,yes
FUL650170,Conoil Aba Road,Tobi Eze,LPG,39444.61,₦789.75,31151380.75 naira,2025-03-01,4,Faulty,Coupon,Car,Oyo,true
FUL650180,NNPC Mega Station Lugbe,Amara Eze,Petrol,32255.74,N668,NIL,00/00/0000,0,FAULTY,CASH,Bus,Plateau,FALSE
FUL650238,NNPC Mega Station Lugbe,Ibrahim Ogundimu,Petrol,NULL,1252.51,48965613.41 naira,08 June 2024,4,Faulty,Coupon,Car,Enugu,FALSE
FUL650008,MRS Oil Apapa,Blessing Eze,PMS,31044.35,"NGN 1,165","NGN 36,154,871",22/12/2024,-1,Faulty,Cash,Car,Akwa Ibom,no
FUL650409,MRS Oil Apapa,Ngozi Ajayi,AGO,14217.36,"N1,249",17760894.8064,2024-10-30,5,Functional,Transfer,TRUCK,Edo,N
FUL650223,Oando PLC Yaba,FEMI LAWAL,Premium Motor Spirit (PMS),37959.74,1360.35,51638532.30899999,2024/06/29,1,Out of Stock,CASH,Truck,Anambra,true
FUL650046,Ardova Petroleum Wuse,Sadiq Adeyemi,PMS,44671.15,NGN 822,"N36,723,706",2025/05/04,0,functional ,POS,Truck,Imo,true
FUL650244,Oando PLC Yaba,Zainab Chukwu,Kerosene,3577.31,1219.46 naira,"₦4,362,386.45",,3,Faulty,Coupon,Motorcycle,Cross River,N
FUL650451,Mobil Filling Station Ikeja,Ngozi Yusuf,Diesel,3375.85,704.97,2379872.97 naira,04/18/2025,3,Under Maintenance,Fleet Card,Generator,Kaduna,No
FUL650182,Total Energies Surulere,Zainab Yusuf   ,Kerosene,24651.72,N837,"₦20,643,596.85",11-Mar-2025,5,Out of Stock,Coupon,car,Edo,false
FUL650389,MRS Oil Apapa,Amaka Nnamdi,LPG,32148.84,"N1,312","N42,179,278",28 February 2025,--,functional ,POS,Motorcycle,Kaduna,N
FUL650133,Oando PLC Yaba,kemi balogun,Premium Motor Spirit (PMS),32850.68,N868,28522931.42 naira,2025/01/06,4,Functional,CASH,Motorcycle,Delta,1
FUL650354,Mobil Filling Station Ikeja,Aliyu Eze,Automotive Gas Oil (AGO),1468.3,NGN 709,"₦1,040,452.06",2025-03-14,3,Functional,CASH,Bus,Rivers,1
FUL650094,Oando PLC Yaba,Wale Adeyemi,AGO,32540.57,"₦1,348.07","₦43,866,966.20",2024-08-29,4,FAULTY,Fleet Card,TRUCK,Imo,Y
FUL650042,Oando PLC Yaba,Tunde Nnamdi,Petrol,n/a,1371.59 naira,"₦7,793,319.52",2024-11-17,3,functional,Coupon,Truck,Akwa Ibom,no
FUL650282,Ardova Petroleum Wuse,Tobi Okeke,Premium Motor Spirit (PMS),2840.89,NGN 746,"₦2,119,786.89",2024/11/20,3,functional,POS,Car,Port Harcourt,Y
FUL650407,Oando PLC Yaba,AMARA AJAYI,ago,28510.04,983.41,28037058.44 naira,2025-05-21,1,Functional,Cash,Generator,Plateau,FALSE
FUL650237,MRS Oil Apapa,fatima olawale,pms,41586.29,n/a,  ,10.05.2025,-1,Functional,Coupon,Car,Kano,Y
FUL650062,MRS Oil Apapa,Bisi Okeke,Petrol,3391.82,1360.06,"NGN 4,613,079",2025-04-18,2,functional,cash,Keke,Cross River,yes
FUL650384,MRS Oil Apapa,Tunde Mohammed   ,PMS,16589.98,NGN 589,9772493.6188,15 November 2024,5,FAULTY,POS,TRUCK,oyo,0
FUL650249,Mobil Filling Station Ikeja,Kemi Okafor,Petrol,12995.84,728.17 naira,"N9,463,181",08/07/2024,5,functional,cash,TRUCK,Abuja,Yes
FUL650294,Oando PLC Yaba,Amaka Nnamdi,LPG,29011.16,N819,23761300.486399997,2024/07/03,-1,FAULTY,cash,TRUCK,Oyo,yes
FUL650227,Total Energies Surulere,Amaka Adekunle,Diesel,41151.42,"₦1,034.71","NGN 42,579,786",06/07/2024,5,functional ,Fleet Card,Motorcycle,Kaduna,false
FUL650115,Total Energies Surulere,Yusuf Mohammed,AGO,40734.44,1382.10 naira,,20-Mar-2025,3,Functional,Transfer,Keke,Kano,0
FUL650271,Ardova Petroleum Wuse,Kemi Nwosu,Petrol,40956.01,1185.95 naira,,05/04/2025,5,Faulty,CASH,TRUCK,Cross River,1
FUL650447,MRS Oil Apapa,Grace Bello,PMS,27229.15,₦643.31,17516784.4865,05/21/2025,3,Functional,Cash,Motorcycle,Ogun,Yes
FUL650167,Ardova Petroleum Wuse,Chinedu Ogundimu,AGO,8116.87,646.27,"₦5,245,689.57",18.11.2024,1,functional,Coupon,car,Enugu,1
FUL650289,Total Energies Surulere,  Ibrahim Nwosu,Petrol,10823.78,1037.96,,07.06.2024,2,functional,POS,Generator,Edo,0
FUL650136,MRS Oil Apapa,MUSA AJAYI,Premium Motor Spirit (PMS),42904.31,775.68,33280015.180799995,2024/10/04,3,Faulty,Coupon,Keke,Plateau,No
FUL650097,MRS Oil Apapa,Wale Lawal,Diesel,6894.2,"1,193.14 ","N8,225,746",07.04.2025,1,FAULTY,Coupon,Generator,Abuja,No
FUL650255,Conoil Aba Road,Kunle Chukwu,Automotive Gas Oil (AGO),30519.21,"NGN 1,035",,2024/06/10,5,FAULTY,Fleet Card,car,Rivers,yes
FUL650318,Total Energies Surulere,Amaka Ogundimu,AGO,28253.35,1003.30 naira,28346586.054999996,04 September 2024,-1,FAULTY,POS,Generator,Delta,Y
FUL650440,Total Energies Surulere,emeka okafor,LPG,4627.59,823.33,"₦3,810,033.67",17/02/2025,3,FAULTY,Transfer,Truck,Kaduna,No
FUL650232,Conoil Aba Road,Chioma Suleiman,AGO,18556.04,1099.26 naira,"₦20,397,912.53",unknown date,n/a,Under Maintenance,Cash,Keke,kano,Yes
FUL650124,Total Energies Surulere,Chioma Suleiman,Petrol,2413.45,₦874.41,,2024-06-05,1,FAULTY,Transfer,Bus,Cross River,0
FUL650269,MRS Oil Apapa,Obinna Okeke,pms,40661.43,1018.73,"₦41,423,018.58",2024/06/06,3,FAULTY,Transfer,Car,Edo,0
FUL650075,Total Energies Surulere,Obinna Chukwu,Diesel,33449.1,"₦1,313.60",43938737.76 naira,12/15/2024,5,Functional,Cash,Generator,Edo,yes
FUL650173,Ardova Petroleum Wuse,Funmilayo Afolabi,Automotive Gas Oil (AGO),4492.3,723.26,,2024/06/21,-1,Under Maintenance,cash,Keke,Imo,false
FUL650428,Mobil Filling Station Ikeja,Funmilayo Afolabi,Premium,5676.43,862.18 naira,4894104.42 naira,06/07/2024,5,FAULTY,POS,Motorcycle,Oyo,yes
FUL650022,MRS Oil Apapa,Grace Okafor,PMS,25905.61,1169.04,,14.12.2024,1,functional ,cash,Generator,Cross River,0
FUL650090,Conoil Aba Road,Tobi Lawal,pms,32733.37,"N1,159","N37,929,465",2025-02-21,5,Faulty,Transfer,Keke,Kano,yes
FUL650035,NNPC Mega Station Lugbe,Bola Nwosu,AGO,21146.59,N607,Unknown,10/26/2024,3,Functional,Cash,Bus,Cross River,yes
FUL650281,NNPC Mega Station Lugbe,Grace Okafor   ,Kerosene,  ,"₦1,055.06",7072869.0256,07/07/2024,0,functional ,CASH,Truck,ABUJA,N
FUL650446,Conoil Aba Road,Zainab Nwosu,ago,42670.94,NGN 953,"NGN 40,644,924",2025/05/31,2,Functional,POS,car,Rivers,TRUE
FUL650292,NNPC Mega Station Lugbe,Adaeze Balogun,pms,34240.1,842.78 naira,"₦28,856,871.48",2024/10/15,0,Under Maintenance,cash,Generator,Cross River,true
FUL650319,MRS Oil Apapa,Amaka Balogun,Kerosene,10817.59,"N1,192","₦12,895,432.69",11/01/2024,0,functional,cash,car,Enugu,true
FUL650214,Conoil Aba Road,Chioma Abubakar,Kerosene,10286.28,661.89,"₦6,808,385.87",10/17/2024,0,FAULTY,Coupon,Generator,Cross River,0
FUL650241,Total Energies Surulere,  Ifeoma Bello,Premium,28161.03,"N1,301","N36,623,983",2024-06-16,5,FAULTY,POS,Motorcycle,Edo,Y
FUL650068,NNPC Mega Station Lugbe,Aliyu Chukwu,LPG,6942.22,728.29,5055949.4037999995,05/21/2025,3,functional ,cash,Motorcycle,Kaduna,true
FUL650218,Mobil Filling Station Ikeja,Halima Balogun,Automotive Gas Oil (AGO),2871.59,"₦1,300.53",NULL,08-Mar-2025,-1,FAULTY,CASH,Bus,LAGOS,no
FUL650253,NNPC Mega Station Lugbe,Chidi Abubakar,Premium,44066.62,581.30 naira,"N25,615,926",13/06/2024,-1,Under Maintenance,Transfer,Truck,Oyo State,Yes
FUL650149,Mobil Filling Station Ikeja,Zainab Mohammed,pms,15334.82,N726,"NGN 11,125,719",11/13/2024,-1,functional ,Coupon,TRUCK,Edo,no
FUL650029,NNPC Mega Station Lugbe,Yusuf Nnamdi,Petrol,37005.07,666.54 ,"NGN 24,665,359",03/12/2024,3,Faulty,CASH,TRUCK,Ogun,FALSE
FUL650203,MRS Oil Apapa,  Obinna Nwosu,AGO,35530.21,892.61,"N31,714,621",29/03/2025,4,Out of Stock,CASH,Generator,Enugu,no
FUL650079,NNPC Mega Station Lugbe,Femi Yusuf,LPG,43540.29,"NGN 1,389",60477027.4071,08-May-2025,1,FAULTY,Transfer,TRUCK,Cross River,TRUE
FUL650422,NNPC Mega Station Lugbe,Chidi Nwosu   ,Diesel,42635.51,913.34 ,,2024/11/08,5,Faulty,cash,TRUCK,Anambra,true
FUL650185,Oando PLC Yaba,Chidi Ajayi,PMS,41016.98,n/a,"₦47,489,459.44",2025/04/28,5,Functional,cash,Keke,Anambra,yes
FUL650333,Conoil Aba Road,Chinedu Nnamdi,Premium,37573.08,unknown,  ,18/10/2024,4,Functional,CASH,Generator,Port Harcourt,false
FUL650095,Ardova Petroleum Wuse,  Blessing Adekunle,LPG,38297.84,₦963.78,36910692.235199995,07/09/2024,4,Faulty,POS,TRUCK,Kaduna,N
FUL650049,NNPC Mega Station Lugbe,Amaka Ogundimu,Premium Motor Spirit (PMS),27879.99,1353.40 naira,unknown,2024/11/15,-1,functional,Fleet Card,Bus,Imo,1
FUL650023,Oando PLC Yaba,Blessing Okonkwo,Petrol,27569.74,1169.8,"NGN 32,251,082",14-Feb-2025,-1,functional,Cash,Keke,kano,TRUE
FUL650278,MRS Oil Apapa,Halima Lawal,Petrol,29907.6,798.48 ,23880620.448,25/05/2025,4,functional ,CASH,TRUCK,Abuja,no
FUL650150,Total Energies Surulere,Amaka Okonkwo,ago,7839.95,"N1,374",10774992.0815,22 May 2025,4,functional ,Fleet Card,Car,Rivers,FALSE
FUL650360,Mobil Filling Station Ikeja,  Funmilayo Ogundimu   ,Premium Motor Spirit (PMS),10642.86,997.07,"N10,611,676",2025-02-14,5,Functional,CASH,Motorcycle,Cross River,Y
FUL650377,NNPC Mega Station Lugbe,Obinna Lawal,AGO,20892.56,N844,"N17,631,022",12/09/2024,4,functional,POS,Keke,Enugu,1
FUL650213,Ardova Petroleum Wuse,SADIQ ADEKUNLE,pms,379.83,1132.76 naira,430256.23079999996,12.12.2024,4,Faulty,Fleet Card,Bus,Ogun,true
FUL650036,Mobil Filling Station Ikeja,Ibrahim Bello,AGO,26777.39,1255.88 naira,"₦33,629,188.55",2024-10-26,5,Functional,POS,Car,Cross River,true
FUL650243,Ardova Petroleum Wuse,Wale Adekunle,Kerosene,32718.85,"₦1,207.66",39513246.391,2024-12-29,5,Faulty,Fleet Card,Motorcycle,Kano,no
FUL650159,Mobil Filling Station Ikeja,kunle yusuf,PMS,10691.83,-,12739422.36 naira,10/16/2024,4,functional ,cash,TRUCK,Cross River,TRUE
FUL650058,Ardova Petroleum Wuse,Bisi Okeke,Premium,16929.37,₦951.99,"N16,116,591",2024-08-20,4,functional,Fleet Card,TRUCK,Enugu,yes
FUL650008,MRS Oil Apapa,Blessing Eze,PMS,31044.35,"NGN 1,165","NGN 36,154,871",22/12/2024,-1,Faulty,Cash,Car,Akwa Ibom,no
FUL650225,NNPC Mega Station Lugbe,Segun Balogun,PMS,402.83,₦614.43,247510.83689999997,20/05/2025,3,Out of Stock,Fleet Card,Truck,Rivers State,TRUE
FUL650251,Ardova Petroleum Wuse,Chioma Balogun   ,Automotive Gas Oil (AGO),26053.9,"NGN 1,344",35011491.36 naira,18 July 2024,1,Out of Stock,Coupon,Truck,Delta,false
FUL650199,Conoil Aba Road,Blessing Okonkwo,PMS,21909.28,N975,"₦21,368,778.06",2025/04/06,0,Faulty,cash,Generator,Plateau,No
FUL650351,Ardova Petroleum Wuse,Chinedu Ogundimu,pms,5572.46,"1,200.38 ","N6,689,070",2024/08/03,-1,FAULTY,POS,Generator,oyo,false
FUL650117,MRS Oil Apapa,kunle bello,Kerosene,22095.84,"N1,052",23249684.76 naira,03-Oct-2024,0,Out of Stock,Cash,car,Edo,0
FUL650077,Oando PLC Yaba,Segun Bello,Premium,n/a,N609,"NGN 21,395,816",05 July 2024,2,functional,Transfer,Keke,Kano,Yes
FUL650101,Total Energies Surulere,Ngozi Adekunle,PMS,32359.51,927.78,"30,022,506.19 ",12.12.2024,1,Functional,Cash,Car,Delta,FALSE
FUL650206,Ardova Petroleum Wuse,Musa Adeyemi,Kerosene,27406.69,1174.09 naira,"N32,177,921",2024-12-23,?,FAULTY,Fleet Card,Motorcycle,Ogun,Y
FUL650157,Total Energies Surulere,bola afolabi   ,pms,7780.38,--,"N10,792,788",17 September 2024,4,Functional,CASH,car,abuja,FALSE
FUL650435,Total Energies Surulere,  EMEKA YUSUF,AGO,13337.07,₦800.18,N/A,unknown date,-1,Under Maintenance,Transfer,Truck,Plateau,TRUE
FUL650397,Total Energies Surulere,Sadiq Nnamdi,ago,14996.2,"NGN 1,166","N17,488,418",09-Sep-2024,1,Functional,cash,Bus,Kano,yes
FUL650143,Conoil Aba Road,Ibrahim Adekunle,Diesel,6675.42,"NGN 1,163","7,764,514.77 ",30/11/2024,1,Faulty,POS,Motorcycle,Akwa Ibom,1
FUL650021,Ardova Petroleum Wuse,Grace Ajayi,pms,9617.35,null,"₦9,309,690.97",N/A,4,functional ,Cash,TRUCK,Enugu,true
