ReservationID,GuestName,GuestPhone,HotelName,RoomType,CheckInDate,CheckOutDate,NumberOfNights,RoomRatePerNight,TotalBill,BookingSource,PaymentStatus,State,Nationality,EarlyCheckIn
HRS200029,Obinna Suleiman,+234121416141,Hawthorn Suites,Deluxe,24 November 2025,26.11.2025,2,"NGN 57,312",,ONLINE,Refunded,Rivers,Nigerian,yes
HRS200100,Femi Suleiman,(802) 942-4090,Hawthorn Suites,standard,2024/04/16,17.04.2024,1,"160,059.94 ","₦160,059.94",Walk in,PAID,Kaduna,British,1
HRS200287,Halima Abubakar,45511668297,Lagos Continental,Executive Room,20-Dec-2024,21-Dec-2024,-1,"NGN 254,941","254,941.18 ",ONLINE,Pending Payment,Kaduna,American,No
HRS200045,tunde eze,234-294-209-548,Southern Sun,Presidential,11/23/2024,24 November 2024,-1,"₦222,445.61",222445.61,ONLINE,paid,Lagos,NIGERIAN,N
HRS200228,Chioma Okeke,(940) 626-0787,Southern Sun,standard,05/01/2024,2024-01-10,5,130466.75 naira,652333.75 naira,Corporate,Pending,Rivers,nigerian,Yes
HRS200280,Ibrahim Abubakar,(025) 042-9019,Bon Hotel,Presidential,14/05/2025,2025/05/17,3,"NGN 314,815",,ONLINE,Pending,Rivers,American,TRUE
HRS200095,Bola Okonkwo,(541) 108-2555,Hawthorn Suites,Presidential,2025-11-27,29-Nov-2025,2,135041.27,"NGN 270,083",Travel Agent,Pending Payment,Oyo,Ghanaian,no
HRS200115,  Funmilayo Adekunle,0481 001 8418,Eko Hotel & Suites,Executive Room,24 May 2024,05/29/2024,5,203883.13 naira,1019415.65 naira,walk-in,Partial,Kano,NIGERIAN,N
HRS200082,IFEOMA EZE   ,234-702-437-654,Eko Hotel & Suites,standard,10-Jun-2025,2025/06/17,7,"NGN 182,917","N1,280,420",Walk in,paid,Lagos,Lebanese,No
HRS200236,Zainab Okeke,04661766204,Lagos Continental,Deluxe,02 March 2025,05/03/2025,3,"335,892.35 ","₦1,007,677.05",Corporate,Pending,Abuja,Nigerian,Y
HRS200370,Tunde Eze,234-346-156-262,Bon Hotel,Presidential,09-Jan-2025,unknown date,1,272616.71 naira,?,Corporate,PAID,Kaduna,NIGERIAN,FALSE
HRS200266,Chidi Abubakar,234-049-670-667,Transcorp Hilton Abuja,Twin Room,12 April 2025,2025/04/13,1,"₦81,322.74",  ,Travel Agent,paid,kano,British,true
HRS200206,Tobi Chukwu,0943 181 4396,Protea Hotel,Standard,unknown date,11/16/2025,7,"N236,811",1657676.93 naira,Walk in,PAID,Port Harcourt,NIGERIAN,Yes
HRS200324,Amara Adekunle,(074) 645-2059,Protea Hotel,standard,2025/04/23,28 April 2025,5,"NGN 111,170","₦555,848.90",Phone Booking,Pending,Kano,nigerian,true
HRS200090,Ifeoma Okonkwo,234-231-260-432,Transcorp Hilton Abuja,Suite,15.09.2024,16 September 2024,-1,"N345,667",345666.66 naira,walk-in,paid,Rivers State,British,yes
HRS200157,Bisi Bello,234-727-910-336,Radisson Blu Ikeja,Standard,21.11.2025,24 November 2025,3,172595.29 naira,"NGN 517,786",Phone Booking,PAID,Rivers,Nigerian,true
HRS200087,Kemi Chukwu,0803 056 9067,Lagos Continental,Deluxe,28/01/2024,not set,7,"N92,957",,Walk in,paid,Kaduna,American,FALSE
HRS200053,Emeka Ogundimu,N/A,Radisson Blu Ikeja,SUITE,31/12/2025,not set,3,"N335,222",NULL,walk-in,Refunded,Oyo State,Ghanaian,no
HRS200326,Obinna Okeke,+234788116162,Southern Sun,SUITE,18/03/2024,,2,"₦303,405.44","NGN 606,811",Corporate,Pending Payment,Kano,American,yes
HRS200125,Obinna Okonkwo,58721055247,Golden Tulip,Presidential,02 June 2024,06/04/2024,n/a,232969.69 naira,"NGN 465,939",walk-in,Pending Payment,Kano,Lebanese,Y
HRS200362,Kemi Lawal,49690282498,Eko Hotel & Suites,SUITE,2025-03-08,,7,"NGN 66,528","NGN 465,699",walk-in,Refunded,Kaduna,N/A,FALSE
HRS200307,Sadiq Suleiman,41314675361,Radisson Blu Ikeja,Deluxe,23 August 2024,,3,113748.62,341245.86 naira,Online,Refunded,Abuja,NIGERIAN,0
HRS200184,Ibrahim Nnamdi,+234355251050,Eko Hotel & Suites,Presidential,2024-04-22,27.04.2024,5,"NGN 62,370",311850.10 naira,Corporate,Refunded,Rivers State,nigerian,Y
HRS200316,Musa Ogundimu,+234330416624,Transcorp Hilton Abuja,Standard,28/03/2025,03/30/2025,2,172732.79 naira,"NGN 345,466",Walk-in,Paid,Oyo,null,Yes
HRS200222,Chidi Nnamdi,234-430-753-666,Eko Hotel & Suites,Standard,05/08/2025,06.08.2025,-1,284051.19 naira,"NGN 284,051",Online,PAID,Abuja,Ghanaian,yes
HRS200274,Funmilayo Adeyemi,0149 851 7244,Transcorp Hilton Abuja,Deluxe,28-Oct-2025,2025-10-31,3,"NGN 273,766","NGN 821,297",Phone Booking,Refunded,Kaduna,American,Yes
HRS200192,Zainab Olawale,(910) 300-2156,Lagos Continental,SUITE,22 June 2025,2025/06/24,2,113040.96 naira,226081.92,ONLINE,Refunded,Lagos,nigerian,no
HRS200146,Kunle Ajayi,+234168740903,Southern Sun,Executive Room,07 June 2025,14/06/2025,7,"₦116,136.11","₦812,952.77",Corporate,PAID,KANO,Nigerian,yes
HRS200328,  ZAINAB ADEYEMI,08728660416,Lagos Continental,Deluxe,2025-06-15,,-1,"₦219,259.42","₦219,259.42",Walk in,Refunded,Lagos State,nigerian,FALSE
HRS200257,Tobi Abubakar,234-066-266-821,Golden Tulip,Presidential,04/05/2024,05-May-2024,1,"₦326,954.66","₦326,954.66",Corporate,Pending,Abuja,Ghanaian,false
HRS200360,Chinedu Abubakar,234-979-966-734,Protea Hotel,Executive Room,14-Mar-2025,16-Mar-2025,2,"N168,934","NGN 337,869",ONLINE,paid,Rivers,NIGERIAN,0
HRS200185,Sadiq Nnamdi,0379 538 1649,Eko Hotel & Suites,Twin Room,23.04.2025,24/04/2025,1,"N261,015",261014.73,Online,Refunded,Abuja,nigerian,0
HRS200147,Chinedu Yusuf,0021 462 9613,Hawthorn Suites,standard,05-Mar-2025,08/03/2025,3,n/a,"447,216.78 ",Walk-in,Refunded,Abuja,American,no
HRS200224,KUNLE LAWAL,42683441497,Eko Hotel & Suites,Executive Room,03/12/2025,03/13/2025,  ,"NGN 73,329",73328.75,walk-in,Pending,FCT,nigerian,Y
HRS200083,Obinna Adeyemi,62841772256,Golden Tulip,Standard,05/02/2024,2024/02/06,1,41653.54 naira,  ,Travel Agent,Paid,lagos,Ghanaian,FALSE
HRS200350,Chioma Abubakar,08515791971,Protea Hotel,Presidential,2025/02/19,2025-02-20,1,"NGN 60,944",60943.78 naira,Travel Agent,Partial,abuja,Lebanese,N
HRS200021,Amara Adekunle,234-364-587-506,Transcorp Hilton Abuja,Suite,01.07.2025,2025-07-02,-1,"₦42,595.17","₦42,595.17",ONLINE,Refunded,lagos,Nigerian,TRUE
HRS200252,Chioma Mohammed,0081 974 0056,Lagos Continental,SUITE,18-Apr-2024,23-Apr-2024,5,"₦102,488.44",512442.2,Online,Refunded,Rivers State,nigerian,no
HRS200342,Chidi Chukwu,0836 520 3758,Lagos Continental,Suite,06/20/2024,21.06.2024,1,76247.01,76247.01,Walk in,Refunded,Oyo,American,no
HRS200046,Amaka Eze,0497 374 6052,Transcorp Hilton Abuja,SUITE,13 September 2024,2024-09-15,n/a,"NGN 179,517",,Walk-in,Pending Payment,Lagos,Nigerian ,false
HRS200014,Ngozi Yusuf,01674233629,Eko Hotel & Suites,Standard,03/10/2024,2024-10-04,1,233229.91 naira,"233,229.91 ",Phone Booking,paid,Kaduna,nigerian,yes
HRS200242,Segun  Ogundimu   ,00023117753,Golden Tulip,SUITE,14.08.2025,2025/08/21,7,89291.42,"NGN 625,040",ONLINE,Pending,lagos,Nigerian,FALSE
HRS200276,Fatima Eze,87950830440,Protea Hotel,Suite,2024-03-15,17-Mar-2024,2,"NGN 115,590",,Walk-in,paid,Kaduna,NIGERIAN,No
HRS200319,Amara Mohammed,234-149-764-613,Golden Tulip,Deluxe,30-Jan-2024,31.01.2024,n/a,"N182,280","NGN 182,280",ONLINE,Partial,rivers,Ghanaian,Y
HRS200048,Chioma Okeke,67566184438,Protea Hotel,Presidential,06/27/2025,30/06/2025,3,"NGN 241,453","N724,359",walk-in,Pending Payment,Abuja,American,no
HRS200160,SADIQ ADEYEMI,08685127652,Radisson Blu Ikeja,Deluxe,2025-04-08,not set,2,"N60,100","₦120,200.32",Travel Agent,Partial,Kaduna,N/A,Y
HRS200167,MUSA LAWAL,(639) 609-6262,Bon Hotel,Suite,06.08.2024,,1,218426.74,"NGN 218,427",Walk in,Pending,Oyo,Lebanese,TRUE
HRS200007,TUNDE  AFOLABI,invalid,Lagos Continental,Standard,30-Apr-2025,05/07/2025,7,"₦125,655.59",879589.13,Walk-in,Paid,Kaduna,Ghanaian,no
HRS200336,Ibrahim Mohammed,0659 994 9732,Golden Tulip,Executive Room,07 August 2025,08/08/2025,1,"N330,937",330937.07,ONLINE,Partial,Oyo,British,1
HRS200244,Kemi Mohammed,(759) 025-1762,Bon Hotel,Standard,05/23/2025,05/25/2025,2,"70,716.71 ",141433.42 naira,walk-in,Paid,Oyo,NIGERIAN,yes
HRS200205,Adaeze Nwosu,78610313100,Protea Hotel,standard,00/00/0000,19 May 2025,2,85365.12,NULL,Walk-in,Pending,Port Harcourt,Lebanese,0
HRS200271,ADAEZE LAWAL,08459609454,Protea Hotel,standard,07/11/2025,2025-07-12,1,25084.08,"NGN 25,084",ONLINE,Refunded,Oyo,Ghanaian,No
HRS200265,Grace Ajayi,234-710-704-496,Transcorp Hilton Abuja,Twin Room,2025-08-21,24-Aug-2025,3,"105,120.72 ","NGN 315,362",Phone Booking,Pending Payment,Rivers State,Lebanese,no
HRS200233,segun  okafor,76014672384,Golden Tulip,Single,2024/08/11,2024/08/13,2,"₦166,293.93",,ONLINE,Partial,Kaduna,British,Y
HRS200210,Sadiq Okafor,24120957907,Golden Tulip,Deluxe,17-Jul-2024,,1,"₦126,436.16","₦126,436.16",Phone Booking,PAID,Oyo State,NIGERIAN,No
HRS200365,Yusuf Olawale,33613285072,Eko Hotel & Suites,Executive Room,11/08/2025,11-Nov-2025,3,--,,Phone Booking,Refunded,Abuja,Lebanese,No
HRS200345,Ifeoma Adeyemi,234-772-781-050,Hawthorn Suites,Standard,13/11/2024,2024-11-14,unknown,"N174,964","N174,964",Online,paid,Rivers State,nigerian,yes
HRS200013,Blessing Lawal,234-232-129-833,Bon Hotel,Single,23 October 2025,30-Oct-2025,7,255191.02,"NGN 1,786,337",Walk-in,Refunded,Abuja,Nigerian,N
HRS200151,AMARA NWOSU,09096056730,Southern Sun,Standard,06.09.2025,13/09/2025,7,52212.04 naira,"N365,484",Phone Booking,Partial,Kaduna,Ghanaian,Yes
HRS200235,Ifeoma Nnamdi,0883 774 4197,Protea Hotel,Single,13-Feb-2024,15 February 2024,2,41783.37 naira,83566.74,Corporate,Pending Payment,KANO,Lebanese,No
HRS200339,Kunle Ogundimu,234-666-754-858,Bon Hotel,Presidential,2025-02-27,28/02/2025,-1,330351.34,"330,351.34 ",Walk in,Partial,Rivers,Nigerian ,Yes
HRS200196,Obinna Ajayi,234-774-573-144,Protea Hotel,standard,2025/08/23,2025/08/25,2,"₦181,821.44","₦363,642.88",ONLINE,Refunded,Kano,Ghanaian,no
HRS200128,Tunde Okonkwo,+234521310962,Hawthorn Suites,Twin Room,05 September 2024,,2,133658.65 naira,"₦267,317.30",Phone Booking,Pending,Kaduna,NIGERIAN,N
HRS200044,Ngozi Lawal,0316 087 5243,Lagos Continental,standard,12/03/2024,05/12/2024,2,296567.92 naira,593135.84 naira,Walk-in,paid,Lag,Nigerian ,N
HRS200198,ibrahim chukwu,234-637-153-988,Hawthorn Suites,Suite,14-Oct-2025,2025/10/15,1,"NGN 43,162","N43,162",Phone Booking,paid,Oyo State,Nigerian,false
HRS200047,Aliyu Balogun,0302 764 2086,Radisson Blu Ikeja,Single,2024-02-26,2024/02/27,1,"₦290,842.28","NGN 290,842",Walk-in,Pending Payment,Kaduna,nigerian,N
HRS200191,Zainab Bello,08579064771,Southern Sun,Single,23.05.2024,24/05/2024,1,"NGN 271,371",271370.64,Corporate,PAID,Port Harcourt,Ghanaian,FALSE
HRS200298,Amara Adeyemi,+234090883070,Transcorp Hilton Abuja,SUITE,11.08.2024,12-Aug-2024,1,"NGN 29,636",29636.04 naira,walk-in,Partial,Oyo,Ghanaian,N
HRS200009,Chioma Adeyemi,234-102-574-326,Southern Sun,Single,22.02.2024,unknown date,2,307009.38 naira,"N614,019",Corporate,paid,Oyo,Nigerian,No
HRS200141,Chidi Ogundimu,0596 063 3991,Radisson Blu Ikeja,Suite,03-Apr-2024,2024/04/04,1,"₦240,210.64","NGN 240,211",walk-in,Pending,Oyo,American,Yes
HRS200158,Blessing Bello,+234963533905,Southern Sun,Single,31.01.2025,02 February 2025,2,222843.85,"₦445,687.70",Phone Booking,Pending,kano,Ghanaian,yes
HRS200135,BLESSING OKAFOR,(811) 390-4383,Radisson Blu Ikeja,Single,14-Sep-2024,09/15/2024,1,91434.54 naira,NULL,walk-in,Paid,Oyo,Lebanese,true
HRS200074,Sadiq Abubakar,234-148-706-827,Hawthorn Suites,Standard,N/A,27-Aug-2024,2,183651.55,"367,303.10 ",Phone Booking,PAID,lagos,nigerian,0
HRS200006,Wale Abubakar,89241956252,Transcorp Hilton Abuja,Single,29 November 2024,06 December 2024,7,"338,448.87 ","NGN 2,369,142",Travel Agent,Refunded,Rivers,American,No
HRS200243,  Amara Afolabi,(126) 610-9410,Hawthorn Suites,Twin Room,09/03/2024,14.03.2024,5,"NGN 120,597",602986.05,Walk-in,Refunded,Rivers,British,N
HRS200225,Kemi Suleiman,(826) 612-8758,Lagos Continental,Deluxe,02/24/2024,26 February 2024,2,219422.45,"NGN 438,845",Travel Agent,Refunded,abuja,Nigerian ,0
HRS200212,Tobi Nwosu,21145775847,Eko Hotel & Suites,Suite,2025-04-12,unknown date,2,"315,630.41 ",631260.82,Walk-in,paid,Ibadan,Nigerian ,Y
HRS200175,CHINEDU ADEYEMI,invalid,Transcorp Hilton Abuja,Executive Room,2025-02-19,20/02/2025,1,"N143,079",,Walk-in,Refunded,Kaduna,American,1
HRS200155,Kunle Afolabi,96089319925,Lagos Continental,Twin Room,2024-01-14,,3,"107,910.35 ","N323,731",Walk in,Pending,Oyo,Nigerian,Yes
HRS200058,Halima Nwosu,+234087510293,Bon Hotel,SUITE,09 February 2024,11 February 2024,2,?,534784.46 naira,Phone Booking,Partial,Lagos State,American,0
HRS200084,Blessing Olawale,0053 134 0266,Golden Tulip,Twin Room,2025-09-09,09/10/2025,-1,"N112,435",112434.88,Travel Agent,Paid,Rivers State,Nigerian ,false
HRS200312,  Fatima Okonkwo,+234952980061,Southern Sun,Deluxe,08/04/2025,08/05/2025,1,"NGN 83,084","N83,084",Walk-in,Partial,Lagos,American,no
HRS200159,Segun Lawal,04481776655,Transcorp Hilton Abuja,SUITE,02/15/2024,2024-02-17,2,"NGN 45,444",,ONLINE,Pending Payment,Oyo,British,No
HRS200122,Chidi Lawal,234-576-769-523,Hawthorn Suites,Suite,10/27/2024,29/10/2024,2,296474.73,592949.46,Online,Pending Payment,kano,Ghanaian,yes
HRS200139,Obinna Balogun,(790) 422-7113,Protea Hotel,Presidential,16 August 2024,19/08/2024,3,"₦185,619.00","₦556,857.00",Travel Agent,Refunded,Kano,Nigerian ,FALSE
HRS200291,Funmilayo Nwosu,234-101-576-764,Eko Hotel & Suites,Executive Room,00/00/0000,14 July 2024,2,"149,559.78 ",,Walk in,Partial,LAGOS,British,no
HRS200043,Zainab Eze,98366552899,Bon Hotel,Executive Room,22-Dec-2024,2024-12-24,2,"N258,786",517571.60 naira,Travel Agent,Partial,Kaduna,Lebanese,1
HRS200138,BOLA CHUKWU,234-156-818-209,Golden Tulip,Deluxe,2025/11/19,,2,"NGN 245,259",490517.7,Phone Booking,Pending Payment,Kaduna,Nigerian,0
HRS200186,Amara Nnamdi,08318491966,Radisson Blu Ikeja,Executive Room,16 September 2024,2024/09/21,5,N/A,"N1,097,110",Phone Booking,Refunded,Kaduna,Lebanese,Yes
HRS200359,grace ogundimu,0000000000,Protea Hotel,Standard,16-Aug-2025,19/08/2025,3,53262.11,"N159,786",Online,Paid,ABUJA,American,0
HRS200107,Amaka  Okonkwo   ,0424 089 1649,Southern Sun,Deluxe,2024/03/31,2024-04-01,1,"₦142,551.66","₦142,551.66",Online,Partial,Rivers,NIGERIAN,TRUE
HRS200272,MUSA OKAFOR,09014954277,Southern Sun,Deluxe,16/04/2025,2025-04-21,5,"NGN 169,781",,walk-in,PAID,Kaduna,American,no
HRS200317,Tobi Lawal,0118 600 8921,Lagos Continental,Deluxe,2025/02/14,19.02.2025,5,"N45,870","N229,351",Corporate,Pending Payment,Kaduna,Nigerian ,yes
HRS200170,Aliyu Chukwu,0000000000,Hawthorn Suites,Suite,19 January 2024,01/21/2024,2,"N155,874","N311,748",Corporate,Refunded,oyo,Ghanaian,yes
HRS200373,Kemi Lawal,67076604641,Transcorp Hilton Abuja,Presidential,02 August 2024,07/08/2024,5,"₦236,722.06",nil,Travel Agent,Pending Payment,Abuja,American,N
HRS200332,Sadiq Mohammed,33187510979,Hawthorn Suites,Presidential,15/12/2024,2024-12-22,7,266174.25 naira,"₦1,863,219.75",walk-in,Pending,Lagos,Nigerian ,TRUE
HRS200193,Bisi Nnamdi,02135800401,Golden Tulip,SUITE,10/24/2025,,-1,"N247,807","247,807.37 ",ONLINE,Refunded,Port Harcourt,American,no
HRS200012,Blessing Olawale,96852701713,Lagos Continental,standard,2024-06-17,06/18/2024,1,"₦318,812.27","N318,812",Corporate,Pending Payment,Lag,Ghanaian,N
HRS200004,Kemi Adekunle,234-206-506-373,Southern Sun,Single,2024-02-03,10 February 2024,7,304982.91,"₦2,134,880.37",Travel Agent,Pending,Rivers,nigerian,Yes
HRS200166,Tobi Adeyemi,02589552963,Southern Sun,standard,2024/05/19,00/00/0000,7,?,"N467,098",Walk in,Pending,Kaduna,Ghanaian,N
HRS200091,Tunde Ajayi,(093) 106-6843,Radisson Blu Ikeja,Presidential,11/03/2024,13-Mar-2024,2,115231.35 naira,"₦230,462.70",Corporate,Pending,Kano,Nigerian,yes
HRS200208,Funmilayo Suleiman,40128974325,Protea Hotel,Twin Room,18-Jan-2025,19.01.2025,1,"N101,516",101515.54,Travel Agent,Partial,Abuja,Nigerian,false
HRS200374,tunde nnamdi,(978) 575-8512,Radisson Blu Ikeja,Deluxe,02/12/2025,,3,306950.96 naira,,Travel Agent,PAID,abuja,Lebanese,FALSE
HRS200169,FATIMA ABUBAKAR,0000000000,Eko Hotel & Suites,standard,2024/10/22,2024/10/23,1,334587.88 naira,"N334,588",Walk in,paid,Kano,Ghanaian,0
HRS200060,IBRAHIM EZE,(603) 408-4872,Hawthorn Suites,Deluxe,12.06.2025,06/13/2025,1,"NGN 215,563","N215,563",Travel Agent,Pending Payment,Oyo,Lebanese,TRUE
HRS200165,Femi Mohammed,234-444-630-600,Golden Tulip,Single,2025/01/23,00/00/0000,7,"₦255,292.17","NGN 1,787,045",Phone Booking,PAID,Rivers,Nigerian ,false
HRS200223,Ibrahim Lawal,(449) 429-6592,Golden Tulip,Single,05 June 2025,06 June 2025,-1,331758.5,"₦331,758.50",Walk-in,Refunded,Lagos,Nigerian,yes
HRS200220,Adaeze Adeyemi,0107 406 5004,Hawthorn Suites,Suite,2024-01-04,2024/01/05,1,237446.16 naira,"237,446.16 ",Walk-in,Paid,Rivers,Ghanaian,1
HRS200077,Kemi Okonkwo,234-285-067-625,Protea Hotel,SUITE,26 August 2024,08/27/2024,-1,NULL,"N169,453",Walk-in,Paid,ABUJA,Nigerian,yes
HRS200284,Ifeoma Olawale,234-535-375-137,Eko Hotel & Suites,standard,23 August 2025,30 August 2025,7,126026.61 naira,"NGN 882,186",Walk in,Partial,Abuja,Lebanese,1
HRS200310,Funmilayo Bello,05667664047,Eko Hotel & Suites,Standard,2024/04/10,2024/04/11,-1,182936.30 naira,"182,936.30 ",Corporate,Refunded,Abuja,British,yes
HRS200089,Halima Lawal,01436371892,Transcorp Hilton Abuja,Deluxe,13.07.2025,2025-07-15,2,292356.69 naira,"NGN 584,713",Walk in,Partial,Ibadan,Nigerian ,TRUE
HRS200355,Funmilayo Afolabi,20962893654,Golden Tulip,Standard,06.12.2025,2025-12-07,-1,334677.60 naira,,Online,Partial,Kaduna,American,yes
HRS200230,Grace Balogun,234-198-038-287,Transcorp Hilton Abuja,Presidential,14.04.2025,2025-04-19,5,"₦153,577.02",767885.1,ONLINE,Pending Payment,Rivers,nigerian,N
HRS200216,Sadiq Ajayi,(824) 556-9644,Bon Hotel,Deluxe,07.07.2024,12 July 2024,5,"NGN 253,723","₦1,268,615.95",Online,paid,Kaduna,NIGERIAN,FALSE
HRS200255,ibrahim lawal,,Protea Hotel,Twin Room,19/03/2025,21-Mar-2025,2,"N275,117","NGN 550,234",Walk-in,paid,Fct Abuja,American,FALSE
HRS200347,Aliyu Suleiman,08439055295,Radisson Blu Ikeja,Presidential,03/02/2025,03/03/2025,1,NIL,"304,371.36 ",Online,Partial,Abuja,American,Y
HRS200190,Chinedu Nwosu,00171644556,Transcorp Hilton Abuja,Twin Room,02/13/2025,,5,111039.59,"N555,198",ONLINE,Paid,lagos,Nigerian ,TRUE
HRS200237,Chioma Lawal,+234960940970,Eko Hotel & Suites,Suite,14.09.2024,09/21/2024,7,81600.49 naira,"571,203.43 ",walk-in,paid,lagos,NIGERIAN,true
HRS200246,Funmilayo Okeke,08319013020,Eko Hotel & Suites,Executive Room,25 February 2024,,7,"NGN 262,901",1840307.49 naira,ONLINE,Pending Payment,Lagos,Nigerian,TRUE
HRS200215,Fatima Nwosu,09653136148,Eko Hotel & Suites,Single,10/09/2024,09/12/2024,2,343669.39 naira,"₦687,338.78",walk-in,Paid,Kaduna,British,No
HRS200059,fatima okafor,234-840-118-458,Bon Hotel,Standard,not set,2025-11-26,3,"₦28,006.17","₦84,018.51",Phone Booking,Pending,Abuja,American,Y
HRS200313,ifeoma abubakar   ,(581) 083-5832,Lagos Continental,Deluxe,24-Oct-2024,26-Oct-2024,2,-,"₦393,935.90",Phone Booking,Refunded,Rivers,American,Yes
HRS200041,Kunle Abubakar,0633 414 1115,Protea Hotel,Deluxe,10/08/2025,13.08.2025,3,"₦218,543.46",,Walk-in,Partial,LAGOS,Nigerian ,no
HRS200069,Obinna Olawale,(484) 910-2562,Lagos Continental,Presidential,2025-04-06,2025-04-08,2,324628.17 naira,"NGN 649,256",walk-in,Pending Payment,Kaduna,Nigerian ,0
HRS200099,Bisi Ogundimu,0485 571 6176,Eko Hotel & Suites,standard,11.08.2024,08/12/2024,1,"NGN 330,993",330993.45 naira,Corporate,PAID,Kano,Ghanaian,yes
HRS200229,Ifeoma Ajayi,(104) 159-1497,Lagos Continental,Executive Room,19.04.2024,04/20/2024,1,Unknown,189102.24 naira,Online,Paid,Lagos State,Nigerian,yes
HRS200339,Kunle Ogundimu,234-666-754-858,Bon Hotel,Presidential,2025-02-27,28/02/2025,-1,330351.34,"330,351.34 ",Walk in,Partial,Rivers,Nigerian ,Yes
HRS200322,Femi Afolabi,+234914521182,Bon Hotel,Executive Room,09.09.2025,2025-09-10,1,204748.94,,Online,paid,kano,Nigerian,false
HRS200179,amaka okeke,0477 686 3423,Eko Hotel & Suites,Suite,01/22/2025,2025/01/23,-1,"305,147.54 ","N305,148",Walk in,Pending Payment,Rivers,American,yes
HRS200195,Halima Mohammed,234-252-967-188,Southern Sun,Twin Room,04-Jun-2025,2025-06-05,1,"304,110.94 ","304,110.94 ",Online,Partial,Abuja,nigerian,false
HRS200142,Chinedu Yusuf,97102481717,Eko Hotel & Suites,Twin Room,08.04.2024,2024-04-09,1,35850.21 naira,35850.21,Corporate,Pending Payment,Kano,Lebanese,yes
HRS200067,Obinna Okeke,234-542-340-163,Golden Tulip,Twin Room,2024/01/09,2024-01-10,1,"177,835.79 ",,Phone Booking,PAID,Abuja,nigerian,no
HRS200039,Zainab Suleiman,,Protea Hotel,Presidential,2024-12-25,2024-12-27,2,"₦330,598.53","₦661,197.06",Walk in,paid,Rivers,American,yes
HRS200346,Zainab Abubakar,0222 161 0705,Bon Hotel,Single,25/10/2025,27-Oct-2025,2,"NGN 258,206","₦516,412.52",ONLINE,Pending Payment,kano,Lebanese,true
HRS200314,Amara Yusuf,,Golden Tulip,Executive Room,23 June 2024,2024/06/25,2,38258.66 naira,"₦76,517.32",Walk in,PAID,Rivers State,American,0
