ClaimID,PolicyNumber,PolicyType,InsurerName,CustomerName,CustomerPhone,IncidentDate,ClaimDate,CauseOfClaim,PremiumPaid,ClaimAmount,PayoutAmount,ClaimStatus,State,PolicyActive
CLM-70301,POL626251,Motor,AXA Mansard,Kemi Okeke,+234414183285,19-Dec-2023,02/10/2024,Natural Disaster,"776,926.86 ","4,742,244.98 ","NGN 3,373,665",Settled,Akwa Ibom,1
CLM-70323,POL220783,marine,AIICO Insurance,Tunde Nwosu,(296) 670-6625,19-May-2024,26/06/2024,Flood,"NGN 901,169",2179155.4,"NGN 1,408,486",approved,Plateau,Yes
CLM-70150,POL840951,Fire & Property,Leadway Assurance,Adaeze Lawal,234-059-296-222,2022-12-09,22 January 2023,FIRE,"695,539.86 ",3627507.81 naira,0,Partially Approved,Enugu,false
CLM-70045,POL289630,Health,WAPIC Insurance,Ngozi Okonkwo,68044369957,21-Jun-2024,23.06.2024,accident,1199924.4,  ,null,Settled,Anambra,TRUE
CLM-70272,POL599250,Life,WAPIC Insurance,Segun Afolabi,47859696915,10/28/2024,25/11/2024,Medical Emergency,439566.61 naira,2432990.0,1931697.66 naira,Under Review,KANO,false
CLM-70044,POL723945,Life,WAPIC Insurance,Chioma Mohammed,64823662994,2024/07/08,19 August 2024,Theft,"NGN 276,035","₦1,762,107.52",NULL,Pending,Rivers,TRUE
CLM-70353,POL568894,Life,Leadway Assurance,Ibrahim Afolabi,09861622999,19-Apr-2024,07.05.2024,accident,"N196,346","₦579,589.76","NGN 437,568",Settled,Lagos,no
CLM-70295,POL238599,MOTOR,WAPIC Insurance,Grace Adeyemi,01965652341,03/09/2024,09.09.2024,Third Party Liability   ,695728.36,123165.26,94030.00 naira,Under Review,Lagos,yes
CLM-70381,POL372660,Fire & Burglary,WAPIC Insurance,Kunle Afolabi,05064890901,2024/10/17,2024/11/29,accident   ,"NGN 746,265","2,608,442.23 ","₦1,005,073.46",Pending,Kaduna,1
CLM-70029,POL592296,Life,Custodian Insurance,Ngozi Balogun,54353462475,25-Apr-2024,2024/06/22,accident    ,"N836,047",3617770.26,2368848.41 naira,Rejected,Cross River,true
CLM-70147,POL294969,MARINE,Custodian Insurance,Femi Okafor,+234546291486,N/A,2024-12-18,accident,"NGN 898,293","1,616,805.74 ",₦0.00,Settled,Abuja,Y
CLM-70285,POL336001,Health,NEM Insurance,WALE NNAMDI,46671168457,24 October 2024,01.12.2024,Theft,"₦100,181.87","N2,254,287",0,Partially Approved,Akwa Ibom,Yes
CLM-70298,POL244935,Fire & Property,Custodian Insurance,Kunle Olawale,(180) 552-6965,08 January 2024,30-Jan-2024,Theft,"N591,786",2130683.71,"NGN 881,984",Approved,Kano,Yes
CLM-70451,POL141686,MOTOR COMPREHENSIVE,WAPIC Insurance,tunde suleiman   ,(990) 881-1729,N/A,07/24/2024,accident,873236.54 naira,"₦4,854,909.57","N2,826,142",Partially Approved,Akwa Ibom,No
CLM-70034,POL539486,Life (Term),WAPIC Insurance,Zainab  Suleiman,0164 005 2427,07/04/2023,29/08/2023,Third Party Liability,"NGN 979,145","₦1,955,456.24",unknown,Rejected,Edo,N
CLM-70373,POL918941,Fire & Burglary,AXA Mansard,HALIMA CHUKWU,01684602235,2024/02/24,03/11/2024,FIRE,"₦1,342,165.39","NGN 597,473",-,Approved,Imo,FALSE
CLM-70349,POL411792,Health (Family),NEM Insurance,Tunde Nwosu,0687 937 4160,04-Jan-2024,01/24/2024,  Fire,803492.0,2553162.61 naira,"2,412,146.59 ",REJECTED,abuja,No
CLM-70268,POL775699,Life,NEM Insurance,Bisi Balogun,+234401051238,2023-09-03,18 September 2023,FIRE,1093815.06 naira,"4,759,855.66 ","₦58,724.18",REJECTED,Akwa Ibom,Y
CLM-70037,POL855855,Fire & Property,Custodian Insurance,Tunde Suleiman   ,234-869-232-260,2024/08/01,03/09/2024,Theft    ,548443.5,"2,537,644.35 ","N2,012,596",Partially Approved,Anambra,no
CLM-70318,POL152072,Marine,Custodian Insurance,Fatima Abubakar,,14.06.2024,10/08/2024,accident,1172129.45,"₦3,417,016.97","₦2,779,382.72",Rejected,Akwa Ibom,1
CLM-70244,POL230824,Health (Family),AIICO Insurance,YUSUF OKAFOR,(666) 870-0217,12.11.2024,11/19/2024,accident   ,651565.65,"N4,067,651",  ,Settled,Abuja,FALSE
CLM-70091,POL635593,Health,AXA Mansard,Obinna Ogundimu,09821465840,,15-Mar-2024,Third Party Liability,"954,841.23 ","N1,329,489",834298.16,Settled,kano,false
CLM-70255,POL594932,Health,Custodian Insurance,Amara Okafor,0622 444 7212,16-Oct-2023,03/11/2023,Third Party Liability,1484598.22 naira,3919978.71 naira,"₦1,590,564.62",Pending,Ogun,Y
CLM-70358,POL161795,fire & property,AXA Mansard,Bisi Nwosu,0000000000,2023-03-18,27.03.2023,FIRE,"N740,671","NGN 4,193,591",3521148.36 naira,Rejected,Imo,No
CLM-70279,POL890110,Life,Leadway Assurance,Zainab Eze,09788191485,14.05.2024,03/07/2024,Fire,"NGN 1,466,648",2453045.05,null,REJECTED,Anambra,Y
CLM-70289,POL746412,Life (Term),Custodian Insurance,Aliyu Okafor,+234632424154,16-Aug-2023,23 August 2023,Natural Disaster,"NGN 259,825","NGN 211,065","NGN 196,100",Approved,Rivers,true
CLM-70176,POL328182,Motor,Leadway Assurance,Adaeze Balogun,234-132-370-589,11 October 2024,12/02/2024,Third Party Liability,1083619.61,4102931.33,2646346.05,Partially Approved,Enugu,Y
CLM-70051,POL479742,Health,WAPIC Insurance,Emeka Chukwu,0727 743 4873,23 January 2023,2023-02-01,Natural Disaster,"₦1,531,388.03","₦3,396,882.58",nil,approved,Plateau,0
CLM-70099,POL714483,Health,Leadway Assurance,Zainab Bello,38692221969,2023/03/01,2023/04/24,FIRE,"NGN 959,173","N1,837,151",NGN 0,approved,Rivers,false
CLM-70437,POL442475,Marine,AXA Mansard,Chioma Okonkwo,(639) 427-8816,N/A,19/11/2023,Fire,"NGN 1,303,890",2759633.05,"NGN 1,783,629",Settled,Kaduna,No
CLM-70163,POL579770,Motor,NEM Insurance,Zainab Olawale,234-195-205-852,2023/07/25,29 July 2023,FIRE,"₦339,313.81",4774401.36 naira,"2,946,089.05 ",Under Review,Anambra,TRUE
CLM-70149,POL921533,Health,AXA Mansard,Adaeze Okeke,0573 322 1418,02 May 2023,21.06.2023,  Accident,515077.58,"₦615,854.97",5499.5,REJECTED,Cross River,0
CLM-70382,POL580501,Fire & Property,AXA Mansard,Funmilayo Balogun,00167618472,03/29/2023,26/05/2023,Flood,"NGN 456,447",2423303.2,NGN 0,pending,Edo,yes
CLM-70444,POL526772,Health (Family),AXA Mansard,Chidi Chukwu,32225913651,25-May-2023,17-Jun-2023,Third Party Liability   ,"₦1,194,017.38",1868935.95,272295.92 naira,Pending,Imo,Yes
CLM-70306,POL877039,Fire & Burglary,AIICO Insurance,GRACE ADEYEMI,0079 252 4191,2024-05-05,2024/06/02,FIRE,491518.69,4380171.55,"₦2,718,394.58",REJECTED,ABUJA,0
CLM-70392,POL918506,Health (Family),AIICO Insurance,Bola Suleiman,02771670145,11.09.2023,2023/10/17,Natural Disaster,-,"₦354,205.20",NGN 0,Partially Approved,Cross River,false
CLM-70297,POL793875,Health,AIICO Insurance,Wale Lawal,+234640376137,10/02/2024,14-Nov-2024,accident,"₦560,275.69","N4,091,461","NGN 425,195",Rejected,Kaduna,Y
CLM-70402,POL722838,Motor,Leadway Assurance,Chidi Ajayi,+234373516091,03/02/2023,18-Mar-2023,Theft  ,--,"₦3,347,238.45",unknown,Pending,Edo,yes
CLM-70320,POL178687,Life (Term),AXA Mansard,Adaeze Yusuf,(678) 831-7121,10/11/2024,12/05/2024,Theft ,118171.49 naira,"₦4,418,930.35",N0,pending,Ibadan,N
CLM-70344,POL680290,Motor,AXA Mansard,Funmilayo Adeyemi,invalid,20/08/2023,2023-08-27,  Theft,"NGN 1,186,916","NGN 937,592","412,830.24 ",Settled,Abuja,yes
CLM-70199,POL516869,Motor Comprehensive,Custodian Insurance,wale chukwu,26368970283,2024/05/14,08.06.2024,accident,370148.82 naira,?,"₦1,511,739.61",approved,Delta,TRUE
CLM-70123,POL815819,Fire & Burglary,AIICO Insurance,Blessing Okonkwo   ,234-711-116-152,07/22/2024,unknown date,  Theft ,"N1,335,749",998416.03 naira,"NGN 193,191",REJECTED,Anambra,N
CLM-70447,POL749338,Motor,WAPIC Insurance,Ibrahim Afolabi,invalid,2024-10-14,08.11.2024,Natural Disaster,"N43,759",2995853.1,unknown,Rejected,Delta,yes
CLM-70188,POL901351,MOTOR COMPREHENSIVE,AXA Mansard,Amaka Abubakar,07877470168,31.10.2024,25 November 2024,Natural Disaster   ,"₦600,517.02","₦4,879,749.28",null,Settled,Plateau,0
CLM-70046,POL681478,Fire & Burglary,AIICO Insurance,Obinna Chukwu,+234738721489,2023-04-24,15-Jun-2023,Accident,"₦379,463.47","NGN 3,031,224","₦158,168.67",REJECTED,Cross River,Y
CLM-70179,POL192742,Life,WAPIC Insurance,Ifeoma Ajayi,234-922-680-182,2024-04-30,23/06/2024,accident,"NGN 1,771,011","NGN 3,898,772","NGN 305,019",Pending,Lagos,FALSE
CLM-70228,POL255362,FIRE & PROPERTY,Leadway Assurance,Ibrahim Ogundimu,0687 056 8566,29.01.2024,03/22/2024,Flood,"NGN 1,136,255","₦3,954,257.45",0.00 naira,Settled,Akwa Ibom,0
CLM-70456,POL308865,Health (Family),NEM Insurance,Amara Afolabi   ,04869594636,,10 April 2024,FIRE,"N1,783,765","NGN 2,926,246",N0,Approved,ABUJA,false
CLM-70047,N/A,health,Leadway Assurance,Obinna Ogundimu,(134) 332-0037,22.01.2023,2023-02-09,  Theft,1653378.20 naira,"₦2,372,825.57","N1,800,598",Approved,Edo,TRUE
CLM-70210,POL499060,Motor Comprehensive,Custodian Insurance,Bisi Olawale,01527420549,25/08/2024,27/08/2024,FIRE,"N252,552",NIL,"₦1,077,256.89",REJECTED,Enugu,FALSE
CLM-70229,POL343170,Life (Term),NEM Insurance,TOBI LAWAL,46287334270,2023/10/23,10/25/2023,Medical Emergency,890306.31 naira,"N2,440,783",1492527.18,pending,Rivers,false
CLM-70018,Unknown,Health (Family),Leadway Assurance,Kemi Balogun,71331509839,,12/01/2023,Accident,"₦1,376,182.73",null,"₦1,587,351.93",Rejected,Cross River,Y
CLM-70452,POL272734,Motor Comprehensive,Leadway Assurance,Bola Okeke,0068 650 8637,unknown date,14/11/2024,Flood,"N1,547,676","744,105.03 ","₦355,450.34",Partially Approved,Imo,1
CLM-70427,POL791442,Health,NEM Insurance,Bisi Ogundimu,24508821009,2023/08/30,2023-09-27,FIRE,"NGN 1,793,173",1700838.78,0.00 naira,approved,Abuja,true
CLM-70219,POL299800,Marine,AXA Mansard,Emeka Abubakar,0087 406 4039,26 May 2024,22.06.2024,Medical Emergency,1397712.79,"₦4,642,858.66","NGN 2,294,264",pending,Imo,N
CLM-70249,POL108474,Health,AIICO Insurance,Ibrahim Chukwu   ,99650477358,25.06.2024,08/20/2024,accident,"NGN 985,530","N745,211","N449,608",Settled,Kaduna,Y
CLM-70262,POL514254,motor,AXA Mansard,FATIMA SULEIMAN   ,61797968868,2024/01/29,01/03/2024,Theft,216138.80 naira,1649164.5,312595.07,approved,Abuja,true
CLM-70020,POL912270,Marine,AXA Mansard,Kunle Suleiman,04738299737,16-Dec-2024,25-Dec-2024,Theft  ,"797,989.68 ","₦3,674,300.61",992363.91,REJECTED,Oyo,false
CLM-70445,POL992440,Motor Comprehensive,Leadway Assurance,Amaka Okonkwo,0777 392 6030,05 April 2024,02 June 2024,Theft,1550987.99,"N3,132,813",1692380.06 naira,REJECTED,Plateau,no
CLM-70422,POL268104,Health (Family),Leadway Assurance,Chioma Adekunle,38612075011,08-May-2024,03-Jul-2024,accident,"NGN 664,240","NGN 739,149",128872.94,Under Review,Kano,FALSE
CLM-70183,POL722999,Life,WAPIC Insurance,Bola Adeyemi,(396) 907-8447,2023/06/28,2023/08/13,Theft ,"₦527,852.21","NGN 981,536",₦0.00,pending,Imo,yes
CLM-70145,POL285636,Life (Term),NEM Insurance,Zainab Suleiman,234-554-665-905,02/28/2024,23-Apr-2024,Medical Emergency,"₦984,536.89","1,376,623.85 ","NGN 1,334,695",pending,Anambra,Yes
CLM-70339,POL695642,Fire & Property,AIICO Insurance,KUNLE SULEIMAN   ,+234267658617,08/21/2023,26-Aug-2023,Theft   ,"NGN 1,069,796",1151086.91,1022551.18,pending,Plateau,yes
CLM-70012,NULL,Marine,AIICO Insurance,Amaka Nwosu,66978480184,2022/12/17,09 February 2023,Third Party Liability   ,"₦860,474.79",N/A,"NGN 354,509",REJECTED,Enugu,FALSE
CLM-70115,POL110142,Health,AXA Mansard,Bisi  Adeyemi,+234529042284,02-Oct-2023,2023-10-25,Natural Disaster,n/a,"N1,577,281",n/a,Rejected,Enugu,FALSE
CLM-70354,POL609089,Motor,AXA Mansard,Adaeze Adekunle,+234914856467,02.11.2024,22 November 2024,Theft  ,754931.62,"4,048,972.11 ",-,Partially Approved,Abuja,TRUE
CLM-70144,POL880009,FIRE & BURGLARY,AIICO Insurance,Emeka Adekunle   ,05182037788,11 March 2024,2024/04/06,Natural Disaster,"N321,990","₦4,273,974.99",₦0.00,REJECTED,Akwa Ibom,no
CLM-70370,POL310141,Life,Leadway Assurance,  chinedu mohammed,234-824-172-482,N/A,13-Nov-2023,FIRE,"N1,384,336","4,011,418.33 ",663256.25,Rejected,Enugu,Y
CLM-70039,POL196214,Motor Comprehensive,AXA Mansard,grace okafor,+234543303654,27 December 2022,,Medical Emergency,1569006.30 naira,"NGN 2,840,279","NGN 402,964",Rejected,Oyo,FALSE
CLM-70003,POL944151,marine,NEM Insurance,Emeka Adeyemi,63794026542,2024/09/03,2024-10-17,Fire,"N1,013,586",NULL,"₦2,661,197.78",pending,Abuja,No
CLM-70277,POL812449,Life,AXA Mansard,Chioma Afolabi,06887676772,21 November 2023,06 January 2024,Natural Disaster,"₦1,544,650.80","NGN 527,700","N452,994",Pending,Edo,false
CLM-70133,POL791691,Health (Family),Custodian Insurance,Yusuf Ajayi,0244 510 7622,10/06/2023,not set,FIRE,"₦1,498,895.35",3012176.8,2471350.03 naira,Rejected,abuja,FALSE
CLM-70177,POL215027,Fire & Property,Custodian Insurance,Femi Chukwu,234-829-114-678,10-Feb-2023,05 March 2023,Flood,"NGN 1,624,409",4840139.59,0,Pending,Lagos,Y
CLM-70287,POL133141,Motor Comprehensive,WAPIC Insurance,Aliyu Olawale,0637 454 5892,15.12.2024,12/27/2024,Third Party Liability,221431.52,1438800.83,₦0.00,Rejected,Cross River,Yes
CLM-70097,--,Motor Comprehensive,Custodian Insurance,Grace Suleiman,(091) 343-1611,20-Sep-2023,14/10/2023,Third Party Liability   ,"NGN 268,594","1,013,299.88 ","NGN 532,807",Under Review,rivers,yes
CLM-70337,POL133842,motor,AIICO Insurance,Grace Okafor,+234513552157,30.05.2024,13 July 2024,Accident   ,1607959.87,2922207.11,"₦2,878,180.93",Approved,ABUJA,N
CLM-70041,POL519902,Marine,WAPIC Insurance,aliyu okeke,234-019-655-698,10.10.2024,12/07/2024,  Flood,"₦667,288.53",2194824.66,  ,pending,Delta,FALSE
CLM-70087,-,Life (Term),WAPIC Insurance,TOBI OGUNDIMU,234-385-977-034,20.12.2022,02.01.2023,Fire,"N871,332","N680,845",NGN 0,Under Review,Edo,false
CLM-70293,POL780154,Motor Comprehensive,AXA Mansard,Tunde Okafor,234-262-218-909,2023/01/12,22.02.2023,Third Party Liability,1764542.0,4947890.62,₦0.00,Settled,Edo,yes
CLM-70166,POL752801,Marine,Custodian Insurance,Fatima Okafor,0000000000,14 March 2024,01-Apr-2024,Natural  Disaster,  ,"N605,419",₦0.00,Pending,Lagos,Yes
