RecordID,FarmerName,FarmerPhone,ProduceName,Quantity,Unit,PricePerUnit,TotalValue,Market,SaleDate,ProduceGrade,StorageFacility,State,TransportMode,Certified_Organic
AGR500229,Bisi Olawale,0687 304 5195,Cassava,2766.0,Crates,"N26,288","₦72,713,825.04",Ariaria Market Aba,2024/04/29,Premium,Warehouse,Kano,Motorcycle,true
AGR500197,emeka adeyemi,(485) 953-2593,Rice (Local),891.43,crates,"N84,870","N75,655,940",Ariaria Market Aba,2024/02/04,Grade B,COLD ROOM,Akwa Ibom,Bicycle,TRUE
AGR500199,Bola Nwosu,,Onions,1000.55,Crates,24012.77 naira,"₦24,025,977.02",Dawanau Market Kano,05/07/2024,A,,Imo,Bicycle,no
AGR500393,Kemi Nwosu,02308981388,Sorghum,4873.59,KG,"₦31,600.28",154006808.61 naira,Bodija Market Ibadan,10/03/2025,n/a,COLD ROOM,Abuja,Van,Y
AGR500334,Emeka Balogun,234-704-506-917,Cassava,3256.22,kg ,"NGN 3,049",9927400.72 naira,Ariaria Market Aba,08-Jan-2025,GRADE B,Open Air,Anambra,Van,true
AGR500111,CHIOMA LAWAL,(153) 703-8240,Onions,4366.9,kg,"₦30,000.18","₦131,007,786.04",Ariaria Market Aba,2024-02-23,B,warehouse,Anambra,Motorcycle,yes
AGR500236,Grace Balogun,234-863-956-137,Beans,3937.7,tonnes,"N19,923","N78,450,443",Mile 12 Market Lagos,04/24/2024,Premium,N/A,Rivers,TRUCK,TRUE
AGR500003,Blessing Ajayi,(988) 305-9736,Sorghum,2119.82,Tonnes,82379.77 naira,174630284.04140002,Dawanau Market Kano,02/11/2024,B,COLD ROOM,Plateau,Van,FALSE
AGR500155,Emeka Nwosu,+234577278532,Cassava,49.1,kg,13652.81,"N670,353",Bodija Market Ibadan,2024-08-03,null,Open Air,Cross River,truck,1
AGR500445,Grace Abubakar,0826 958 2641,Onions,1610.68,tonnes,"N51,809",83447397.98400001,Mile 12 Market Lagos,00/00/0000,A,COLD ROOM,Rivers State,Motorcycle,yes
AGR500286,Tobi Nwosu   ,39898306503,Yam,1813.38,kg,82000.34 naira,148697776.5492,Mile 12 Market Lagos,2024/12/18,GRADE B,N/A,Akwa Ibom,Motorcycle,Yes
AGR500435,Segun Abubakar,234-591-015-709,Rice (Local),4063.83,KG,82048.45,"N333,430,953",Oyingbo Market Lagos,23.03.2025,Grade C,COLD ROOM,Enugu,Motorcycle,Yes
AGR500406,BLESSING OKONKWO,0950 982 2104,Pepper,245.02,tonnes,35246.17,,Mile 12 Market Lagos,2024-08-25,Grade A,COLD ROOM,Enugu,TRUCK,No
AGR500010,emeka nnamdi   ,(577) 029-9295,Rice (Local),2755.25,Tonnes,"NGN 1,516","4,177,620.26 ",Bodija Market Ibadan,2024-03-10,,N/A,Kaduna,TRUCK,no
AGR500281,Emeka Nwosu,05078967935,Rice (Local),4009.52,KG,"N15,311","61,389,881.01 ",Mile 12 Market Lagos,2025/02/01,Standard,N/A,FCT,truck,Yes
AGR500302,Tobi Okonkwo,(887) 071-5534,Sorghum,unknown,kg,"₦2,369.03","NGN 6,408,060",Bodija Market Ibadan,2025/05/20,grade a,N/A,Rivers,truck,Y
AGR500191,Wale Nnamdi,(724) 530-7624,Beans,1561.74,Crates,40138.21,"N62,685,448",Mile 12 Market Lagos,04/06/2025,Reject,Cold Room,Imo,Bicycle,yes
AGR500228,Ifeoma Eze,invalid,Sorghum,96.72,KG,"NGN 1,573","₦152,170.54",Ariaria Market Aba,16/05/2025,B,warehouse,Cross River,Van,0
AGR500136,Wale Nnamdi,+234408031499,Pepper,2091.52,KG,"₦72,100.77","150,800,202.47 ",Mile 12 Market Lagos,2024-09-19,Standard,Cold Room,Cross River,TRUCK,0
AGR500241,femi ogundimu,0070 755 0476,Beans,1015.71,tonnes,"35,975.51 ",36540685.26 naira,Ariaria Market Aba,00/00/0000,A,N/A,Edo,Bicycle,true
AGR500445,Grace Abubakar,0826 958 2641,Onions,1610.68,tonnes,"N51,809",83447397.98400001,Mile 12 Market Lagos,00/00/0000,A,COLD ROOM,Rivers State,Motorcycle,yes
AGR500004,Tunde Ajayi,0248 096 2440,Sorghum,3000.05,Bags,-,"228,672,631.15 ",Oyingbo Market Lagos,2025/01/18,A,warehouse,Imo,Truck,Yes
AGR500201,YUSUF SULEIMAN   ,59782457598,Plantain,4430.38,Tonnes,"₦28,038.21",124219924.8198,Bodija Market Ibadan,2025-03-23,Grade A,N/A,Anambra,Motorcycle,TRUE
AGR500418,Grace Mohammed,18093391373,Maize (Corn),2499.12,Bags,"NGN 48,559",121353643.48 naira,Bodija Market Ibadan,2024/06/28,A,N/A,Ogun,truck,N
AGR500242,Aliyu Chukwu,16995706071,Yam,3532.43,tonnes,NIL,"NGN 123,442,533",Dawanau Market Kano,20/02/2024,Standard,Open Air,Kaduna,Van,0
AGR500208,musa yusuf,05990802711,Palm Oil,3136.48,Tonnes,58516.06,"NGN 183,534,452",Mile 12 Market Lagos,27/01/2025,Grade A,Warehouse,Ogun,TRUCK,Y
AGR500127,Ifeoma Okonkwo,+234409951239,Groundnut,1046.96,KG,"N41,201","NGN 43,136,019",Bodija Market Ibadan,N/A,Premium,Open Air,Edo,Truck,0
AGR500439,Musa Okafor   ,234-693-259-140,Plantain,726.25,Crates,"₦27,346.46",19860366.575,Dawanau Market Kano,08/03/2024,Premium,N/A,Ogun,Truck,yes
AGR500391,Funmilayo Abubakar,46871912038,Rice (Local),1326.56,Bags,51432.42,"N68,228,191",Dawanau Market Kano,2024/02/27,Grade B,Open Air,Enugu,Motorcycle,no
AGR500411,Wale Okonkwo,31441706462,Beans,1259.23,crates,3427.37 naira,"N4,315,847",Oyingbo Market Lagos,04/22/2024,Grade B,Warehouse,Edo,Van,No
AGR500360,Segun Adekunle,+234937830639,Yam,904.95,bags,"NGN 45,100",-,Mile 12 Market Lagos,2024-09-14,A,Open Air,Lagos,truck,no
AGR500348,BLESSING BELLO   ,(309) 505-5605,Tomatoes,3498.84,KG,"N50,881","178,024,757.95 ",Mile 12 Market Lagos,2024-02-13,Reject,N/A,Abuja,Van,1
AGR500276,Tunde Bello,234-532-638-902,Onions,750.35,KG,72944.11 naira,,Mile 12 Market Lagos,28/08/2024,GRADE B,N/A,kano,truck,TRUE
AGR500056,Segun Nnamdi,(344) 902-1666,Cassava,2836.13,crates,"₦70,540.11","NGN 200,060,922",Ariaria Market Aba,00/00/0000,Premium,Warehouse,Ogun,Bicycle,0
AGR500297,ADAEZE ABUBAKAR,31954196664,Rice (Local),3151.85,Crates,"NGN 66,915","₦210,906,105.79",Dawanau Market Kano,2024-06-07,Grade B,COLD ROOM,lagos,Van,false
AGR500238,  halima nnamdi,+234813000413,Maize (Corn),2074.05,Crates,"N58,883","N122,126,141",Dawanau Market Kano,13 September 2024,A,Cold Room,Cross River,truck,Y
AGR500226,Bisi Eze,N/A,Tomatoes,729.83,Tonnes,29597.69,"N21,601,282",Oyingbo Market Lagos,08/12/2024,Reject,COLD ROOM,Lagos,Motorcycle,TRUE
AGR500192,Chinedu Eze,+234337976627,Rice (Local),4073.72,bags,"₦50,389.61",205273162.05 naira,Oyingbo Market Lagos,2024-12-29,Grade A,COLD ROOM,Rivers,Van,yes
AGR500221,Ibrahim  Olawale,09277894319,Yam,3434.28,kg,49682.66,170624165.58 naira,Dawanau Market Kano,2025-03-24,Grade C,N/A,Rivers,Motorcycle,1
AGR500365,Tobi Okafor,+234061537221,Palm Oil,581.25,kg ,NULL,"NGN 9,782,920",Dawanau Market Kano,06-Oct-2024,grade a,Warehouse,Edo,Bicycle,Yes
AGR500385,Tobi Nnamdi,(333) 247-0739,Plantain,79.91,Tonnes,84714.21,"6,769,512.52 ",Oyingbo Market Lagos,00/00/0000,Grade A,warehouse,Kano,Motorcycle,Yes
AGR500017,SADIQ ABUBAKAR,234-199-605-932,Sorghum,3430.26,Bags,"N61,951","NGN 212,507,934",Oyingbo Market Lagos,06/20/2025,null,N/A,Enugu,Bicycle,1
AGR500133,Fatima  Ogundimu,01815899886,Tomatoes,932.58,KG,"N9,259","₦8,634,525.08",Oyingbo Market Lagos,03/31/2025,Grade C,N/A,Imo,Bicycle,Yes
AGR500187,Segun Ogundimu,(757) 574-7583,Palm Oil,2102.07,KG,"₦54,782.65",,Mile 12 Market Lagos,2025-02-08,nil,,Plateau,Motorcycle,N
AGR500357,Halima Ajayi,11901707568,Tomatoes,1896.69,kg ,"NGN 75,888","N143,935,119",Oyingbo Market Lagos,2024-11-20,Grade A,Warehouse,Plateau,Bicycle,true
AGR500342,Ngozi Bello,0210 314 2175,Cassava,1496.29,kg ,"N28,451","42,570,348.27 ",Dawanau Market Kano,15/02/2024,Grade A,,Rivers,TRUCK,Y
AGR500368,Kunle Adekunle,234-007-843-614,Beans,1596.42,kg ,23341.77,"N37,263,268",Oyingbo Market Lagos,29/06/2024,Standard,warehouse,Kano,Bicycle,true
AGR500019,Bisi Mohammed,N/A,Plantain,4388.76,Tonnes,N/A,72667157.03 naira,Bodija Market Ibadan,13 May 2024,grade a,,Kaduna,Van,yes
AGR500212,Kunle Okafor,00370033228,Maize (Corn),370.11,crates,"₦45,101.16","16,692,390.33 ",Mile 12 Market Lagos,04/03/2025,Premium,warehouse,Abuja,truck,No
AGR500203,Wale Balogun,234-660-443-240,Groundnut,688.06,Bags,"₦12,634.66",8693404.159599999,Bodija Market Ibadan,26.07.2024,Grade B,,Oyo,Van,0
AGR500296,   YUSUF AFOLABI,(996) 486-2872,Cassava,2755.18,kg,"N33,018",,Dawanau Market Kano,05-Mar-2025,Standard,warehouse,Akwa Ibom,truck,false
AGR500161,Chidi Suleiman,03358268627,Onions,1120.63,bags,"₦2,553.06","2,861,035.63 ",Oyingbo Market Lagos,2025-05-25,Grade B,Warehouse,Delta,truck,true
AGR500176,Sadiq Olawale,+234548374417,Palm Oil,4665.46,bags,"₦46,119.55","N215,168,916",Mile 12 Market Lagos,2024-10-02,  ,COLD ROOM,FCT,Van,TRUE
AGR500301,WALE SULEIMAN,234-505-766-194,Sorghum,488.43,Tonnes,28241.24,"NGN 13,793,869",Mile 12 Market Lagos,09/26/2024,GRADE B,,Anambra,Van,no
AGR500344,Fatima Eze,+234263840911,Palm Oil,425.39,tonnes,59195.0,"25,180,961.05 ",Ariaria Market Aba,12/08/2024,Grade B,Open Air,Ogun,Bicycle,false
AGR500024,Bisi Adeyemi,24912565237,Sorghum,1292.47,Tonnes,"NGN 41,235",53294922.90180001,Oyingbo Market Lagos,19/05/2024,Grade B,warehouse,Delta,TRUCK,0
AGR500195,Musa Okonkwo,(192) 845-5259,Yam,4998.29,kg ,--,299551468.35 naira,Dawanau Market Kano,15/03/2024,GRADE B,warehouse,Akwa Ibom,TRUCK,1
AGR500423,Ifeoma Balogun,16093659520,Plantain,3478.35,Bags,"NGN 72,978",253841426.25899997,Mile 12 Market Lagos,14 December 2024,GRADE B,warehouse,Ogun,Van,1
AGR500016,Tunde Afolabi,0966 630 9329,n/a,4807.54,bags,"₦66,231.99","NGN 318,412,941",Ariaria Market Aba,11.03.2024,GRADE B,Open Air,Anambra,Truck,Y
AGR500152,Blessing Nwosu,+234925502130,Beans,2863.01,Bags,"₦78,017.99","₦223,366,285.55",Mile 12 Market Lagos,09/28/2024,GRADE B,warehouse,Abuja,Motorcycle,0
AGR500083,Funmilayo Ogundimu,234-673-794-871,Yam,3458.58,Bags,"₦10,730.92",,Mile 12 Market Lagos,unknown date,GRADE B,,Cross River,Motorcycle,true
AGR500274,Chidi Bello,+234001594463,Maize (Corn),3056.02,kg ,82498.58 naira,252117310.45 naira,Mile 12 Market Lagos,14 March 2024,A,warehouse,Kaduna,Van,no
AGR500219,Chioma Ogundimu,09457039438,Palm Oil,608.72,kg ,"N83,574","N50,873,196",Oyingbo Market Lagos,2024-06-14,A,N/A,Enugu,Bicycle,1
AGR500442,Wale Adeyemi,0617 607 2348,Cassava,1430.68,crates,"58,574.25 ",,Oyingbo Market Lagos,27.08.2024,GRADE B,warehouse,Edo,Motorcycle,FALSE
AGR500371,Ngozi Adekunle,(720) 376-3882,Onions,  ,Crates,"₦82,773.91","₦192,662,069.70",Dawanau Market Kano,04 July 2024,grade a,Open Air,Kaduna,Van,TRUE
AGR500419,Yusuf Nnamdi,0265 306 0119,Maize (Corn),3762.5,kg,"N3,016",11348941.625,Oyingbo Market Lagos,2025/04/27,Grade A,COLD ROOM,KANO,Motorcycle,0
AGR500350,Femi Afolabi,0885 190 5348,Plantain,303.85,tonnes,36370.29,"₦11,051,112.62",Dawanau Market Kano,2024/10/25,Premium,COLD ROOM,Imo,Motorcycle,0
AGR500225,Ifeoma Adeyemi,07201137984,Beans,4084.81,KG,"NGN 32,814",134039077.8843,Bodija Market Ibadan,04/12/2024,Reject,Open Air,Anambra,Van,No
AGR500248,Chioma Okafor,234-730-626-042,Palm Oil,976.46,Crates,7199.7,,Mile 12 Market Lagos,01/22/2025,GRADE B,warehouse,Kaduna,Van,no
AGR500330,Yusuf  Abubakar,234-752-023-897,Palm Oil,4045.02,Crates,"NGN 40,806",165063068.1798,Bodija Market Ibadan,18/08/2024,B,N/A,Kaduna,TRUCK,1
AGR500116,Zainab Adekunle,(878) 519-3583,Sorghum,3588.03,KG,"₦83,236.74",,Dawanau Market Kano,04.04.2024,Standard,warehouse,Kano,truck,Y
AGR500095,Kemi Okafor,(197) 374-1897,NIL,3110.68,Bags,"₦47,567.25",N/A,Oyingbo Market Lagos,2025/04/03,Grade C,COLD ROOM,lagos,TRUCK,FALSE
AGR500130,Funmilayo Okonkwo,15298217392,Plantain,1892.0,Tonnes,"₦52,926.23",,Mile 12 Market Lagos,2025/01/25,Grade A,Cold Room,Ogun,Truck,Y
AGR500299,Emeka Chukwu,+234463203747,Yam,274.55,Tonnes,"12,397.23 ",,Ariaria Market Aba,23 August 2024,Grade A,COLD ROOM,Delta,Bicycle,N
AGR500102,Tunde Nwosu,66057798066,Rice (Local),4794.36,kg,17831.11 naira,"85,488,760.54 ",Bodija Market Ibadan,2024-06-22,Grade B,Cold Room,Imo,Van,TRUE
AGR500456,Bola Suleiman,234-688-413-337,Yam,657.45,tonnes,1092.71 naira,,Oyingbo Market Lagos,15/02/2024,Grade A,Cold Room,Oyo,Bicycle,FALSE
AGR500268,Amara Okafor,234-339-527-536,Cassava,85.31,tonnes,72491.65,"NGN 6,184,263",Mile 12 Market Lagos,2024/07/12,grade a,Warehouse,Plateau,Bicycle,false
AGR500332,Ngozi Afolabi,17833258486,Sorghum,2058.29,KG,55707.54,"NGN 114,662,273",Mile 12 Market Lagos,14-Mar-2024,B,Warehouse,Akwa Ibom,Bicycle,N
AGR500164,Funmilayo Suleiman,+234111000515,Palm Oil,3323.3,kg,NIL,"N86,103,479",Mile 12 Market Lagos,26/09/2024,Grade B,,oyo,Van,false
AGR500441,Tunde Afolabi,234-698-069-087,Beans,698.01,kg,"NGN 8,037","N5,609,927",Dawanau Market Kano,12/02/2024,Premium,N/A,Imo,TRUCK,N
AGR500172,Musa Lawal,54384807520,Groundnut,1238.03,crates,"N82,144","N101,696,452",Oyingbo Market Lagos,17-May-2024,B,Cold Room,Oyo,Van,0
AGR500422,Bola Balogun,+234803657744,Plantain,2036.46,tonnes,63357.09,129024179.5014,Oyingbo Market Lagos,05-May-2025,grade a,,Lagos,Motorcycle,1
AGR500057,Ibrahim Eze,08085096085,Cassava,3677.72,Crates,64162.64 naira,"NGN 235,972,224",Mile 12 Market Lagos,11/30/2024,grade a,,Plateau,truck,true
AGR500306,Ifeoma Chukwu,0981 265 7422,Tomatoes,1587.0,crates,73841.27,-,Dawanau Market Kano,03 May 2025,GRADE B,warehouse,Imo,truck,no
AGR500097,Ifeoma  Suleiman,0743 811 9953,Yam,2307.15,tonnes,49726.99 naira,114727624.9785,Ariaria Market Aba,05/22/2024,Premium,Warehouse,abuja,Van,true
AGR500455,Amara Ajayi,(817) 760-2991,Cassava,1664.17,Bags,"NGN 73,482",122287255.5331,Oyingbo Market Lagos,10/27/2024,Grade C,warehouse,Edo,TRUCK,no
AGR500188,Bisi Okonkwo,234-205-677-567,Cassava,282.03,Crates,"NGN 66,699","₦18,811,144.35",Bodija Market Ibadan,12.03.2025,B,COLD ROOM,Lagos,TRUCK,TRUE
AGR500320,Adaeze Chukwu,+234102451091,Onions,2654.08,Tonnes,"₦33,416.85",88690993.248,Bodija Market Ibadan,13-Feb-2024,Grade A,Warehouse,Lagos State,Bicycle,Yes
AGR500013,Ngozi Afolabi,+234865369455,Pepper,1393.39,KG,32331.74,,Oyingbo Market Lagos,23/11/2024,Grade B,N/A,Fct Abuja,Truck,FALSE
AGR500154,Segun Adeyemi,00796496737,Onions,1870.43,tonnes,36050.24,"₦67,429,450.40",Ariaria Market Aba,30 April 2024,Premium,,KANO,Truck,Y
AGR500282,Chioma Olawale,0196 263 3556,Onions,1529.7,Crates,"₦74,838.19","₦114,479,979.24",Oyingbo Market Lagos,02/03/2024,Premium,warehouse,Kano,Motorcycle,No
AGR500029,Chidi  Ogundimu,+234394290458,Maize (Corn),3524.27,crates,5962.35 naira,21012931.234500002,Dawanau Market Kano,09 December 2024,Reject,N/A,Delta,truck,No
AGR500027,Segun Nnamdi,0403 595 4429,Palm Oil,4502.08,tonnes,"N53,385","NGN 240,342,145",Bodija Market Ibadan,09/09/2024,Grade C,Warehouse,Ibadan,TRUCK,true
AGR500292,wale adekunle,02480880622,Maize (Corn),3189.66,tonnes,"NGN 74,327",237077252.7846,Dawanau Market Kano,10/05/2024,  ,,Ogun,TRUCK,No
AGR500063,Amara Nnamdi,0923 234 2108,Rice (Local),1061.68,bags,"NGN 42,565",,Oyingbo Market Lagos,15 January 2024,Grade B,COLD ROOM,Abuja,Van,yes
AGR500109,Sadiq Nwosu,0826 913 1196,Palm Oil,2388.66,KG,"NGN 69,173",NIL,Oyingbo Market Lagos,24.01.2024,Premium,Open Air,Lagos,Bicycle,Yes
AGR500081,MUSA OKEKE   ,+234529060320,Sorghum,2504.01,Tonnes,"₦39,773.38","NGN 99,592,941",Dawanau Market Kano,02 February 2024,GRADE B,Cold Room,Lagos State,Truck,No
AGR500366,Bisi Okeke,+234668473236,Cassava,?,KG,49860.35 naira,--,Dawanau Market Kano,2025/06/06,A,,Plateau,Truck,No
AGR500403,Funmilayo Ogundimu,08266913624,Cassava,3957.79,kg,23930.64 naira,"₦94,712,447.69",Dawanau Market Kano,2024-12-26,grade a,Cold Room,lagos,Truck,yes
AGR500211,Bola Nnamdi,0137 214 3308,Onions,891.12,tonnes,"₦47,424.88","NGN 42,261,259",Oyingbo Market Lagos,2024-02-03,,Open Air,Edo,Motorcycle,No
AGR500183,Funmilayo Abubakar,0113 253 2694,Pepper,4555.03,Crates,"NGN 57,649",262594746.482,Dawanau Market Kano,2025-05-02,B,Warehouse,Cross River,Truck,FALSE
AGR500129,Ifeoma Nnamdi,(282) 709-0814,Rice (Local),2950.03,Tonnes,Unknown,"NGN 61,449,302",Oyingbo Market Lagos,06 June 2025,,warehouse,Enugu,TRUCK,Y
AGR500392,Obinna Okonkwo,01876920828,Rice (Local),2464.26,Bags,"N7,749",19095008.6028,Oyingbo Market Lagos,28.05.2025,Grade B,Warehouse,Abuja,truck,no
AGR500325,Chioma Balogun,N/A,unknown,,kg ,"NGN 79,418","NGN 182,445,291",Bodija Market Ibadan,08/08/2024,Grade B,Warehouse,Enugu,Van,false
AGR500166,Fatima Lawal,234-244-182-226,Groundnut,2777.66,kg ,"₦47,782.85","NGN 132,724,511",Ariaria Market Aba,,Grade C,warehouse,Akwa Ibom,Bicycle,1
AGR500275,TUNDE ABUBAKAR   ,03999485320,Maize (Corn),4943.35,kg,"₦60,262.51","NGN 297,898,679",Ariaria Market Aba,2024/09/10,B,Cold Room,Anambra,Van,Yes
AGR500431,Yusuf Ajayi,31234550688,Maize (Corn),4271.7,Tonnes,"NGN 23,556",nil,Mile 12 Market Lagos,03/16/2025,grade a,Cold Room,Delta,Bicycle,no
AGR500087,Bola Okeke,0000000000,Rice (Local),381.03,Bags,"N63,121",24050838.41 naira,Mile 12 Market Lagos,27/09/2024,Grade B,,Abuja,Van,No
AGR500347,Femi Abubakar   ,03787655300,Tomatoes,1705.4,Bags,78363.2,"₦133,640,601.28",Oyingbo Market Lagos,24.02.2024,Grade B,Warehouse,kano,Truck,no
AGR500426,TUNDE OGUNDIMU,234-239-982-137,NIL,4584.63,crates,22248.07 naira,,Dawanau Market Kano,2024-07-27,Grade B,Warehouse,Edo,Van,false
AGR500223,Tobi Balogun,invalid,Maize (Corn),1821.4,Bags,"NGN 28,860",,Ariaria Market Aba,26-Jul-2024,nil,COLD ROOM,Oyo,truck,No
AGR500414,Tobi Bello,09880315388,Pepper,3662.92,Bags,"₦15,367.06",56288311.4152,Ariaria Market Aba,09 July 2024,Grade B,Warehouse,Rivers,Motorcycle,FALSE
AGR500434,Ifeoma Ogundimu,(354) 378-8260,Groundnut,1830.17,crates,"₦49,421.23","N90,449,253",Dawanau Market Kano,2025/04/19,GRADE B,warehouse,Rivers,Truck,No
AGR500433,Musa Chukwu,(844) 013-4808,Onions,454.17,bags,?,5198057.40 naira,Bodija Market Ibadan,04.03.2024,B,Warehouse,Anambra,TRUCK,true
AGR500165,Fatima Nwosu,(323) 415-9597,Cassava,2789.92,kg ,"₦57,192.71",Unknown,Ariaria Market Aba,22-Jun-2025,GRADE B,Cold Room,kano,Van,yes
AGR500351,Femi Adeyemi,+234010424624,Tomatoes,2595.42,kg,"₦14,930.93","₦38,752,034.34",Mile 12 Market Lagos,14.04.2025,A,Cold Room,Akwa Ibom,Van,Yes
AGR500341,Zainab Eze,63251448811,Groundnut,2530.29,crates,14420.60 naira,36488299.974,Dawanau Market Kano,07.04.2025,B,,Kaduna,Bicycle,true
AGR500188,Bisi Okonkwo,234-205-677-567,Cassava,282.03,Crates,"NGN 66,699","₦18,811,144.35",Bodija Market Ibadan,12.03.2025,B,COLD ROOM,Lagos,TRUCK,TRUE
AGR500114,Grace Adeyemi,+234696454655,Groundnut,1942.52,Crates,16444.39 naira,,Dawanau Market Kano,13-Apr-2024,Grade B,Warehouse,Imo,Bicycle,yes
AGR500012,Zainab Chukwu,+234116331942,Palm Oil,323.91,KG,"7,884.67 ","N2,553,923",Mile 12 Market Lagos,02-Apr-2025,GRADE B,Cold Room,Kano,Van,No
AGR500240,Emeka Adeyemi,(565) 346-9979,  ,4000.85,kg ,57286.40 naira,"NGN 229,194,293",Mile 12 Market Lagos,12 June 2024,Grade A,warehouse,Abuja,Motorcycle,Yes
AGR500117,Obinna Suleiman,0490 797 7961,Groundnut,3746.39,Crates,,"NGN 179,263,151",Bodija Market Ibadan,30 May 2025,Grade B,warehouse,ABUJA,truck,0
AGR500182,Fatima Eze,N/A,Groundnut,276.5,kg ,NIL,"N15,317,185",Bodija Market Ibadan,07-Mar-2025,B,,Enugu,Motorcycle,Y
AGR500437,OBINNA ADEKUNLE,49269996996,Onions,4549.8,kg,"NGN 46,996",213821354.35 naira,Ariaria Market Aba,04.01.2025,unknown,,Edo,Van,FALSE
AGR500395,Emeka Ogundimu,67323182971,-,4165.86,crates,16125.21,  ,Bodija Market Ibadan,2024/10/15,B,warehouse,Ogun,TRUCK,0
AGR500177,Adaeze Lawal,58102131251,Beans,2922.28,tonnes,"₦65,329.65",190911529.60200003,Bodija Market Ibadan,2025-04-11,Premium,,Delta,truck,TRUE
AGR500280,chioma ogundimu,234-960-843-768,Rice (Local),4244.8,kg ,NGN 681,"₦2,891,685.10",Ariaria Market Aba,06/06/2024,nil,Warehouse,Anambra,Motorcycle,No
AGR500322,Amaka Eze,+234194217942,Tomatoes,4134.81,bags,"72,542.72 ","₦299,950,364.08",Mile 12 Market Lagos,04/25/2025,Standard,Open Air,Akwa Ibom,Motorcycle,N
AGR500170,Bisi  Afolabi,+234512294621,Cassava,1557.46,KG,"₦49,113.56","₦76,492,405.16",Oyingbo Market Lagos,09 November 2024,grade a,,Imo,truck,TRUE
AGR500285,Zainab Adeyemi,01645345472,Onions,3385.0,bags,"N1,934",6546014.55,Bodija Market Ibadan,27/12/2024,B,warehouse,Port Harcourt,Truck,false
AGR500376,Tobi Yusuf,(999) 516-7933,Beans,--,tonnes,35935.64,"78,108,629.03 ",Bodija Market Ibadan,2024/11/03,Grade A,N/A,Cross River,Truck,yes
AGR500162,ZAINAB BALOGUN,+234369249269,Yam,1182.33,KG,NULL,73922582.12 naira,Oyingbo Market Lagos,07/24/2024,Grade A,,Ogun,Van,1
AGR500053,ibrahim bello   ,05622949381,Palm Oil,747.1,Tonnes,"44,169.07 ",null,Dawanau Market Kano,2024/12/19,Reject,,Anambra,Van,true
AGR500218,Grace  Okonkwo,03210613394,Sorghum,3595.62,bags,"N25,043","N90,046,334",Ariaria Market Aba,21.10.2024,unknown,,Kaduna,Truck,0
AGR500186,Kunle Bello,07015959194,Pepper,4756.81,kg,7021.04,33397753.2824,Mile 12 Market Lagos,21-Feb-2025,grade a,warehouse,Plateau,Bicycle,0
AGR500405,Halima Mohammed,N/A,Sorghum,1355.61,kg ,"NGN 37,491","₦50,823,486.30",Bodija Market Ibadan,06/07/2024,Grade A,N/A,Abuja,truck,0
AGR500030,Kunle  Mohammed   ,+234792529858,Sorghum,2398.67,kg ,"N53,485","NGN 128,293,417",Dawanau Market Kano,06 June 2024,?,,Cross River,Truck,FALSE
AGR500220,Kunle Okonkwo,04032537657,Beans,4400.01,Bags,"NGN 74,048",325813348.4832001,Mile 12 Market Lagos,26.05.2025,Grade C,N/A,Akwa Ibom,TRUCK,0
AGR500295,Kemi Eze,234-876-886-878,Maize (Corn),841.21,crates,"N54,176",45572997.59 naira,Dawanau Market Kano,16-Feb-2025,grade a,Open Air,Anambra,Truck,Y
