StaffID,FullName,Ministry,GradeLevel,DateOfBirth,AppointmentDate,BasicSalary,HousingAllowance,TransportAllowance,TotalAllowances,Deductions,NetPay,BankAccountNo,State,PayStatus
MDG300282,Amara Abubakar,Min. Health,GL-7,1991/09/17,01/06/2005,"N727,407",181851.81 naira,"NGN 72,741",189528.18,"₦78,016.19","N838,919",7106627687,Imo,PAID
MDG300011,Ifeoma  Okafor,Ministry of Health,GL-7,19/07/1973,02/19/2007,"NGN 682,550","NGN 170,637","N68,255","₦492,170.70","NGN 121,580",1053140.66,9408658470,Ogun,PAID
MDG300425,Kemi Mohammed,MINISTRY OF EDUCATION,GL-13,13 May 1975,28 August 2021,"₦64,912.95","₦16,228.24",6491.30 naira,"NGN 38,537","N13,286","₦90,163.50",4207029444,Rivers,paid 
MDG300279,Tunde Bello,Ministry Of Interior,GL-4,2001/05/10,11 October 2000,"₦241,307.19","N60,327",24130.72 naira,"₦91,611.90","NGN 50,334","N282,585",1488838215,Imo,PAID
MDG300194,Grace Chukwu,Ministry Of Health,GL-7,20.08.2001,27/05/2017,243161.69 naira,60790.42 naira,24316.17,180415.76 naira,42067.95,"N381,510",1780550106,kano,Held
MDG300378,Amaka Olawale,Ministry Of Agriculture,GL-4,11.12.1987,01/05/2017,"NGN 444,202","₦111,050.50",44420.20 naira,"₦221,681.14","43,192.42 ","622,690.73 ",2834474265,Ogun,Held
MDG300216,Chinedu Nnamdi,Ministry Of Science & Technology,Level 12,07/03/1979,29/08/2015,  ,127247.3,"₦50,898.92","₦208,462.01","N105,450","₦612,001.10",8296159199,Plateau,paid
MDG300422,Segun Okafor,MINISTRY OF EDUCATION,GL-4,26/07/1993,24-Jan-2006,"₦583,081.35","NGN 145,770",58308.14,"₦400,159.00",  ,"₦935,781.13",4151673958,Anambra,PAID
MDG300127,Wale Okeke,Ministry of Works,GL-1,1968-08-15,13.09.2006,"N95,100",23774.98 naira,"NGN 9,510","N71,570",  ,"₦145,977.64",--,Port Harcourt,paid
MDG300138,  Amaka Olawale   ,Ministry Of Justice,GL-3,19.09.1971,26-Jul-2012,"NGN 436,140","109,035.10 ",43614.04,"NGN 163,146","N78,086",521200.50 naira,8532879463,Ogun,Held
MDG300051,Obinna Mohammed,Ministry of Science & Technology,GL-11,1968/11/24,2020/04/01,"N481,295","NGN 120,324","NGN 48,130","NGN 134,777","₦92,267.88",523804.15,4506710212,Enugu,Pending
MDG300242,Adaeze Ajayi,Ministry of Works,GL-9,1995-08-09,01/01/2012,427837.26,106959.32,42783.73 naira,"N106,199",null,"₦470,984.99",1658693191,Oyo,paid 
MDG300171,Ngozi Adekunle,Ministry of Agriculture,GL-12,22/10/2001,2007-02-04,"₦393,726.45",98431.61,"N39,373","N260,855","NGN 24,791","NGN 629,790",1878126066,FCT,Deducted
MDG300197,Adaeze Okonkwo,Ministry of Justice,GL-10,00/00/0000,13.12.2008,595670.87,"NGN 148,918","₦59,567.09","₦134,534.27",128665.74 naira,"NGN 601,539",8946262346,Akwa Ibom,Held
MDG300031,Bola Ogundimu,ministry of education,GL7,27/03/1996,02.01.2015,"810,492.02 ",202623.01 naira,81049.2,n/a,75497.56,"N1,326,984",8671030821,Cross River,paid
MDG300383,Obinna Afolabi,ministry of interior,GL-6,08-Jan-1965,15/05/2009,"343,629.45 ",N/A,"N34,363","123,646.00 ",75136.04 naira,"₦392,139.41",1706187909,Cross River,Pending
MDG300334,Chioma Okeke,Ministry of Science & Technology,GL-1,22.03.1982,07/05/2004,"256,482.12 ","64,120.53 ",25648.21,"N86,257","N52,503","₦290,235.90",n/a,rivers,paid
MDG300309,Sadiq Abubakar,MINISTRY OF WORKS,GL-17,1981/03/23,12-Apr-2020,"NGN 221,390","NGN 55,347","N22,139",null,"N35,655",,3617063809,Lagos,Paid
MDG300194,Grace Chukwu,Ministry Of Health,GL-7,20.08.2001,27/05/2017,243161.69 naira,60790.42 naira,24316.17,180415.76 naira,42067.95,"N381,510",1780550106,kano,Held
MDG300082,  Chioma Suleiman,Ministry of Agriculture,GL-13,1994-04-03,,"N735,364","NGN 183,841","₦73,536.43","NGN 461,890",180757.84,"N1,016,497",3197417721,Delta,paid
MDG300276,Sadiq Nwosu,MINISTRY OF JUSTICE,GL-4,25-Sep-1976,2014-08-08,815478.31 naira,203869.58 naira,"N81,548",252120.40 naira,"NGN 193,123",874475.6499999999,3868024866,Imo,Paid
MDG300079,Tunde Lawal,Ministry Of Justice,GL-3,30 June 1967,2008-08-18,"NGN 398,627","N99,657",N/A,"NGN 220,784","₦84,509.92","NGN 534,902",--,Akwa Ibom,Deducted
MDG300052,Bola Ajayi,ministry of interior,GL 7,10-Jan-1984,05-Feb-2007,"₦432,545.87",108136.47,"43,254.59 ",158230.09 naira,"NGN 63,518",527257.83 naira,9470523707,Abuja,paid
MDG300433,Chidi Okonkwo,MINISTRY OF AGRICULTURE,GL-7,01.10.1970,07/29/2018,"₦615,280.70","NGN 153,820","NGN 61,528","263,778.91 ","₦116,551.23","₦762,508.38",9362658287,Abuja,Paid
MDG300126,Bisi Lawal,MOF,GL-9,02.11.1966,23 March 2007,692734.13,173183.53,69273.41,334926.41,163765.05 naira,?,8368563870,ABUJA,Deducted
MDG300409,Zainab Olawale,Ministry of Agriculture,Grade Level 9,23/10/1984,2017/01/14,655618.89,163904.72 naira,"NGN 65,562",470715.82 naira,?,"NGN 1,077,497",6811761052,Imo,Deducted
MDG300268,Tunde Ajayi,Ministry of Finance,GL-12,28/07/1980,2021-04-03,"300,059.47 ","N75,015","₦30,005.95",74157.85 naira,70796.0,"NGN 303,421",1448397977,Anambra,Paid
MDG300266,  tunde okonkwo,MINISTRY OF AGRICULTURE,GL-7,25-Jul-1974,2008-05-30,519618.81,"N129,905","NGN 51,962","265,214.52 ",99891.39,n/a,8747511703,Oyo,paid 
MDG300148,Bisi Adeyemi,Finance Ministry,GL-12,12 September 1965,22.05.2019,"₦102,061.67",25515.42 naira,"N10,206",47784.33,22163.63 naira,,6862915967,Cross River,Paid
MDG300208,FEMI OLAWALE,MINISTRY OF JUSTICE,Grade Level 9,18/09/1995,2001/12/10,74629.37,18657.34,"7,462.94 ","₦37,737.12","NGN 8,892","₦103,474.86",9163812104,Kaduna,paid 
MDG300430,Tobi Abubakar,ministry of justice,GL-2,07 May 1977,2000-11-02,"₦819,684.44","₦204,921.11",81968.44,"₦219,147.70",190290.52,"NGN 848,542",4330087905,Abuja,Held
MDG300207,Blessing Abubakar   ,Ministry of Finance,GL-7,12.06.1992,03.04.2016,"N415,993","N103,998",41599.28,"₦89,785.45",91762.73,"414,015.47 ",2376364492,Ogun,PAID
MDG300205,Yusuf Abubakar,Ministry of Agriculture,GL-10,24 May 2000,2018/01/15,"NGN 555,655","N138,914","55,565.50 ","NGN 377,286",null,"N874,215",2990583285,Ogun,Deducted
MDG300152,Amaka Afolabi,MINISTRY OF EDUCATION,GL-4,06-Nov-1991,2001/12/07,"NGN 569,450","N142,363","NGN 56,945","NGN 126,101",129514.28,"N566,037",2224804686,Ogun,paid 
MDG300016,  Amara Bello   ,Ministry of Agriculture,GL-1,09/27/1987,2014-02-26,"779,243.60 ",194810.9,"N77,924","NGN 584,629","₦184,976.02","NGN 1,178,897",4173213274,Abuja,Suspended
MDG300005,Femi Okonkwo,MINISTRY OF JUSTICE,GL-11,29.01.2003,2019-12-17,846687.50 naira,"NGN 211,672","₦84,668.75","N461,830","NGN 97,540","N1,210,978",4617971442,Kaduna,paid
MDG300317,Chioma Bello,ministry of science & technology,GL-1,02.02.1976,06 September 2006,"NGN 806,233",201558.15,"80,623.26 ","NGN 209,316",42908.48 naira,?,9019304340,Rivers,Pending
MDG300134,  Tobi Lawal   ,ministry of science & technology,GL-6,24.07.1994,03-Mar-2016,802313.66,"N200,578",80231.37 naira,534768.88 naira,"NGN 133,857",1203226.02,5334320794,Lagos,Pending
MDG300359,Sadiq Okonkwo,Ministry of Science & Technology,GL-10,26-Nov-1996,02.03.2014,"369,178.26 ",92294.57 naira,36917.83 naira,"N205,595","NGN 25,125",549648.05 naira,3145404476,Akwa Ibom,Deducted
MDG300414,Fatima Adekunle,ministry of finance,GL-1,15/06/1983,02/26/2010,606637.49,"NGN 151,659","₦60,663.75","NGN 345,108","₦79,321.13","N872,425",6772816128,Kano,Pending
MDG300251,  femi adeyemi,MINISTRY OF JUSTICE,GL-14,00/00/0000,22 April 2007,839607.04,"209,901.76 ","NGN 83,961","NGN 464,078","N46,432",1257252.21 naira,4444731492,abuja,Suspended
MDG300021,Ngozi Lawal,Ministry of Agriculture,Grade Level 9,,09/08/2007,"N665,207","166,301.86 ","NGN 66,521",248644.72 naira,90248.11,"N823,604",4931645802,Anambra,Suspended
MDG300101,Kemi Ogundimu,Ministry of Agriculture,GL-10,03-Jul-1969,01/01/2008,"₦99,055.53","NGN 24,764","NGN 9,906","N74,725","9,626.04 ",,9348248606,FCT,paid 
MDG300271,Sadiq Yusuf,Min. of Finance,GL-13,30.08.1968,06/12/2009,813895.53 naira,"NGN 203,474",,"N262,570","N198,698",,8226623723,oyo,Deducted
MDG300401,  CHIOMA SULEIMAN,MINISTRY OF INTERIOR,GL-15,09-Dec-1995,02/03/2008,"NGN 133,946","NGN 33,487",13394.62 naira,"NGN 45,203","NGN 16,203",162945.44,,Lagos,Suspended
MDG300303,Ifeoma Adeyemi,Ministry of Justice,GL 7,1980/09/10,18.04.2005,"N110,471","N27,618",11047.12,29934.98,20164.12,"₦120,242.03",1918012510,Akwa Ibom,paid
MDG300046,Segun Nnamdi,Ministry of Science & Technology,GL-14,29.10.1968,21-Mar-2002,"N752,901",NULL,"N75,290","N360,749","NGN 125,128",,7003114657,Enugu,PAID
MDG300177,Chioma Nnamdi,MINISTRY OF EDUCATION,GL 7,1988-05-23,2017-06-12,"NGN 247,356","NGN 61,839","₦24,735.59",93046.66 naira,"NGN 61,800","₦278,602.72",4144464228,Kaduna,Suspended
MDG300078,Femi Okonkwo,MOH,GL-4,2001/07/06,2006/02/17,"N319,606",79901.43 naira,"₦31,960.57",245521.20 naira,79208.44 naira,,2939709633,Rivers,paid 
MDG300351,Ifeoma Yusuf,Ministry of Science & Technology,GL-1,20.03.1971,14 August 2020,"₦51,241.81","12,810.45 ",5124.18 naira,"NGN 23,171","NGN 8,519","NGN 65,894",6265025165,Abuja,PAID
MDG300274,Blessing Lawal,Ministry of Interior,GL-5,25-Dec-1998,23.09.2009,149350.66,"37,337.67 ","NGN 14,935","NGN 79,515",nil,219773.81 naira,7394289863,Abuja,Paid
MDG300419,OBINNA ADEYEMI,ministry of education,GL-5,12/31/1976,12-May-2006,"N180,399","NGN 45,100","₦18,039.88","N116,633",nil,"NGN 263,256",3134213341,Anambra,paid
MDG300042,  Tunde Mohammed,Ministry of Justice,GL-7,1977/07/16,04/06/2018,455633.37 naira,"N113,908","NGN 45,563",347948.65 naira,"N110,118",693464.23,7637928444,Ibadan,Deducted
MDG300180,Chidi Adeyemi,MINISTRY OF FINANCE,GL-6,02 July 1987,2011-07-16,"₦426,514.93","₦106,628.73","N42,651","213,827.66 ","NGN 21,694","N618,649",8210116748,abuja,Held
MDG300073,Ibrahim Bello,Ministry of Works,GL-14,26 May 1993,10.06.2003,638934.28 naira,159733.57,63893.43,"₦197,049.50","₦88,553.08","N747,431",8119311697,Plateau,paid
MDG300163,Zainab Bello,Ministry Of Justice,GL-15,1984-01-12,28-Apr-2008,773620.75 naira,193405.19 naira,"N77,362",292326.32,"N122,082",,9170958851,Plateau,paid 
MDG300026,Bola Adekunle,ministry of education,GL-1,1978/02/03,2003-01-02,831297.06,NULL,83129.71 naira,"NGN 259,007",161472.28,928831.69 naira,4110471343,Plateau,Pending
MDG300035,Kunle Olawale,Ministry of Science & Technology,GL-12,02 March 1978,27-Feb-2020,"NGN 422,446",105611.58,nil,--,"₦75,892.72",504804.28,6925961535,Delta,Paid
MDG300352,Segun Suleiman,ministry of interior,GL-2,11/03/1971,unknown date,488811.58,122202.9,48881.16,"N343,809",115185.11,,9780081427,Rivers,paid
MDG300392,  YUSUF OKAFOR,MINISTRY OF EDUCATION,GL-3,24 July 1991,28-Sep-2006,132927.14 naira,33231.79 naira,"NGN 13,293","₦37,488.35",11576.78,"₦158,838.71",9759481762,Kano,paid
MDG300147,Amara Bello,ministry of agriculture,GL-1,10/06/1971,27 March 2004,577982.51 naira,"N144,496",n/a,"₦362,241.12",n/a,"₦871,386.82",3518729286,Kaduna,paid 
MDG300379,Kemi Yusuf,Ministry of Interior,GL-12,26/12/1968,01 February 2018,"₦838,961.95","N209,740",83896.20 naira,"N213,103",?,"NGN 916,187",1776559037,Enugu,paid 
MDG300154,Chinedu Eze,Ministry of Works,GL 7,05/04/1995,09/09/2006,115549.89,N/A,11554.99 naira,"58,229.29 ",NULL,151480.13 naira,-,kano,PAID
MDG300103,Funmilayo Suleiman,Ministry of Works,GL-13,05-Apr-1987,01/02/2000,"₦223,071.06","N55,768",22307.11,"N68,209","NGN 41,002",,6618551176,Anambra,paid
MDG300411,Ifeoma Eze,ministry of finance,GL-1,23 March 1988,07/01/2016,"₦53,437.73",?,"NGN 5,344","₦27,328.74","N10,435",,7835691965,Ogun,Deducted
MDG300229,Funmilayo Afolabi,Ministry of Education,GL-1,10-Jun-1967,2001-10-08,"NGN 621,887","NGN 155,472",62188.67 naira,"NGN 459,434","NGN 86,643",null,9016554336,Ogun,Paid
MDG300321,Fatima Yusuf,Ministry of Agriculture,GL7,08/27/1966,28-Nov-2013,376595.85,94148.96,"NGN 37,660",152862.95 naira,"₦93,585.22",435873.5800000001,7634113053,Imo,Suspended
MDG300298,Bisi Okonkwo,Ministry of Interior,GL-14,07 January 1986,16/10/2017,"N281,212",70302.99,28121.20 naira,"₦207,364.17",,421316.64,7409847460,Anambra,Deducted
MDG300160,  EMEKA NWOSU,Ministry of Finance,Grade Level 9,31/05/1991,2000/05/30,"N180,652",45163.04,"₦18,065.22","₦48,859.10",38824.04,"NGN 190,687",6536193982,Anambra,PAID
MDG300331,Grace Adeyemi,Ministry of Works,GL-1,1974-02-10,2005-03-15,"N771,166","192,791.49 ","₦77,116.60",492910.42,159673.61 naira,1104402.7599999998,8025153371,Lagos,Suspended
MDG300382,Tobi Lawal,Ministry Of Science & Technology,GL-17,1990/03/29,01-Mar-2011,"172,089.16 ",43022.29,17208.92,39945.91 naira,16520.09 naira,"NGN 195,515",5274165660,Lagos,PAID
MDG300410,Kunle Ogundimu,ministry of health,GL-10,07.02.1970,10/08/2010,"169,107.80 ","₦42,276.95",16910.78,111782.51,"NGN 23,140","N257,751",2363129334,Cross River,PAID
MDG300199,blessing okafor,Ministry of Education,GL-12,06/03/2002,07/02/2007,744820.45,"NGN 186,205","74,482.04 ","₦186,360.17","N141,633",NIL,8340679619,Imo,Held
MDG300223,  Ifeoma Suleiman,MOH,GL 7,1995-08-04,2014/04/11,"NGN 162,975","₦40,743.84","₦16,297.54","₦126,273.66","₦8,679.42",280569.59 naira,1089673225,Kaduna,paid
MDG300388,Fatima Nwosu,Ministry of Works,GL-5,1969/06/12,07/19/2008,78677.07,"19,669.27 ",7867.71,"N50,126","8,220.43 ","N120,583",1016734816,Ogun,Pending
MDG300181,Sadiq Okeke,Ministry of Health,GL-6,03 September 2000,01/31/2015,"54,042.63 ","13,510.66 ","N5,404",21027.37,"2,948.03 ","NGN 72,122",1909142277,lagos,PAID
MDG300046,Segun Nnamdi,Ministry of Science & Technology,GL-14,29.10.1968,21-Mar-2002,"N752,901",NULL,"N75,290","N360,749","NGN 125,128",,7003114657,Enugu,PAID
MDG300190,Tunde Adeyemi,Ministry Of Education,GL-10,1979-08-17,2013/07/29,347556.60 naira,"N86,889","₦34,755.66","NGN 89,937","73,299.98 ",364194.04,6722035083,kano,Deducted
MDG300242,Adaeze Ajayi,Ministry of Works,GL-9,1995-08-09,01/01/2012,427837.26,106959.32,42783.73 naira,"N106,199",null,"₦470,984.99",1658693191,Oyo,paid 
MDG300054,Halima Adeyemi,Ministry of Interior,Grade Level 9,22.05.2002,2012/08/25,823475.88 naira,"N205,869","N82,348","₦374,006.46","₦197,876.42","N999,606",6011647233,Imo,paid 
MDG300365,ngozi eze,Ministry of Education,GL 7,,15-Aug-2015,"NGN 434,146","108,536.47 ","₦43,414.59","NGN 125,079",25243.0,"₦533,981.52",5122383169,Akwa Ibom,Paid
MDG300273,Fatima Afolabi,MINISTRY OF EDUCATION,GL 7,30.06.1975,11/26/2016,282940.56,"70,735.14 ",28294.06 naira,113126.19 naira,"NGN 67,072","N328,994",7519904892,oyo,Suspended
MDG300313,chidi suleiman,Ministry of Finance,GL-2,1988-05-31,07-Dec-2015,678591.93,169647.98,67859.19,238792.82,"123,421.72 ",793963.03,2745638462,Plateau,PAID
MDG300394,Ibrahim Nwosu,MINISTRY OF SCIENCE & TECHNOLOGY,GL-2,1978-03-13,2012-07-10,"NGN 275,963","₦68,990.79",27596.31,  ,"NGN 43,634",287899.32,3933050644,Kaduna,Paid
MDG300007,Chioma Adekunle,Ministry Of Works,GL-7,11.11.1982,23 November 2000,541995.15 naira,--,"₦54,199.52","NGN 414,955","98,100.99 ",858849.28,1394812652,Edo,Pending
MDG300055,Halima Lawal,ministry of finance,GL-11,12 January 1987,2011/12/01,,n/a,"₦34,047.45","NGN 266,273",67270.21 naira,,1326525194,Enugu,PAID
MDG300224,Bisi Okonkwo,Ministry of Health ,GL-13,15 March 1968,26 February 2020,160628.36,"NGN 40,157",16062.84 naira,"N61,518","NGN 12,471","₦209,675.38",3879591718,KANO,PAID
MDG300098,chinedu yusuf,MOH,GL-13,1977-05-27,02/06/2003,813258.59 naira,"203,314.65 ",81325.86,"₦383,963.64","N155,794",1041428.37 naira,1710657837,Cross River,paid 
MDG300262,Aliyu Abubakar,Ministry of Agriculture,GL-1,22-Feb-1971,30-Jan-2020,"NGN 411,646",102911.5,"₦41,164.60",304967.21 naira,76578.63,640034.57,9955393667,Port Harcourt,Deducted
MDG300131,Amaka Suleiman,Ministry of Works,GL-13,22/05/1998,2005/02/01,62617.44 naira,"₦15,654.36","6,261.74 ","₦19,807.81",3497.03,"N78,928",1604646841,Imo,Held
MDG300159,Ifeoma Lawal,Ministry of Science & Technology,GL-8,23-May-1967,17-Aug-2021,140960.71,"NGN 35,240",14096.07 naira,"N47,299",8273.26 naira,"₦179,986.04",,Imo,Deducted
MDG300072,Yusuf Balogun,MINISTRY OF EDUCATION,GL-8,09/08/1983,01 February 2017,"₦554,038.38","NGN 138,510","55,403.84 ","NGN 127,157","N76,109","NGN 605,086",9575763949,Rivers,paid
MDG300153,Wale Nwosu,Ministry of Education,GL-17,01-Aug-1988,26-Jan-2001,"NGN 825,965",Unknown,NIL,"N337,477",  ,"NGN 1,064,163",6394997489,Edo,Pending
MDG300437,HALIMA MOHAMMED,Ministry of Education,GL-15,29-Mar-2001,25/07/2008,"NGN 756,866","NGN 189,217",75686.63 naira,318467.06,"N132,440","942,893.65 ",1561314363,Cross River,Paid
MDG300293,Funmilayo Lawal,Ministry of Agriculture,GL-10,25/06/1997,05/01/2021,577959.38,144489.85 naira,"₦57,795.94",423845.21,34603.52,967201.07 naira,1963206149,Lagos,paid
MDG300256,Femi Afolabi,Ministry of Interior,GL-7,05/05/1992,08-Feb-2016,"₦510,044.86","127,511.21 ","NGN 51,004","N159,239","122,561.03 ","NGN 546,723",6840478705,Edo,Paid
MDG300104,  CHINEDU OGUNDIMU   ,MINISTRY OF JUSTICE,GL-13,1973/07/03,05.08.2014,366903.03,"₦91,725.76",36690.3,"₦104,583.33","64,897.40 ","NGN 406,589",2223641067,Enugu,Held
MDG300249,musa  bello,MINISTRY OF JUSTICE,Grade Level 9,02 November 1989,2009-12-27,"NGN 507,366","NGN 126,842",50736.65 naira,"N392,999","₦116,324.25",,8708804073,Anambra,paid
MDG300050,Fatima Bello,MINISTRY OF AGRICULTURE,GL-4,25 June 1968,02.08.2004,"241,137.46 ","₦60,284.36","₦24,113.75",119255.19 naira,24029.35,"336,363.30 ",3618635676,Akwa Ibom,Deducted
MDG300396,Kemi  Lawal,Min. of Finance,GL-4,1975-10-12,14.02.2014,"N187,815","₦46,953.79","N18,782",141104.78,"NGN 22,146","₦306,774.22",--,Enugu,paid 
MDG300277,Adaeze Yusuf,ministry of finance,GL-7,13/02/1967,03/17/2004,"₦826,385.05","N206,596",82638.51 naira,231153.34 naira,194909.29 naira,"NGN 862,629",4244724802,Kaduna,paid 
MDG300438,Chioma Suleiman,ministry of agriculture,Level 12,06-Mar-2002,23.04.2018,521507.04 naira,130376.76 naira,"₦52,150.70","N289,084","N49,325",761266.12 naira,8117798061,Cross River,PAID
MDG300386,Amaka Okonkwo,ministry of works,GL-4,16 April 1993,13 November 2012,"N746,529","NGN 186,632","74,652.87 ","NGN 475,215","₦51,174.25","N1,170,569",5670983945,Akwa Ibom,paid 
MDG300427,fatima ajayi,MINISTRY OF SCIENCE & TECHNOLOGY,GL-16,02 January 1967,25-Aug-2008,447990.68 naira,111997.67 naira,"NGN 44,799",315571.89 naira,"NGN 34,895","728,667.73 ",4068427264,Plateau,Deducted
MDG300211,Tobi Okafor   ,Ministry Of Science & Technology,GL-3,1983-05-16,26/02/2004,"₦308,832.59","NGN 77,208","NGN 30,883",null,"NGN 51,287",477249.79 naira,7125441653,Imo,paid 
MDG300330,  Aliyu Suleiman,ministry of finance,GL-16,05/03/1989,2020/10/24,473684.52 naira,118421.13 naira,"₦47,368.45","N244,752","N72,450","NGN 645,987",8561951539,Akwa Ibom,Held
MDG300149,  Yusuf Ogundimu,MINISTRY OF WORKS,GL-5,24.11.1971,12/06/2015,61017.25,"NGN 15,254","6,101.73 ","NGN 42,559","₦7,302.37",96273.89 naira,8789539025,Edo,Pending
MDG300345,KEMI OKONKWO,Ministry of Justice,GL-10,1971/05/06,10.05.2017,454075.39 naira,n/a,"NGN 45,408",231739.33,"₦38,664.72","₦647,150.00",1990041788,Lagos,Deducted
MDG300286,Halima Balogun,Ministry Of Finance,gl-14,20/10/1970,2016-07-15,"NGN 721,797","₦180,449.27","72,179.71 ","NGN 260,665",133675.23,"NGN 848,786",9205885404,Ogun,Deducted
MDG300168,Halima Ogundimu,Ministry Of Education,GL-2,03/09/1990,27.12.2017,"N50,842",12710.6,"₦5,084.24","₦34,146.83","₦9,820.84","N75,168",null,Enugu,Deducted
MDG300284,Amara Balogun,Ministry of Agriculture,GL-16,16-May-2000,09/21/2002,"₦607,105.83",151776.46 naira,"₦60,710.58","NGN 316,013",69013.49,"NGN 854,106",2976523570,Lagos,Pending
MDG300053,Sadiq Ajayi,Ministry Of Education,GL-1,1998/09/27,23.12.2010,625656.78 naira,"₦156,414.20","NGN 62,566","NGN 304,673",114602.52 naira,"NGN 815,727",1841615617,Lag,Held
