StudentMatric,StudentName,University,Faculty,Department,DegreeType,Level,EntryMode,DateOfBirth,EnrollmentDate,CGPA,StudentEmail,PhoneNumber,State,ScholarshipHolder
FYU/91979/02,Bola Balogun,Obafemi Awolowo University (OAU),Science,Dept of Accounting,B.Sc,300,utme,1999/09/19,12.04.2021,n/a,n/a,234-783-908-470,Rivers,FALSE
bZM/99765/03,Ibrahim Okeke,Obafemi Awolowo University (OAU),Medicine,Dept of Accounting,MBBS,600,UTME,18 September 2009,13-Jan-2022,0.66,ibrahim.okeke@student.unilag.edu.ng,00632424154,abuja,yes
RIU/65315/03,Ibrahim Olawale,Lagos State University (LASU),Education,Dept of Accounting,B.Sc.,100L,Post-UTME,N/A,30/06/2024,3.1,ibrahim.olawale@student.unilag.edu.ng,0742 967 1756,Kaduna,Yes
BBV/13735/04,Chinedu Lawal   ,Lagos State University (LASU),law,Dept of Accounting,M.Sc.,200,UTME,12/12/2000,07/11/2022,3.3,chinedu.lawal@oauife.edu.ng,(877) 190-6594,Delta,Y
UhZ/77410/03,Halima Okonkwo,University of Nigeria Nsukka (UNN),LAW,Dept of Computer Science,LLB,level 300,utme,23.11.1997,09-Jul-2024,4.28,halima.okonkwo@oauife.edu.ng,06213721386,Akwa Ibom,0
aXO/44402/04,Ngozi  Balogun,Covenant University,Education,Dept of Accounting,MBBS,200L,UTME ,09/12/2007,06/25/2019,1.24,ngozi.balogun@gmail.com,79359782071,Rivers State,0
RUC/28446/02,IBRAHIM NWOSU   ,University of Lagos (UNILAG),Arts,Dept of Computer Science,Ph.D,500,Transfer,28.07.2005,01/14/2023,0.57,ibrahim.nwosu@gmail.com,49947174648,Rivers,Y
hAZ/94351/02,Amara Abubakar,Obafemi Awolowo University (OAU),Education,null,B.Sc.,600,direct entry,05-Jun-2009,2019-02-04,2.89,  ,234-795-687-833,Imo,TRUE
FMe/22879/04,Zainab Okafor,Lagos State University (LASU),SCIENCE,Dept of Accounting,Bsc,400 level,UTME,2009-04-15,2020/07/07,3.14,zainab.okafor@gmail.com,234-877-470-168,rivers,FALSE
iRM/95865/01,Bola Afolabi,Lagos State University (LASU),ARTS,Dept of Accounting,bsc,100,Post-UTME,18.01.2002,14/05/2019,nil,bola.afolabi@gmail.com,+234343320037,Delta,Yes
WjK/64778/02,Adaeze Olawale,Lagos State University (LASU),Engr,Dept of Physics,B.Sc.,200L,utme,02-May-2007,20-Apr-2021,3.69,adaeze.olawale@student.unilag.edu.ng,(078) 593-2133,Imo,N
fXR/61273/04,Halima Suleiman,University of Lagos (UNILAG),Law,Dept of Law,MBBS,300,UTME,29/06/2001,01/12/2021,3.5,halima.suleiman@student.unilag.edu.ng,(287) 101-2269,Delta,Yes
DGD/82159/02,  Funmilayo Bello   ,University of Lagos (UNILAG),MEDICINE,Dept of Accounting,M.Sc.,400,UTME ,08.09.2004,15/03/2023,2.49,funmilayo.bello@oauife.edu.ng,(965) 207-4466,Imo,No
Pff/45900/04,BLESSING ABUBAKAR   ,University of Lagos (UNILAG),ENGINEERING,Dept of Accounting,B.Eng,400,utme,2009-12-07,2020-10-10,4.36,blessing.abubakar@student.unilag.edu.ng,06912517785,Ogun,0
cdH/12790/04,Emeka Yusuf,Ahmadu Bello University (ABU),LAW,Dept of Electrical Engineering,B.Eng,200,UTME,21 October 1995,04/04/2020,4.9,emeka.yusuf@oauife.edu.ng,0311 656 6701,Rivers,TRUE
LiW/55365/02,Grace Ajayi,Covenant University,Arts,Dept of Biochemistry,B.Sc.,600,utme,20/10/2008,11-Jun-2022,3.27,,0903 404 3842,Imo,TRUE
gCT/94749/04,Funmilayo Nwosu,University of Nigeria Nsukka (UNN),arts,Dept of Physics,B.Ed,400,Post-UTME,13-Dec-1995,2020/08/06,1.65,funmilayo.nwosu@oauife.edu.ng,234-099-770-088,Fct Abuja,No
MKi/61842/02,BISI SULEIMAN,Obafemi Awolowo University (OAU),Arts,,bsc,200,UTME ,21-Sep-1999,unknown date,2.13,bisi.suleiman@student.unilag.edu.ng,05869232260,Oyo,1
Dha/94124/04,Funmilayo Balogun,Lagos State University (LASU),management sciences,NULL,B.Ed,300,UTME,17.01.2006,06/12/2019,  ,  ,+234296120183,Delta,Yes
eIZ/32531/01,Halima Chukwu,Ahmadu Bello University (ABU),Law,Dept of Law,Bsc,400 level,direct entry,2002-03-11,04.08.2020,3.65,halima.chukwu@oauife.edu.ng,(027) 261-4933,Enugu,Y
MPF/92689/02,Bola Eze,Obafemi Awolowo University (OAU),Education,Dept of Law,Ph.D,100,utme,2007/03/18,20/01/2020,0.72,bola.eze@gmail.com,234-694-958-887,Enugu,No
eCU/50607/04,  Bola Nwosu   ,University of Lagos (UNILAG),Arts,Dept of Biochemistry,bsc,300,utme,31 May 2000,13 June 2022,3.22,bola.nwosu@student.unilag.edu.ng,(329) 212-7799,Delta,Y
KkT/72296/04,Ngozi Nnamdi,Obafemi Awolowo University (OAU),MEDICINE,Dept of Accounting,M.Sc.,300,UTME ,13-Jul-2001,09/25/2022,NULL,ngozi.nnamdi@gmail.com,234-545-494-808,Kaduna,false
MQk/94205/03,Adaeze Olawale,University of Nigeria Nsukka (UNN),Medical Sciences,Dept of Accounting,B.Sc,level 300,direct entry,16-Aug-2003,unknown date,3.64,adaeze.olawale@gmail.com,0990 881 1729,Kano,TRUE
NXc/43558/02,Musa Bello   ,Lagos State University (LASU),Law,--,B.Ed,400,UTME ,2005/07/03,2019-06-09,4.52,musa.bello@gmail.com,+234792499125,Kaduna,N
gef/31381/02,Kemi Suleiman,Covenant University,MEDICINE,Dept of Accounting,M.Sc.,400,direct entry,12/08/2005,16 September 2020,0.53,kemi.suleiman@gmail.com,(413) 435-2408,Kano,Y
jRR/12956/04,Ifeoma Lawal,University of Lagos (UNILAG),Engineering,Dept of Law,B.Ed,100L,Direct Entry,18 March 2005,2021/04/19,nil,ifeoma.lawal@oauife.edu.ng,+234445107622,Cross River,yes
FTZ/21993/01,Funmilayo Lawal,Lagos State University (LASU),Arts,Dept of Law,B.Sc,500,direct entry,1999/03/28,06 September 2020,2.21,funmilayo.lawal@gmail.com,66687002176,Imo,0
gKX/47737/02,Ifeoma Ogundimu,University of Lagos (UNILAG),MEDICINE,Dept of Biochemistry,M.Sc.,level 300,direct entry,1997/11/28,27.09.2018,NULL,ifeoma.ogundimu@gmail.com,07868633752,Edo,yes
PHd/17447/02,Chioma Mohammed,University of Nigeria Nsukka (UNN),Science,Dept of Economics,B.Eng,500,Transfer,29.12.1997,2024/08/12,4.28,chioma.mohammed@gmail.com,93056164840,Akwa Ibom,0
iHi/13109/04,Tobi Afolabi,Covenant University,Education,Dept of Computer Science,MBBS,100,Transfer,09 May 2004,16-Jun-2019,4.81,tobi.afolabi@student.unilag.edu.ng,(877) 694-5314,Cross River,No
kaL/34791/03,Yusuf Afolabi,Obafemi Awolowo University (OAU),Faculty of Engineering,Dept of Biochemistry,B.Sc,level 300,Direct Entry,18.08.1996,17-Feb-2023,4.85,yusuf.afolabi@oauife.edu.ng,0024 819 3466,Delta,FALSE
Rhj/98754/03,Bola Mohammed,Obafemi Awolowo University (OAU),MANAGEMENT SCIENCES,Dept of Physics,bsc,400 level,Direct Entry,10-Sep-2010,28.03.2021,4.16,bola.mohammed@oauife.edu.ng,59255562588,Cross River,Yes
IWI/38559/04,Fatima Olawale,University of Nigeria Nsukka (UNN),Law,  ,B.Sc.,500,UTME ,03 September 2005,01 March 2023,2.38,-,+234143744701,Oyo,true
TaY/81786/02,Ngozi Mohammed,Obafemi Awolowo University (OAU),law,Dept of Computer Science,Bsc,100L,direct entry,1999/09/13,09/18/2021,1.88,ngozi.mohammed@gmail.com,0000000000,Edo,false
JYY/23141/01,bola suleiman   ,University of Nigeria Nsukka (UNN),MEDICINE,Dept of Economics,B.A.,200,UTME ,08/04/2010,26-Nov-2020,4.35,bola.suleiman@gmail.com,234-754-781-291,Kano,0
VUh/30394/03,Kunle Olawale,Obafemi Awolowo University (OAU),Social Sciences,Dept of Economics,MBBS,200L,Transfer,11 December 2007,2021/07/24,3.01,kunle.olawale@student.unilag.edu.ng,234-369-711-798,Abuja,TRUE
GkG/25397/02,Obinna Suleiman,Covenant University,Management Sciences,Dept of Computer Science,B.Ed,200L,UTME ,11/12/1995,16.12.2022,3.21,obinna.suleiman@gmail.com,09821465840,Kano,Yes
aGb/13603/01,Chinedu Lawal,University of Nigeria Nsukka (UNN),Engineering,Dept of Physics,Ph.D,400 level,direct entry,01-Feb-2000,19-Apr-2019,2.61,chinedu.lawal@gmail.com,+234985625753,Lagos State,TRUE
RjW/40980/02,Kemi Yusuf,University of Nigeria Nsukka (UNN),management sciences,Dept of Economics,B.Sc.,300,UTME,13 November 2008,2021-02-19,3.22,--,0281 685 0542,Ogun,Y
MUf/44582/04,Sadiq Bello,Obafemi Awolowo University (OAU),Law,Dept of Accounting,B.Ed,200,UTME ,05.10.1997,,2.99,-,+234184638655,Kano,false
KDM/78359/03,Musa Eze,Ahmadu Bello University (ABU),Arts,-,Ph.D,100L,Transfer,2005-10-17,2019-12-08,3.2,musa.eze@student.unilag.edu.ng,234-187-072-867,Ogun,N
cRY/20222/01,Chioma Lawal,Covenant University,Law,Dept of Law,bsc,200L,utme,03.08.1995,04-Oct-2020,4.7,chioma.lawal@gmail.com,+234841459332,Kaduna,TRUE
EeT/59560/01,Ngozi Balogun,Obafemi Awolowo University (OAU),Science,Dept of Biochemistry,bsc,400,UTME,28/04/2004,03.09.2019,3.57,ngozi.balogun@gmail.com,0637 454 5892,Enugu,Y
QSU/11294/02,Fatima Bello,Lagos State University (LASU),Arts,Dept of Physics,B.Sc.,600,Direct Entry,08/02/2008,12/13/2021,2.9,fatima.bello@student.unilag.edu.ng,(545) 226-7528,Imo,Yes
YLE/90862/03,Musa Okafor,University of Nigeria Nsukka (UNN),arts,null,B.Sc,level 300,Direct Entry,2005-01-31,12 May 2023,0.62,musa.okafor@oauife.edu.ng,02025909479,Plateau,Y
dJh/76537/03,Grace Yusuf,Obafemi Awolowo University (OAU),medicine,Dept of Accounting,Bsc,500,UTME,24 October 2009,not set,4.33,grace.yusuf@gmail.com,03987801573,Rivers,1
ETE/26144/03,tobi abubakar,University of Lagos (UNILAG),management sciences,Dept of Biochemistry,MBBS,400,Direct Entry,01/02/1998,18 July 2022,4.49,unknown,234-499-309-728,Enugu,No
BUg/22528/04,Zainab Okeke,Lagos State University (LASU),Law,unknown,B.Ed,400 level,Post-UTME,16-Dec-2005,06/17/2021,3.03,zainab.okeke@oauife.edu.ng,00988516560,Delta,N
TJC/39800/01,Bola Chukwu,University of Nigeria Nsukka (UNN),ENGINEERING,Dept of Accounting,B.Eng,level 300,utme,06 July 2005,11/11/2018,1.36,bola.chukwu@student.unilag.edu.ng,234-725-887-449,Imo,true
WNZ/65199/04,Aliyu Yusuf,University of Nigeria Nsukka (UNN),Faculty of Engineering,Dept of Law,B.Ed,600,Transfer,09-Jan-2004,18 March 2021,1.06,aliyu.yusuf@student.unilag.edu.ng,20047113826,Edo,FALSE
hGk/10529/03,Amaka Bello,Covenant University,Arts,Dept of Economics,Bsc,600,utme,2006/03/31,2019-12-03,2.95,amaka.bello@oauife.edu.ng,+234297516136,Ogun,no
DVC/47971/01,Yusuf Adekunle,Ahmadu Bello University (ABU),Social Sciences,Dept of Economics,Ph.D,400,direct entry,06/11/2005,2020-03-03,3.25,yusuf.adekunle@gmail.com,+234787298259,Cross River,No
ZHC/17973/04,Grace Okonkwo,Obafemi Awolowo University (OAU),social sciences,Dept of Computer Science,MBBS,100,UTME,07 June 2001,11/13/2018,3.5,NIL,+234824172482,Imo,Y
jIM/20372/02,Chinedu Eze,Ahmadu Bello University (ABU),Education,Dept of Law,B.Sc.,500,utme,2005/10/16,2023-02-09,3.7,chinedu.eze@gmail.com,62244472126,Abuja,Yes
ViT/63686/03,  adaeze eze,University of Lagos (UNILAG),Education,Dept of Economics,Ph.D,100,Transfer,26-Mar-2009,04/17/2022,4.51,adaeze.eze@gmail.com,234-861-622-999,Edo,yes
aFX/70940/02,Ibrahim Adekunle,University of Nigeria Nsukka (UNN),LAW,Dept of Biochemistry,B.Ed,600,UTME,25-Aug-1995,2018/12/13,3.43,ibrahim.adekunle@oauife.edu.ng,05851493689,FCT,TRUE
KEe/56351/01,Tobi Okonkwo,University of Lagos (UNILAG),EDUCATION,Dept of Physics,B.Sc,100L,Direct Entry,2007-06-14,2020/10/24,2.93,tobi.okonkwo@oauife.edu.ng,+234569245937,Kaduna,false
TUT/37982/01,Adaeze Adekunle,University of Nigeria Nsukka (UNN),law,Dept of Economics,B.Ed,400,UTME,2004/04/26,06/06/2020,4.17,adaeze.adekunle@gmail.com,(753) 269-7311,Akwa Ibom,no
GTV/69325/04,Amara Yusuf,Lagos State University (LASU),Law,Dept of Electrical Engineering,B.Eng,600,utme,unknown date,2020-07-17,3.99,amara.yusuf@gmail.com,(637) 940-2654,Delta,No
AYY/94003/03,Kunle Balogun,Covenant University,Education,Dept of Computer Science,Bsc,level 300,UTME ,16.04.2004,02/12/2019,2.62,kunle.balogun@gmail.com,(515) 832-8182,Imo,false
ahi/12288/02,Ibrahim Suleiman,Ahmadu Bello University (ABU),ENGINEERING,N/A,Bsc,400,UTME,01 July 1997,00/00/0000,3.58,ibrahim.suleiman@student.unilag.edu.ng,08175496513,Ogun,TRUE
Yaa/63778/02,Chinedu Suleiman,Lagos State University (LASU),Social Sciences,Dept of Economics,B.Sc,level 300,UTME,2010/04/30,06/08/2020,4.58,chinedu.suleiman@student.unilag.edu.ng,90586518506,Abuja,Yes
FXF/79419/01,Fatima Okafor,Lagos State University (LASU),Management Sciences,Dept of Economics,M.Sc.,100L,direct entry,2009-09-27,23-Jan-2021,4.85,fatima.okafor@gmail.com,+234902601279,KANO,Y
BPa/27106/03,Tobi Yusuf,Lagos State University (LASU),Engineering,Dept of Law,B.Eng,500,UTME,22/02/2004,2022-02-11,1.84,tobi.yusuf@gmail.com,234-499-121-655,Cross River,yes
WMa/50838/02,Obinna Adekunle,Obafemi Awolowo University (OAU),Social Sciences,Dept of Electrical Engineering,B.Sc.,100,Transfer,06 February 2000,29.11.2023,4.05,obinna.adekunle@student.unilag.edu.ng,(099) 353-8758,Abuja,No
hGd/20831/03,Amaka Lawal,University of Lagos (UNILAG),science,Dept of Accounting,B.Sc.,300,Transfer,10 January 1999,25-May-2023,  ,amaka.lawal@gmail.com,234-668-893-734,Enugu,yes
QbV/98473/03,Adaeze Eze,University of Lagos (UNILAG),Education,Dept of Biochemistry,B.Eng,600,utme,unknown date,25/03/2019,3.59,adaeze.eze@oauife.edu.ng,0699 016 2720,KANO,No
iKG/21668/04,NGOZI OKAFOR   ,Covenant University,Law,Unknown,B.A.,400,Transfer,02.05.2005,12 June 2024,4.19,ngozi.okafor@gmail.com,01823398454,Abuja,Yes
SeD/79707/02,Tobi Okafor,Obafemi Awolowo University (OAU),Education,Dept of Computer Science,B.A.,500,utme,24.02.2003,2021-09-21,3.7,tobi.okafor@gmail.com,0283 411 0809,Cross River,1
AbW/96540/01,CHINEDU OGUNDIMU,Lagos State University (LASU),science,Dept of Economics,B.Eng,300,Post-UTME,11 March 1996,2020-01-19,2.7,chinedu.ogundimu@oauife.edu.ng,10341316475,Edo,1
RjR/21974/02,Zainab Nwosu,University of Lagos (UNILAG),Law,Dept of Economics,B.Sc.,400,Direct Entry,24.12.1998,13-Oct-2023,0.68,zainab.nwosu@student.unilag.edu.ng,+234855744431,Delta,No
IOX/83765/04,Ngozi Suleiman,Ahmadu Bello University (ABU),Arts,Dept of Electrical Engineering,MBBS,100,direct entry,23 May 2002,03/11/2024,4.13,ngozi.suleiman@student.unilag.edu.ng,0891 411 7393,Cross River,false
khi/91479/04,Emeka Balogun,University of Nigeria Nsukka (UNN),Faculty of Engineering,Dept of Electrical Engineering,Bsc,400,Post-UTME,2005/04/29,12/25/2018,4.82,emeka.balogun@student.unilag.edu.ng,234-481-491-778,KANO,true
iki/92639/01,Obinna Lawal,Covenant University,Arts,Dept of Computer Science,B.Ed,level 300,Direct Entry,14/09/2010,02-Feb-2020,1.66,obinna.lawal@student.unilag.edu.ng,(996) 504-7735,Rivers,true
jPS/25601/03,Bola Mohammed,Ahmadu Bello University (ABU),Management Sciences,Dept of Biochemistry,B.A.,100,UTME,1997-11-10,22-Aug-2022,2.31,bola.mohammed@gmail.com,0543 534 6247,Plateau,Y
Ckb/83261/04,Chinedu Adekunle,Covenant University,law,Dept of Physics,B.Eng,600,UTME,16-Jan-1995,09 September 2023,4.98,chinedu.adekunle@gmail.com,(838) 851-6060,Rivers State,1
cYK/87658/04,Obinna Abubakar,University of Lagos (UNILAG),Faculty of Medicine,Dept of Electrical Engineering,MBBS,300,UTME ,1996-12-18,2024/03/26,3.81,obinna.abubakar@oauife.edu.ng,(872) 050-6149,Ogun,FALSE
fRB/98525/04,Chidi Adeyemi,Ahmadu Bello University (ABU),Education,Dept of Biochemistry,B.Ed,100L,Direct Entry,15/03/1996,01-Jan-2022,1.1,chidi.adeyemi@student.unilag.edu.ng,0286 990 4137,Kano,true
gPe/73721/02,Tunde Bello,Obafemi Awolowo University (OAU),Medical Sciences,Dept of Biochemistry,Bsc,100L,utme,N/A,22 February 2019,1.1,tunde.bello@oauife.edu.ng,16868548709,Enugu,No
Ucb/43734/01,Halima  Ajayi,University of Nigeria Nsukka (UNN),Engr,Dept of Biochemistry,B.Ed,200L,Post-UTME,1996-11-17,10.05.2023,NIL,halima.ajayi@student.unilag.edu.ng,234-455-611-002,Rivers,0
BWG/23206/01,AMARA AFOLABI,Ahmadu Bello University (ABU),Science,Dept of Computer Science,M.Sc.,400,direct entry,00/00/0000,not set,4.4,amara.afolabi@gmail.com,+234666760083,Delta,Y
hVH/66814/04,Ifeoma Olawale,Ahmadu Bello University (ABU),Management Sciences,Dept of Electrical Engineering,B.Sc.,200L,Post-UTME,2001/12/08,2021-10-06,1.36,ifeoma.olawale@gmail.com,07816184959,Cross River,yes
USL/75802/02,  Funmilayo Adekunle   ,Ahmadu Bello University (ABU),Social Sciences,Dept of Computer Science,B.Sc.,100,UTME,2003-02-27,05/26/2023,4.08,NULL,02265676618,Cross River,no
TMe/46331/02,Chinedu Mohammed,University of Lagos (UNILAG),Engineering,Dept of Economics,B.Ed,200,UTME ,11/22/2009,2022/07/28,0.61,chinedu.mohammed@student.unilag.edu.ng,86688263435,Imo,false
OVC/50437/04,Chioma Ogundimu,Lagos State University (LASU),management sciences,Dept of Economics,Bsc,200,UTME ,01/07/2001,12/04/2019,2.68,chioma.ogundimu@student.unilag.edu.ng,26204505331,Kaduna,no
Rfc/39312/02,Halima Adekunle,Covenant University,SOCIAL SCIENCES,Dept of Electrical Engineering,Ph.D,level 300,direct entry,09/18/1998,,1.03,halima.adekunle@gmail.com,0251 354 2784,Akwa Ibom,Yes
iZc/13898/04,  NGOZI EZE   ,Lagos State University (LASU),EDUCATION,Dept of Accounting,B.Sc.,200L,Direct Entry,14 September 2010,28.05.2023,3.94,?,+234472122816,Delta,No
YAX/40420/01,aliyu mohammed,University of Nigeria Nsukka (UNN),MANAGEMENT SCIENCES,Dept of Physics,B.Ed,100,Direct Entry,08 October 2010,2022-05-01,3.92,aliyu.mohammed@student.unilag.edu.ng,0000000000,Kano,no
LZC/16493/04,Zainab Ajayi,Ahmadu Bello University (ABU),social sciences,Dept of Accounting,B.Eng,400 level,Direct Entry,unknown date,04 December 2019,3.42,zainab.ajayi@oauife.edu.ng,08039282722,Abuja,true
ecA/42908/01,  CHIDI CHUKWU,Ahmadu Bello University (ABU),Law,Dept of Economics,Bsc,100L,UTME,01/29/2004,2021-01-26,1.78,chidi.chukwu@student.unilag.edu.ng,06530745054,Edo,Y
EcG/13580/04,Amaka Chukwu,Covenant University,Faculty of Medicine,Dept of Law,Bsc,400,utme,03/03/1998,03-Dec-2023,0.67,amaka.chukwu@student.unilag.edu.ng,0835 642 0873,Oyo,yes
RDK/88520/01,Aliyu Eze,Covenant University,Social Sciences,Dept of Computer Science,B.Sc,100,utme,03/05/2000,16 January 2024,3.01,aliyu.eze@student.unilag.edu.ng,+234678544587,Akwa Ibom,true
YZK/15230/02,Chinedu Nwosu,Lagos State University (LASU),Engr,Dept of Biochemistry,B.Eng,100,Post-UTME,10 April 2010,00/00/0000,1.44,chinedu.nwosu@gmail.com,0759 492 9955,Oyo,false
bYc/37969/02,IFEOMA OKONKWO,University of Nigeria Nsukka (UNN),law,Dept of Physics,MBBS,100,UTME ,05/10/2000,13-Sep-2018,3.52,ifeoma.okonkwo@gmail.com,0000000000,Akwa Ibom,0
BNH/83565/01,Tobi Chukwu,Obafemi Awolowo University (OAU),Education,Dept of Physics,B.Ed,500,direct entry,15-May-2008,06/26/2023,?,tobi.chukwu@student.unilag.edu.ng,52287280801,Akwa Ibom,0
UZL/52809/01,Obinna Chukwu,Ahmadu Bello University (ABU),Faculty of Engineering,Dept of Biochemistry,B.Sc.,level 300,UTME,2009/02/07,14/12/2018,2.45,obinna.chukwu@student.unilag.edu.ng,80940244550,kano,no
Ggg/93392/01,Fatima Afolabi,University of Nigeria Nsukka (UNN),Engineering,Dept of Biochemistry,B.Sc,200,Post-UTME,23-Dec-2000,04/06/2022,3.53,?,0520 643 6110,Oyo State,N
CEZ/27427/02,  AMARA EZE,Covenant University,LAW,Dept of Computer Science,LLB,400,utme,2000/03/06,12/02/2019,4.99,amara.eze@oauife.edu.ng,(782) 911-4678,Edo,yes
fOD/88838/03,Chioma Balogun,Ahmadu Bello University (ABU),ARTS,Dept of Computer Science,M.Sc.,500,UTME,09/09/2001,19 June 2024,0.95,chioma.balogun@oauife.edu.ng,01171822782,Ogun,0
ACY/33286/04,Femi Suleiman,Lagos State University (LASU),science,Dept of Law,LLB,level 300,Transfer,30-Dec-1997,2022-02-03,4.27,femi.suleiman@oauife.edu.ng,07687014626,Ogun,1
Phk/70085/01,  ngozi mohammed,University of Lagos (UNILAG),Education,Dept of Law,B.A.,600,Post-UTME,30-Sep-2002,09/30/2021,4.87,ngozi.mohammed@oauife.edu.ng,06537556464,Akwa Ibom,1
