AccountNo,CustomerName,CustomerPhone,DISCO,TariffCategory,AccountType,BillingMonth,UnitsConsumed_kWh,TariffRate_per_kWh,BillAmount,PreviousArrears,TotalAmountDue,PaymentStatus,MeterNumber,State
DISCO839133,Aliyu Okeke,invalid,EEDC (Enugu),C1 ,prepaid,2025/06/19,3069.37,85.8,"₦263,351.95",75051.33 naira,"N338,403",UNPAID,MTR8533096,Kaduna
DISCO889826,Obinna Bello,(569) 902-3557,AEDC (Abuja),R1,Prepaid,01/29/2024,unknown,186.23 naira,"NGN 162,460",unknown,"NGN 162,460",Unpaid,MTR6319888,Cross River
DISCO415808,Adaeze Chukwu,(588) 006-1675,IBDC (Ibadan),Residential,Pre-paid,2025-04-13,1558.9,N189,294928.29 naira,nil,294928.29 naira,UNPAID,MTR1757202,Delta
DISCO862961,Bisi Afolabi,0204 179 2911,AEDC (Abuja),Commercial (C1),prepaid,2025/04/26,2596.47,N226,"NGN 586,620",unknown,"₦586,620.47",Arrears,MTR7071727,Kaduna
DISCO553704,Tobi Bello,234-175-455-884,EEDC (Enugu),commercial,prepaid,14.12.2024,1009.66,65.21 naira,65839.92859999998,47267.77 naira,"₦113,107.70",Partial,MTR7796343,Oyo
DISCO656965,Kemi Mohammed,0912 418 6210,KEDCO (Kano),R1,Pre-paid,2025-06-04,4403.81,190.97,"N840,996",53918.92,"N894,915",paid ,MTR9507289,rivers
DISCO703546,amaka okeke,22031030372,AEDC (Abuja),Residential (R2),POSTPAID,,2822.12,N182,"₦512,779.20","28,499.33 ",541278.534,Partial,MTR1289785,Imo
DISCO359363,Bola Lawal,0046 619 6399,PHED (Port Harcourt),R2,Prepaid,2024/07/12,1646.61,199.43,"₦328,383.43","NGN 30,274","N358,657",Partial,MTR3503866,Kaduna
DISCO187203,Chidi Olawale,234-884-318-848,IBDC (Ibadan),commercial,Post paid,07 April 2024,4222.09,₦193.12,"N815,370",75975.24 naira,--,paid,MTR7608160,Delta
DISCO503713,Amaka Okeke,0497 677 6228,IBDC (Ibadan),Residential (R2),prepaid,2025/01/31,1201.99,NGN 114,"136,534.04 ",,"N136,534",Partially Paid,-,Kano
DISCO194227,Sadiq Yusuf,80053759900,IBDC (Ibadan),Industrial (D3),prepaid,15.10.2024,4495.85,220.64,991964.34 naira,,"N991,964",paid ,MTR7026376,Edo
DISCO367325,Kunle Abubakar,+234649081081,KEDCO (Kano),R2,Pre-paid,2024/11/03,1238.11,131.18,"₦162,415.27",,,Partial,MTR7526187,Imo
DISCO248363,Sadiq Nnamdi,(290) 490-4712,EKEDC (Eko),Residential (R2),Postpaid,03/10/2024,3647.81,₦220.55,"NGN 804,524",,"₦804,524.50",Arrears,MTR2385938,Ogun
DISCO641280,Bisi Lawal,234-564-111-824,EEDC (Enugu),r1,Post paid,08/10/2024,1572.72,₦147.87,"232,558.11 ",,"232,558.11 ",paid,MTR9643954,Enugu
DISCO621448,Yusuf Olawale,+234715041659,EKEDC (Eko),Residential (R1),Postpaid,2024/08/12,2347.97,136.44,"N320,357",,,UNPAID,MTR3392010,Oyo
DISCO219684,Kemi Suleiman,07823298324,EEDC (Enugu),commercial,Pre-paid,04/12/2025,3516.83,₦224.14,"NGN 788,262",,"N788,262",Unpaid,MTR5443133,Oyo State
DISCO392219,Amara Yusuf,05647570512,EKEDC (Eko),R1,POSTPAID,2024-06-17,--,N132,--,34068.84 naira,"₦190,840.73",Paid,MTR8074975,Cross River
DISCO951752,Obinna Eze,0082 404 3350,AEDC (Abuja),Commercial (C1),Post paid,19.02.2025,3305.84,117.30 naira,"NGN 387,775",58277.86 naira,"N446,053",Paid,MTR2472730,Enugu
DISCO944149,Tunde Okonkwo,(702) 814-0693,IKEDC (Ikeja),R2,Pre-paid,15.02.2025,2410.8,NGN 210,"506,171.57 ",,null,UNPAID,MTR6054719,Oyo
DISCO117497,Chidi Okonkwo,+234807823578,EEDC (Enugu),commercial,POSTPAID,15.04.2024,3727.71,₦55.47,206776.0737,20996.45,"NGN 227,773",paid ,MTR9037393,Kano
DISCO985774,Obinna Olawale,04439735971,EKEDC (Eko),Residential (R2),POSTPAID,2024/12/28,4414.75,186.53,"₦823,483.32",,"NGN 823,483",UNPAID,MTR6350660,Kano
DISCO148299,Kemi Olawale,(135) 247-8712,IBDC (Ibadan),commercial,Postpaid,05-Dec-2024,3064.44,unknown,574613.14 naira,,574613.14 naira,paid ,MTR6020214,Plateau
DISCO667167,Fatima Nnamdi,(132) 719-5005,IBDC (Ibadan),Residential (R1),prepaid,02/03/2024,,NGN 74,"₦98,474.53",71970.42 naira,"NGN 170,445",paid,MTR6539379,Edo
DISCO538867,Bola Balogun,+234702793714,KEDCO (Kano),R2,Postpaid,05-Apr-2024,NIL,₦87.93,307602.88 naira,null,307602.8811,Partially Paid,MTR6127619,Rivers
DISCO761964,Tunde Adekunle,(016) 580-4649,EEDC (Enugu),Industrial (D3),Post paid,24/01/2025,3924.26,₦214.84,843088.02 naira,12199.97,855287.99 naira,Unpaid,MTR2710197,Cross River
DISCO904314,Tunde Balogun,04818321928,KEDCO (Kano),C1 ,prepaid,28 November 2024,1864.31,79.99,"₦149,126.16",n/a,149126.15689999997,paid,MTR7357150,Ogun
DISCO886154,Halima Olawale,88608680347,KEDCO (Kano),C1 ,Pre-paid,31/12/2024,3759.88,97.47 ,  ,-,nil,UNPAID,MTR2170040,Plateau
DISCO708685,Sadiq Okonkwo,02530428973,EKEDC (Eko),R2,prepaid,07/13/2024,Unknown,N145,143295.0454,56261.79 naira,199556.84 naira,Arrears,MTR7765338,Oyo
DISCO769669,Emeka Afolabi,24220102762,AEDC (Abuja),Residential (R2),prepaid,03.08.2024,1481.12,181.92,"269,445.35 ","NGN 63,503",NIL,paid,MTR6007297,Kaduna
DISCO355229,Musa Okafor,0985 700 2720,IKEDC (Ikeja),Commercial (C1),Pre-paid,2024-06-24,2446.87,147.07 ,"₦359,861.17","NGN 70,022",429882.90089999995,Partial,MTR6307723,Abuja
DISCO822612,Segun Okeke,+234943533448,EEDC (Enugu),Residential (R1),Pre-paid,15/04/2024,4419.49,85.28 naira,"₦376,894.11",,--,Unpaid,MTR4299102,Kaduna
DISCO897311,Sadiq Bello,234-409-003-486,IBDC (Ibadan),Residential (R2),POSTPAID,27.08.2024,3277.23,N177,N/A,76728.08,"₦656,240.66",Paid,MTR2879291,Kano
DISCO766537,Adaeze Nwosu,(189) 616-4236,KEDCO (Kano),R2,Post paid,06.08.2024,934.72,NGN 182,"N170,138","₦79,363.58","N249,501",Partial,MTR8056596,Cross River
DISCO979943,Blessing Mohammed,0905 510 7620,AEDC (Abuja),Residential (R1),prepaid,01/12/2025,592.91,NGN 71,"₦42,215.19","N28,250",70465.31 naira,paid,MTR9165299,Ogun
DISCO410397,  amaka olawale   ,07779014754,EKEDC (Eko),r1,prepaid,25/04/2025,712.42,210.45 ,149928.789,,"NGN 149,929",Arrears,,Kaduna
DISCO841808,Chioma Adekunle,01126691215,EKEDC (Eko),r1,Postpaid,13/03/2024,630.76,--,122626.05159999999,"NGN 32,084",154710.3516,Unpaid,MTR7734698,Delta
DISCO179028,Sadiq Nwosu,72200543645,PHED (Port Harcourt),Residential (R1),prepaid,06/13/2025,3607.51,NGN 61,220887.8373,,"220,887.84 ",Unpaid,MTR6589859,Akwa Ibom
DISCO506531,Bisi Suleiman,+234503136502,AEDC (Abuja),R2,Post paid,09/05/2024,3047.98,106.13 naira,323482.1174,,323482.1174,Unpaid,MTR4470291,Akwa Ibom
DISCO709545,   tunde okonkwo,invalid,EEDC (Enugu),Residential (R1),Postpaid,24-Dec-2024,367.32,190.23,69875.28 naira,,69875.2836,Unpaid,--,Imo
DISCO367833,Funmilayo Okonkwo,0011 117 8309,IKEDC (Ikeja),Residential,Postpaid,19 July 2024,542.78,₦175.95,"NGN 95,502","NGN 29,952",,UNPAID,MTR5468519,Cross River
DISCO436307,Fatima Adeyemi,07142241098,EKEDC (Eko),C1 ,Post paid,05 March 2024,3974.29,N117,"NGN 466,423",4317.91 naira,470740.5844,paid,MTR6124211,Imo
DISCO952441,Chinedu Afolabi,0639 343 6262,KEDCO (Kano),r1,Post paid,2025-04-30,2384.05,₦99.08,"236,211.67 ","N69,728","NGN 305,940",Arrears,MTR8176399,Oyo
DISCO306543,Blessing Balogun,02321298338,AEDC (Abuja),Residential,Postpaid,2024-10-17,2978.93,228.57,680894.0301,,"NGN 680,894",Partial,MTR9415336,Abuja
DISCO935928,Amara Eze,55460158517,KEDCO (Kano),Residential,prepaid,05-Jan-2025,NULL,195.25,70635.59 naira,,"₦70,635.59",Unpaid,MTR1693359,Delta
DISCO837815,Segun Okeke,0596 555 5356,EKEDC (Eko),Residential (R1),Post paid,01/02/2025,4465.93,124.28 naira,"NGN 555,026",--,555025.78 naira,Partially Paid,n/a,Rivers
DISCO721806,Segun Suleiman,+234938276153,KEDCO (Kano),Commercial (C1),Post paid,01/06/2024,3759.51,₦113.05,"NGN 425,013",NULL,,Partial,MTR8165446,Oyo
DISCO508895,Chinedu Lawal,03243298395,EKEDC (Eko),Residential (R1),prepaid,01 August 2024,2160.81,N137,"₦296,290.27",null,"NGN 296,290",Paid,MTR4965830,Cross River
DISCO275982,Kunle Ogundimu,04864015577,IBDC (Ibadan),commercial,Prepaid,17-Aug-2024,1832.25,N108,"₦197,113.45","₦30,824.67",227938.12 naira,Partial,MTR5954692,abuja
DISCO385521,Tobi Balogun,(544) 518-9520,IBDC (Ibadan),C1 ,Pre-paid,2024/07/19,3500.3,N66,N/A,,229759.692,paid ,MTR3124764,Edo
DISCO627716,Ngozi Adekunle,06479473864,EEDC (Enugu),C1 ,POSTPAID,09.01.2025,--,100.27,406983.90 naira,,"406,983.90 ",Partial,MTR3967621,kano
DISCO886791,  emeka nwosu,N/A,KEDCO (Kano),commercial,Postpaid,02/19/2024,1111.27,151.16,167979.57319999998,"N13,802",,Arrears,MTR9774012,Cross River
DISCO498222,Kemi Nwosu,09317342069,PHED (Port Harcourt),Residential (R1),Postpaid,09.09.2024,1176.76,N185,"NGN 217,430",,"NGN 217,430",Arrears,NULL,Lagos
DISCO280765,Kunle Adeyemi,+234712863917,IKEDC (Ikeja),Industrial (D3),Prepaid,03/05/2025,3421.62,--,"₦779,992.50",44311.89 naira,"₦824,304.39",Arrears,MTR5338420,Edo
DISCO444600,TUNDE ADEYEMI,06780856271,AEDC (Abuja),Industrial (D3),Pre-paid,2024/08/11,134.58,174.34,"₦23,462.68",null,"NGN 23,463",Arrears,MTR9087141,Kano
DISCO129874,Bisi Adeyemi,0326 667 8507,PHED (Port Harcourt),commercial,Post paid,23 April 2025,3539.0,N218,772386.75,34570.88 naira,806957.63,Paid,MTR3195026,Ogun
DISCO796244,Tunde Olawale,234-267-969-278,IKEDC (Ikeja),Residential (R2),Post paid,22 February 2024,963.08,₦158.90,Unknown,null,"NGN 153,033",paid ,Unknown,Kaduna
DISCO251666,blessing mohammed,92548121478,KEDCO (Kano),C1 ,Post paid,05/19/2025,3973.46,119.81 ,476060.2426,55033.81,"N531,094",Partially Paid,MTR4683109,Abuja
DISCO340008,Bisi Chukwu,+234465111312,AEDC (Abuja),R2,Prepaid,10 June 2024,3716.24,NGN 216,801555.8056,53335.7,854891.5055999999,UNPAID,MTR7010211,Enugu
DISCO626785,chioma adekunle,234-695-832-197,EEDC (Enugu),C1 ,POSTPAID,22/05/2025,3746.48,N140,"₦524,020.16",-,524020.15760000004,Partially Paid,MTR9438039,Delta
DISCO673719,Zainab Balogun,07389877515,IKEDC (Ikeja),Residential (R2),Pre-paid,31/10/2024,2405.81,₦144.15,"₦346,797.51","₦56,398.74",  ,paid ,MTR9941565,Cross River
DISCO719583,Musa Bello,234-214-565-328,IBDC (Ibadan),R2,prepaid,05/25/2024,88.21,N123,"N10,837",22892.47 naira,"N33,729",Partial,MTR4804764,Kano
DISCO577017,Aliyu Olawale,08896792408,IKEDC (Ikeja),R1,Pre-paid,2025-04-19,4194.47,N142,"NGN 596,747",,"₦596,747.25",Paid,MTR3343945,Kano
DISCO850108,SEGUN  MOHAMMED,234-614-987-283,IBDC (Ibadan),Residential (R1),prepaid,2025/04/11,4413.47,NGN 144,"636,731.32 ",,,Unpaid,MTR5414274,Imo
DISCO899918,Tunde Balogun,234-217-762-534,AEDC (Abuja),Residential (R1),prepaid,11.12.2024,1892.0,120.20 naira,nil,,"N227,418",paid,,Rivers State
DISCO983328,Kemi Ogundimu,N/A,AEDC (Abuja),Commercial (C1),prepaid,24.05.2024,4462.56,204.53 naira,"NGN 912,727",,"NGN 912,727",Partial,MTR1985114,Kano
DISCO247859,Sadiq Ogundimu,0603 408 4872,KEDCO (Kano),R1,Postpaid,,378.17,NGN 186,"NGN 70,272",null,"N70,272",paid,MTR9192945,Plateau
DISCO950141,Aliyu Nwosu,+234111751868,AEDC (Abuja),r1,prepaid,23/08/2024,3312.69,₦220.39,730083.7491,"NGN 49,338",779422.0991,UNPAID,MTR3605524,Edo
DISCO855108,Amaka Okafor,09685270171,AEDC (Abuja),Residential (R1),Prepaid,30-Mar-2025,4214.23,NGN 102,"NGN 428,671",,,Paid,MTR5660351,Abuja
DISCO410160,zainab  chukwu,09759230450,KEDCO (Kano),Industrial (D3),POSTPAID,01/30/2025,2579.72,₦122.49,"NGN 315,990","₦78,179.48","₦394,169.38",Arrears,MTR9764329,Ogun
DISCO721130,Zainab Okafor,234-111-780-068,IKEDC (Ikeja),C1 ,Post paid,00/00/0000,2495.42,222.62 naira,"N555,530",,"₦555,530.40",Arrears,MTR1247844,Plateau
DISCO179761,chioma adekunle   ,(242) 875-7215,IKEDC (Ikeja),Residential (R1),Pre-paid,02.05.2024,29.09,182.35,"NGN 5,305",NIL,"N84,412",Partial,MTR4099165,Plateau
DISCO446336,halima eze,00409157018,KEDCO (Kano),Industrial (D3),prepaid,19 January 2025,3054.83,225.36,688436.4888,,"₦688,436.49",UNPAID,MTR7462239,Rivers
DISCO595967,Fatima Ajayi,0123 476 4907,EKEDC (Eko),Commercial (C1),POSTPAID,10.01.2025,3289.78,95.81,"₦315,193.82",,315193.82180000003,Unpaid,null,Ogun
DISCO534693,Chioma Adekunle,48964652809,AEDC (Abuja),Residential (R2),Prepaid,21 May 2024,2223.9,228.87,508983.993,"16,649.49 ",525633.483,UNPAID,MTR2224473,Imo
DISCO177336,Obinna Adeyemi,08338848792,IBDC (Ibadan),r1,Post paid,10 December 2024,1953.06,  ,114312.6018,NULL,"₦114,312.60",Partially Paid,MTR4612353,Kano
DISCO563330,Grace Ajayi,03027642086,EEDC (Enugu),commercial,Postpaid,2024-06-16,3236.13,56.36,"₦182,388.29",,"₦182,388.29",Arrears,?,Ogun
DISCO184883,Aliyu Suleiman,234-381-447-443,EKEDC (Eko),C1 ,Postpaid,2025/03/02,511.96,NGN 112,"N57,283",-,"N57,283",Unpaid,MTR2203787,Ogun
DISCO595504,Chidi Suleiman,62252237281,PHED (Port Harcourt),commercial,Postpaid,10.06.2024,3740.67,₦93.95,351435.9465,"4,043.13 ",,Partially Paid,MTR1728150,Imo
DISCO235766,Blessing Bello,0466 572 9341,AEDC (Abuja),Commercial (C1),Post paid,31-Jan-2025,NULL,NGN 224,18859.97 naira,--,"N18,860",Arrears,MTR9105355,Fct Abuja
DISCO432798,Blessing Okeke,+234674916016,PHED (Port Harcourt),r1,POSTPAID,04 August 2024,1153.22,134.59 ,"N155,212",Unknown,"N155,212",Arrears,  ,Anambra
DISCO158317,Funmilayo Abubakar,+234213760375,IBDC (Ibadan),Residential,Pre-paid,05/12/2024,3728.52,133.18,496564.29360000003,N/A,"₦496,564.29",UNPAID,MTR2379079,Oyo
DISCO674158,Zainab Ajayi,invalid,IBDC (Ibadan),Commercial (C1),prepaid,27 January 2025,2634.31,₦124.98,"N329,236",NIL,"NGN 329,236",paid,MTR1060547,Ogun
DISCO166979,Tunde Suleiman,+234156956201,KEDCO (Kano),Commercial (C1),Postpaid,2025/06/15,1760.93,--,"N225,751",,"NGN 225,751",paid ,--,Edo
DISCO396780,Amara Eze,+234836655289,IKEDC (Ikeja),Residential (R2),POSTPAID,25/07/2024,?,183.24 ,"NGN 542,832",N/A,"₦542,832.01",Partial,MTR4135699,Enugu
DISCO769488,Grace Adeyemi,invalid,EKEDC (Eko),r1,Pre-paid,03/12/2024,3553.16,₦179.28,637010.52 naira,,"₦637,010.52",paid,MTR9650750,Plateau
DISCO664655,Tobi Yusuf,0050 505 7397,AEDC (Abuja),C1 ,Prepaid,00/00/0000,2915.92,NGN 159,"NGN 462,290",null,"NGN 510,567",Paid,MTR6189138,Enugu
DISCO682936,Chioma Adekunle,07908075957,IKEDC (Ikeja),Residential (R2),prepaid,01/20/2024,1917.78,NGN 139,267242.643,-,"267,242.64 ",Partially Paid,MTR7519633,Ibadan
DISCO307304,   Chinedu Suleiman,04950136497,AEDC (Abuja),r1,Prepaid,31.01.2024,535.15,₦118.14,"NGN 63,223",unknown,63222.62 naira,paid ,MTR6864452,Cross River
DISCO637393,Amara Eze,234-046-152-654,IBDC (Ibadan),Residential (R1),Pre-paid,2024/10/28,1756.81,173.16 naira,"NGN 304,209","NGN 65,965",370173.79 naira,Arrears,MTR7058451,Kaduna
DISCO571346,Ibrahim Nwosu,+234076986407,EEDC (Enugu),R2,Post paid,2024/05/13,3901.42,--,"N875,362","₦2,809.86","878,171.47 ",Partial,MTR8019080,Abuja
DISCO841063,  Fatima Bello,01652669300,EEDC (Enugu),Industrial (D3),POSTPAID,25 April 2024,1226.71,NGN 195,239048.97770000002,14261.01,253309.98770000003,UNPAID,MTR7359971,Imo
DISCO602894,Femi Adeyemi,,EEDC (Enugu),commercial,Prepaid,20.06.2024,3421.77,193.58,"₦662,386.24","61,783.47 ",724169.71 naira,paid,MTR7286891,Anambra
DISCO349448,Tobi Olawale,+234089071401,IKEDC (Ikeja),Commercial (C1),Postpaid,14-Apr-2025,4185.04,174.59 naira,"N730,666",15645.4,"NGN 746,312",Partial,MTR8574654,Lagos
DISCO405192,Musa Mohammed,(412) 094-8181,EKEDC (Eko),C1 ,Prepaid,08.01.2024,3899.99,170.49 ,664909.30 naira,,"664,909.30 ",UNPAID,MTR5122237,ABUJA
DISCO876103,Bola Okeke,(661) 794-5491,KEDCO (Kano),Industrial (D3),POSTPAID,06.11.2024,4443.4,₦151.80,"674,508.12 ",,674508.12 naira,Arrears,MTR3646482,Lagos
DISCO387366,Halima Chukwu,(167) 423-3629,AEDC (Abuja),Commercial (C1),POSTPAID,2024-03-09,1321.31,₦149.36,"N197,351",NIL,"197,350.86 ",Partially Paid,MTR3058110,Cross River
DISCO380017,Fatima Okonkwo,+234121416141,IBDC (Ibadan),Residential (R1),Post paid,N/A,1146.4,NIL,142073.35 naira,unknown,"142,073.35 ",paid ,MTR6362126,abuja
DISCO921498,Ngozi Adekunle,+234397767199,PHED (Port Harcourt),Residential (R1),POSTPAID,08/24/2024,3525.31,₦88.58,312271.96 naira,null,312271.96 naira,paid,MTR4995158,Delta
DISCO982390,Halima Afolabi,invalid,EEDC (Enugu),Residential (R1),Prepaid,04/26/2024,3610.42,N149,"N536,220",,"536,219.58 ",paid ,MTR6864992,Lagos
DISCO856990,Grace Okeke,0504 892 6738,KEDCO (Kano),Commercial (C1),Post paid,02-Nov-2024,985.41,null,89721.58 naira,,"NGN 89,722",UNPAID,MTR4449126,Anambra
DISCO114778,Kunle Ajayi,234-175-207-167,AEDC (Abuja),R2,POSTPAID,24/09/2024,3133.05,₦137.12,429603.81600000005,,"₦429,603.82",UNPAID,MTR3601528,Lagos
DISCO829136,Tobi Eze,(763) 655-6472,EKEDC (Eko),Industrial (D3),Pre-paid,03/03/2024,718.59,65.48 naira,"47,053.27 ",5974.97,"53,028.24 ",Unpaid,MTR6191492,Akwa Ibom
DISCO853151,Bola Yusuf,82806479695,PHED (Port Harcourt),C1 ,Post paid,14-Apr-2024,2336.35,₦209.76,"₦490,072.78",unknown,490072.78 naira,UNPAID,MTR8959777,Imo
DISCO968713,  fatima afolabi,+234547492975,PHED (Port Harcourt),C1 ,Pre-paid,16.08.2024,302.82,NGN 165,"50,025.86 ",nil,"₦50,025.86",paid,MTR4014611,Rivers
DISCO898661,Tunde Suleiman,05201777490,IKEDC (Ikeja),r1,Post paid,26 August 2024,172.45,₦185.04,31910.15 naira,15801.09 naira,"47,711.24 ",Partial,MTR2907096,Enugu
DISCO346427,Kemi Adeyemi,234-719-597-964,IBDC (Ibadan),Industrial (D3),Pre-paid,07.11.2024,885.12,₦134.81,"NGN 119,323",-,"N119,323",Partially Paid,MTR8767965,Anambra
DISCO119929,Tobi Ajayi,(717) 833-3211,AEDC (Abuja),C1 ,Post paid,17.09.2024,4243.06,N163,"NGN 690,813","77,749.07 ","NGN 768,562",paid,MTR2702834,Anambra
DISCO954056,Femi Ogundimu,18344049639,EEDC (Enugu),Commercial (C1),Postpaid,20/06/2024,710.44,97.44 naira,"NGN 69,225",null,69225.27 naira,paid ,MTR7529675,Anambra
DISCO623979,Bisi Adeyemi,234-514-846-853,IKEDC (Ikeja),r1,Pre-paid,08 April 2025,1925.27,₦88.75,"₦170,867.71",NIL,"170,867.71 ",Partially Paid,MTR6777920,Cross River
DISCO715772,Ibrahim Yusuf,(579) 055-2818,PHED (Port Harcourt),Residential,Prepaid,2025-03-31,404.94,178.18 ,null,"N50,894",123046.68 naira,Unpaid,MTR1365423,Oyo
DISCO698358,Ifeoma Nnamdi,(870) 320-3207,PHED (Port Harcourt),C1 ,Postpaid,2024/02/05,1027.09,61.4,63063.33 naira,,"₦63,063.33",Arrears,unknown,Cross River
DISCO485501,Grace Okeke,(393) 852-5800,KEDCO (Kano),Residential (R1),Postpaid,04.12.2024,416.15,214.40 naira,89222.56 naira,6942.44 naira,"N96,165",paid,MTR1547915,Anambra
DISCO792847,Musa Okonkwo,invalid,KEDCO (Kano),Residential,POSTPAID,29-Oct-2024,1006.43,  ,"₦223,950.80",55370.92 naira,279321.72 naira,Paid,MTR6124603,Delta
DISCO601038,Amaka Adeyemi,+234205664742,IKEDC (Ikeja),R1,Post paid,21/06/2025,1648.28,91.31,--,"NGN 43,558","NGN 194,062",Unpaid,MTR2201556,Enugu
DISCO498661,Halima Adeyemi,N/A,IBDC (Ibadan),R2,Postpaid,2024/06/13,2832.14,N171,"N483,305",n/a,562765.57 naira,Partial,MTR8046010,Delta
DISCO192915,Bola Afolabi,+234500369155,EKEDC (Eko),Residential (R2),prepaid,28/09/2024,1245.87,₦194.05,"NGN 241,761","N66,042","N307,803",Paid,MTR1797935,Edo
DISCO906037,Femi Okafor,(415) 148-8814,PHED (Port Harcourt),r1,prepaid,05/08/2024,1712.92,N128,"NGN 218,963",NULL,218962.5636,Unpaid,MTR6889117,Ogun
DISCO605529,Chinedu Abubakar,0292 983 1687,IBDC (Ibadan),commercial,POSTPAID,03.05.2025,1939.78,187.72 naira,"NGN 364,136",61642.43 naira,"₦425,777.93",Unpaid,MTR3408827,LAGOS
DISCO690500,Bola Ogundimu,(242) 044-8207,PHED (Port Harcourt),R1,Prepaid,17 May 2024,4036.55,₦97.00,"NGN 391,545",,"NGN 391,545",Paid,MTR8602276,Cross River
DISCO727941,Wale Okafor,09196570132,KEDCO (Kano),Industrial (D3),prepaid,26.06.2025,1411.85,74.53 ,"NGN 105,225",,105225.18049999999,paid ,MTR3604390,Oyo State
DISCO180593,Obinna Chukwu,99880817703,IBDC (Ibadan),Commercial (C1),Prepaid,26.05.2025,529.95,₦91.26,48363.23700000001,unknown,48363.24 naira,UNPAID,MTR1614565,Lag
DISCO290451,CHIOMA BELLO,234-035-533-803,AEDC (Abuja),commercial,Postpaid,08 November 2024,NULL,₦192.84,NULL,"18,730.28 ","N520,299",Partially Paid,MTR9650043,Plateau
DISCO394040,musa okonkwo,0017 226 0164,KEDCO (Kano),r1,Postpaid,02/03/2025,2311.54,N155,"NGN 357,965",,"₦357,965.08",Paid,MTR4516117,Oyo State
DISCO821520,Zainab Adekunle,01871863759,AEDC (Abuja),Residential,Post paid,N/A,2165.51,161.71 naira,"₦350,184.62",28506.46,"NGN 378,691",paid ,MTR8858567,Plateau
DISCO687339,Kunle Chukwu,98926256609,IKEDC (Ikeja),r1,Prepaid,2024-09-15,2075.19,94.11,"195,296.13 ",nil,"N195,296",Unpaid,MTR9250596,Cross River
DISCO807018,Fatima Nwosu,39660558303,AEDC (Abuja),Residential (R2),POSTPAID,2024/03/14,1711.29,184.28 naira,"NGN 315,357","₦8,396.13","NGN 323,753",Partial,MTR8734029,Enugu
DISCO657854,  Blessing Okonkwo,(376) 938-9833,EEDC (Enugu),Industrial (D3),Pre-paid,00/00/0000,1389.1,n/a,"270,805.04 ","N57,658",328463.52499999997,Partial,MTR1080315,Imo
