order_id,CUST ID,First Name,last_name,date,product,category,region,price,qty,quantity,rating,gender,margin_pct,tags,age,SALES_AMT,DOB,Reg?,sales_amount,channel,payment_mode,unit_cost,profit
ORD-011890,CUST-4466,Yemi,Idris,2024-07-27,Phone,Electronics,lagos,159600.0,2,2,4.8,Female,31.27,"bulk_order,promo,new_customer",48,319200.0,1976-03-14,No,319200.0,In-Store,POS,109700.0,99800.0
ORD-010083,CUST-5250,Yemi,Eze,2024-01-24,Notebook A4,Stationery,Port Harcourt,3500.0,1,1,5.0,Female,31.43,"seasonal,vip,bulk_order",53,3500.0,1971-09-24,Yes,3500.0,B2B,Bank Transfer,2400.0,1100.0
ORD-011683,CUST-7909,Ngozi,Nwosu,2024-04-24,Rice 50kg,Groceries,Lagos,51100.0,1,1,5.0,Male,31.12,"online_exclusive,seasonal,bulk_order",22,51100.0,2002-10-28,Yes,51100.0,Wholesale,Mobile App,35200.0,15900.0
ORD-010869,CUST-3069,Chidi,Okoro,2024-12-06,Sugar 25kg,Groceries,Abuja,23500.0,2,2,4.0,Male,36.17,"loyalty,first_purchase",32,47000.0,1992-05-09,No,47000.0,B2B,USSD,15000.0,17000.0
ORD-011596,CUST-7051,Bisi,Eze,2024-11-13,Vitamins,Health,Enugu,15400.0,20,20,4.8,M,38.96,"online_exclusive,first_purchase,new_customer",21,308000.0,2003-12-08,No,308000.0,B2B,POS,9400.0,120000.0
ORD-010203,CUST-5370,Adaeze,Adesanya,2024-09-12,Monitor,Electronics,Abuja,240400.0,10,10,4.7,M,33.69,"online_exclusive,seasonal",19,2404000.0,2005-04-15,No,2404000.0,Online,Mobile App,159400.0,810000.0
ORD-010216,CUST-2113,Adaeze,Adesanya,2024-06-12,Headset,Electronics,Ibadan,38100.0,3,3,4.9,F,38.06,first_purchase,29,114300.0,1995-04-07,Yes,114300.0,Wholesale,Mobile App,23600.0,43500.0
ORD-013792,CUST-1308,Amina,Suleiman,2024-07-24,Standing Desk,Furniture,Kano,129400.0,1,1,5.0,F,42.66,"seasonal,promo,first_purchase",18,129400.0,2006-02-06,No,129400.0,Online,POS,74200.0,55200.0
ORD-011457,CUST-5928,Tunde,Lawal,2024-11-03,Bookshelf,Furniture,Abuja,45000.0,3,3,3.7,Female,32.0,first_purchase,64,135000.0,1960-02-05,Yes,135000.0,B2B,Cash,30600.0,43200.0
ORD-013495,CUST-7178,Yemi,Eze,2024-10-21,Vitamins,Health,Abuja,11900.0,2,2,3.9,M,42.02,promo,41,23800.0,1983-08-22,Yes,23800.0,B2B,Bank Transfer,6900.0,10000.0
ORD-013849,CUST-2688,Hauwa,Adewale,2024-11-08,Notebook A4,Stationery,Ibadan,2300.0,1,1,4.1,Male,43.48,loyalty,53,2300.0,1971-09-12,No,2300.0,B2B,Bank Transfer,1300.0,1000.0
ORD-010811,CUST-4409,Musa,Lawal,2024-02-05,Tablet,Electronics,Port Harcourt,193700.0,0,0,4.4,Female,43.37,"seasonal,first_purchase,loyalty",60,968500.0,1964-02-10,Yes,968500.0,Wholesale,USSD,109700.0,420000.0
ORD-012506,CUST-7409,Hauwa,Hassan,2024-06-22,Monitor,,Ibadan,268400.0,3,3,3.9,Female,44.3,online_exclusive,26,805200.0,1998-03-13,Yes,805200.0,In-Store,Bank Transfer,149500.0,356700.0
ORD-012457,CUST-5724,Adaeze,Obi,2024-01-05,Stapler,Stationery,Ibadan,8600.0,,2,4.7,Male,30.23,"first_purchase,online_exclusive",62,17200.0,1962-05-08,Yes,17200.0,B2B,POS,6000.0,5200.0
ORD-014167,CUST-1053,Taiwo,Nwosu,2024-11-18,Sugar 25kg,Groceries,Lagos,18500.0,1,1,3.6,Male,43.24,"online_exclusive,bulk_order,new_customer",62,18500.0,1962-05-12,Yes,18500.0,B2B,Mobile App,10500.0,8000.0
ORD-010941,CUST-3058,Musa,Obi,2024-05-13,Pens 50pk,Stationery,Enugu,6100.0,3,3,4.0,M,31.15,"seasonal,first_purchase,loyalty",64,18300.0,1960-04-20,No,18300.0,B2B,Mobile App,4200.0,5700.0
ORD-011308,CUST-7076,Musa,Hassan,2024-06-15,Tablet,Electronics,Port Harcourt,,10,10,3.7,Female,34.53,"new_customer,first_purchase",53,2033000.0,1971-04-03,No,2033000.0,Online,Bank Transfer,133100.0,702000.0
ORD-012047,CUST-4331,Ola,Adewale,2024-09-08,Headset,Electronics,Kano,27900.0,1,1,3.6,F,29.03,"vip,seasonal,bulk_order",49,27900.0,1975-11-22,No,27900.0,B2B,Cash,19800.0,8100.0
ORD-010168,CUST-3736,Seun,Bello,2024-03-14,Sanitiser 5L,Health,Abuja,6700.0,1,1,3.7,Male,31.34,bulk_order,62,6700.0,1962-08-08,Yes,6700.0,In-Store,Mobile App,4600.0,2100.0
ORD-012282,CUST-6682,Kemi,Adesanya,2024-10-11,Vitamins,Health,Kano,18700.0,,3,4.1,Female,39.57,new_customer,42,56100.0,1982-11-04,Yes,56100.0,Online,Cash,11300.0,22200.0
ORD-013018,CUST-2619,Emeka,Obi,2024-02-25,Bookshelf,Furniture,Lagos,41000.0,1,1,3.8,Male,30.98,loyalty,27,41000.0,1997-03-02,Yes,41000.0,B2B,Bank Transfer,28300.0,12700.0
ORD-012565,CUST-6786,Emeka,Okoro,2024-03-27,Printer,Electronics,Lagos,122600.0,1,1,3.3,M,37.03,first_purchase,52,122600.0,1972-01-24,No,122600.0,Wholesale,USSD,77200.0,45400.0
ORD-010454,CUST-4191,Yemi,Lawal,2024-06-27,Headset,Electronics,Kano,,,2,5.0,M,42.69,"online_exclusive,promo,first_purchase",35,68400.0,1989-06-28,No,68400.0,B2B,Cash,19600.0,29200.0
ORD-013615,CUST-8367,Ola,Nwosu,2024-06-24,Office Chair,Furniture,Kano,101100.0,5,5,5.0,M,42.83,"online_exclusive,promo",34,505500.0,1990-07-01,Yes,505500.0,In-Store,,57800.0,216500.0
ORD-011265,CUST-1808,Tunde,Adesanya,2024-12-11,Cooking Oil,Groceries,Port Harcourt,25600.0,3,3,3.8,M,36.72,"promo,first_purchase,seasonal",27,76800.0,1997-11-14,No,76800.0,Wholesale,POS,16200.0,28200.0
ORD-011372,CUST-6173,Fatima,Femi,2024-08-27,Headset,Electronics,Lagos,29700.0,2,2,1.0,Female,29.29,"first_purchase,bulk_order",28,59400.0,1996-12-13,Yes,59400.0,B2B,Cash,21000.0,17400.0
ORD-011561,CUST-8717,Chidi,Nwosu,2024-06-10,Monitor,Electronics,Kano,238000.0,2,2,4.9,,40.08,promo,23,476000.0,2001-04-28,No,476000.0,In-Store,Mobile App,142600.0,190800.0
ORD-011152,CUST-5419,Umar,Adesanya,2024-04-15,Phone,Electronics,Port Harcourt,163800.0,1,1,1.0,M,34.13,vip,58,163800.0,1966-07-21,Yes,163800.0,Wholesale,USSD,107900.0,55900.0
ORD-012522,CUST-3192,Seun,Hassan,2024-06-12,Printer,Electronics,Enugu,101200.0,3,3,4.7,Male,42.98,"online_exclusive,loyalty,seasonal",37,303600.0,1987-08-18,Yes,303600.0,In-Store,POS,57700.0,130500.0
ORD-010522,CUST-3261,Ola,Suleiman,2024-09-22,Monitor,Electronics,Ibadan,245100.0,1,1,2.9,Male,30.31,"new_customer,bulk_order,seasonal",44,245100.0,1980-11-17,Yes,245100.0,In-Store,USSD,170800.0,74300.0
ORD-012504,CUST-3574,Ngozi,Bello,2024-12-24,Notebook A4,Stationery,Kano,3000.0,20,20,4.4,M,30.0,"promo,loyalty",36,60000.0,1988-05-10,No,60000.0,Wholesale,USSD,2100.0,18000.0
ORD-010021,CUST-6392,Umar,Obi,2024-11-22,Notebook A4,Stationery,Port Harcourt,3700.0,3,3,4.1,M,35.14,loyalty,61,11100.0,1963-12-08,No,11100.0,Wholesale,POS,2400.0,3900.0
ORD-014082,CUST-6487,Emeka,Femi,2024-06-25,Office Chair,Furniture,Enugu,96100.0,10,10,3.7,Female,33.19,bulk_order,46,961000.0,1978-04-18,No,961000.0,Online,Mobile App,64200.0,319000.0
ORD-013593,CUST-5091,Ola,Eze,2024-01-07,Face Cream,Health,Lagos,,5,5,4.8,F,31.68,first_purchase,63,80500.0,1961-03-08,Yes,80500.0,B2B,Mobile App,11000.0,25500.0
ORD-010632,CUST-3236,Tunde,Hassan,2024-02-25,Tablet,Electronics,Lagos,172900.0,1,1,4.1,M,40.89,"new_customer,bulk_order",55,172900.0,1969-06-16,Yes,172900.0,B2B,Mobile App,102200.0,70700.0
ORD-013343,CUST-3329,Amina,Okoro,2024-03-20,Sanitiser 5L,Health,Lagos,8900.0,5,5,5.0,F,29.21,"bulk_order,loyalty",36,44500.0,1988-10-11,Yes,44500.0,In-Store,USSD,6300.0,13000.0
ORD-011951,CUST-3451,Kemi,Hassan,2024-01-12,Office Chair,Furniture,Kano,116200.0,2,2,3.6,M,27.97,"loyalty,first_purchase,new_customer",40,232400.0,1984-08-18,Yes,232400.0,In-Store,USSD,83700.0,65000.0
ORD-011759,CUST-3357,Taiwo,Nwosu,2024-04-29,Notebook A4,Stationery,Abuja,3700.0,1,1,3.9,F,35.14,loyalty,48,3700.0,1976-01-22,No,3700.0,B2B,POS,2400.0,1300.0
ORD-011056,CUST-2528,Chidi,Idris,2024-01-26,Rice 50kg,Groceries,Lagos,50600.0,2,2,5.0,F,40.51,"online_exclusive,promo",53,101200.0,1971-08-19,No,101200.0,In-Store,USSD,30100.0,41000.0
ORD-012204,CUST-8825,Amina,Idris,2024-01-12,Sanitiser 5L,Health,Port Harcourt,11100.0,1,1,4.2,Male,30.63,"promo,online_exclusive,first_purchase",31,11100.0,1993-03-16,Yes,11100.0,Online,POS,7700.0,3400.0
ORD-010884,CUST-2539,Seun,Femi,2024-08-21,Stapler,Stationery,Enugu,8600.0,2,2,3.2,F,31.4,online_exclusive,44,17200.0,1980-05-04,No,17200.0,Online,Bank Transfer,5900.0,5400.0
ORD-011250,CUST-8875,Musa,Idris,2024-10-27,Standing Desk,Furniture,Kano,146700.0,1,1,5.0,Male,29.52,"first_purchase,promo,new_customer",54,146700.0,1970-10-28,Yes,146700.0,Online,Bank Transfer,103400.0,43300.0
ORD-012953,CUST-5185,Ngozi,Okonkwo,2024-05-13,Stapler,Stationery,Abuja,7000.0,2,2,4.8,F,34.29,"bulk_order,new_customer",52,14000.0,1972-01-09,Yes,14000.0,B2B,POS,4600.0,4800.0
ORD-013173,CUST-5007,Kemi,Idris,2024-02-02,Sanitiser 5L,Health,Lagos,11900.0,2,2,2.8,M,36.13,"new_customer,vip",63,23800.0,1961-04-24,Yes,23800.0,Wholesale,USSD,7600.0,8600.0
ORD-011654,CUST-9979,Umar,Hassan,2024-05-19,Vitamins,Health,Kano,15500.0,3,3,4.1,Male,41.94,"new_customer,first_purchase,loyalty",27,46500.0,1997-02-05,No,46500.0,Online,USSD,9000.0,19500.0
ORD-014065,CUST-3080,Hauwa,Femi,2024-03-18,Pens 50pk,Stationery,Abuja,3900.0,5,5,5.0,Male,43.59,"new_customer,seasonal",24,19500.0,2000-01-01,No,19500.0,Wholesale,Bank Transfer,2200.0,8500.0
ORD-013947,CUST-2554,Adaeze,Adewale,2024-03-18,Sanitiser 5L,Health,Kano,11200.0,3,3,4.2,Male,31.25,"vip,seasonal,new_customer",44,33600.0,1980-10-21,No,33600.0,Wholesale,POS,7700.0,10500.0
ORD-010228,CUST-4108,Yemi,Adewale,2024-07-10,Cooking Oil,Groceries,Abuja,24800.0,2,2,4.0,M,31.05,vip,34,49600.0,1990-01-20,No,49600.0,B2B,Cash,17100.0,15400.0
ORD-012546,CUST-1626,Kemi,Obi,2024-06-07,Standing Desk,Furniture,Kano,160900.0,10,10,5.0,M,35.61,promo,44,1609000.0,1980-08-27,No,1609000.0,Online,Mobile App,103600.0,573000.0
ORD-012350,CUST-5531,Adaeze,Hassan,2024-07-01,Face Cream,Health,Port Harcourt,,2,2,3.6,Male,33.33,"bulk_order,first_purchase,promo",47,17400.0,1977-08-25,No,17400.0,Wholesale,Bank Transfer,5800.0,5800.0
ORD-012385,CUST-2010,Musa,Ibrahim,2024-06-06,Office Chair,Furniture,Enugu,98900.0,1,1,3.2,M,44.79,"promo,first_purchase",37,98900.0,1987-01-02,No,98900.0,Wholesale,Mobile App,54600.0,44300.0
ORD-012512,CUST-1943,Ngozi,Eze,2024-01-16,Vitamins,Health,Kano,14200.0,3,3,4.1,M,39.44,"promo,loyalty,new_customer",23,42600.0,2001-08-27,No,42600.0,In-Store,Bank Transfer,8600.0,16800.0
ORD-011214,CUST-6726,Musa,Suleiman,2024-08-28,Standing Desk,Furniture,Lagos,178700.0,20,20,4.7,Female,33.63,new_customer,26,3574000.0,1998-04-19,No,3574000.0,Wholesale,Bank Transfer,118600.0,1202000.0
ORD-012714,CUST-6892,Emeka,Okonkwo,2024-01-27,Sanitiser 5L,Health,Kano,9500.0,2,2,3.8,Male,29.47,"bulk_order,loyalty",31,19000.0,1993-05-13,No,19000.0,In-Store,USSD,6700.0,5600.0
ORD-013431,CUST-9501,Bisi,Bello,2024-11-06,Standing Desk,Furniture,Lagos,158000.0,3,3,5.0,Female,28.1,"bulk_order,first_purchase",18,474000.0,2006-04-28,No,474000.0,B2B,Bank Transfer,113600.0,133200.0
ORD-013599,CUST-4667,Adaeze,Lawal,2024-12-27,Phone,Electronics,Lagos,170900.0,3,3,3.0,Male,32.71,"online_exclusive,loyalty",45,512700.0,1979-06-23,Yes,512700.0,Wholesale,Cash,115000.0,167700.0
ORD-010836,CUST-9719,Musa,Okonkwo,2024-11-12,Notebook A4,Stationery,KANO,3900.0,1,1,5.0,M,41.03,seasonal,38,3900.0,1986-01-21,Yes,3900.0,In-Store,POS,2300.0,1600.0
ORD-013936,CUST-5918,Umar,Hassan,2024-05-23,Sanitiser 5L,Health,ABUJA,6600.0,1,1,4.1,Female,28.79,"seasonal,first_purchase,bulk_order",21,6600.0,2003-04-22,No,6600.0,B2B,Mobile App,4700.0,1900.0
ORD-010030,CUST-7712,Bisi,Lawal,2024-03-16,Monitor,Electronics,Enugu,209200.0,3,3,3.7,Female,38.86,promo,30,627600.0,1994-08-04,No,627600.0,B2B,Mobile App,127900.0,243900.0
ORD-012344,CUST-5359,Emeka,Okoro,2024-06-12,Bookshelf,Furniture,Enugu,47700.0,2,2,3.3,M,42.14,"loyalty,first_purchase",51,95400.0,1973-01-28,Yes,95400.0,In-Store,USSD,27600.0,40200.0
ORD-012029,CUST-3433,Amina,Nwosu,2024-02-06,Printer,Electronics,Port Harcourt,128600.0,20,20,5.0,Female,41.29,"vip,seasonal",62,2572000.0,1962-04-16,No,2572000.0,B2B,POS,75500.0,1062000.0
ORD-014107,CUST-2915,Emeka,Adeyemi,2024-10-09,Stapler,Stationery,Enugu,6100.0,3,3,4.2,M,40.98,"loyalty,online_exclusive",36,18300.0,1988-11-13,Yes,18300.0,Wholesale,USSD,3600.0,7500.0
ORD-010598,CUST-1125,Amina,Adewale,2024-06-09,Cooking Oil,Groceries,Abuja,32400.0,0,0,5.0,Female,41.98,first_purchase,64,162000.0,1960-06-13,Yes,162000.0,Online,POS,18800.0,68000.0
ORD-012111,CUST-6784,Ola,Adeyemi,2024-01-17,Pens 50pk,Stationery,Ibadan,4500.0,2,2,4.0,Male,28.89,loyalty,60,9000.0,1964-05-01,Yes,9000.0,B2B,Mobile App,3200.0,2600.0
ORD-013493,CUST-8747,Chidi,Nwosu,2024-05-11,Laptop,Electronics,Lagos,432100.0,1,1,4.0,Female,37.05,loyalty,34,432100.0,1990-07-16,Yes,432100.0,Online,Bank Transfer,272000.0,160100.0
ORD-010381,CUST-8783,Umar,Ibrahim,2024-09-07,Tablet,Electronics,port harcourt,186000.0,2,2,5.0,F,37.85,"new_customer,first_purchase,vip",56,372000.0,1968-11-14,No,372000.0,B2B,USSD,115600.0,140800.0
ORD-013420,CUST-8000,Bisi,Femi,2024-10-22,Phone,Electronics,Port Harcourt,147100.0,20,20,3.8,F,39.9,"bulk_order,loyalty,new_customer",52,2942000.0,1972-12-05,Yes,2942000.0,In-Store,,88400.0,1174000.0
ORD-011656,CUST-8797,Chidi,Hassan,2024-01-25,Standing Desk,Furniture,Ibadan,143200.0,5,5,3.8,Female,42.95,"bulk_order,promo",36,716000.0,1988-03-23,Yes,716000.0,Online,Bank Transfer,81700.0,307500.0
ORD-012801,CUST-3753,Chidi,Hassan,2024-03-25,Vitamins,Health,Kano,13200.0,1,1,4.4,F,33.33,"bulk_order,vip",30,13200.0,1994-10-06,No,13200.0,Wholesale,Mobile App,8800.0,4400.0
ORD-013629,CUST-6783,Bisi,Ibrahim,2024-09-13,Office Chair,Furniture,Ibadan,131000.0,1,1,3.8,Male,30.53,"new_customer,loyalty",30,131000.0,1994-09-03,No,131000.0,B2B,POS,91000.0,40000.0
ORD-013689,CUST-9524,Tunde,Lawal,2024-12-03,Vitamins,Health,Kano,13600.0,1,1,,Female,33.09,"promo,vip",29,13600.0,1995-07-13,Yes,13600.0,Wholesale,Mobile App,9100.0,4500.0
ORD-014092,CUST-1947,Umar,Idris,2024-12-06,Bookshelf,Furniture,Kano,53800.0,1,1,5.0,F,28.25,"bulk_order,new_customer",38,53800.0,1986-04-12,No,53800.0,B2B,Mobile App,38600.0,15200.0
ORD-010998,CUST-9613,Tunde,Lawal,2024-04-21,Headset,Electronics,Port Harcourt,34500.0,1,1,1.0,Female,30.43,"vip,promo,loyalty",18,34500.0,2006-07-01,Yes,34500.0,Online,Bank Transfer,24000.0,10500.0
ORD-014013,CUST-3205,Kemi,Bello,2024-07-20,Rice 50kg,Groceries,Kano,41600.0,5,5,5.0,,35.1,"online_exclusive,new_customer",37,208000.0,1987-10-05,No,208000.0,Online,Cash,27000.0,73000.0
ORD-011949,CUST-3714,Hauwa,Okonkwo,2024-08-11,Cooking Oil,Groceries,Abuja,29600.0,1,1,2.9,F,38.51,seasonal,59,29600.0,1965-01-24,Yes,29600.0,In-Store,Mobile App,18200.0,11400.0
ORD-012313,CUST-7858,Kemi,Eze,2024-05-11,Printer,Electronics,Enugu,101100.0,3,3,4.3,Male,42.63,bulk_order,52,303300.0,1972-08-01,No,303300.0,Online,Cash,58000.0,129300.0
ORD-011944,CUST-2572,Ola,Okoro,2024-03-30,Sugar 25kg,Groceries,Ibadan,21000.0,5,5,4.2,Female,43.33,"online_exclusive,bulk_order,loyalty",51,105000.0,1973-01-15,No,105000.0,In-Store,Bank Transfer,11900.0,45500.0
ORD-010231,CUST-2087,Seun,Femi,2024-05-16,Stapler,Stationery,Port Harcourt,9100.0,5,5,3.8,F,31.87,new_customer,29,45500.0,1995-11-10,Yes,45500.0,Online,Mobile App,6200.0,14500.0
ORD-012349,CUST-6429,Ngozi,Bello,2024-01-25,Sanitiser 5L,Health,Kano,,1,1,5.0,F,43.02,promo,42,8600.0,1982-01-27,No,8600.0,In-Store,Bank Transfer,4900.0,3700.0
ORD-012697,CUST-3249,Fatima,Adesanya,2024-08-23,Bookshelf,Furniture,Kano,36500.0,,2,3.7,F,33.7,"loyalty,new_customer",49,73000.0,1975-02-22,Yes,73000.0,B2B,Bank Transfer,24200.0,24600.0
ORD-010567,CUST-4629,Adaeze,Adewale,2024-08-26,Office Chair,Furniture,Ibadan,81300.0,20,20,3.6,M,35.18,"bulk_order,vip,first_purchase",41,1626000.0,1983-01-04,No,1626000.0,Online,POS,52700.0,572000.0
ORD-013531,CUST-8761,Amina,Ibrahim,2024-11-20,Notebook A4,Stationery,Port Harcourt,3300.0,3,3,3.9,F,30.3,seasonal,37,9900.0,1987-09-22,Yes,9900.0,Wholesale,Mobile App,2300.0,3000.0
ORD-011867,CUST-6399,Seun,Okonkwo,2024-05-30,Printer,Electronics,Port Harcourt,91600.0,10,10,4.3,Male,44.1,"new_customer,first_purchase",63,916000.0,1961-10-02,No,916000.0,In-Store,POS,51200.0,404000.0
ORD-010841,CUST-5324,Seun,Adesanya,2024-08-15,Office Chair,Furniture,Abuja,109500.0,5,5,4.2,M,42.1,"new_customer,loyalty,first_purchase",54,547500.0,1970-02-02,Yes,547500.0,In-Store,POS,63400.0,230500.0
ORD-013651,CUST-5520,Hauwa,Lawal,2024-06-22,Rice 50kg,Groceries,Port Harcourt,49600.0,3,3,4.3,F,29.23,vip,44,148800.0,1980-06-09,Yes,148800.0,B2B,Mobile App,35100.0,43500.0
ORD-013540,CUST-1813,Bisi,Adesanya,2024-04-21,Printer,Electronics,Ibadan,141100.0,,1,5.0,Male,35.72,"promo,first_purchase,new_customer",53,141100.0,1971-03-05,No,141100.0,B2B,USSD,90700.0,50400.0
ORD-012372,CUST-8025,Amina,Hassan,2024-06-02,Notebook A4,Stationery,Port Harcourt,4000.0,2,2,4.1,Male,40.0,loyalty,59,8000.0,1965-08-28,No,8000.0,Online,USSD,2400.0,3200.0
ORD-010026,CUST-1210,Umar,Femi,2024-09-21,Cooking Oil,Groceries,Abuja,27300.0,1,1,4.8,Male,28.57,online_exclusive,40,27300.0,1984-09-06,Yes,27300.0,Wholesale,POS,19500.0,7800.0
ORD-014025,CUST-8619,Seun,Bello,2024-11-30,Headset,Electronics,Enugu,34600.0,1,1,5.0,F,39.02,"new_customer,promo",53,34600.0,1971-12-23,Yes,34600.0,Online,Bank Transfer,21100.0,13500.0
ORD-013741,CUST-3131,Taiwo,Nwosu,2024-07-27,Sugar 25kg,Groceries,Port Harcourt,21300.0,,3,4.2,Male,42.25,"first_purchase,bulk_order,online_exclusive",46,63900.0,1978-04-09,Yes,63900.0,In-Store,Mobile App,12300.0,27000.0
ORD-011613,CUST-1404,Taiwo,Okoro,2024-01-30,Tablet,Electronics,Ibadan,132100.0,10,10,2.8,Male,38.08,"seasonal,first_purchase",57,1321000.0,1967-02-08,Yes,1321000.0,In-Store,Mobile App,81800.0,503000.0
ORD-012265,CUST-5289,Tunde,Adewale,2024-02-23,Printer,Electronics,Port Harcourt,130400.0,2,2,,Female,42.64,"promo,new_customer",20,260800.0,2004-08-19,No,260800.0,In-Store,Mobile App,74800.0,111200.0
ORD-010126,CUST-4616,Musa,Okoro,2024-08-30,Printer,Electronics,Ibadan,136400.0,1,1,4.2,Female,28.67,"vip,first_purchase,bulk_order",54,136400.0,1970-12-27,No,136400.0,B2B,Mobile App,97300.0,39100.0
ORD-010963,CUST-6043,Chidi,Okoro,2024-04-25,Monitor,Electronics,Enugu,203400.0,2,2,4.4,Male,28.81,"new_customer,online_exclusive",36,406800.0,1988-12-17,Yes,406800.0,Online,POS,144800.0,117200.0
ORD-013731,CUST-1025,Hauwa,Hassan,2024-06-17,Notebook A4,Stationery,Port Harcourt,3800.0,1,1,3.0,M,36.84,"seasonal,loyalty",59,3800.0,1965-03-27,Yes,3800.0,Wholesale,Mobile App,2400.0,1400.0
ORD-010374,CUST-7195,Chidi,Eze,2024-12-16,Tablet,Electronics,Kano,198200.0,2,2,3.8,M,37.18,"new_customer,bulk_order,online_exclusive",63,396400.0,1961-04-16,No,396400.0,Wholesale,Cash,124500.0,147400.0
ORD-012527,CUST-9897,Chidi,Lawal,2024-02-10,Pens 50pk,Stationery,KANO,4800.0,5,5,5.0,F,31.25,"bulk_order,loyalty",36,24000.0,1988-03-02,No,24000.0,Online,Cash,3300.0,7500.0
ORD-011470,CUST-6070,Adaeze,Femi,2024-10-05,Headset,Electronics,Port Harcourt,35400.0,2,2,5.0,Female,39.83,"loyalty,new_customer",27,70800.0,1997-07-16,Yes,70800.0,In-Store,USSD,21300.0,28200.0
ORD-011760,CUST-4814,Kemi,Obi,2024-09-18,Cooking Oil,Groceries,Enugu,27400.0,1,1,4.1,Female,39.05,"loyalty,vip,promo",62,27400.0,1962-02-26,Yes,27400.0,Wholesale,,16700.0,10700.0
ORD-012853,CUST-3848,Bisi,Idris,2024-01-21,Cooking Oil,Groceries,Kano,26900.0,2,2,4.1,Female,38.29,"loyalty,seasonal",47,53800.0,1977-08-09,Yes,53800.0,B2B,Bank Transfer,16600.0,20600.0
ORD-011447,CUST-2423,Hauwa,Okonkwo,2024-01-24,Laptop,Electronics,Lagos,468500.0,2,2,4.2,Male,31.78,new_customer,43,937000.0,1981-05-14,Yes,937000.0,B2B,Cash,319600.0,297800.0
ORD-013774,CUST-3474,Hauwa,Obi,2024-04-22,Phone,Electronics,Abuja,137900.0,3,3,3.7,M,30.02,"online_exclusive,seasonal,new_customer",65,413700.0,1959-03-18,No,413700.0,In-Store,POS,96500.0,124200.0
